supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.968077,-1.47984,0,0.140299,0.968077,0.94
SPE01500764,0.992225,-0.361223,0,0.552626,0.992225,-1.83
SPE01500779,1.00947,0.436803,0,0.68915,1.00947,-3.83
SPE01500833,1.01564,0.72255,0,0.505576,1.01564,-4.64
SPE01500867,1.00409,0.187696,0,0.595968,1.00409,-3.52
SPE01500872,0.98714,-0.597262,0,0.57393,0.98714,-1.81
SPE01500901,0.977729,-1.03303,0,0.311766,0.977729,-0.92
SPE01500906,0.929842,-3.25097,0,0.00645598,0.929842,4.21
SPE01500525,1.01698,0.784555,0,0.453662,1.01698,-5.63
SPE01500984,0.975251,-1.14766,0,0.251322,0.975251,-0.92
SPE01501017,1.00005,0.000586098,0,0.77231,1.00005,-3.9
SPE01501126,1.00714,0.329267,0,0.745824,1.00714,-4.8
SPE01501130,0.997862,-0.100539,0,0.919926,0.997862,-3.88
SPE01501172,0.976031,-1.1113,0,0.295062,0.976031,-1.54
SPE01501181,0.986154,-0.642858,0,0.532248,0.986154,-2.69
SPE01501204,0.758527,-11.184,0,6.01814e-29,0.758527,22.41
SPE01502103,1.00695,0.320106,0,0.750628,1.00695,-5.14
SPE01502128,1.03248,1.50276,0,0.133291,1.03248,-8.02
SPE01502155,1.01599,0.738619,0,0.563626,1.01599,-6.24
SPE01502237,0.992113,-0.366534,0,0.672928,0.992113,-3.65
SPE01502252,0.988457,-0.53605,0,0.592534,0.988457,-3.26
SPE01503044,0.957505,-1.96952,0,0.0500748,0.957505,0.15
SPE01503073,0.960804,-1.81664,0,0.0695684,0.960804,-0.24
SPE01505299,0.975109,-1.15438,0,0.260324,0.975109,-1.57
SPE01503253,0.0556791,-43.7325,0,0,0.0556791,100.03
SPE01503341,0.0577518,-43.6365,0,0,0.0577518,99.79
SPE01503626,1.02914,1.34761,0,0.200984,1.02914,-8
SPE01503636,1.03291,1.52255,0,0.129144,1.03291,-8.36
SPE01503722,0.930201,-3.23408,0,0.0018651,0.930201,2.93
SPE01503821,0.994922,-0.236917,0,0.71343,0.994922,-4.3
SPE01503904,0.759687,-11.1307,0,4.63716e-26,0.759687,21.79
SPE01503922,0.961924,-1.76487,0,0.0780824,0.961924,-0.75
SPE01500699,1.0256,1.18379,0,0.236498,1.0256,-7.98
