supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.942314,-3.15516,0,0.0585412,0.942314,3.8
SPE01500764,0.991176,-0.461212,0,0.591642,0.991176,-1.68
SPE01500779,0.995957,-0.204621,0,0.838192,0.995957,-2.31
SPE01500833,1.01912,1.08195,0,0.286956,1.01912,-4.96
SPE01500867,1.00781,0.456452,0,0.660976,1.00781,-3.8
SPE01500872,0.999606,-0.00270522,0,0.97279,0.999606,-2.99
SPE01500901,0.971047,-1.58328,0,0.123747,0.971047,0.08
SPE01500906,0.949817,-2.75782,0,0.0104235,0.949817,2.34
SPE01500525,1.01477,0.8392,0,0.402904,1.01477,-5.05
SPE01500984,0.983909,-0.869874,0,0.398712,0.983909,-1.53
SPE01501017,1.00624,0.377416,0,0.453944,1.00624,-4.19
SPE01501126,1.01482,0.837165,0,0.412158,1.01482,-5.23
SPE01501130,0.994709,-0.268118,0,0.685956,0.994709,-3.08
SPE01501172,0.990506,-0.510156,0,0.613186,0.990506,-2.68
SPE01501181,0.964023,-1.98705,0,0.0936852,0.964023,0.2
SPE01501204,0.791244,-11.5619,0,2.4805e-30,0.791244,19.41
SPE01502103,0.99807,-0.0901701,0,0.915794,0.99807,-3.8
SPE01502128,1.01729,0.987004,0,0.402382,1.01729,-6.01
SPE01502155,1.00987,0.567821,0,0.573132,1.00987,-5.24
SPE01502237,0.999287,-0.0206368,0,0.983538,0.999287,-4.12
SPE01502252,0.998143,-0.0885501,0,0.799018,0.998143,-4.04
SPE01503044,0.948992,-2.8184,0,0.0107081,0.948992,1.4
SPE01503073,0.976613,-1.27664,0,0.204678,0.976613,-1.75
SPE01505299,0.994693,-0.27401,0,0.785346,0.994693,-3.35
SPE01503253,0.0633704,-51.9405,0,0,0.0633704,100.57
SPE01503341,0.0641273,-51.8993,0,0,0.0641273,100.48
SPE01503626,1.03302,1.8482,0,0.065948,1.03302,-8.34
SPE01503636,0.998333,-0.0721668,0,0.91638,0.998333,-4.38
SPE01503722,0.664876,-18.5679,0,0,0.664876,32.97
SPE01503821,1.00136,0.0955153,0,0.924192,1.00136,-4.89
SPE01503904,0.0885557,-50.5428,0,0,0.0885557,97.71
SPE01503922,0.97,-1.64923,0,0.109367,0.97,-1.48
SPE01500699,1.02478,1.39155,0,0.165063,1.02478,-7.81
SPE01502234,1.01166,0.656899,0,0.567546,1.01166,-6.41
SPE01503982,1.03403,1.91393,0,0.0849198,1.03403,-8.97
SPE01504002,0.398181,-33.3024,0,0,0.398181,62.79
SPE01504025,0.98358,-0.906697,0,0.533892,0.98358,-3.33
SPE01504142,0.982236,-0.951517,0,0.523776,0.982236,-3.14
SPE01504187,0.972183,-1.52135,0,0.134084,0.972183,-2.01
SPE01505265,0.979948,-1.0911,0,0.280594,0.979948,-2.67
SPE01504269,1.0135,0.769843,0,0.44796,1.0135,-6.6
SPE01504272,0.99307,-0.362728,0,0.721518,0.99307,-4.34
SPE01504410,1.0262,1.47913,0,0.181445,1.0262,-7.96
SPE01504604,1.02608,1.4747,0,0.208062,1.02608,-7.87
SPE01505200,0.985861,-0.779564,0,0.513902,0.985861,-3.28
SPE01505201,0.985818,-0.773238,0,0.463424,0.985818,-3.19
SPE01505203,0.993745,-0.323452,0,0.757286,0.993745,-4
SPE01505205,0.967065,-1.79353,0,0.189083,0.967065,-0.95
SPE01505209,1.00335,0.211137,0,0.683224,1.00335,-5
SPE01505210,0.989246,-0.577634,0,0.563554,0.989246,-3.4
SPE01505212,1.02299,1.2929,0,0.19676,1.02299,-7.16
SPE01505213,0.958111,-2.30734,0,0.0228744,0.958111,0.13
SPE01505222,0.99957,-0.0247921,0,0.225198,0.99957,-4.53
SPE01505230,0.9963,-0.184253,0,0.855366,0.9963,-4.14
SPE01505244,0.988852,-0.590375,0,0.616348,0.988852,-3.32
SPE01505245,0.970553,-1.61161,0,0.112954,0.970553,-1.3
SPE01505248,0.990459,-0.504126,0,0.641558,0.990459,-3.58
SPE01505249,1.01389,0.797286,0,0.486404,1.01389,-6.27
SPE01505256,1.00918,0.519519,0,0.645536,1.00918,-5.8
SPE01505261,1.02384,1.34143,0,0.180303,1.02384,-7.49
SPE01505262,0.0786123,-51.0925,0,0,0.0786123,98.83
SPE01505263,1.00001,0.020681,0,0.926128,1.00001,-4.86
SPE01505264,0.997533,-0.110109,0,0.615388,0.997533,-4.58
SPE01505314,0.973287,-1.4778,0,0.29798,0.973287,-1.87
SPE01500663,0.977939,-1.205,0,0.22821,0.977939,-2.45
SPE01505215,1.0157,0.888576,0,0.374446,1.0157,-6.6
SPE01505267,0.966726,-1.8221,0,0.0802718,0.966726,-1.1
SPE01505270,1.00986,0.571287,0,0.593006,1.00986,-5.92
