supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.967278,-1.53338,0,0.137129,0.967278,0.18
SPE01500764,1.00132,0.0567463,0,0.946688,1.00132,-3.76
SPE01500779,1.01168,0.538304,0,0.59037,1.01168,-5.05
SPE01500833,1.01013,0.461415,0,0.659978,1.01013,-5
SPE01500867,0.990742,-0.423767,0,0.44286,0.990742,-2.99
SPE01500872,0.981274,-0.879114,0,0.381516,0.981274,-2.04
SPE01500901,0.963638,-1.70569,0,0.117993,0.963638,-0.18
SPE01500906,0.987794,-0.57713,0,0.571744,0.987794,-3.01
SPE01500525,1.01607,0.7459,0,0.465884,1.01607,-6.43
SPE01500984,0.971777,-1.31986,0,0.186888,0.971777,-1.33
SPE01501017,1.01276,0.582835,0,0.58781,1.01276,-6.15
SPE01501126,1.03143,1.45972,0,0.146369,1.03143,-8.37
SPE01501130,0.991549,-0.404589,0,0.703818,0.991549,-3.97
SPE01501172,0.991624,-0.396328,0,0.692146,0.991624,-4.06
SPE01501181,0.979996,-0.936141,0,0.350272,0.979996,-2.82
SPE01501204,0.0912898,-42.3369,0,0,0.0912898,97.61
SPE01502103,0.9631,-1.72232,0,0.0869466,0.9631,-1.11
SPE01502128,1.01358,0.630377,0,0.539574,1.01358,-6.88
SPE01502155,1.01964,0.911795,0,0.36984,1.01964,-7.61
SPE01502237,0.992842,-0.336137,0,0.740846,0.992842,-4.61
SPE01502252,0.994122,-0.277004,0,0.784144,0.994122,-4.8
SPE01503044,0.972927,-1.26941,0,0.212938,0.972927,-2.45
SPE01503073,0.96205,-1.77566,0,0.080402,0.96205,-1.29
SPE01505299,0.980397,-0.923194,0,0.377672,0.980397,-3
SPE01503253,0.0723025,-43.2199,0,0,0.0723025,99.71
SPE01503341,0.0736814,-43.1534,0,0,0.0736814,99.54
SPE01503626,1.01093,0.503475,0,0.614656,1.01093,-7.25
SPE01503636,1.0122,0.561637,0,0.574846,1.0122,-7.29
SPE01503722,1.0003,0.00791931,0,0.979714,1.0003,-6.12
SPE01503821,0.992847,-0.33871,0,0.73483,0.992847,-5.33
SPE01503904,0.846421,-7.15453,0,2.02372e-12,0.846421,11.31
