supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.971369,-1.48508,0,0.154755,0.971369,1.38
SPE01500764,0.998089,-0.0999142,0,0.920792,0.998089,-1.65
SPE01500779,1.00181,0.097665,0,0.662198,1.00181,-2.2
SPE01500833,1.01245,0.637954,0,0.52483,1.01245,-3.5
SPE01500867,0.991345,-0.458511,0,0.620286,0.991345,-1.37
SPE01500872,0.987236,-0.667174,0,0.52954,0.987236,-1.07
SPE01500901,0.981636,-0.963874,0,0.479818,0.981636,-0.61
SPE01500906,0.993977,-0.313767,0,0.753702,0.993977,-2.1
SPE01500525,1.00985,0.505382,0,0.613336,1.00985,-4.12
SPE01500984,0.976358,-1.22696,0,0.23463,0.976358,-0.33
SPE01501017,1.00552,0.281542,0,0.778406,1.00552,-3.79
SPE01501126,1.00441,0.233618,0,0.597362,1.00441,-3.8
SPE01501130,0.989082,-0.566742,0,0.57106,0.989082,-2.25
SPE01501172,0.988484,-0.603034,0,0.572036,0.988484,-2.28
SPE01501181,0.988602,-0.598096,0,0.585456,0.988602,-2.37
SPE01501204,0.82476,-9.05291,0,5.4282e-18,0.82476,15.54
SPE01502103,0.982329,-0.914261,0,0.360738,0.982329,-1.89
SPE01502128,1.02261,1.16547,0,0.246498,1.02261,-6.39
SPE01502155,1.02515,1.28372,0,0.296066,1.02515,-6.72
SPE01502237,0.992608,-0.389252,0,0.70976,0.992608,-3.19
SPE01502252,0.995672,-0.232842,0,0.69467,0.995672,-3.56
SPE01503044,0.972618,-1.42202,0,0.184919,0.972618,-1.05
SPE01503073,0.972724,-1.40921,0,0.159633,0.972724,-1.09
SPE01505299,0.980332,-1.02525,0,0.354334,0.980332,-1.61
SPE01503253,0.0553755,-48.7567,0,0,0.0553755,99.99
SPE01503341,0.0595217,-48.5431,0,0,0.0595217,99.53
SPE01503626,1.02436,1.24384,0,0.297632,1.02436,-6.99
SPE01503636,1.01531,0.782603,0,0.452362,1.01531,-5.94
SPE01503722,0.935164,-3.36288,0,0.00669952,0.935164,2.82
SPE01503821,1.00386,0.19762,0,0.84383,1.00386,-4.8
SPE01503904,0.819982,-9.31702,0,4.37864e-15,0.819982,15.5
SPE01503922,0.957588,-2.19748,0,0.0395228,0.957588,0.25
SPE01500699,1.01783,0.911958,0,0.382668,1.01783,-6.52
SPE01502234,1.0157,0.794127,0,0.554388,1.0157,-6.35
SPE01503982,1.01885,0.961648,0,0.39448,1.01885,-6.75
SPE01504002,0.407248,-30.5799,0,0,0.407248,60.97
SPE01504025,1.00013,0.0104873,0,0.686558,1.00013,-4.76
SPE01504142,0.975187,-1.28513,0,0.201838,0.975187,-2.02
SPE01504187,0.956946,-2.22553,0,0.0263982,0.956946,-0.04
SPE01505265,0.974628,-1.31812,0,0.217176,0.974628,-1.69
SPE01504269,1.00817,0.412724,0,0.700142,1.00817,-5.82
SPE01504272,0.980751,-0.993998,0,0.324308,0.980751,-2.73
SPE01504410,1.01176,0.601443,0,0.552382,1.01176,-6.28
SPE01504604,1.01596,0.81784,0,0.41953,1.01596,-6.81
SPE01505200,0.982131,-0.925282,0,0.35496,0.982131,-3.1
SPE01505201,1.00453,0.239686,0,0.606538,1.00453,-5.63
SPE01505203,0.956513,-2.26343,0,0.106806,0.956513,-0.3
SPE01505205,0.968133,-1.64931,0,0.10199,0.968133,-1.61
SPE01505209,0.986852,-0.686105,0,0.51082,0.986852,-3.7
SPE01505210,1.00759,0.377942,0,0.547064,1.00759,-6
SPE01505212,1.01614,0.8272,0,0.415342,1.01614,-6.94
SPE01505213,1.01451,0.748166,0,0.458332,1.01451,-6.72
SPE01505222,1.01289,0.663102,0,0.507686,1.01289,-6.49
SPE01505230,0.998997,-0.0560069,0,0.933402,0.998997,-4.88
SPE01505244,0.976291,-1.22837,0,0.223136,0.976291,-2.31
SPE01505245,0.955068,-2.32893,0,0.0337488,0.955068,0.1
SPE01505248,0.971206,-1.4939,0,0.15555,0.971206,-1.65
SPE01505249,1.0032,0.161833,0,0.871508,1.0032,-5.18
SPE01505256,1.00646,0.324164,0,0.708582,1.00646,-5.51
SPE01505261,1.02292,1.17525,0,0.256084,1.02292,-7.33
SPE01505262,0.952656,-2.46164,0,0.0679994,0.952656,0.48
SPE01505263,0.997719,-0.115899,0,0.776886,0.997719,-4.54
SPE01505264,0.985278,-0.762358,0,0.445876,0.985278,-3.19
SPE01505314,0.959383,-2.1053,0,0.0505924,0.959383,-0.35
SPE01500663,0.978673,-1.11326,0,0.34863,0.978673,-2.58
SPE01505215,1.00616,0.318867,0,0.756954,1.00616,-5.67
SPE01505267,0.967716,-1.67369,0,0.109335,0.967716,-1.34
SPE01505270,1.01089,0.558618,0,0.57669,1.01089,-6.24
SPE01505271,1.01406,0.717373,0,0.495182,1.01406,-6.62
SPE01505281,1.01292,0.657611,0,0.54155,1.01292,-6.48
SPE01505294,0.997536,-0.131623,0,0.895764,0.997536,-4.75
SPE01505296,0.993294,-0.348641,0,0.727402,0.993294,-4.25
SPE01500523,0.984582,-0.802909,0,0.439128,0.984582,-2.82
SPE01505304,0.982781,-0.889561,0,0.376516,0.982781,-3.01
SPE01505305,0.992525,-0.399439,0,0.542144,0.992525,-4.03
SPE01505306,1.02493,1.28317,0,0.199477,1.02493,-7.59
SPE01505308,1.07235,3.71489,0,0.00260376,1.07235,-12.78
SPE01505309,0.062188,-48.4066,0,0,0.062188,99.21
SPE01505310,0.98202,-0.931885,0,0.352816,0.98202,-2.67
SPE01505312,0.990036,-0.519235,0,0.606906,0.990036,-3.49
SPE01500101,1.01734,0.888029,0,0.38613,1.01734,-3.48
SPE01500391,1.0027,0.138562,0,0.887772,1.0027,-2.21
SPE01500408,0.980097,-1.03237,0,0.307604,0.980097,0.84
