supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,1.04348,1.24288,0,0.240108,1.04348,-21.62
SPE01500764,0.973577,-0.77265,0,0.44069,0.973577,-12.19
SPE01500779,0.992803,-0.222056,0,0.629072,0.992803,-14.36
SPE01500833,0.996477,-0.111753,0,0.871614,0.996477,-14.3
SPE01500867,1.00772,0.210698,0,0.83313,1.00772,-15.38
SPE01500872,0.92148,-2.27025,0,0.0286612,0.92148,-3.89
SPE01500901,0.874906,-3.61333,0,0.000303792,0.874906,2.36
SPE01500906,1.06903,1.98167,0,0.123492,1.06903,-21.84
SPE01500525,0.995393,-0.143802,0,0.885752,0.995393,-11.84
SPE01500984,0.942381,-1.67042,0,0.0948368,0.942381,-5.51
SPE01501017,0.966489,-0.97695,0,0.330816,0.966489,-7.83
SPE01501126,1.00564,0.149631,0,0.84775,1.00564,-12.41
SPE01501130,1.0108,0.297873,0,0.77128,1.0108,-12.73
SPE01501172,0.993502,-0.19583,0,0.7027,0.993502,-10.14
SPE01501181,0.941733,-1.69505,0,0.209364,0.941733,-3.59
SPE01501204,0.975864,-0.701572,0,0.578858,0.975864,-7.24
SPE01502103,1.23888,6.86841,0,2.12866e-11,1.23888,-39.36
SPE01502128,1.03267,0.930674,0,0.362856,1.03267,-13.63
SPE01502155,1.03606,1.02068,0,0.469676,1.03606,-14.04
SPE01502237,0.995709,-0.136782,0,0.79668,0.995709,-8.76
SPE01502252,0.944592,-1.60709,0,0.108486,0.944592,-2.2
SPE01503044,0.915957,-2.43213,0,0.0159207,0.915957,1.54
SPE01503073,0.88895,-3.21222,0,0.00342592,0.88895,5.02
SPE01505299,1.02914,0.827346,0,0.40834,1.02914,-13.69
SPE01503253,0.112416,-25.5682,0,0,0.112416,100.24
SPE01503341,0.117537,-25.4206,0,0,0.117537,99.63
SPE01503626,1.02496,0.706935,0,0.479786,1.02496,-10.98
SPE01503636,1.05166,1.47532,0,0.142021,1.05166,-14.36
SPE01503722,1.04079,1.16924,0,0.41808,1.04079,-12.65
SPE01503821,0.975156,-0.729559,0,0.501674,0.975156,-4.78
SPE01503904,0.926856,-2.11876,0,0.0375214,0.926856,1.18
SPE01503922,0.926458,-2.1275,0,0.0368764,0.926458,1.31
SPE01500699,1.04942,1.41063,0,0.160674,1.04942,-13.73
SPE01502234,1.03214,0.911528,0,0.389874,1.03214,-11.62
SPE01503982,1.04229,1.20633,0,0.227962,1.04229,-12.69
SPE01504002,0.327254,-19.3836,0,0,0.327254,74.23
SPE01504025,0.94045,-1.72668,0,0.0857596,0.94045,-0.03
SPE01504142,0.90985,-2.61339,0,0.0457572,0.90985,3.66
SPE01504187,0.898823,-2.92556,0,0.0038095,0.898823,5.19
SPE01505265,0.968067,-0.927916,0,0.396026,0.968067,-3.73
SPE01504269,1.05318,1.51889,0,0.131216,1.05318,-13.55
SPE01504272,1.00261,0.0630543,0,0.93897,1.00261,-7.36
