supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.829131,-4.45188,0,0.000295362,0.829131,11.17
SPE01500764,0.963846,-0.942373,0,0.410434,0.963846,-4.92
SPE01500779,1.00325,0.0784239,0,0.85133,1.00325,-9.56
SPE01500833,1.00954,0.250013,0,0.583694,1.00954,-10.19
SPE01500867,1.01344,0.345446,0,0.730172,1.01344,-10.57
SPE01500872,0.969512,-0.802778,0,0.44087,0.969512,-5.22
SPE01500901,1.00311,0.0744686,0,0.831452,1.00311,-9.14
SPE01500906,0.452419,-14.2863,0,1.4013e-44,0.452419,56.72
SPE01500525,1.03211,0.833204,0,0.404734,1.03211,-12.27
SPE01500984,0.935359,-1.68954,0,0.093941,0.935359,-0.83
SPE01501017,1.0102,0.263778,0,0.796702,1.0102,-9.54
SPE01501126,1.01905,0.495171,0,0.633738,1.01905,-10.47
SPE01501130,1.00319,0.0778366,0,0.93692,1.00319,-8.49
SPE01501172,0.911164,-2.32325,0,0.0210592,0.911164,2.54
SPE01501181,0.807605,-5.0263,0,1.00766e-06,0.807605,14.92
SPE01501204,0.327588,-17.5441,0,0,0.327588,71.91
SPE01502103,0.947439,-1.36898,0,0.262838,0.947439,-1.32
SPE01502128,1.00013,-0.00122497,0,0.999022,1.00013,-7.51
SPE01502155,1.04981,1.29775,0,0.211278,1.04981,-13.29
SPE01502237,1.00418,0.10896,0,0.661926,1.00418,-7.84
SPE01502252,0.971974,-0.740004,0,0.49974,0.971974,-4.06
SPE01503044,0.971411,-0.75276,0,0.464394,0.971411,-3.97
SPE01503073,0.994128,-0.156461,0,0.87662,0.994128,-6.65
SPE01505299,0.981473,-0.488019,0,0.625584,0.981473,-5.49
SPE01503253,0.0891619,-23.7683,0,0,0.0891619,100.17
SPE01503341,0.088786,-23.7784,0,0,0.088786,100.21
SPE01503626,1.0332,0.862791,0,0.391866,1.0332,-11.42
SPE01503636,0.967436,-0.854682,0,0.39368,0.967436,-3.62
SPE01503722,1.25175,6.56857,0,8.18348e-10,1.25175,-37.25
SPE01503821,1.02807,0.729019,0,0.469778,1.02807,-10.83
SPE01503904,0.335022,-17.3468,0,0,0.335022,71.15
SPE01503922,0.934172,-1.72641,0,0.116352,0.934172,0.24
SPE01500699,1.00893,0.23371,0,0.607434,1.00893,-8.63
SPE01502234,1.01296,0.33472,0,0.739332,1.01296,-9.24
SPE01503982,1.04173,1.08282,0,0.282994,1.04173,-12.79
SPE01504002,0.161033,-21.8918,0,0,0.161033,91.61
SPE01504025,0.990062,-0.263379,0,0.792416,0.990062,-6.85
SPE01504142,0.96673,-0.874365,0,0.390324,0.96673,-4.15
SPE01504187,0.940502,-1.55741,0,0.120337,0.940502,-1.04
SPE01505265,0.937452,-1.63437,0,0.108108,0.937452,-0.14
SPE01504269,1.00388,0.091801,0,0.630034,1.00388,-8.57
SPE01504272,0.882781,-3.05876,0,0.00390648,0.882781,5.87
SPE01504410,1.05245,1.36336,0,0.173014,1.05245,-14.27
SPE01504604,1.08049,2.09656,0,0.0374786,1.08049,-17.54
SPE01505200,0.992405,-0.196153,0,0.525302,0.992405,-6.95
SPE01505201,1.01208,0.314723,0,0.693036,1.01208,-9.21
SPE01505203,1.00686,0.166077,0,0.405172,1.00686,-8.61
SPE01505205,0.942959,-1.49044,0,0.145045,0.942959,-0.88
SPE01505209,0.969109,-0.801675,0,0.521412,0.969109,-3.83
SPE01505210,1.12358,3.21826,0,0.00138159,1.12358,-22.04
SPE01505212,0.990305,-0.257591,0,0.796744,0.990305,-6.11
SPE01505213,1.34141,8.91219,0,1.4497e-15,1.34141,-47.18
SPE01505222,1.04227,1.09918,0,0.274474,1.04227,-11.81
SPE01505230,0.894387,-2.75854,0,0.006144,0.894387,5.75
SPE01505244,0.990707,-0.255424,0,0.41471,0.990707,-5.49
SPE01505245,0.93837,-1.61303,0,0.107617,0.93837,0.77
