supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.960061,-1.06468,0,0.297804,0.960061,0.4
SPE01500764,0.973543,-0.66502,0,0.509522,0.973543,-1.44
SPE01500779,1.02096,0.746283,0,0.470188,1.02096,-7.14
SPE01500833,1.01456,0.564127,0,0.456996,1.01456,-6.67
SPE01500867,1.01319,0.510934,0,0.60995,1.01319,-6.91
SPE01500872,0.998751,0.0809653,0,0.904858,0.998751,-5.58
SPE01500901,0.977798,-0.541826,0,0.590346,0.977798,-3.48
SPE01500906,0.924564,-2.10996,0,0.123341,0.924564,2.49
SPE01500525,0.990266,-0.166267,0,0.803922,0.990266,-5.78
SPE01500984,0.945716,-1.49079,0,0.146833,0.945716,-0.32
SPE01501017,0.98015,-0.456945,0,0.368592,0.98015,-4.79
SPE01501126,1.02839,0.971384,0,0.409742,1.02839,-10.73
SPE01501130,1.00292,0.204666,0,0.839484,1.00292,-8.06
SPE01501172,1.00537,0.27467,0,0.735638,1.00537,-8.55
SPE01501181,0.978637,-0.515841,0,0.606208,0.978637,-5.56
SPE01501204,0.548839,-13.2887,0,2.3962e-39,0.548839,44.87
SPE01502103,1.00521,0.275541,0,0.783368,1.00521,-9.32
SPE01502128,0.994782,-0.0257148,0,0.472468,0.994782,-8.18
SPE01502155,0.991047,-0.125959,0,0.131609,0.991047,-7.75
SPE01502237,0.977801,-0.53482,0,0.621022,0.977801,-6.35
SPE01502252,0.984278,-0.34426,0,0.738742,0.984278,-7.11
SPE01503044,0.999782,0.10918,0,0.765796,0.999782,-8.96
SPE01503073,0.947077,-1.44601,0,0.209076,0.947077,-2.61
SPE01505299,0.973705,-0.670815,0,0.586944,0.973705,-5.47
SPE01503253,0.0785441,-27.2766,0,0,0.0785441,100.12
SPE01503341,0.084099,-27.1112,0,0,0.084099,99.45
SPE01503626,0.998521,0.0851855,0,0.484526,0.998521,-9.05
SPE01503636,1.02778,0.939481,0,0.393786,1.02778,-12.52
SPE01503722,0.882325,-3.36502,0,0.0087223,0.882325,4.66
SPE01503821,1.01048,0.425422,0,0.69033,1.01048,-10.9
SPE01503904,0.847002,-4.4419,0,0.000295,0.847002,8.38
SPE01503922,0.92531,-2.09806,0,0.039078,0.92531,-0.9
SPE01500699,1.02762,0.938294,0,0.355694,1.02762,-13.49
SPE01502234,1.03204,1.06788,0,0.31008,1.03204,-14.27
SPE01503982,0.999781,0.125889,0,0.350322,0.999781,-10.44
SPE01504002,0.14766,-25.2216,0,0,0.14766,91.66
SPE01504025,1.00541,0.273565,0,0.61515,1.00541,-11.87
SPE01504142,0.966877,-0.861396,0,0.404938,0.966877,-7.29
SPE01504187,0.940411,-1.65034,0,0.100469,0.940411,-4.31
SPE01505265,0.960397,-1.05621,0,0.293234,0.960397,-5.23
SPE01504269,1.00476,0.260093,0,0.795564,1.00476,-12.45
SPE01504272,0.866607,-3.8687,0,0.0156743,0.866607,4.11
SPE01504410,1.03076,1.02755,0,0.360704,1.03076,-15.84
SPE01504604,1.01855,0.676186,0,0.52999,1.01855,-14.3
SPE01505200,1.00955,0.395488,0,0.57649,1.00955,-13.56
SPE01505201,1.00742,0.339453,0,0.734784,1.00742,-13.31
SPE01505203,0.931412,-1.91763,0,0.0567016,0.931412,-4.13
SPE01505205,0.932535,-1.87017,0,0.238968,0.932535,-4.12
SPE01505209,0.946022,-1.46819,0,0.411968,0.946022,-5.83
SPE01505210,0.994374,-0.0456905,0,0.89085,0.994374,-12.08
SPE01505212,1.02417,0.838259,0,0.401886,1.02417,-15.82
SPE01505213,0.99808,0.0630346,0,0.949764,0.99808,-12.68
SPE01505222,1.00821,0.359602,0,0.732454,1.00821,-14.07
SPE01505230,0.978014,-0.528234,0,0.628058,0.978014,-10.24
SPE01505244,1.00004,0.111668,0,0.49123,1.00004,-13.26
SPE01505245,0.940478,-1.63841,0,0.21742,0.940478,-5.6
SPE01505248,0.900885,-2.80692,0,0.088936,0.900885,-0.61
SPE01505249,1.02019,0.715476,0,0.497196,1.02019,-15.71
SPE01505256,0.996543,0.0230647,0,0.649296,0.996543,-12.63
SPE01505261,0.978464,-0.509352,0,0.466658,0.978464,-10.32
SPE01505262,1.04786,1.53676,0,0.15699,1.04786,-19.13
SPE01505263,1.03059,1.01297,0,0.447042,1.03059,-17.17
SPE01505264,0.977658,-0.538842,0,0.620948,0.977658,-10.26
SPE01505314,0.960244,-1.05711,0,0.322854,0.960244,-8.13
SPE01500663,0.925154,-2.09794,0,0.0634984,0.925154,-3.05
SPE01505215,0.965007,-0.901053,0,0.303058,0.965007,-8.45
SPE01505267,0.916107,-2.3665,0,0.0374078,0.916107,-2.68
SPE01505270,0.991779,-0.120587,0,0.762636,0.991779,-11.98
SPE01505271,1.00431,0.242368,0,0.693294,1.00431,-13.62
SPE01505281,1.04059,1.32103,0,0.220672,1.04059,-17.93
SPE01505294,1.0231,0.795503,0,0.555432,1.0231,-15.71
SPE01505296,0.965788,-0.881818,0,0.415996,0.965788,-8.05
SPE01500523,0.935254,-1.79826,0,0.107195,0.935254,-2.68
SPE01505304,0.97241,-0.701994,0,0.485528,0.97241,-8.75
SPE01505305,1.01959,0.696257,0,0.526136,1.01959,-14.35
SPE01505306,1.01521,0.571754,0,0.567524,1.01521,-13.51
SPE01505308,1.08952,2.79038,0,0.0187584,1.08952,-22.12
SPE01505309,0.0936658,-26.8286,0,0,0.0936658,98.09
SPE01505310,1.01033,0.430577,0,0.679236,1.01033,-12.2
SPE01505312,0.970868,-0.738502,0,0.530088,0.970868,-7.16
SPE01500101,1.00619,0.307889,0,0.760526,1.00619,-5.02
