supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.964743,-1.30814,0,0.251336,0.964743,-0.18
SPE01500764,0.994458,-0.217339,0,0.829076,0.994458,-3.64
SPE01500779,1.00565,0.203876,0,0.838812,1.00565,-5
SPE01500833,1.01857,0.690458,0,0.506386,1.01857,-6.55
SPE01500867,0.986924,-0.498386,0,0.62141,0.986924,-3.06
SPE01500872,0.970861,-1.09462,0,0.274364,0.970861,-1.33
SPE01500901,0.955526,-1.64666,0,0.187009,0.955526,0.33
SPE01500906,1.00784,0.281704,0,0.779004,1.00784,-5.71
SPE01500525,1.01571,0.579767,0,0.564454,1.01571,-6.78
SPE01500984,0.974391,-0.953408,0,0.368198,0.974391,-1.99
SPE01501017,1.01365,0.498963,0,0.618478,1.01365,-6.63
SPE01501126,1.02057,0.755545,0,0.452248,1.02057,-7.51
SPE01501130,0.979233,-0.774454,0,0.457246,0.979233,-2.87
SPE01501172,0.974843,-0.944581,0,0.344956,0.974843,-2.44
SPE01501181,0.963479,-1.36312,0,0.182171,0.963479,-1.19
SPE01501204,0.706633,-10.9377,0,1.89619e-27,0.706633,28.1
SPE01502103,0.977774,-0.833387,0,0.407006,0.977774,-2.94
SPE01502128,1.02992,1.10562,0,0.26911,1.02992,-8.93
SPE01502155,1.03474,1.28612,0,0.198412,1.03474,-9.51
SPE01502237,0.998557,-0.06618,0,0.858978,0.998557,-5.42
SPE01502252,0.987168,-0.480112,0,0.640764,0.987168,-4.17
SPE01503044,0.965125,-1.30124,0,0.20513,0.965125,-1.71
SPE01503073,0.971127,-1.08408,0,0.278506,0.971127,-2.48
SPE01505299,0.970602,-1.09449,0,0.30172,0.970602,-2.08
SPE01503253,0.0728978,-34.5583,0,0,0.0728978,100.45
SPE01503341,0.0822064,-34.213,0,0,0.0822064,99.37
SPE01503626,1.02287,0.836622,0,0.421084,1.02287,-8.73
SPE01503636,1.00791,0.283732,0,0.778014,1.00791,-6.96
SPE01503722,0.98386,-0.607556,0,0.544364,0.98386,-4.28
SPE01503821,0.987962,-0.449225,0,0.666824,0.987962,-4.76
SPE01503904,0.672212,-12.2025,0,1.15588e-31,0.672212,31.53
SPE01503922,0.95539,-1.6557,0,0.150412,0.95539,-1.05
SPE01500699,1.00943,0.343185,0,0.73146,1.00943,-7.37
SPE01502234,1.02363,0.880641,0,0.40684,1.02363,-9.05
SPE01503982,1.02989,1.10853,0,0.271706,1.02989,-9.79
SPE01504002,0.386052,-22.8709,0,0,0.386052,64.35
SPE01504025,0.982232,-0.666202,0,0.509872,0.982232,-4.26
SPE01504142,0.966882,-1.23294,0,0.245192,0.966882,-2.46
SPE01504187,0.95415,-1.70406,0,0.12407,0.95415,-0.96
SPE01505265,0.983756,-0.607871,0,0.552226,0.983756,-4.36
SPE01504269,1.01231,0.453802,0,0.653006,1.01231,-7.63
SPE01504272,0.984682,-0.578894,0,0.562696,0.984682,-4.46
SPE01504410,1.02043,0.749173,0,0.458298,1.02043,-8.58
SPE01504604,1.02172,0.79613,0,0.434538,1.02172,-8.74
SPE01505200,0.976447,-0.879236,0,0.393506,0.976447,-3.53
SPE01505201,0.982438,-0.663045,0,0.507572,0.982438,-4.22
SPE01505203,0.950213,-1.84724,0,0.115838,0.950213,-0.51
SPE01505205,0.957244,-1.58957,0,0.14699,0.957244,-1.32
SPE01505209,0.986153,-0.523945,0,0.600324,0.986153,-4.65
SPE01505210,1.01043,0.383116,0,0.70363,1.01043,-7.46
SPE01505212,1.01962,0.72624,0,0.472034,1.01962,-8.55
SPE01505213,1.01382,0.505323,0,0.61397,1.01382,-7.91
SPE01505222,1.00958,0.351983,0,0.727278,1.00958,-7.44
SPE01505230,0.981273,-0.6895,0,0.575112,0.981273,-4.21
SPE01505244,0.962481,-1.41118,0,0.169496,0.962481,-2.07
SPE01505245,0.94462,-2.05355,0,0.0901074,0.94462,-0.03
SPE01505248,0.966375,-1.26173,0,0.20772,0.966375,-2.55
SPE01505249,1.00628,0.223342,0,0.824042,1.00628,-7.14
SPE01505256,1.01977,0.72914,0,0.466308,1.01977,-8.68
SPE01505261,1.01691,0.617644,0,0.541914,1.01691,-8.32
SPE01505262,1.00596,0.213418,0,0.831026,1.00596,-7.01
SPE01505263,0.988444,-0.431753,0,0.677402,0.988444,-4.95
SPE01505264,0.974365,-0.952501,0,0.382268,0.974365,-3.28
SPE01505314,0.958377,-1.5514,0,0.135346,0.958377,-1.41
SPE01500663,0.960495,-1.46735,0,0.189312,0.960495,-0.89
SPE01505215,1.03028,1.11214,0,0.287462,1.03028,-9.58
SPE01505267,0.948597,-1.91558,0,0.0651764,0.948597,-0.24
SPE01505270,1.01465,0.537287,0,0.591078,1.01465,-7.7
SPE01505271,1.00166,0.053137,0,0.957636,1.00166,-6.11
SPE01505281,1.01862,0.688526,0,0.49422,1.01862,-7.95
SPE01505294,0.980784,-0.724149,0,0.469032,0.980784,-3.49
SPE01505296,0.970833,-1.09316,0,0.274902,0.970833,-2.22
SPE01500523,0.97134,-1.07431,0,0.283222,0.97134,-0.97
SPE01505304,0.976457,-0.878681,0,0.394612,0.976457,-2.57
SPE01505305,1.0066,0.250176,0,0.622256,1.0066,-5.86
SPE01505306,1.01813,0.672567,0,0.511044,1.01813,-7.02
SPE01505308,1.09242,3.43283,0,0.000608458,1.09242,-15.31
SPE01505309,0.0928814,-33.8146,0,0,0.0928814,98.27
SPE01505310,0.992034,-0.308298,0,0.76029,0.992034,-3.61
SPE01505312,0.987321,-0.476702,0,0.637192,0.987321,-2.92
SPE01500101,1.02228,0.819668,0,0.413922,1.02228,-4.47
SPE01500391,0.994092,-0.233563,0,0.81973,0.994092,-1.72
SPE01500408,0.986512,-0.519893,0,0.629198,0.986512,-0.16
SPE01500497,0.972913,-1.018,0,0.30916,0.972913,0.45
SPE01500532,0.958568,-1.55372,0,0.122269,0.958568,1.69
SPE01500556,1.02168,0.808302,0,0.449608,1.02168,-4.58
SPE01503242,0.925816,-2.78338,0,0.0118653,0.925816,6.37
SPE01504184,0.962187,-1.41919,0,0.158546,0.962187,1.46
SPE01500322,0.98182,-0.682495,0,0.497508,0.98182,-1.08
SPE01500395,0.987453,-0.469248,0,0.649118,0.987453,-2.4
SPE01500434,1.00611,0.214704,0,0.83312,1.00611,-4.15
SPE01500450,0.982609,-0.645755,0,0.55213,0.982609,-1.98
SPE01500536,1.01682,0.617543,0,0.537076,1.01682,-5.17
SPE01502013,0.964085,-1.34246,0,0.183217,0.964085,-0.02
SPE01503223,0.167902,-31.0209,0,0,0.167902,89.69
SPE01503816,1.02293,0.841492,0,0.407614,1.02293,-6.21
SPE00330082,0.940858,-2.21702,0,0.0316306,0.940858,2.23
SPE01500102,1.02262,0.84183,0,0.421682,1.02262,-7.01
SPE01500168,1.03534,1.31391,0,0.200508,1.03534,-8.5
SPE01500399,0.991492,-0.317259,0,0.762568,0.991492,-3.55
SPE01500467,0.969046,-1.17433,0,0.30766,0.969046,-1.03
SPE01500538,1.00656,0.231162,0,0.821078,1.00656,-5.13
SPE01500548,0.988803,-0.423922,0,0.671978,0.988803,-3.02
SPE01500566,0.972343,-1.0368,0,0.300532,0.972343,-1.35
SPE00330002,0.95809,-1.55996,0,0.143387,0.95809,0.33
SPE01500135,1.0094,0.341361,0,0.73293,1.0094,-5.49
SPE01500404,0.998259,-0.0677156,0,0.832386,0.998259,-4.23
SPE01500502,0.967942,-1.20319,0,0.229416,0.967942,-0.8
SPE01500504,0.988495,-0.43096,0,0.67452,0.988495,-3.12
SPE01500551,1.00717,0.241689,0,0.497864,1.00717,-5.26
SPE01500578,1.03118,1.15526,0,0.249512,1.03118,-7.96
