supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.91381,-0.984204,0,0.328808,0.91381,6.66
SPE01500764,0.990838,0.346262,0,0.73102,0.990838,-2.03
SPE01500779,0.998642,0.474826,0,0.638646,0.998642,-3.09
SPE01500833,1.00816,0.642438,0,0.520784,1.00816,-4.31
SPE01500867,0.990958,0.343486,0,0.732746,0.990958,-2.57
SPE01500872,1.0052,0.591831,0,0.55442,1.0052,-4.31
SPE01500901,1.02228,0.891828,0,0.399732,1.02228,-6.36
SPE01500906,0.734764,-4.05784,0,6.7387e-05,0.734764,25.67
SPE01500525,1.00066,0.5035,0,0.646672,1.00066,-4.47
SPE01500984,0.948913,-0.383125,0,0.711166,0.948913,1.5
SPE01501017,0.984672,0.230865,0,0.755262,0.984672,-2.8
SPE01501126,1.01272,0.720464,0,0.471266,1.01272,-6.05
SPE01501130,0.993952,0.393016,0,0.70017,0.993952,-4.04
SPE01501172,0.991561,0.358094,0,0.721402,0.991561,-3.82
SPE01501181,1.02622,0.954235,0,0.341586,1.02622,-7.79
SPE01501204,0.703,-4.59603,0,3.11342e-05,0.703,28.67
SPE01502103,0.841653,-2.23151,0,0.0378252,0.841653,12.91
SPE01502128,1.0111,0.686475,0,0.508964,1.0111,-6.26
SPE01502155,1.02792,0.978132,0,0.334632,1.02792,-8.19
SPE01502237,0.960309,-0.18288,0,0.855178,0.960309,-0.57
SPE01502252,0.994858,0.410596,0,0.683114,0.994858,-4.48
SPE01503044,1.01505,0.764325,0,0.452642,1.01505,-6.73
SPE01503073,1.00508,0.594365,0,0.56642,1.00508,-5.58
SPE01505299,0.925155,-0.795738,0,0.469852,0.925155,3.51
SPE01503253,0.0691298,-15.5221,0,0,0.0691298,100.13
SPE01503341,0.0734007,-15.4487,0,0,0.0734007,99.65
SPE01503626,1.00941,0.656462,0,0.53302,1.00941,-5.97
SPE01503636,0.969421,-0.0295899,0,0.81946,0.969421,-1.48
SPE01503722,1.01448,0.749413,0,0.454186,1.01448,-6.53
SPE01503821,1.00722,0.628185,0,0.532818,1.00722,-5.71
SPE01503904,0.554963,-7.16325,0,5.30686e-12,0.554963,45.29
SPE01503922,1.01188,0.715509,0,0.519558,1.01188,-6.29
SPE01500699,0.952523,-0.326202,0,0.631206,0.952523,0.34
SPE01502234,1.01249,0.708736,0,0.505474,1.01249,-6.4
SPE01503982,0.991917,0.355002,0,0.737922,0.991917,-4.05
SPE01504002,0.562439,-7.02956,0,2.94674e-12,0.562439,44.47
SPE01504025,1.02878,0.993739,0,0.324346,1.02878,-8.14
SPE01504142,1.02642,0.960565,0,0.348128,1.02642,-7.81
SPE01504187,1.01067,0.697254,0,0.55405,1.01067,-5.97
SPE01505265,0.936159,-0.601131,0,0.555174,0.936159,2.21
SPE01504269,0.966291,-0.0879013,0,0.661722,0.966291,-0.9
SPE01504272,0.796538,-3.01163,0,0.0078061,0.796538,18.16
SPE01504410,0.989242,0.307353,0,0.687952,0.989242,-3.36
SPE01504604,1.01641,0.776875,0,0.460426,1.01641,-6.26
SPE01505200,0.962725,-0.147594,0,0.721358,0.962725,-0.05
SPE01505201,0.995002,0.417176,0,0.677672,0.995002,-3.45
SPE01505203,1.02935,1.00898,0,0.316644,1.02935,-7.07
SPE01505205,1.01712,0.809503,0,0.506606,1.01712,-5.43
SPE01505209,0.978814,0.135375,0,0.892574,0.978814,-0.98
SPE01505210,0.976264,0.0898978,0,0.884916,0.976264,-0.47
SPE01505212,0.980699,0.160759,0,0.691,0.980699,-0.76
SPE01505213,1.0169,0.780926,0,0.495484,1.0169,-4.58
SPE01505222,0.922435,-0.839962,0,0.424828,0.922435,6.05
SPE01505230,0.983507,0.210471,0,0.742194,0.983507,-0.58
SPE01505244,1.04817,1.33221,0,0.18505,1.04817,-7.57
SPE01505245,1.0165,0.796545,0,0.48918,1.0165,-3.98
SPE01505248,0.661777,-5.32931,0,8.57906e-07,0.661777,35
SPE01505249,0.921309,-0.855733,0,0.397512,0.921309,6.43
SPE01505256,0.954776,-0.284099,0,0.73789,0.954776,2.67
SPE01505261,0.828992,-2.45228,0,0.0293438,0.828992,16.45
SPE01505262,0.939362,-0.545981,0,0.59192,0.939362,4.22
SPE01505263,1.01166,0.699962,0,0.48578,1.01166,-3.85
SPE01505264,1.06707,1.65939,0,0.103548,1.06707,-10.03
SPE01505314,1.02072,0.865102,0,0.414744,1.02072,-4.97
SPE01500663,1.01326,0.735734,0,0.481124,1.01326,-5.74
SPE01505215,0.910672,-1.03964,0,0.307492,0.910672,6.99
SPE01505267,0.83128,-2.41425,0,0.03632,0.83128,15.84
SPE01505270,1.01994,0.841953,0,0.402824,1.01994,-5.27
SPE01505271,0.942192,-0.495476,0,0.622204,0.942192,3.16
SPE01505281,1.02866,0.989318,0,0.336968,1.02866,-6.72
SPE01505294,0.985564,0.246952,0,0.782202,0.985564,-2.17
SPE01505296,1.00359,0.563935,0,0.573082,1.00359,-4.41
SPE01500523,0.981422,0.17894,0,0.859184,0.981422,-4.16
SPE01505304,0.921523,-0.861973,0,0.47364,0.921523,4.28
SPE01505305,0.857835,-1.95702,0,0.090767,0.857835,11.24
SPE01505306,0.958152,-0.226353,0,0.72282,0.958152,-0.29
SPE01505308,1.11127,2.40892,0,0.0216398,1.11127,-17.85
SPE01505309,0.0712783,-15.4853,0,0,0.0712783,99.86
SPE01505310,1.03203,1.04553,0,0.320614,1.03203,-9.39
SPE01505312,1.02257,0.886509,0,0.380548,1.02257,-8.58
SPE01500101,0.993061,0.381607,0,0.702794,0.993061,-2.69
SPE01500391,0.999585,0.494789,0,0.62088,0.999585,-3.55
SPE01500408,0.928747,-0.720298,0,0.48029,0.928747,4.66
SPE01500497,1.01629,0.780967,0,0.43503,1.01629,-5.49
