supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.964664,-2.01078,0,0.0520906,0.964664,2.24
SPE01500764,0.99419,-0.3271,0,0.748228,0.99419,-1.1
SPE01500779,1.01065,0.611804,0,0.551546,1.01065,-3.02
SPE01500833,1.01156,0.663638,0,0.516524,1.01156,-3.26
SPE01500867,0.995923,-0.228219,0,0.821738,0.995923,-1.71
SPE01500872,0.984058,-0.904474,0,0.366088,0.984058,-0.56
SPE01500901,0.970592,-1.67242,0,0.094456,0.970592,0.77
SPE01500906,1.03462,1.97813,0,0.0765202,1.03462,-6.33
SPE01500525,1.00932,0.535781,0,0.593094,1.00932,-3.85
SPE01500984,0.954659,-2.58179,0,0.0273188,0.954659,2.25
SPE01501017,1.00538,0.311091,0,0.759212,1.00538,-3.54
SPE01501126,1.01575,0.902857,0,0.385914,1.01575,-4.8
SPE01501130,0.987379,-0.714608,0,0.51383,0.987379,-1.81
SPE01501172,0.986766,-0.750191,0,0.453464,0.986766,-1.81
SPE01501181,0.985126,-0.843362,0,0.408848,0.985126,-1.68
SPE01501204,0.809281,-10.8701,0,1.0032e-26,0.809281,17.57
SPE01502103,1.00079,0.0496394,0,0.960416,1.00079,-3.54
SPE01502128,1.01111,0.637462,0,0.534482,1.01111,-4.72
SPE01502155,1.02018,1.155,0,0.248398,1.02018,-5.77
SPE01502237,0.991628,-0.472455,0,0.656076,0.991628,-2.68
SPE01502252,0.97464,-1.44224,0,0.203022,0.97464,-0.86
SPE01503044,0.971909,-1.59666,0,0.149446,0.971909,-0.61
SPE01503073,0.979978,-1.1371,0,0.256104,0.979978,-1.56
SPE01505299,0.9831,-0.959133,0,0.337562,0.9831,-1.55
SPE01503253,0.0576021,-53.7317,0,0,0.0576021,100.03
SPE01503341,0.0618126,-53.4916,0,0,0.0618126,99.56
SPE01503626,1.01672,0.957753,0,0.338208,1.01672,-5.9
SPE01503636,1.02209,1.26362,0,0.216734,1.02209,-6.42
SPE01503722,0.980142,-1.12741,0,0.287648,0.980142,-1.93
SPE01503821,0.993114,-0.38813,0,0.69799,0.993114,-3.43
SPE01503904,0.885056,-6.55004,0,1.36931e-10,0.885056,8.46
SPE01503922,0.976252,-1.34954,0,0.179097,0.976252,-1.69
SPE01500699,1.01415,0.810986,0,0.419578,1.01415,-6
SPE01502234,1.01693,0.96962,0,0.33606,1.01693,-6.36
SPE01503982,1.02015,1.15415,0,0.289492,1.02015,-6.75
SPE01504002,0.763467,-13.4822,0,2.3312e-39,0.763467,21.7
SPE01504025,0.991325,-0.490222,0,0.624118,0.991325,-3.59
SPE01504142,0.980798,-1.09019,0,0.282546,0.980798,-2.43
SPE01504187,0.977464,-1.2808,0,0.20695,0.977464,-2.08
SPE01505265,0.984636,-0.871233,0,0.398296,0.984636,-2.67
SPE01504269,1.00634,0.366075,0,0.714614,1.00634,-5.33
SPE01504272,0.979529,-1.1626,0,0.251274,0.979529,-2.33
SPE01504410,1.0196,1.12237,0,0.263184,1.0196,-6.83
SPE01504604,1.01752,1.0034,0,0.3166,1.01752,-6.64
SPE01505200,0.989331,-0.603473,0,0.566524,0.989331,-3.54
SPE01505201,0.988735,-0.637494,0,0.537492,0.988735,-3.5
SPE01505203,0.97746,-1.28014,0,0.248918,0.97746,-2.27
SPE01505205,0.980523,-1.10589,0,0.276068,0.980523,-2.64
SPE01505209,0.981262,-1.06354,0,0.316086,0.981262,-2.76
SPE01505210,1.00902,0.517852,0,0.649428,1.00902,-5.88
SPE01505212,1.02177,1.24532,0,0.253942,1.02177,-7.34
SPE01505213,1.00971,0.557966,0,0.582348,1.00971,-6.04
SPE01505222,1.00668,0.385118,0,0.701064,1.00668,-5.74
SPE01505230,0.989968,-0.567017,0,0.600474,0.989968,-3.92
SPE01505244,0.982098,-1.01645,0,0.311986,0.982098,-3.08
SPE01505245,0.974222,-1.46461,0,0.208334,0.974222,-2.24
SPE01505248,0.969276,-1.74683,0,0.107877,0.969276,-1.71
SPE01505249,1.00491,0.283391,0,0.442802,1.00491,-5.69
SPE01505256,1.00857,0.493411,0,0.623458,1.00857,-6.09
SPE01505261,1.00916,0.526717,0,0.598586,1.00916,-6.14
SPE01505262,1.02004,1.14735,0,0.270214,1.02004,-7.34
SPE01505263,0.994571,-0.304701,0,0.770752,0.994571,-4.5
SPE01505264,0.989984,-0.566405,0,0.57631,0.989984,-4.01
SPE01505314,0.97885,-1.20102,0,0.263354,0.97885,-2.79
SPE01500663,0.985182,-0.839636,0,0.488,0.985182,-3.36
SPE01505215,0.99223,-0.438422,0,0.663138,0.99223,-4.32
SPE01505267,0.956536,-2.47398,0,0.013743,0.956536,-0.33
SPE01505270,1.01693,0.969325,0,0.358166,1.01693,-7.06
SPE01505271,1.00456,0.264627,0,0.791348,1.00456,-5.65
SPE01505281,0.997378,-0.145169,0,0.885118,0.997378,-4.81
SPE01505294,0.988433,-0.65516,0,0.512914,0.988433,-3.79
SPE01505296,1.00213,0.126069,0,0.899686,1.00213,-5.28
SPE01500523,0.994822,-0.290327,0,0.755738,0.994822,-4.21
SPE01505304,0.983442,-0.940316,0,0.401936,0.983442,-3.15
SPE01505305,1.00196,0.116342,0,0.89596,1.00196,-5.18
SPE01505306,1.01783,1.02027,0,0.360708,1.01783,-6.92
SPE01505308,1.08309,4.74245,0,2.56282e-06,1.08309,-14.15
SPE01505309,0.0660306,-53.251,0,0,0.0660306,99.03
SPE01505310,1.00381,0.22182,0,0.78114,1.00381,-5.27
SPE01505312,0.988564,-0.647663,0,0.5175,0.988564,-3.55
SPE01500101,1.01257,0.720533,0,0.499068,1.01257,-3.05
SPE01500391,0.996366,-0.202998,0,0.835098,0.996366,-1.6
SPE01500408,0.966793,-1.88908,0,0.0591146,0.966793,2.18
SPE01500497,1.00268,0.157356,0,0.874974,1.00268,-2.43
SPE01500532,0.971445,-1.62461,0,0.173858,0.971445,0.66
SPE01500556,1.01922,1.10066,0,0.276014,1.01922,-3.92
SPE01503242,0.950331,-2.82784,0,0.00501968,0.950331,3.81
SPE01504184,0.980716,-1.09456,0,0.312466,0.980716,-0.2
SPE01500322,0.978855,-1.20149,0,0.23916,0.978855,-0.28
SPE01500395,1.00046,0.0307288,0,0.96498,1.00046,-3.13
SPE01500434,0.99077,-0.521789,0,0.601946,0.99077,-1.85
SPE01500450,1.00309,0.18106,0,0.796078,1.00309,-3.48
SPE01500536,1.00514,0.297034,0,0.775368,1.00514,-3.28
SPE01502013,0.988304,-0.661699,0,0.569162,0.988304,-1.92
SPE01503223,0.132015,-49.4885,0,0,0.132015,91.82
SPE01503816,1.00904,0.520371,0,0.624812,1.00904,-3.96
SPE00330082,0.97637,-1.34342,0,0.205926,0.97637,-1.06
SPE01500102,1.00806,0.464026,0,0.64401,1.00806,-4.4
SPE01500168,1.01257,0.721442,0,0.491824,1.01257,-4.95
SPE01500399,0.988706,-0.639358,0,0.526072,0.988706,-2.37
SPE01500467,0.990766,-0.522224,0,0.60525,0.990766,-2.62
SPE01500538,1.00075,0.0468969,0,0.938194,1.00075,-3.52
SPE01500548,0.958405,-2.36768,0,0.0226128,0.958405,1.21
SPE01500566,0.978713,-1.2087,0,0.271806,0.978713,-1.3
SPE00330002,0.958992,-2.33398,0,0.020512,0.958992,0.46
SPE01500135,1.00102,0.0632638,0,0.789276,1.00102,-3.82
SPE01500404,0.996639,-0.186927,0,0.853808,0.996639,-3.51
SPE01500502,0.99328,-0.378663,0,0.705108,0.99328,-3.19
SPE01500504,0.987959,-0.681839,0,0.50478,0.987959,-2.35
SPE01500551,1.01258,0.72146,0,0.473698,1.01258,-5.15
SPE01500578,1.01485,0.851564,0,0.41267,1.01485,-5.46
SPE01500592,0.978081,-1.24479,0,0.25097,0.978081,-1.57
SPE01500264,1.01826,1.04587,0,0.299082,1.01826,-6.33
SPE01500300,0.996447,-0.19818,0,0.842976,0.996447,-3.95
SPE01500381,0.959645,-2.29602,0,0.034869,0.959645,0.08
SPE01500503,0.992165,-0.442222,0,0.65846,0.992165,-3.49
SPE01500539,1.00544,0.314824,0,0.76322,1.00544,-4.81
