supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.869886,-3.51035,0,0.000613036,0.869886,3.38
SPE01500764,0.995075,-0.128778,0,0.817366,0.995075,-12.16
SPE01500779,1.00636,0.146296,0,0.675184,1.00636,-13.54
SPE01500833,1.0275,0.722316,0,0.481498,1.0275,-16.17
SPE01500867,0.972124,-0.765258,0,0.457208,0.972124,-9.3
SPE01500872,0.971303,-0.768868,0,0.450372,0.971303,-9.21
SPE01500901,0.962005,-1.01943,0,0.315124,0.962005,-8.06
SPE01500906,1.11954,3.19184,0,0.00204804,1.11954,-27.58
SPE01500525,1.00689,0.171928,0,0.865126,1.00689,-13.57
SPE01500984,0.943686,-1.53104,0,0.141664,0.943686,-5.75
SPE01501017,1.01289,0.322236,0,0.697208,1.01289,-14.28
SPE01501126,1.02876,0.75561,0,0.46315,1.02876,-16.22
SPE01501130,0.999983,-0.00701667,0,0.994402,0.999983,-12.65
SPE01501172,0.98041,-0.508788,0,0.62362,0.98041,-10.21
SPE01501181,1.01597,0.434612,0,0.67646,1.01597,-14.59
SPE01501204,0.815552,-4.98056,0,3.63242e-06,0.815552,10.26
SPE01502103,0.954321,-1.26333,0,0.314586,0.954321,-6.86
SPE01502128,1.01543,0.397093,0,0.700764,1.01543,-14.35
SPE01502155,1.04272,1.12471,0,0.293926,1.04272,-17.62
SPE01502237,0.987281,-0.349242,0,0.727024,0.987281,-10.64
SPE01502252,0.980231,-0.512031,0,0.601648,0.980231,-9.61
SPE01503044,0.987565,-0.341046,0,0.733104,0.987565,-10.39
SPE01503073,0.931252,-1.84568,0,0.0684592,0.931252,-3.35
SPE01505299,0.948092,-1.42086,0,0.202508,0.948092,-6.14
SPE01503253,0.0906706,-24.4683,0,0,0.0906706,100.12
SPE01503341,0.098389,-24.2624,0,0,0.098389,99.17
SPE01503626,1.01993,0.5187,0,0.614134,1.01993,-14.21
SPE01503636,1.04318,1.13302,0,0.308492,1.04318,-17.07
SPE01503722,1.11148,2.99973,0,0.0038803,1.11148,-25.44
SPE01503821,0.984237,-0.438773,0,0.667968,0.984237,-9.74
SPE01503904,0.541787,-12.3345,0,2.2495e-32,0.541787,44.71
SPE01503922,0.915952,-2.24748,0,0.0349588,0.915952,-1.16
SPE01500699,1.04486,1.1828,0,0.267664,1.04486,-16.86
SPE01502234,1.02151,0.570328,0,0.568534,1.02151,-13.87
SPE01503982,1.03905,1.0362,0,0.305152,1.03905,-15.9
SPE01504002,0.582221,-11.2333,0,1.12037e-28,0.582221,40.11
SPE01504025,0.991452,-0.251863,0,0.71694,0.991452,-9.83
SPE01504142,0.980766,-0.525444,0,0.59992,0.980766,-8.39
SPE01504187,0.936375,-1.69519,0,0.124896,0.936375,-2.84
SPE01505265,0.942969,-1.54199,0,0.124791,0.942969,-4.43
SPE01504269,1.00607,0.150003,0,0.879192,1.00607,-11.17
SPE01504272,0.945526,-1.46378,0,0.146585,0.945526,-3.88
SPE01504410,1.00405,0.097814,0,0.91575,1.00405,-10.81
SPE01504604,1.01968,0.530337,0,0.60276,1.01968,-12.6
SPE01505200,0.962915,-1.00474,0,0.315822,0.962915,-5.65
SPE01505201,0.973097,-0.741243,0,0.477266,0.973097,-6.88
SPE01505203,1.00474,0.116349,0,0.907866,1.00474,-10.71
SPE01505205,0.893778,-2.82027,0,0.0280802,0.893778,2.79
SPE01505209,0.956163,-1.18968,0,0.238898,0.956163,-4.9
SPE01505210,0.987726,-0.34966,0,0.739784,0.987726,-8.8
SPE01505212,1.01524,0.390633,0,0.70769,1.01524,-12.21
SPE01505213,1.02966,0.843648,0,0.356676,1.02966,-13.96
SPE01505222,0.993409,-0.179624,0,0.85801,0.993409,-9.67
SPE01505230,1.00864,0.220269,0,0.827014,1.00864,-11.61
SPE01505244,0.993045,-0.178344,0,0.73093,0.993045,-9.77
SPE01505245,0.925129,-2.02851,0,0.0501326,0.925129,-1.58
SPE01505248,0.994236,-0.144259,0,0.693164,0.994236,-10.05
SPE01505249,0.974587,-0.699164,0,0.497126,0.974587,-7.7
SPE01505256,0.993744,-0.191094,0,0.700182,0.993744,-10.07
SPE01505261,0.996136,-0.121976,0,0.782956,0.996136,-10.36
SPE01505262,1.02925,0.770958,0,0.448872,1.02925,-14.36
SPE01505263,0.99074,-0.250592,0,0.803214,0.99074,-9.56
SPE01505264,0.987763,-0.329332,0,0.74413,0.987763,-9.07
SPE01505314,0.894803,-2.84134,0,0.00561434,0.894803,2.39
SPE01500663,0.905535,-2.55213,0,0.0124648,0.905535,2.33
SPE01505215,1.00945,0.229747,0,0.68538,1.00945,-11.24
SPE01505267,0.868727,-3.56053,0,0.00199436,0.868727,5.7
SPE01505270,0.984689,-0.439479,0,0.639712,0.984689,-8.09
SPE01505271,1.00621,0.167598,0,0.866824,1.00621,-10.53
SPE01505281,1.03779,1.01802,0,0.321248,1.03779,-14.2
SPE01505294,0.986083,-0.393316,0,0.707712,0.986083,-7.79
SPE01505296,0.990022,-0.264379,0,0.797032,0.990022,-8.04
SPE01500523,0.921058,-2.12509,0,0.0336532,0.921058,2.22
SPE01505304,0.931346,-1.87389,0,0.101999,0.931346,-0.56
SPE01505305,0.961902,-1.05502,0,0.373554,0.961902,-4
SPE01505306,1.02893,0.78387,0,0.455846,1.02893,-11.75
SPE01505308,1.15917,4.31504,0,0.000667728,1.15917,-27.03
SPE01505309,0.115632,-23.7941,0,0,0.115632,97.5
SPE01505310,1.00535,0.118535,0,0.66344,1.00535,-8.24
SPE01505312,1.00276,0.074052,0,0.880258,1.00276,-7.68
SPE01500101,1.02274,0.596058,0,0.558276,1.02274,-17.56
SPE01500391,1.0092,0.23186,0,0.820474,1.0092,-16.08
SPE01500408,0.919423,-2.19155,0,0.049014,0.919423,-4.17
SPE01500497,1.00676,0.191483,0,0.705828,1.00676,-15.92
SPE01500532,0.935814,-1.72317,0,0.0889658,0.935814,-7.11
SPE01500556,1.03342,0.887577,0,0.37624,1.03342,-19.05
SPE01503242,0.954136,-1.23937,0,0.215432,0.954136,-8.72
SPE01504184,0.997714,-0.0722519,0,0.91683,0.997714,-14.89
SPE01500322,0.920944,-2.13283,0,0.0335136,0.920944,-5.33
SPE01500395,1.02558,0.67367,0,0.505958,1.02558,-19.05
SPE01500434,0.956219,-1.18379,0,0.236866,0.956219,-10.08
SPE01500450,0.847479,-4.09693,0,4.77344e-05,0.847479,3.81
SPE01500536,1.0181,0.463486,0,0.666546,1.0181,-17.9
SPE01502013,1.02489,0.649725,0,0.533018,1.02489,-18.95
SPE01503223,0.221896,-20.9411,0,0,0.221896,84.17
SPE01503816,1.09693,2.56972,0,0.0270102,1.09693,-28.21
SPE00330082,1.00108,0.0351095,0,0.768166,1.00108,-15.27
SPE01500102,0.99803,-0.0535741,0,0.892642,0.99803,-15.45
SPE01500168,1.03205,0.843751,0,0.413108,1.03205,-19.75
SPE01500399,1.00747,0.197147,0,0.844114,1.00747,-16.5
SPE01500467,0.998167,-0.0444306,0,0.792164,0.998167,-15.18
SPE01500538,0.99132,-0.259365,0,0.651506,0.99132,-14.62
SPE01500548,0.913916,-2.3319,0,0.0262908,0.913916,-4.7
SPE01500566,0.971248,-0.795831,0,0.463246,0.971248,-11.59
SPE00330002,0.951476,-1.3029,0,0.197938,0.951476,-7.62
SPE01500135,0.96816,-0.844868,0,0.43303,0.96816,-10.8
SPE01500404,0.980647,-0.525493,0,0.59928,0.980647,-11.85
SPE01500502,1.01419,0.38156,0,0.706586,1.01419,-15.89
SPE01500504,0.928764,-1.91807,0,0.05522,0.928764,-5.9
SPE01500551,0.974716,-0.69251,0,0.494686,0.974716,-11.47
SPE01500578,0.994309,-0.168615,0,0.82782,0.994309,-13.78
SPE01500592,1.00706,0.196446,0,0.75897,1.00706,-14.8
SPE01500264,1.01801,0.476909,0,0.633436,1.01801,-15.38
SPE01500300,0.946452,-1.44862,0,0.149438,0.946452,-6.19
SPE01500381,1.0513,1.39503,0,0.227728,1.0513,-18.81
SPE01500503,0.970487,-0.791794,0,0.435006,0.970487,-8.97
SPE01500539,0.98457,-0.454267,0,0.476556,0.98457,-11.54
SPE01500553,1.02626,0.68389,0,0.519506,1.02626,-16.62
SPE01501188,0.104546,-24.0959,0,0,0.104546,99.62
SPE01503923,0.950812,-1.3333,0,0.186779,0.950812,-7.41
SPE01500115,1.00469,0.12411,0,0.901768,1.00469,-10.81
SPE01500284,1.00493,0.124132,0,0.901296,1.00493,-12.05
SPE01500354,0.984321,-0.458694,0,0.507514,0.984321,-9.25
SPE01500483,0.949733,-1.38304,0,0.247638,0.949733,-4.67
SPE01500507,1.0035,0.0820812,0,0.898386,1.0035,-10.98
SPE01500668,0.979193,-0.557216,0,0.584008,0.979193,-7.38
SPE01502113,0.965603,-0.941385,0,0.363284,0.965603,-7.42
SPE01503422,0.822958,-4.75549,0,2.33728e-06,0.822958,10.15
SPE01500137,0.936044,-1.73305,0,0.0902168,0.936044,-1.85
SPE01500216,1.04453,1.19376,0,0.234982,1.04453,-14.81
SPE01500267,0.980495,-0.474315,0,0.23715,0.980495,-6.98
SPE01500364,0.947268,-1.43933,0,0.181701,0.947268,-2.94
SPE01500518,0.969825,-0.831331,0,0.43284,0.969825,-5.71
SPE01500521,0.467574,-14.3491,0,1.26341e-40,0.467574,55.6
SPE01500541,0.987065,-0.331658,0,0.622164,0.987065,-7.89
SPE02300241,0.951556,-1.32649,0,0.228386,0.951556,-3.47
SPE01500110,0.98643,-0.364115,0,0.719148,0.98643,-7.71
SPE01500244,1.12086,3.24937,0,0.00154987,1.12086,-24.17
SPE01500276,1.09051,2.44613,0,0.0282938,1.09051,-20.56
SPE01500489,1.01947,0.531157,0,0.616638,1.01947,-11.99
SPE01500499,1.00563,0.130415,0,0.736394,1.00563,-10.42
