supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.943355,-2.56082,0,0.0106404,0.943355,1.48
SPE01500764,1.00294,0.13168,0,0.895256,1.00294,-5.2
SPE01500779,1.0158,0.716256,0,0.474442,1.0158,-6.67
SPE01500833,1.0192,0.871042,0,0.385312,1.0192,-7.09
SPE01500867,0.994011,-0.27335,0,0.784856,0.994011,-4.32
SPE01500872,0.981145,-0.847494,0,0.397606,0.981145,-2.92
SPE01500901,0.981712,-0.847181,0,0.42869,0.981712,-3.01
SPE01500906,0.938514,-2.74591,0,0.0129597,0.938514,1.77
SPE01500525,1.02334,1.05044,0,0.294158,1.02334,-7.75
SPE01500984,0.975996,-1.11705,0,0.33925,0.975996,-2.43
SPE01501017,1.00624,0.286134,0,0.775508,1.00624,-5.85
SPE01501126,1.01912,0.883528,0,0.40652,1.01912,-7.3
SPE01501130,0.993877,-0.284871,0,0.77801,0.993877,-4.47
SPE01501172,0.983867,-0.752811,0,0.490236,0.983867,-3.33
SPE01501181,0.984351,-0.749731,0,0.564986,0.984351,-3.36
SPE01501204,0.717691,-12.7301,0,2.4116e-36,0.717691,26.42
SPE01502103,0.963008,-1.6758,0,0.095604,0.963008,-1
SPE01502128,1.01984,0.889013,0,0.37683,1.01984,-7.36
SPE01502155,1.0198,0.899507,0,0.370762,1.0198,-7.38
SPE01502237,0.974647,-1.17881,0,0.316458,0.974647,-2.34
SPE01502252,0.984429,-0.724371,0,0.498226,0.984429,-3.46
SPE01503044,0.981658,-0.848296,0,0.424366,0.981658,-3.18
SPE01503073,0.967312,-1.52253,0,0.247088,0.967312,-1.62
SPE01505299,1.00348,0.217174,0,0.314336,1.00348,-5.51
SPE01503253,0.0584012,-42.6427,0,0,0.0584012,100.05
SPE01503341,0.0647705,-42.3485,0,0,0.0647705,99.33
SPE01503626,1.03024,1.38794,0,0.197597,1.03024,-9.02
SPE01503636,1.02439,1.11217,0,0.275108,1.02439,-8.28
SPE01503722,0.700089,-13.4029,0,4.72982e-29,0.700089,27.96
SPE01503821,0.9943,-0.278363,0,0.729292,0.9943,-5.11
SPE01503904,0.729664,-12.2763,0,2.16646e-28,0.729664,24.59
SPE01503922,0.96215,-1.76727,0,0.226908,0.96215,-1.57
SPE01500699,1.02454,1.10091,0,0.274064,1.02454,-8.69
SPE01502234,1.03215,1.44352,0,0.151994,1.03215,-9.57
SPE01503982,1.00773,0.371847,0,0.71492,1.00773,-6.83
SPE01504002,0.29048,-32.1155,0,0,0.29048,73.9
SPE01504025,0.983509,-0.768082,0,0.478744,0.983509,-4.07
SPE01504142,0.97082,-1.35718,0,0.271902,0.97082,-2.63
SPE01504187,0.972033,-1.28184,0,0.224754,0.972033,-2.78
SPE01505265,0.984158,-0.734836,0,0.487484,0.984158,-4.1
SPE01504269,1.00627,0.268955,0,0.793616,1.00627,-6.65
SPE01504272,0.985206,-0.681969,0,0.50781,0.985206,-4.27
SPE01504410,1.0209,0.938294,0,0.349754,1.0209,-8.3
SPE01504604,1.02117,0.95828,0,0.33848,1.02117,-8.33
SPE01505200,0.959876,-1.74227,0,0.28766,0.959876,-1.43
SPE01505201,0.970772,-1.27782,0,0.308202,0.970772,-2.62
SPE01505203,0.975532,-1.18617,0,0.420036,0.975532,-3.1
SPE01505205,0.974068,-1.13711,0,0.329566,0.974068,-2.96
SPE01505209,1.0067,0.282999,0,0.748656,1.0067,-6.62
SPE01505210,1.02184,0.958004,0,0.389852,1.02184,-8.32
SPE01505212,1.01573,0.698499,0,0.492754,1.01573,-7.63
SPE01505213,0.922332,-3.5293,0,0.000941756,0.922332,2.9
SPE01505222,1.01277,0.625729,0,0.480714,1.01277,-7.24
SPE01505230,0.989778,-0.458665,0,0.646842,0.989778,-4.59
SPE01505244,0.975853,-1.10237,0,0.281104,0.975853,-2.96
SPE01505245,0.96248,-1.70366,0,0.0932872,0.96248,-1.4
SPE01505248,0.988707,-0.516427,0,0.60789,0.988707,-4.27
SPE01505249,1.01604,0.716863,0,0.476796,1.01604,-7.27
SPE01505256,1.02259,0.989691,0,0.382694,1.02259,-7.92
SPE01505261,1.01944,0.876777,0,0.380618,1.01944,-7.5
SPE01505262,0.890119,-4.9283,0,5.51508e-06,0.890119,7.01
SPE01505263,0.998204,-0.113721,0,0.579508,0.998204,-5.02
SPE01505264,0.979902,-0.891168,0,0.390548,0.979902,-2.95
SPE01505314,0.967292,-1.55083,0,0.394196,0.967292,-1.5
SPE01500663,0.96487,-1.60932,0,0.136358,0.96487,-1.16
SPE01505215,1.00477,0.261482,0,0.445412,1.00477,-5.69
SPE01505267,0.960036,-1.79129,0,0.0798096,0.960036,-0.7
SPE01505270,1.01984,0.872881,0,0.417142,1.01984,-7.35
SPE01505271,1.00493,0.212,0,0.834688,1.00493,-5.67
SPE01505281,0.993318,-0.272796,0,0.633546,0.993318,-4.41
SPE01505294,0.973928,-1.1864,0,0.241756,0.973928,-2.22
SPE01505296,0.992839,-0.321551,0,0.747902,0.992839,-4.32
SPE01500523,0.970839,-1.34258,0,0.222828,0.970839,-1.65
SPE01505304,0.99235,-0.367553,0,0.722442,0.99235,-4.2
SPE01505305,1.01746,0.780319,0,0.439212,1.01746,-6.98
SPE01505306,1.02508,1.11971,0,0.273098,1.02508,-7.8
SPE01505308,1.08023,3.69917,0,0.00910946,1.08023,-13.96
SPE01505309,0.0688666,-42.1707,0,0,0.0688666,98.9
SPE01505310,0.993952,-0.224929,0,0.421398,0.993952,-4.29
SPE01505312,0.988519,-0.550849,0,0.630804,0.988519,-3.64
SPE01500101,1.01531,0.7106,0,0.501896,1.01531,-6.11
SPE01500391,0.99079,-0.418628,0,0.675854,0.99079,-3.6
