supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.963032,-1.98999,0,0.0511856,0.963032,2.51
SPE01500764,1.00417,0.219494,0,0.828718,1.00417,-2.04
SPE01500779,1.01192,0.635226,0,0.559518,1.01192,-3
SPE01500833,1.01008,0.536645,0,0.61026,1.01008,-2.93
SPE01500867,1.00201,0.104137,0,0.865354,1.00201,-2.2
SPE01500872,0.984682,-0.827266,0,0.420446,0.984682,-0.45
SPE01500901,0.976246,-1.27944,0,0.217594,0.976246,0.34
SPE01500906,0.978993,-1.13144,0,0.32466,0.978993,-0.09
SPE01500525,1.00715,0.37959,0,0.715054,1.00715,-3.38
SPE01500984,0.974651,-1.36523,0,0.182497,0.974651,0.27
SPE01501017,1.00772,0.409717,0,0.702654,1.00772,-3.55
SPE01501126,1.02013,1.0768,0,0.294118,1.02013,-5.01
SPE01501130,1.00011,0.00123757,0,0.753506,1.00011,-2.93
SPE01501172,0.988134,-0.641572,0,0.522054,0.988134,-1.73
SPE01501181,0.981395,-1.00275,0,0.346236,0.981395,-1.09
SPE01501204,0.789355,-11.3158,0,1.6341e-25,0.789355,19.81
SPE01502103,0.988713,-0.610493,0,0.543014,0.988713,-2.15
SPE01502128,1.01447,0.77352,0,0.447506,1.01447,-5.03
SPE01502155,1.02122,1.13509,0,0.289898,1.02122,-5.81
SPE01502237,0.995812,-0.229368,0,0.820464,0.995812,-3.05
SPE01502252,0.995769,-0.231308,0,0.817436,0.995769,-3.06
SPE01503044,0.987279,-0.687237,0,0.493344,0.987279,-2.15
SPE01503073,0.963537,-1.96193,0,0.062534,0.963537,0.42
SPE01505299,0.979787,-1.09034,0,0.30058,0.979787,-1.09
SPE01503253,0.0563317,-50.6867,0,0,0.0563317,99.96
SPE01503341,0.0588448,-50.5518,0,0,0.0588448,99.68
SPE01503626,1.02024,1.08309,0,0.27882,1.02024,-6.06
SPE01503636,1.01215,0.647145,0,0.590912,1.01215,-5.11
SPE01503722,0.948374,-2.77661,0,0.00594474,0.948374,1.79
SPE01503821,0.993162,-0.371862,0,0.718212,0.993162,-3.18
SPE01503904,0.79187,-11.1803,0,4.77184e-24,0.79187,18.94
SPE01503922,0.966595,-1.79763,0,0.0910438,0.966595,-0.34
SPE01500699,1.02076,1.11037,0,0.270854,1.02076,-6.44
SPE01502234,1.01229,0.655866,0,0.512432,1.01229,-5.58
SPE01503982,1.0196,1.04802,0,0.324388,1.0196,-6.44
SPE01504002,0.501173,-26.7971,0,0,0.501173,50.79
SPE01504025,0.997005,-0.164737,0,0.870794,0.997005,-4.01
SPE01504142,0.983402,-0.895423,0,0.372576,0.983402,-2.52
SPE01504187,0.967777,-1.73388,0,0.125872,0.967777,-0.81
SPE01505265,0.984361,-0.844056,0,0.39877,0.984361,-2.36
SPE01504269,1.00644,0.341483,0,0.741556,1.00644,-5.08
SPE01504272,0.986703,-0.718485,0,0.474844,0.986703,-2.9
SPE01504410,1.01653,0.883,0,0.427636,1.01653,-6.18
SPE01504604,1.0177,0.945729,0,0.376226,1.0177,-6.29
SPE01505200,0.987375,-0.682304,0,0.495618,0.987375,-2.92
SPE01505201,0.992848,-0.388417,0,0.698704,0.992848,-3.5
SPE01505203,0.975173,-1.33736,0,0.184759,0.975173,-1.52
SPE01505205,0.97501,-1.34624,0,0.178579,0.97501,-1.49
SPE01505209,0.990027,-0.540454,0,0.614518,0.990027,-3.12
SPE01505210,1.00525,0.277982,0,0.781282,1.00525,-4.78
SPE01505212,1.01229,0.655389,0,0.517184,1.01229,-5.52
SPE01505213,0.997934,-0.114589,0,0.763148,0.997934,-3.9
SPE01505222,1.00464,0.245281,0,0.810728,1.00464,-4.59
SPE01505230,0.99228,-0.418728,0,0.675512,0.99228,-3.18
SPE01505244,0.99331,-0.363711,0,0.718316,0.99331,-3.25
SPE01505245,0.974016,-1.39968,0,0.161639,0.974016,-1.09
SPE01505248,0.973094,-1.45022,0,0.210442,0.973094,-0.96
SPE01505249,1.00631,0.333981,0,0.732974,1.00631,-4.59
SPE01505256,1.01477,0.788417,0,0.449702,1.01477,-5.5
SPE01505261,1.00995,0.529996,0,0.606602,1.00995,-4.94
SPE01505262,0.957435,-2.2895,0,0.0350128,0.957435,0.86
SPE01505263,0.998813,-0.0682152,0,0.858322,0.998813,-3.65
SPE01505264,0.994063,-0.32333,0,0.750108,0.994063,-3.1
SPE01505314,0.979375,-1.11139,0,0.285468,0.979375,-1.48
SPE01500663,0.979636,-1.09795,0,0.272792,0.979636,-1.54
SPE01505215,1.00284,0.148867,0,0.858558,1.00284,-4.05
SPE01505267,0.96259,-2.01358,0,0.0453468,0.96259,0.37
SPE01505270,1.01175,0.626742,0,0.535508,1.01175,-5.04
SPE01505271,1.01017,0.541759,0,0.591156,1.01017,-4.87
SPE01505281,1.00804,0.427269,0,0.67096,1.00804,-4.66
