supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.933557,-2.96938,0,0.0137118,0.933557,5.26
SPE01500764,0.985801,-0.643704,0,0.521938,0.985801,-0.55
SPE01500779,1.01338,0.59096,0,0.56428,1.01338,-3.65
SPE01500833,1.00899,0.392331,0,0.695482,1.00899,-3.24
SPE01500867,0.998352,-0.0777741,0,0.673352,0.998352,-2.14
SPE01500872,0.969806,-1.35693,0,0.185563,0.969806,0.93
SPE01500901,0.961224,-1.73994,0,0.092842,0.961224,1.81
SPE01500906,1.01371,0.584016,0,0.298166,1.01371,-4.02
SPE01500525,1.01417,0.625535,0,0.538176,1.01417,-4.21
SPE01500984,0.963988,-1.62278,0,0.108883,0.963988,1.39
SPE01501017,1.01467,0.655556,0,0.587742,1.01467,-4.33
SPE01501126,1.02994,1.32407,0,0.200546,1.02994,-6.06
SPE01501130,0.986608,-0.600514,0,0.609812,0.986608,-1.35
SPE01501172,0.987396,-0.574928,0,0.566178,0.987396,-1.45
SPE01501181,0.959787,-1.81505,0,0.0984172,0.959787,1.6
SPE01501204,0.564421,-19.4919,0,0,0.564421,45.31
SPE01502103,1.00183,0.0697517,0,0.907876,1.00183,-3.12
SPE01502128,1.02935,1.30106,0,0.193882,1.02935,-6.18
SPE01502155,1.03895,1.72899,0,0.0862024,1.03895,-7.24
SPE01502237,0.988755,-0.509288,0,0.622316,0.988755,-1.69
SPE01502252,0.969321,-1.38593,0,0.179974,0.969321,0.48
SPE01503044,0.971982,-1.26437,0,0.207838,0.971982,0.2
SPE01503073,0.957227,-1.93466,0,0.130729,0.957227,1.84
SPE01505299,0.955032,-2.02264,0,0.0446526,0.955032,2.08
SPE01503253,0.0695268,-41.6171,0,0,0.0695268,100.03
SPE01503341,0.0760291,-41.3257,0,0,0.0760291,99.31
SPE01503626,1.02946,1.30833,0,0.193162,1.02946,-6.28
SPE01503636,1.02106,0.936476,0,0.380504,1.02106,-5.3
SPE01503722,0.980668,-0.88702,0,0.51644,0.980668,-0.92
SPE01503821,0.988598,-0.52592,0,0.624324,0.988598,-1.85
SPE01503904,0.938382,-2.76125,0,0.00745012,0.938382,3.66
SPE01503922,0.973248,-1.21761,0,0.341794,0.973248,-0.3
SPE01500699,1.00903,0.389399,0,0.705666,1.00903,-4.47
SPE01502234,1.0185,0.820676,0,0.42914,1.0185,-5.62
SPE01503982,1.03341,1.48131,0,0.141725,1.03341,-7.37
SPE01504002,0.11349,-39.6537,0,0,0.11349,95.08
SPE01504025,0.975343,-1.12061,0,0.324492,0.975343,-1.06
SPE01504142,0.980803,-0.8647,0,0.403736,0.980803,-1.76
SPE01504187,0.965007,-1.57831,0,0.123838,0.965007,-0.1
SPE01505265,0.964071,-1.61471,0,0.109413,0.964071,0.63
SPE01504269,1.00733,0.320292,0,0.75328,1.00733,-5.05
SPE01504272,0.996804,-0.153419,0,0.878068,0.996804,-3.76
SPE01504410,1.01315,0.584552,0,0.599882,1.01315,-5.8
SPE01504604,1.01479,0.649677,0,0.517072,1.01479,-6.05
SPE01505200,1.00025,0.000778829,0,0.994502,1.00025,-4.47
SPE01505201,0.971573,-1.28483,0,0.210886,0.971573,-1.28
SPE01505203,0.969323,-1.37355,0,0.23332,0.969323,-1.06
SPE01505205,0.965305,-1.57603,0,0.275554,0.965305,-0.6
SPE01505209,0.986006,-0.642205,0,0.554062,0.986006,-2.94
SPE01505210,1.01069,0.4651,0,0.64527,1.01069,-5.73
SPE01505212,1.01923,0.845271,0,0.414286,1.01923,-6.7
SPE01505213,1.02355,1.04694,0,0.317084,1.02355,-7.2
SPE01505222,0.999391,-0.0391987,0,0.920376,0.999391,-4.5
SPE01505230,0.978736,-0.951822,0,0.42681,0.978736,-2.19
SPE01505244,0.978299,-0.979575,0,0.328506,0.978299,-2.16
SPE01505245,0.962814,-1.67323,0,0.0943664,0.962814,-0.44
SPE01505248,0.961967,-1.71758,0,0.117778,0.961967,-0.37
SPE01505249,1.01311,0.572671,0,0.574982,1.01311,-6.14
SPE01505256,1.00169,0.0624422,0,0.853868,1.00169,-4.88
SPE01505261,1.01493,0.663181,0,0.541094,1.01493,-6.4
SPE01505262,1.01242,0.537683,0,0.629078,1.01242,-6.14
SPE01505263,0.98749,-0.56862,0,0.570704,0.98749,-3.38
SPE01505264,0.969393,-1.37811,0,0.168571,0.969393,-1.39
