supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.954859,-1.85322,0,0.06664,0.954859,-1.08
SPE01500764,1.00928,0.373461,0,0.563838,1.00928,-7.36
SPE01500779,1.00536,0.217195,0,0.82507,1.00536,-7.02
SPE01500833,1.01684,0.687125,0,0.495022,1.01684,-8.44
SPE01500867,0.990637,-0.38799,0,0.69912,0.990637,-5.58
SPE01500872,0.986278,-0.565366,0,0.577274,0.986278,-5.19
SPE01500901,0.981717,-0.755614,0,0.50054,0.981717,-4.8
SPE01500906,0.988676,-0.466301,0,0.657732,0.988676,-5.67
SPE01500525,1.01981,0.806665,0,0.43449,1.01981,-9.44
SPE01500984,0.976057,-0.984948,0,0.324942,0.976057,-4.34
SPE01501017,1.01014,0.412482,0,0.682492,1.01014,-8.42
SPE01501126,1.01491,0.607287,0,0.543866,1.01491,-9.06
SPE01501130,0.996987,-0.127308,0,0.898698,0.996987,-7.09
SPE01501172,0.989411,-0.440654,0,0.608498,0.989411,-6.29
SPE01501181,0.984361,-0.645672,0,0.524872,0.984361,-5.75
SPE01501204,0.795013,-8.40664,0,1.59064e-16,0.795013,15.9
SPE01502103,0.973988,-1.06805,0,0.318912,0.973988,-4.62
SPE01502128,1.01415,0.576762,0,0.568982,1.01415,-9.24
SPE01502155,1.01911,0.77834,0,0.444514,1.01911,-9.83
SPE01502237,1.00215,0.0850329,0,0.899124,1.00215,-7.88
SPE01502252,0.995214,-0.200526,0,0.842012,0.995214,-7.09
SPE01503044,0.976048,-0.987347,0,0.355242,0.976048,-4.91
SPE01503073,0.943013,-2.33795,0,0.0250582,0.943013,-1.12
SPE01505299,0.987048,-0.537386,0,0.640902,0.987048,-6.13
SPE01503253,0.0602456,-38.5217,0,0,0.0602456,100.02
SPE01503341,0.0646235,-38.3421,0,0,0.0646235,99.51
SPE01503626,1.01999,0.816506,0,0.425578,1.01999,-10.07
SPE01503636,1.00887,0.360214,0,0.71909,1.00887,-8.77
SPE01503722,0.719712,-11.4837,0,2.03476e-23,0.719712,24.41
SPE01503821,0.995919,-0.171337,0,0.864142,0.995919,-7.31
SPE01503904,0.845253,-6.3495,0,5.63944e-09,0.845253,9.97
SPE01503922,0.940137,-2.45789,0,0.0145292,0.940137,-0.89
SPE01500699,1.01233,0.501995,0,0.61655,1.01233,-9.17
SPE01502234,1.02184,0.892327,0,0.381132,1.02184,-10.27
SPE01503982,1.01862,0.758784,0,0.45207,1.01862,-9.92
SPE01504002,0.350814,-26.6083,0,0,0.350814,66.71
SPE01504025,0.989781,-0.422698,0,0.672524,0.989781,-6.59
SPE01504142,0.976395,-0.973161,0,0.363466,0.976395,-5.06
SPE01504187,0.943157,-2.3327,0,0.0214826,0.943157,-1.23
SPE01505265,0.97691,-0.949998,0,0.342458,0.97691,-5.11
SPE01504269,1.00288,0.113411,0,0.87358,1.00288,-8.11
SPE01504272,0.981019,-0.781363,0,0.435912,0.981019,-5.59
SPE01504410,1.01507,0.612122,0,0.56437,1.01507,-9.53
SPE01504604,1.0176,0.719132,0,0.498562,1.0176,-9.82
SPE01505200,0.987661,-0.510505,0,0.616324,0.987661,-6.42
SPE01505201,1.00333,0.132376,0,0.894776,1.00333,-8.24
SPE01505203,0.982617,-0.717843,0,0.493502,0.982617,-5.91
SPE01505205,0.944862,-2.26705,0,0.0561034,0.944862,-1.63
SPE01505209,0.986666,-0.549211,0,0.592028,0.986666,-6.45
SPE01505210,1.00932,0.376186,0,0.724336,1.00932,-9.14
SPE01505212,1.01425,0.579994,0,0.561934,1.01425,-9.77
SPE01505213,0.982228,-0.732427,0,0.464248,0.982228,-6.16
SPE01505222,1.01972,0.806359,0,0.448458,1.01972,-10.54
SPE01505230,0.998866,-0.0488858,0,0.782612,0.998866,-8.2
SPE01505244,0.974131,-1.06558,0,0.306868,0.974131,-5.43
SPE01505245,0.915626,-3.45894,0,0.0021409,0.915626,1.29
SPE01505248,0.976787,-0.955182,0,0.339508,0.976787,-5.84
SPE01505249,0.993123,-0.286944,0,0.780944,0.993123,-7.78
SPE01505256,1.00907,0.367712,0,0.71349,1.00907,-9.65
SPE01505261,1.02247,0.91669,0,0.359964,1.02247,-11.22
SPE01505262,1.03717,1.52048,0,0.132119,1.03717,-12.92
SPE01505263,0.999043,-0.0421704,0,0.861734,0.999043,-8.5
SPE01505264,0.985364,-0.603674,0,0.54606,0.985364,-6.88
SPE01505314,0.937509,-2.5645,0,0.0107858,0.937509,-1.29
SPE01500663,0.945833,-2.2226,0,0.0311474,0.945833,-1.2
SPE01505215,1.00666,0.26847,0,0.790148,1.00666,-9.1
SPE01505267,0.948004,-2.13338,0,0.040918,0.948004,-2.42
SPE01505270,1.03652,1.49408,0,0.142457,1.03652,-12.42
SPE01505271,0.996814,-0.135431,0,0.841026,0.996814,-7.73
SPE01505281,1.02157,0.881786,0,0.404686,1.02157,-10.41
SPE01505294,0.999823,-0.0101727,0,0.860196,0.999823,-7.75
SPE01505296,0.983334,-0.68855,0,0.514188,0.983334,-5.7
SPE01500523,0.946582,-2.1953,0,0.0421076,0.946582,0.21
SPE01505304,0.957013,-1.76293,0,0.121333,0.957013,-2.28
SPE01505305,0.995159,-0.201313,0,0.843004,0.995159,-6.44
SPE01505306,1.01371,0.557072,0,0.583352,1.01371,-8.36
SPE01505308,1.11216,4.59329,0,4.49476e-06,1.11216,-19.33
SPE01505309,0.0715685,-38.0584,0,0,0.0715685,98.81
SPE01505310,1.01736,0.708033,0,0.48026,1.01736,-8.16
SPE01505312,0.993644,-0.265121,0,0.793338,0.993644,-5.28
SPE01500101,1.0183,0.747445,0,0.464358,1.0183,-6.29
SPE01500391,0.997132,-0.121018,0,0.903882,0.997132,-4.2
SPE01500408,0.972564,-1.12888,0,0.262142,0.972564,-0.95
SPE01500497,1.00426,0.170465,0,0.864692,1.00426,-5.13
SPE01500532,0.93511,-2.66224,0,0.00936494,0.93511,2.32
SPE01500556,1.01977,0.806831,0,0.420536,1.01977,-6.59
