supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.975111,-1.3093,0,0.194421,0.975111,-0.44
SPE01500764,0.998891,-0.0570113,0,0.704804,0.998891,-3.16
SPE01500779,1.00511,0.266954,0,0.790272,1.00511,-3.94
SPE01500833,1.00902,0.471958,0,0.642604,1.00902,-4.48
SPE01500867,0.995416,-0.241839,0,0.808938,0.995416,-3.09
SPE01500872,0.988337,-0.613878,0,0.539552,0.988337,-2.41
SPE01500901,0.976575,-1.23394,0,0.254208,0.976575,-1.22
SPE01500906,1.00473,0.246407,0,0.811072,1.00473,-4.42
SPE01500525,1.01585,0.831985,0,0.405474,1.01585,-5.86
SPE01500984,0.975832,-1.26771,0,0.264714,0.975832,-1.33
SPE01501017,0.998258,-0.0913475,0,0.85104,0.998258,-4.01
SPE01501126,1.0082,0.432984,0,0.62032,1.0082,-5.2
SPE01501130,0.997909,-0.111991,0,0.832706,0.997909,-4.15
SPE01501172,0.988198,-0.621119,0,0.534676,0.988198,-3.14
SPE01501181,0.986167,-0.726938,0,0.470882,0.986167,-2.98
SPE01501204,0.675208,-17.0724,0,0,0.675208,31.51
SPE01502103,0.998427,-0.0830677,0,0.934016,0.998427,-4.5
SPE01502128,1.01992,1.04708,0,0.314644,1.01992,-6.94
SPE01502155,1.00987,0.519489,0,0.621124,1.00987,-5.87
SPE01502237,0.99471,-0.278879,0,0.78034,0.99471,-4.23
SPE01502252,0.994886,-0.271785,0,0.709346,0.994886,-4.28
SPE01503044,0.989915,-0.533676,0,0.639858,0.989915,-3.76
SPE01503073,0.975669,-1.27922,0,0.200838,0.975669,-2.21
SPE01505299,0.978792,-1.11361,0,0.282672,0.978792,-2.27
SPE01503253,0.058844,-49.4506,0,0,0.058844,99.95
SPE01503341,0.0622024,-49.2739,0,0,0.0622024,99.57
SPE01503626,1.01587,0.834686,0,0.42531,1.01587,-6.89
SPE01503636,1.01457,0.764717,0,0.444446,1.01457,-6.71
SPE01503722,0.93377,-3.48349,0,0.00147509,0.93377,2.24
SPE01503821,0.99722,-0.146898,0,0.883218,0.99722,-4.87
SPE01503904,0.751554,-13.0563,0,3.76352e-37,0.751554,22.56
SPE01503922,0.973477,-1.39328,0,0.172244,0.973477,-2.26
SPE01500699,1.01721,0.903784,0,0.369398,1.01721,-7.23
SPE01502234,1.0134,0.702135,0,0.491418,1.0134,-6.85
SPE01503982,1.01895,0.995123,0,0.32297,1.01895,-7.49
SPE01504002,0.607781,-20.6004,0,0,0.607781,38.51
SPE01504025,0.995567,-0.233488,0,0.815656,0.995567,-4.88
SPE01504142,0.979566,-1.07512,0,0.284922,0.979566,-3.08
SPE01504187,0.971085,-1.52013,0,0.128487,0.971085,-2.12
SPE01505265,0.979298,-1.09147,0,0.335554,0.979298,-2.95
SPE01504269,1.00921,0.485677,0,0.66331,1.00921,-6.36
SPE01504272,0.993606,-0.337532,0,0.737456,0.993606,-4.63
SPE01504410,1.01741,0.915034,0,0.372732,1.01741,-7.26
SPE01504604,1.01559,0.818168,0,0.413302,1.01559,-7.02
SPE01505200,0.989548,-0.54952,0,0.584358,0.989548,-4.06
SPE01505201,0.988028,-0.629272,0,0.53179,0.988028,-3.83
SPE01505203,0.970447,-1.55691,0,0.179911,0.970447,-1.81
SPE01505205,0.9868,-0.693667,0,0.491546,0.9868,-3.58
SPE01505209,0.989624,-0.544489,0,0.60033,0.989624,-3.83
SPE01505210,1.00383,0.200577,0,0.841032,1.00383,-5.37
SPE01505212,1.01642,0.863551,0,0.408108,1.01642,-6.72
SPE01505213,1.02213,1.16582,0,0.35262,1.02213,-7.31
SPE01505222,1.00158,0.0796818,0,0.652792,1.00158,-4.99
SPE01505230,0.982287,-0.933793,0,0.387152,0.982287,-2.8
SPE01505244,0.974577,-1.33943,0,0.231828,0.974577,-1.92
SPE01505245,0.965983,-1.79159,0,0.125418,0.965983,-0.94
SPE01505248,0.973717,-1.38242,0,0.169511,0.973717,-1.79
SPE01505249,1.02168,1.14094,0,0.304078,1.02168,-7.12
SPE01505256,1.0076,0.39708,0,0.697738,1.0076,-5.57
SPE01505261,1.01633,0.855581,0,0.412752,1.01633,-6.55
SPE01505262,0.968381,-1.66707,0,0.216268,0.968381,-1.23
SPE01505263,0.993195,-0.355653,0,0.644446,0.993195,-4.02
SPE01505264,0.986249,-0.721648,0,0.490406,0.986249,-3.28
SPE01505314,0.983071,-0.888337,0,0.403522,0.983071,-2.96
SPE01500663,0.981305,-0.982404,0,0.329822,0.981305,-2.65
SPE01505215,1.01788,0.940244,0,0.364064,1.01788,-6.89
SPE01505267,0.964717,-1.85523,0,0.0648012,0.964717,-0.95
SPE01505270,1.01312,0.688352,0,0.491644,1.01312,-6.35
SPE01505271,1.00825,0.431285,0,0.673576,1.00825,-5.79
SPE01505281,1.01199,0.628277,0,0.534268,1.01199,-6.19
SPE01505294,0.992093,-0.415831,0,0.67872,0.992093,-3.94
SPE01505296,0.987939,-0.631873,0,0.57201,0.987939,-3.43
SPE01500523,0.983712,-0.855457,0,0.40299,0.983712,-2.44
SPE01505304,0.974701,-1.33087,0,0.187476,0.974701,-1.86
SPE01505305,1.00301,0.156476,0,0.873008,1.00301,-4.95
SPE01505306,1.0199,1.04621,0,0.314498,1.0199,-6.77
SPE01505308,1.07429,3.89903,0,0.000444942,1.07429,-12.75
SPE01505309,0.0660059,-49.0742,0,0,0.0660059,99.19
SPE01505310,1.00143,0.0741085,0,0.940932,1.00143,-4.53
SPE01505312,0.992056,-0.419641,0,0.683198,0.992056,-3.43
SPE01500101,1.01429,0.749011,0,0.460586,1.01429,-4.18
SPE01500391,1.00299,0.157108,0,0.851286,1.00299,-3.26
SPE01500408,0.970138,-1.57305,0,0.172303,0.970138,0.96
SPE01500497,1.00283,0.148796,0,0.855022,1.00283,-3.41
SPE01500532,0.97406,-1.36377,0,0.172645,0.97406,-0.57
SPE01500556,1.01862,0.978399,0,0.337228,1.01862,-4.81
SPE01503242,0.962919,-1.94648,0,0.0778344,0.962919,1.59
SPE01504184,0.989444,-0.554958,0,0.580626,0.989444,-2.1
SPE01500322,0.972937,-1.42508,0,0.187355,0.972937,-0.6
SPE01500395,0.999794,-0.0118059,0,0.990582,0.999794,-4.13
SPE01500434,1.00391,0.205227,0,0.83813,1.00391,-4.32
SPE01500450,0.965732,-1.80089,0,0.0724966,0.965732,-0.45
SPE01500536,1.01097,0.5755,0,0.564954,1.01097,-4.95
SPE01502013,0.985919,-0.737502,0,0.527788,0.985919,-2.76
SPE01503223,0.146487,-44.846,0,0,0.146487,90.34
SPE01503816,1.02329,1.22344,0,0.223266,1.02329,-6.61
SPE00330082,0.981856,-0.953614,0,0.342728,0.981856,-2.77
SPE01500102,1.02029,1.06447,0,0.288342,1.02029,-6.83
SPE01500168,1.01783,0.935758,0,0.350016,1.01783,-6.61
SPE01500399,0.999682,-0.0177557,0,0.977622,0.999682,-4.63
SPE01500467,0.993446,-0.343313,0,0.746082,0.993446,-3.97
SPE01500538,0.999668,-0.0182195,0,0.981408,0.999668,-4.48
SPE01500548,0.968921,-1.63609,0,0.130284,0.968921,-1
SPE01500566,0.988233,-0.617947,0,0.54539,0.988233,-3.43
SPE00330002,0.984127,-0.83392,0,0.411174,0.984127,-3.55
SPE01500135,0.993538,-0.341958,0,0.741766,0.993538,-4.2
SPE01500404,1.001,0.0510449,0,0.93749,1.001,-5.25
