supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.763591,-4.25835,0,2.20248e-05,0.763591,21.5
SPE01500764,0.990037,-0.198962,0,0.734312,0.990037,-5.76
SPE01500779,0.968715,-0.562725,0,0.576686,0.968715,-3.51
SPE01500833,1.04462,0.814583,0,0.446568,1.04462,-12.9
SPE01500867,0.974004,-0.489895,0,0.650632,0.974004,-4.99
SPE01500872,0.969656,-0.533774,0,0.623044,0.969656,-4.68
SPE01500901,1.00194,0.028925,0,0.975158,1.00194,-9.01
SPE01500906,0.807382,-3.47407,0,0.000513432,0.807382,14.16
SPE01500525,1.03537,0.636662,0,0.526632,1.03537,-14.07
SPE01500984,0.935327,-1.16331,0,0.249448,0.935327,-1.6
SPE01501017,0.994378,-0.10886,0,0.913506,0.994378,-9.44
SPE01501126,1.04988,0.902329,0,0.377216,1.04988,-16.49
SPE01501130,0.980029,-0.373277,0,0.714872,0.980029,-8.35
SPE01501172,1.11101,2.01392,0,0.0666098,1.11101,-24.47
SPE01501181,0.974669,-0.467527,0,0.644092,0.974669,-7.95
SPE01501204,0.29426,-12.7281,0,1.479e-35,0.29426,75.52
SPE01502103,0.803799,-3.56383,0,0.00156351,0.803799,12.83
SPE01502128,1.06911,1.22937,0,0.232618,1.06911,-19.74
SPE01502155,1.03918,0.703627,0,0.482592,1.03918,-16.01
SPE01502237,1.00838,0.150399,0,0.881056,1.00838,-12.2
SPE01502252,0.967218,-0.602965,0,0.553288,0.967218,-7.15
SPE01503044,0.96175,-0.68598,0,0.499478,0.96175,-6.37
SPE01503073,0.941425,-1.05344,0,0.29709,0.941425,-3.87
SPE01505299,0.8367,-2.96399,0,0.00604058,0.8367,8.83
SPE01503253,0.0944858,-16.3394,0,0,0.0944858,100.01
SPE01503341,0.103719,-16.1733,0,0,0.103719,98.86
SPE01503626,1.0832,1.48335,0,0.149071,1.0832,-21.8
SPE01503636,1.00236,0.0173653,0,0.632514,1.00236,-11.75
SPE01503722,0.746059,-4.57655,0,4.7649e-06,0.746059,19.72
SPE01503821,1.02449,0.438096,0,0.661638,1.02449,-14.69
SPE01503904,0.505695,-8.90172,0,8.04322e-19,0.505695,49.33
SPE01503922,0.891539,-1.95484,0,0.0512,0.891539,1.62
SPE01500699,1.00079,-0.00234634,0,0.782588,1.00079,-12.21
SPE01502234,1.07666,1.38465,0,0.175527,1.07666,-21.67
SPE01503982,1.05277,0.948206,0,0.344,1.05277,-18.92
SPE01504002,0.169368,-14.9848,0,0,0.169368,90.59
SPE01504025,1.02266,0.412996,0,0.687232,1.02266,-15.56
SPE01504142,0.950772,-0.890577,0,0.373214,0.950772,-6.86
SPE01504187,0.866282,-2.40539,0,0.0177362,0.866282,3.53
SPE01505265,0.963128,-0.659776,0,0.51862,0.963128,-7.3
SPE01504269,0.987675,-0.222073,0,0.82527,0.987675,-11.89
SPE01504272,0.896273,-1.87768,0,0.0621926,0.896273,-0.43
SPE01504410,1.03046,0.535554,0,0.599104,1.03046,-17.28
SPE01504604,1.10572,1.91357,0,0.070039,1.10572,-26.44
SPE01505200,1.03525,0.624436,0,0.535832,1.03525,-17.51
SPE01505201,1.00274,0.0534434,0,0.835862,1.00274,-13.14
SPE01505203,0.801406,-3.57365,0,0.000425028,0.801406,12.11
SPE01505205,1.0117,0.222623,0,0.70282,1.0117,-13.75
SPE01505209,0.997006,-0.0483868,0,0.809912,0.997006,-11.6
SPE01505210,0.990728,-0.192453,0,0.634226,0.990728,-10.49
SPE01505212,1.04687,0.83445,0,0.407072,1.04687,-16.71
SPE01505213,0.975187,-0.475034,0,0.623884,0.975187,-7.32
SPE01505222,0.9763,-0.443003,0,0.669098,0.9763,-6.65
SPE01505230,0.990592,-0.172535,0,0.863116,0.990592,-7.54
SPE01505244,0.980183,-0.337198,0,0.589312,0.980183,-5.44
SPE01505245,0.939671,-1.08286,0,0.287874,0.939671,-0.05
SPE01505248,0.770809,-4.14427,0,6.20094e-05,0.770809,20.37
SPE01505249,1.19608,3.51856,0,0.00052731,1.19608,-29.47
SPE01505256,0.960504,-0.714217,0,0.475472,0.960504,-1.26
SPE01505261,0.953833,-0.830566,0,0.41017,0.953833,-0.14
SPE01505262,0.348047,-11.771,0,3.0188e-29,0.348047,70.9
SPE01505263,1.02593,0.459745,0,0.646244,1.02593,-8.09
SPE01505264,0.896209,-1.89704,0,0.0952698,0.896209,7.1
SPE01505314,0.946571,-0.976135,0,0.340204,0.946571,1.28
SPE01500663,0.935155,-1.15061,0,0.309586,0.935155,0.94
SPE01505215,1.04545,0.794558,0,0.471538,1.04545,-10.66
SPE01505267,0.951875,-0.87712,0,0.384698,0.951875,0.56
SPE01505270,1.05656,1.02226,0,0.316088,1.05656,-12.24
SPE01505271,0.998634,-0.0319063,0,0.952442,0.998634,-5.88
SPE01505281,0.991478,-0.148172,0,0.81602,0.991478,-5.31
SPE01505294,0.864318,-2.44417,0,0.0149346,0.864318,9.5
SPE01505296,1.00281,0.0612973,0,0.7177,1.00281,-6.98
SPE01500523,0.94108,-1.07048,0,0.287298,0.94108,-0.82
SPE01505304,0.970387,-0.546002,0,0.591554,0.970387,-3.47
SPE01505305,1.0427,0.780174,0,0.466448,1.0427,-12.08
SPE01505306,1.04583,0.811659,0,0.426942,1.04583,-12.69
SPE01505308,1.14545,2.62338,0,0.0101655,1.14545,-24.61
SPE01505309,0.0984971,-16.2671,0,0,0.0984971,99.88
SPE01505310,1.02911,0.512491,0,0.612956,1.02911,-11.11
SPE01505312,0.895309,-1.8887,0,0.059052,0.895309,4.78
SPE01500101,1.02206,0.396134,0,0.693064,1.02206,-6.66
SPE01500391,1.01879,0.332596,0,0.739504,1.01879,-6.26
SPE01500408,0.976017,-0.448899,0,0.66655,0.976017,-1.37
SPE01500497,1.00867,0.150815,0,0.880134,1.00867,-5.1
SPE01500532,0.962894,-0.651209,0,0.566366,0.962894,0.12
SPE01500556,1.03826,0.679206,0,0.499906,1.03826,-8.52
SPE01503242,0.969496,-0.550178,0,0.583752,0.969496,-0.59
SPE01504184,1.00668,0.126387,0,0.802234,1.00668,-4.91
SPE01500322,0.922003,-1.41517,0,0.160906,0.922003,4.83
SPE01500395,1.00274,0.0373688,0,0.86731,1.00274,-4.73
SPE01500434,0.972016,-0.508199,0,0.611338,0.972016,-1.12
SPE01500450,0.95093,-0.895536,0,0.377128,0.95093,1.15
SPE01500536,1.05398,0.960156,0,0.343692,1.05398,-10.58
SPE01502013,0.834826,-2.9978,0,0.00549542,0.834826,14.54
SPE01503223,0.250914,-13.5252,0,8.14784e-38,0.250914,82.68
SPE01503816,0.920542,-1.42915,0,0.157682,0.920542,4.83
SPE00330082,0.789482,-3.79087,0,0.000165229,0.789482,16.84
SPE01500102,1.00449,0.104331,0,0.511112,1.00449,-6.72
SPE01500168,1.07303,1.30192,0,0.201636,1.07303,-15.37
SPE01500399,1.00792,0.142144,0,0.887516,1.00792,-8.15
SPE01500467,1.00514,0.103627,0,0.71391,1.00514,-8.33
SPE01500538,1.00641,0.100335,0,0.811084,1.00641,-6.48
SPE01500548,0.970033,-0.558765,0,0.59731,0.970033,-1.8
SPE01500566,0.971227,-0.525429,0,0.599928,0.971227,-4.72
SPE00330002,1.00412,0.0520416,0,0.685796,1.00412,-10.16
SPE01500135,0.976214,-0.439829,0,0.663986,0.976214,-6.24
SPE01500404,1.02549,0.474029,0,0.670122,1.02549,-12.66
SPE01500502,1.00192,0.0325854,0,0.949352,1.00192,-9.86
SPE01500504,0.982834,-0.317872,0,0.751626,0.982834,-6.79
SPE01500551,1.0083,0.132013,0,0.768356,1.0083,-10.33
SPE01500578,1.03773,0.685895,0,0.50747,1.03773,-14.05
SPE01500592,0.848898,-2.71078,0,0.0102478,0.848898,8.76
SPE01500264,1.02386,0.414315,0,0.687756,1.02386,-12.21
SPE01500300,1.00828,0.168837,0,0.573366,1.00828,-10.11
SPE01500381,0.718412,-5.07966,0,4.25228e-07,0.718412,25.38
SPE01500503,1.01364,0.255632,0,0.736878,1.01364,-10.51
SPE01500539,0.967564,-0.590962,0,0.555026,0.967564,-5.63
SPE01500553,1.03103,0.571038,0,0.59739,1.03103,-13.24
SPE01501188,0.103414,-16.1805,0,0,0.103414,99.6
SPE01503923,0.784288,-3.89754,0,0.000127428,0.784288,16.62
SPE01500115,0.976608,-0.416487,0,0.684498,0.976608,-4.21
SPE01500284,0.964649,-0.636513,0,0.527094,0.964649,-3.46
SPE01500354,1.05085,0.91656,0,0.363548,1.05085,-13.59
SPE01500483,1.00261,0.046997,0,0.911694,1.00261,-7.65
SPE01500507,0.965306,-0.627807,0,0.530464,0.965306,-3.02
SPE01500668,0.97974,-0.36595,0,0.715398,0.97974,-4.42
SPE01502113,1.0281,0.492614,0,0.629374,1.0281,-11.24
SPE01503422,0.503412,-8.94233,0,6.03944e-19,0.503412,51.55
SPE01500137,0.995853,-0.0811268,0,0.935392,0.995853,-6.19
SPE01500216,0.953546,-0.846034,0,0.40043,0.953546,-0.88
SPE01500267,1.06638,1.18767,0,0.236054,1.06638,-14.08
SPE01500364,0.956675,-0.786464,0,0.431884,0.956675,-0.47
SPE01500518,1.02494,0.442856,0,0.658076,1.02494,-8.86
SPE01500521,0.728468,-4.91016,0,2.83358e-06,0.728468,26.24
SPE01500541,1.02289,0.402136,0,0.68984,1.02289,-9.24
SPE02300241,0.99609,-0.0791391,0,0.926094,0.99609,-5.62
SPE01500110,1.02888,0.519639,0,0.60511,1.02888,-8.57
SPE01500244,0.727676,-4.93029,0,4.82216e-06,0.727676,26.88
SPE01500276,0.873486,-2.29732,0,0.0290886,0.873486,9.96
SPE01500489,1.01256,0.226458,0,0.822044,1.01256,-6.18
SPE01500499,1.02407,0.399436,0,0.527006,1.02407,-7.41
SPE01500510,0.99771,-0.0534288,0,0.862064,0.99771,-4.31
SPE01500605,0.945334,-0.981091,0,0.33515,0.945334,1.76
