supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.984406,-0.787964,0,0.443282,0.984406,-1.18
SPE01500764,0.996523,-0.179275,0,0.858916,0.996523,-2.57
SPE01500779,1.00407,0.199026,0,0.84371,1.00407,-3.45
SPE01500833,1.00886,0.443668,0,0.665064,1.00886,-4.04
SPE01500867,1.00135,0.0642418,0,0.948778,1.00135,-3.29
SPE01500872,0.979745,-1.02591,0,0.37687,0.979745,-0.98
SPE01500901,0.98017,-1.00168,0,0.344232,0.98017,-1.1
SPE01500906,0.996617,-0.172928,0,0.862716,0.996617,-2.97
SPE01500525,1.01166,0.579867,0,0.564318,1.01166,-4.76
SPE01500984,0.977493,-1.14112,0,0.372636,0.977493,-0.94
SPE01501017,1.00372,0.18551,0,0.854724,1.00372,-3.96
SPE01501126,1.02412,1.22874,0,0.306606,1.02412,-6.28
SPE01501130,0.992105,-0.399763,0,0.689862,0.992105,-2.81
SPE01501172,0.984264,-0.793448,0,0.43047,0.984264,-2
SPE01501181,0.978517,-1.08667,0,0.335036,0.978517,-1.4
SPE01501204,0.814898,-9.28462,0,1.82549e-19,0.814898,16.59
SPE01502103,1.0049,0.240611,0,0.811654,1.0049,-4.42
SPE01502128,1.02262,1.13012,0,0.258466,1.02262,-6.41
SPE01502155,1.02056,1.02521,0,0.310878,1.02056,-6.21
SPE01502237,0.997029,-0.150408,0,0.88146,0.997029,-3.65
SPE01502252,0.990553,-0.48284,0,0.66279,0.990553,-2.96
SPE01503044,0.952149,-2.40174,0,0.0163408,0.952149,1.25
SPE01503073,0.958981,-2.05872,0,0.0395826,0.958981,0.47
SPE01505299,0.986639,-0.677515,0,0.523162,0.986639,-2.37
SPE01503253,0.0593984,-47.1538,0,0,0.0593984,99.82
SPE01503341,0.0614617,-47.049,0,0,0.0614617,99.59
SPE01503626,1.01368,0.676419,0,0.53879,1.01368,-5.65
SPE01503636,1.01528,0.761857,0,0.446452,1.01528,-5.82
SPE01503722,0.906263,-4.70036,0,2.69564e-06,0.906263,6.22
SPE01503821,0.993157,-0.346964,0,0.729026,0.993157,-3.38
SPE01503904,0.859297,-7.05794,0,4.25456e-12,0.859297,11.4
SPE01503922,0.947974,-2.59801,0,0.0492946,0.947974,1.56
SPE01500699,1.01688,0.842707,0,0.399424,1.01688,-6.15
SPE01502234,1.0208,1.03043,0,0.40324,1.0208,-6.62
SPE01503982,1.01652,0.823544,0,0.411382,1.01652,-6.18
SPE01504002,0.680418,-16.0176,0,0,0.680418,31.03
SPE01504025,0.993891,-0.305287,0,0.768828,0.993891,-3.68
SPE01504142,0.964491,-1.78445,0,0.0763306,0.964491,-0.42
SPE01504187,0.961244,-1.94911,0,0.0590764,0.961244,-0.05
SPE01505265,0.976944,-1.16429,0,0.28293,0.976944,-1.68
SPE01504269,1.01004,0.499495,0,0.61781,1.01004,-5.45
SPE01504272,0.992858,-0.367379,0,0.667194,0.992858,-3.54
SPE01504410,1.01403,0.69989,0,0.484018,1.01403,-5.89
SPE01504604,1.01345,0.673151,0,0.50667,1.01345,-5.83
SPE01505200,0.992222,-0.395948,0,0.698632,0.992222,-3.48
