supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.957864,-1.42943,0,0.152886,0.957864,3.92
SPE01500764,1.00266,0.253066,0,0.801358,1.00266,-0.92
SPE01500779,1.00035,0.161679,0,0.871756,1.00035,-0.74
SPE01500833,1.00402,0.311849,0,0.718496,1.00402,-1.18
SPE01500867,0.995636,-0.0220372,0,0.766934,0.995636,-0.36
SPE01500872,0.999428,0.127201,0,0.898912,0.999428,-0.81
SPE01500901,0.981039,-0.559106,0,0.576594,0.981039,1.11
SPE01500906,0.843788,-5.70757,0,1.28226e-08,0.843788,15.77
SPE01500525,1.02019,0.910187,0,0.365516,1.02019,-3.21
SPE01500984,0.987983,-0.297042,0,0.767898,0.987983,0.28
SPE01501017,1.01524,0.721185,0,0.470798,1.01524,-2.72
SPE01501126,1.0227,0.996736,0,0.323762,1.0227,-3.57
SPE01501130,1.00075,0.17637,0,0.860272,1.00075,-1.25
SPE01501172,0.989387,-0.242922,0,0.81063,0.989387,-0.04
SPE01501181,0.975572,-0.768959,0,0.445092,0.975572,1.43
SPE01501204,0.77197,-8.4033,0,1.34557e-16,0.77197,23.28
SPE01502103,0.963091,-1.24567,0,0.253486,0.963091,2.75
SPE01502128,1.02796,1.19821,0,0.230836,1.02796,-4.21
SPE01502155,1.02584,1.12498,0,0.271506,1.02584,-3.98
SPE01502237,0.993381,-0.0990485,0,0.92115,0.993381,-0.51
SPE01502252,1.00279,0.253731,0,0.799804,1.00279,-1.55
SPE01503044,0.982441,-0.510136,0,0.610888,0.982441,0.58
SPE01503073,0.977007,-0.703895,0,0.49738,0.977007,1.08
SPE01505299,0.983092,-0.488043,0,0.629482,0.983092,0.61
SPE01503253,0.05807,-35.1853,0,0,0.05807,99.88
SPE01503341,0.059395,-35.1357,0,0,0.059395,99.73
SPE01503626,1.01633,0.764048,0,0.445632,1.01633,-3.59
SPE01503636,1.02054,0.918169,0,0.359422,1.02054,-3.95
SPE01503722,0.872979,-4.60654,0,5.2166e-06,0.872979,11.84
SPE01503821,0.990229,-0.216572,0,0.82856,0.990229,-0.89
SPE01503904,0.662305,-12.5188,0,3.46948e-34,0.662305,34.52
SPE01503922,0.982436,-0.51085,0,0.610918,0.982436,-0.16
SPE01500699,1.02508,1.08412,0,0.28832,1.02508,-4.94
SPE01502234,1.02326,1.0217,0,0.306936,1.02326,-4.8
SPE01503982,1.00745,0.427729,0,0.669282,1.00745,-3.12
SPE01504002,0.617703,-14.1165,0,3.78244e-33,0.617703,39.22
SPE01504025,0.988403,-0.290675,0,0.776174,0.988403,-1.06
SPE01504142,0.983542,-0.471515,0,0.641766,0.983542,-0.51
SPE01504187,0.982299,-0.511288,0,0.6101,0.982299,-0.35
SPE01505265,1.00798,0.450405,0,0.652656,1.00798,-3
SPE01504269,1.01982,0.897779,0,0.375646,1.01982,-4.34
SPE01504272,1.0006,0.176478,0,0.861114,1.0006,-2.31
SPE01504410,1.0212,0.951791,0,0.355784,1.0212,-4.43
SPE01504604,1.01495,0.716159,0,0.482048,1.01495,-3.68
SPE01505200,0.981712,-0.545847,0,0.60899,0.981712,-0.02
SPE01505201,0.987348,-0.31907,0,0.753364,0.987348,-0.53
SPE01505203,0.967059,-1.09488,0,0.303208,0.967059,1.72
SPE01505205,0.993285,-0.0988681,0,0.921596,0.993285,-1.03
SPE01505209,1.0132,0.651793,0,0.526816,1.0132,-3.09
SPE01505210,1.0022,0.229156,0,0.820018,1.0022,-1.84
SPE01505212,1.01865,0.842776,0,0.410522,1.01865,-3.54
SPE01505213,0.995926,-0.00386234,0,0.965248,0.995926,-1.02
SPE01505222,0.988718,-0.273257,0,0.784686,0.988718,-0.19
SPE01505230,0.987336,-0.33126,0,0.74701,0.987336,0
SPE01505244,0.989139,-0.259215,0,0.796062,0.989139,-0.16
SPE01505245,0.98722,-0.330402,0,0.741416,0.98722,0.07
SPE01505248,0.974963,-0.782992,0,0.441508,0.974963,1.41
SPE01505249,1.01448,0.699277,0,0.495366,1.01448,-2.82
SPE01505256,1.00683,0.407995,0,0.68402,1.00683,-1.99
SPE01505261,1.00825,0.462042,0,0.645376,1.00825,-2.15
SPE01505262,0.823624,-6.47778,0,1.85342e-09,0.823624,17.65
SPE01505263,0.999821,0.143026,0,0.886278,0.999821,-1.29
SPE01505264,0.993286,-0.0984885,0,0.915376,0.993286,-0.63
SPE01505314,0.987299,-0.331563,0,0.74487,0.987299,-0.04
SPE01500663,0.979039,-0.624027,0,0.56419,0.979039,0.64
SPE01505215,0.991433,-0.170263,0,0.864848,0.991433,-0.57
SPE01505267,0.982379,-0.506656,0,0.615354,0.982379,0.45
SPE01505270,1.01477,0.705173,0,0.481348,1.01477,-3.11
SPE01505271,1.02155,0.956319,0,0.33957,1.02155,-3.88
SPE01505281,1.00093,0.180446,0,0.858664,1.00093,-1.69
SPE01505294,0.983028,-0.493149,0,0.63228,0.983028,0.22
SPE01505296,0.990729,-0.200301,0,0.842026,0.990729,-0.62
SPE01500523,0.983823,-0.452554,0,0.653532,0.983823,0.03
SPE01505304,0.997054,0.0432113,0,0.903134,0.997054,-1.32
SPE01505305,1.01288,0.631622,0,0.527962,1.01288,-3.04
SPE01505306,1.02347,1.03048,0,0.302876,1.02347,-4.19
SPE01505308,0.992061,-0.145976,0,0.884094,0.992061,-0.82
SPE01505309,0.0687491,-34.7824,0,0,0.0687491,98.72
SPE01505310,1.00499,0.335249,0,0.738002,1.00499,-2.24
SPE01505312,0.99715,0.0454426,0,0.940486,0.99715,-1.4
SPE01500101,0.988447,-0.276105,0,0.7883,0.988447,-1.7
SPE01500391,0.976648,-0.731721,0,0.475642,0.976648,-0.39
SPE01500408,0.964323,-1.18243,0,0.243334,0.964323,0.9
SPE01500497,0.965214,-1.15851,0,0.252986,0.965214,0.86
SPE01500532,0.956783,-1.4769,0,0.151563,0.956783,1.79
SPE01500556,0.986142,-0.366032,0,0.716106,0.986142,-1.44
SPE01503242,0.96371,-1.21123,0,0.22614,0.96371,0.98
SPE01504184,0.95417,-1.58106,0,0.151823,0.95417,2.07
SPE01500322,0.952269,-1.63002,0,0.119626,0.952269,2.3
SPE01500395,0.950308,-1.72443,0,0.111078,0.950308,2.54
SPE01500434,0.963373,-1.22179,0,0.22206,0.963373,1.09
SPE01500450,0.895966,-3.75611,0,0.000245522,0.895966,8.5
SPE01500536,0.992163,-0.144437,0,0.885196,0.992163,-2.06
SPE01502013,0.953502,-1.59245,0,0.11131,0.953502,2.23
SPE01503223,0.139323,-32.1397,0,0,0.139323,91.2
SPE01503816,0.997913,0.0695665,0,0.936926,0.997913,-2.67
SPE00330082,0.920579,-2.82756,0,0.0047039,0.920579,5.95
SPE01500102,0.993274,-0.110334,0,0.774166,0.993274,-2.2
SPE01500168,0.993335,-0.101433,0,0.919346,0.993335,-2.2
SPE01500399,0.961439,-1.28572,0,0.222754,0.961439,1.31
SPE01500467,0.954426,-1.56924,0,0.143288,0.954426,2.12
SPE01500538,0.981644,-0.525856,0,0.629616,0.981644,-0.9
SPE01500548,0.982565,-0.498966,0,0.621916,0.982565,-0.97
SPE01500566,0.926912,-2.59191,0,0.0098047,0.926912,5.19
SPE00330002,0.939534,-2.13024,0,0.0540722,0.939534,3.99
SPE01500135,0.987628,-0.318085,0,0.753252,0.987628,-1.25
SPE01500404,0.962578,-1.25889,0,0.218816,0.962578,1.56
SPE01500502,0.952595,-1.63671,0,0.121821,0.952595,2.64
SPE01500504,1.00078,0.185727,0,0.824688,1.00078,-2.73
SPE01500551,0.990835,-0.189289,0,0.851366,0.990835,-1.56
SPE01500578,0.980596,-0.588192,0,0.58394,0.980596,-0.42
SPE01500592,0.950891,-1.68698,0,0.0942052,0.950891,2.8
SPE01500264,0.990303,-0.215833,0,0.829728,0.990303,-1.59
SPE01500300,0.982421,-0.491131,0,0.587306,0.982421,-0.7
SPE01500381,0.900078,-3.59768,0,0.000336594,0.900078,8.27
SPE01500503,0.959611,-1.36509,0,0.172647,0.959611,1.79
SPE01500539,1.00218,0.234673,0,0.815362,1.00218,-2.89
SPE01500553,0.979717,-0.612991,0,0.541796,0.979717,-0.45
SPE01501188,0.0644585,-34.9467,0,0,0.0644585,99.39
SPE01503923,0.948915,-1.75614,0,0.0922148,0.948915,2.95
SPE01500115,0.921524,-2.78818,0,0.0055866,0.921524,6.23
SPE01500284,0.99965,0.118532,0,0.52594,0.99965,-2.59
SPE01500354,0.978667,-0.659954,0,0.536166,0.978667,-0.24
SPE01500483,0.953453,-1.5996,0,0.114982,0.953453,2.59
SPE01500507,0.95567,-1.5099,0,0.131656,0.95567,2.44
SPE01500668,0.961967,-1.27069,0,0.210064,0.961967,1.9
SPE01502113,0.991546,-0.159835,0,0.812352,0.991546,-1.73
SPE01503422,0.598222,-14.9235,0,0,0.598222,41.17
SPE01500137,0.985796,-0.370614,0,0.705566,0.985796,-0.62
SPE01500216,0.982923,-0.496697,0,0.628668,0.982923,-0.21
SPE01500267,0.973131,-0.863932,0,0.401016,0.973131,0.88
SPE01500364,0.960774,-1.30713,0,0.235564,0.960774,2.18
SPE01500518,0.955445,-1.51861,0,0.129271,0.955445,2.8
SPE01500521,0.804079,-7.20348,0,3.44122e-12,0.804079,19.2
SPE01500541,0.989255,-0.257774,0,0.799664,0.989255,-0.95
SPE02300241,0.95407,-1.58616,0,0.158629,0.95407,2.96
SPE01500110,0.993519,-0.101842,0,0.756614,0.993519,-1.45
SPE01500244,0.947862,-1.79477,0,0.0879082,0.947862,3.49
SPE01500276,0.98511,-0.418782,0,0.695996,0.98511,-0.57
SPE01500489,0.976458,-0.740296,0,0.47589,0.976458,0.34
SPE01500499,0.96411,-1.19728,0,0.232468,0.96411,1.64
SPE01500510,0.897855,-3.67814,0,0.000235324,0.897855,8.78
SPE01500605,0.969055,-1.01195,0,0.312886,0.969055,0.95
SPE01501118,0.960242,-1.32888,0,0.21658,0.960242,2.2
SPE01500240,0.96526,-1.1467,0,0.259568,0.96526,1.27
SPE01500246,0.966909,-1.08248,0,0.296204,0.966909,0.98
SPE01500253,0.987069,-0.336094,0,0.737138,0.987069,-1.34
SPE01500339,0.982538,-0.511567,0,0.619778,0.982538,-0.96
SPE01500406,0.959443,-1.3714,0,0.170682,0.959443,1.38
SPE01500446,0.798163,-7.42826,0,1.46874e-12,0.798163,18.98
SPE01500491,0.946259,-1.86404,0,0.0623252,0.946259,2.91
SPE02300270,0.955747,-1.51302,0,0.134708,0.955747,1.65
SPE00330001,0.910353,-3.22796,0,0.0045697,0.910353,6.12
SPE01500104,1.04772,1.94173,0,0.0535484,1.04772,-8.93
SPE01500363,0.989295,-0.253604,0,0.800496,0.989295,-2.34
SPE01500368,0.966455,-1.10235,0,0.27719,0.966455,-0.14
SPE01500496,0.972894,-0.877657,0,0.418364,0.972894,-0.61
SPE01500527,0.985939,-0.377545,0,0.705828,0.985939,-1.73
SPE01500547,0.978553,-0.649862,0,0.519672,0.978553,-1
SPE01503267,0.989179,-0.257567,0,0.797254,0.989179,-2.24
SPE01500124,0.940422,-2.05201,0,0.165009,0.940422,3.72
SPE01500193,0.969513,-0.987688,0,0.330368,0.969513,0.48
SPE01500225,0.964417,-1.1799,0,0.241956,0.964417,1.05
SPE01500304,0.973775,-0.81624,0,0.486916,0.973775,0.05
SPE01500589,0.989241,-0.25872,0,0.799488,0.989241,-1.69
SPE01500595,0.99878,0.126631,0,0.44491,0.99878,-2.69
SPE01502010,0.9185,-2.89246,0,0.00725874,0.9185,6.08
SPE01505376,0.979401,-0.596206,0,0.451638,0.979401,-0.55
SPE01500145,0.956243,-1.47231,0,0.213712,0.956243,2.02
SPE01500230,0.968096,-1.02887,0,0.381608,0.968096,0.72
SPE01500590,0.982113,-0.496458,0,0.463096,0.982113,-0.83
SPE01500597,1.0059,0.386532,0,0.621784,1.0059,-3.43
SPE01501145,0.989757,-0.212973,0,0.480706,0.989757,-1.64
SPE01503017,0.970936,-0.912738,0,0.531014,0.970936,0.43
SPE01503610,0.0672854,-34.8398,0,0,0.0672854,99.16
SPE01505432,1.02037,0.945622,0,0.454496,1.02037,-4.96
SPE01500117,0.975093,-0.761272,0,0.56022,0.975093,-0.03
SPE01500231,0.977841,-0.662311,0,0.58493,0.977841,0.07
SPE01500581,0.99782,0.0815408,0,0.64979,0.99782,-2.48
SPE01500614,0.989636,-0.245519,0,0.81045,0.989636,-1.68
SPE01500839,0.94777,-1.79063,0,0.123154,0.94777,3.14
SPE01502001,0.975973,-0.737189,0,0.506598,0.975973,0.13
SPE01505453,0.974886,-0.798663,0,0.43952,0.974886,0.04
SPE02300212,0.911202,-3.15683,0,0.00793236,0.911202,7.28
SPE01500136,0.945535,-1.88229,0,0.0725804,0.945535,3.99
SPE01500232,0.958802,-1.37498,0,0.258756,0.958802,2.62
SPE01500588,1.00737,0.438112,0,0.687076,1.00737,-3.11
SPE01500604,1.00287,0.272005,0,0.628814,1.00287,-2.51
SPE01500666,0.951416,-1.66257,0,0.110484,0.951416,3.29
SPE01500667,0.987796,-0.292857,0,0.631544,0.987796,-0.92
SPE01503648,0.976147,-0.719534,0,0.508462,0.976147,0.56
SPE01505396,0.979639,-0.579438,0,0.319926,0.979639,0.12
SPE00330064,0.950931,-1.66736,0,0.188244,0.950931,3.64
SPE01500207,0.958659,-1.38465,0,0.220504,0.958659,3.15
SPE01500227,1.01676,0.795791,0,0.5052,1.01676,-3.57
SPE01500233,0.947123,-1.81623,0,0.110295,0.947123,4.48
SPE01500517,0.988675,-0.26481,0,0.748864,0.988675,-0.59
SPE01500632,0.898661,-3.61663,0,0.00589446,0.898661,9.48
SPE01502248,0.973004,-0.845878,0,0.465128,0.973004,1.51
SPE01505412,1.03226,1.38433,0,0.316074,1.03226,-5.07
SPE01500210,0.961082,-1.29214,0,0.266806,0.961082,3.69
SPE01500235,0.812041,-6.9053,0,2.82246e-11,0.812041,19.72
SPE01500277,1.01844,0.861189,0,0.490516,1.01844,-3.03
SPE01500602,1.00908,0.502328,0,0.643404,1.00908,-2.12
SPE01500621,0.956391,-1.47228,0,0.176009,0.956391,3.94
SPE01500669,0.912883,-3.09583,0,0.0077867,0.912883,8.73
SPE01505465,0.0594207,-35.1346,0,0,0.0594207,100.14
SPE01505805,1.01063,0.573659,0,0.46028,1.01063,-2.08
SPE00240929,0.865726,-4.86975,0,5.08644e-06,0.865726,14.28
SPE01500157,1.01744,0.818585,0,0.472104,1.01744,-1.97
SPE01500212,0.951513,-1.64904,0,0.166097,0.951513,4.99
SPE01500236,0.966676,-1.08611,0,0.323774,0.966676,3.24
SPE01500462,1.00203,0.244528,0,0.540804,1.00203,-0.21
SPE01500639,0.976794,-0.71792,0,0.473654,0.976794,2.44
SPE01500645,0.907469,-3.31372,0,0.00105443,0.907469,9.77
SPE01501170,0.928097,-2.52646,0,0.0305188,0.928097,7.47
SPE01500237,0.938359,-2.16731,0,0.0350192,0.938359,5.29
SPE01500598,1.00344,0.296166,0,0.57156,1.00344,-0.91
SPE01500633,0.0602112,-35.1053,0,0,0.0602112,100.05
SPE01500646,0.975692,-0.749481,0,0.488572,0.975692,1.6
SPE01502260,0.901259,-3.53051,0,0.00239954,0.901259,10.14
SPE01503604,0.984163,-0.414548,0,0.356496,0.984163,0.96
SPE01504236,0.980999,-0.530152,0,0.333312,0.980999,1.41
SPE01505172,0.986903,-0.309943,0,0.308446,0.986903,0.27
SPE01500172,1.00083,0.19598,0,0.615934,1.00083,-1.83
SPE01500220,0.940721,-2.05274,0,0.0853176,0.940721,4.88
SPE01500238,0.963671,-1.19502,0,0.305712,0.963671,2.49
SPE01500355,1.00407,0.312449,0,0.748418,1.00407,-2.05
SPE01500596,0.941254,-2.0445,0,0.0474978,0.941254,4.66
SPE01500623,0.0621342,-35.0334,0,0,0.0621342,99.8
SPE01500634,0.998253,0.090845,0,0.82968,0.998253,-1.53
SPE01503014,0.989084,-0.246528,0,0.674402,0.989084,-0.31
SPE01500224,0.957855,-1.42236,0,0.167855,0.957855,3.87
SPE01500241,0.929031,-2.49221,0,0.0312822,0.929031,7.11
SPE01500249,0.998398,0.0996911,0,0.740578,0.998398,-0.6
SPE01500552,1.00056,0.200127,0,0.327036,1.00056,-1.37
SPE01500570,0.976877,-0.693096,0,0.518156,0.976877,1.4
SPE01502003,0.982143,-0.505872,0,0.64905,0.982143,1.04
SPE01503403,0.854662,-5.28017,0,1.45173e-06,0.854662,14.65
SPE01505115,1.01175,0.609317,0,0.585586,1.01175,-2.48
SPE01500114,1.00258,0.245216,0,0.806632,1.00258,-1.21
SPE01500158,1.02809,1.2114,0,0.244396,1.02809,-3.92
SPE01500185,1.00678,0.406969,0,0.685544,1.00678,-1.64
SPE01500242,0.994826,-0.0528179,0,0.756254,0.994826,-0.41
SPE01500520,0.936316,-2.22862,0,0.0321212,0.936316,5.91
SPE01500767,0.862026,-5.02008,0,5.34218e-07,0.862026,13.91
SPE01501105,1.01666,0.782996,0,0.452426,1.01666,-2.7
SPE01502111,0.967621,-1.04856,0,0.35657,0.967621,2.57
SPE00200331,0.99551,0.0131693,0,0.277908,0.99551,-0.53
SPE01500179,1.02412,1.03696,0,0.381224,1.02412,-3.55
SPE01500182,0.89874,-3.63739,0,0.000435122,0.89874,9.94
SPE01500183,0.996562,0.0254794,0,0.883564,0.996562,-0.56
SPE01500245,0.969349,-1.00419,0,0.323682,0.969349,2.34
SPE01501002,0.978262,-0.648568,0,0.577682,0.978262,1.37
SPE01501104,1.014,0.680967,0,0.50528,1.014,-2.45
SPE01501109,0.997724,0.0622922,0,0.931314,0.997724,-0.7
SPE01500111,1.01805,0.823282,0,0.413224,1.01805,-3.17
SPE01500142,0.998149,0.0636151,0,0.55466,0.998149,-0.93
SPE01500169,0.0592753,-35.1412,0,0,0.0592753,100.08
SPE01500201,1.02566,1.11018,0,0.267932,1.02566,-3.99
SPE01500205,1.01784,0.809271,0,0.44282,1.01784,-3.11
SPE01501003,0.965366,-1.13799,0,0.283644,0.965366,2.75
SPE01501110,0.896283,-3.73162,0,0.000251128,0.896283,10.07
SPE01503007,0.971261,-0.917682,0,0.383936,0.971261,2.24
SPE01500105,1.00105,0.189846,0,0.84944,1.00105,-0.39
SPE01500108,1.05167,2.08606,0,0.0370508,1.05167,-6.15
SPE01500120,1.02618,1.11394,0,0.347218,1.02618,-3.55
SPE01500184,0.0877103,-34.0806,0,0,0.0877103,97.08
SPE01500457,1.01561,0.738512,0,0.462876,1.01561,-2.05
SPE01500530,0.974948,-0.78163,0,0.448918,0.974948,2.5
SPE01501115,0.986894,-0.333608,0,0.747126,0.986894,1.19
SPE01504403,0.973258,-0.848727,0,0.399582,0.973258,2.67
SPE01500113,1.05252,2.12549,0,0.0385414,1.05252,-5.82
SPE01500159,1.02995,1.2798,0,0.214656,1.02995,-3.38
SPE01500166,0.99267,-0.117762,0,0.813202,0.99267,0.58
SPE01500222,0.984367,-0.424669,0,0.693486,0.984367,1.51
SPE01501005,0.987139,-0.343113,0,0.715622,0.987139,1.22
SPE01501133,0.978451,-0.657771,0,0.510692,0.978451,2.15
SPE01900002,0.975789,-0.750702,0,0.464836,0.975789,2.42
SPE02300094,0.926865,-2.58621,0,0.0108015,0.926865,7.6
SPE01500161,1.03106,1.32521,0,0.214998,1.03106,-3.6
SPE01500162,1.03011,1.27095,0,0.219314,1.03011,-3.42
SPE01500187,0.980352,-0.574301,0,0.598412,0.980352,1.83
SPE01500190,1.05361,2.16959,0,0.0403188,1.05361,-5.97
SPE01500451,0.729756,-9.96464,0,1.65751e-21,0.729756,28.64
SPE01500603,0.0632982,-34.9905,0,0,0.0632982,99.7
SPE01501128,0.962233,-1.25634,0,0.23169,0.962233,3.8
SPE02300325,0.986104,-0.367668,0,0.714698,0.986104,1.31
SPE01500112,1.03808,1.56825,0,0.135041,1.03808,-4.07
SPE01500139,1.01102,0.54751,0,0.63671,1.01102,-1.26
SPE01500180,0.989346,-0.243246,0,0.811844,0.989346,1.25
SPE01500181,1.01833,0.839246,0,0.402506,1.01833,-1.9
SPE01500328,0.0649974,-34.9252,0,0,0.0649974,99.53
SPE01501008,0.952867,-1.61454,0,0.107299,0.952867,5.19
SPE01505188,0.983022,-0.470436,0,0.623518,0.983022,1.96
SPE02300214,0.976392,-0.727937,0,0.47902,0.976392,2.73
SPE01500141,1.04657,1.89623,0,0.057999,1.04657,-4.63
SPE01500191,0.929551,-2.48872,0,0.0129944,0.929551,7.86
SPE01500200,0.0702199,-34.7374,0,0,0.0702199,99.01
SPE01500275,0.934278,-2.31159,0,0.0210378,0.934278,7.22
SPE01501021,0.988051,-0.293751,0,0.77112,0.988051,1.59
SPE01501161,1.00098,0.175902,0,0.705124,1.00098,0.27
SPE01503925,1.03794,1.57024,0,0.117129,1.03794,-3.76
SPE01504105,0.695492,-11.2596,0,5.35716e-29,0.695492,32.69
SPE01500134,1.03842,1.59066,0,0.111749,1.03842,-3.95
SPE01500163,1.03483,1.45569,0,0.145479,1.03483,-3.9
SPE01500202,0.0897251,-34.0014,0,0,0.0897251,96.91
SPE01500533,0.988313,-0.282187,0,0.782054,0.988313,0.74
SPE01500873,0.908836,-3.26654,0,0.00109024,0.908836,9.63
SPE01501202,0.988139,-0.29189,0,0.77126,0.988139,0.89
SPE01502029,0.985361,-0.395679,0,0.69384,0.985361,1.12
SPE01505187,0.990696,-0.19478,0,0.846916,0.990696,0.7
SPE01500126,1.0157,0.737859,0,0.460722,1.0157,-2.32
SPE01500165,1.01989,0.901188,0,0.37674,1.01989,-2.7
SPE01500167,1.04933,2.00805,0,0.0545864,1.04933,-5.99
SPE01500263,1.0076,0.448143,0,0.683794,1.0076,-1.64
SPE01500314,0.976963,-0.708632,0,0.484472,0.976963,1.54
SPE01500473,0.784301,-7.93214,0,2.81924e-15,0.784301,22.36
SPE01500480,0.982906,-0.492115,0,0.623106,0.982906,0.86
SPE01900005,0.987895,-0.299854,0,0.766238,0.987895,0.42
SPE00201605,0.979549,-0.619643,0,0.537964,0.979549,0.24
SPE01501137,0.970656,-0.954457,0,0.346088,0.970656,1.16
SPE01502050,0.973886,-0.824857,0,0.413604,0.973886,0.83
SPE01502203,0.988332,-0.291243,0,0.772974,0.988332,-0.64
SPE01503204,0.883563,-4.19616,0,0.000180335,0.883563,10.71
SPE01503239,0.999833,0.135863,0,0.784636,0.999833,-1.9
SPE01505005,1.02066,0.912588,0,0.401904,1.02066,-4.19
SPE01601020,1.01098,0.577544,0,0.619216,1.01098,-3.12
SPE00200701,0.986749,-0.341044,0,0.737716,0.986749,-0.67
SPE01502116,1.00982,0.518215,0,0.604312,1.00982,-3.14
SPE01502196,0.975896,-0.76017,0,0.459516,0.975896,0.58
SPE01503276,1.01837,0.849336,0,0.427326,1.01837,-4.03
SPE01503918,1.02104,0.939174,0,0.347662,1.02104,-4.34
SPE01504257,1.00328,0.271059,0,0.786904,1.00328,-2.41
SPE01504263,0.969903,-0.973941,0,0.33487,0.969903,1.13
SPE01505317,0.840076,-5.76601,1,0.00111674,0.840076,15.17
SPE01501153,0.0557659,-35.2735,0,0,0.0557659,100.18
SPE01502197,0.980367,-0.592702,0,0.56453,0.980367,-0.07
SPE01502198,1.01334,0.649258,0,0.516322,1.01334,-3.76
SPE01502259,0.9736,-0.837155,0,0.404002,0.9736,0.51
SPE01504268,0.980966,-0.567195,0,0.574012,0.980966,-0.33
SPE01504273,1.00322,0.265041,0,0.794874,1.00322,-2.6
SPE01505111,1.00677,0.397867,0,0.696598,1.00677,-3.02
SPE01505337,0.0554106,-35.2863,0,0,0.0554106,100.23
SPE01500651,1.02237,0.984457,0,0.329556,1.02237,-5.08
SPE01501139,0.931267,-2.4196,0,0.0182628,0.931267,4.79
SPE01501144,0.980784,-0.577214,0,0.575194,0.980784,-0.59
SPE01502150,0.996242,0.0142672,0,0.861566,0.996242,-2.11
SPE01502258,1.00769,0.44324,0,0.662112,1.00769,-3.45
SPE01504190,0.979593,-0.606169,0,0.56203,0.979593,-0.35
SPE01505008,1.01009,0.531602,0,0.597432,1.01009,-3.76
SPE02300165,0.214711,-29.2827,0,0,0.214711,82.86
SPE01500428,0.998011,0.0700266,0,0.849248,0.998011,-2.3
SPE01501147,0.989073,-0.26129,0,0.794266,0.989073,-1.23
SPE01501151,0.982223,-0.511332,0,0.614262,0.982223,-0.52
SPE01503009,0.991869,-0.13913,0,0.59414,0.991869,-1.82
SPE01503115,1.0074,0.42777,0,0.66886,1.0074,-3.49
SPE01503806,0.94785,-1.78656,0,0.130676,0.94785,3.04
SPE01505208,1.01841,0.839762,0,0.40106,1.01841,-4.71
SPE01505315,1.00242,0.237465,0,0.813558,1.00242,-2.85
SPE01500122,0.955765,-1.46844,0,0.462168,0.955765,2.35
SPE01500127,0.954395,-1.54679,0,0.156616,0.954395,2.38
SPE01500196,0.101544,-33.5482,0,0,0.101544,95.21
SPE01501000,0.950328,-1.69681,0,0.132546,0.950328,2.88
SPE01503002,0.970197,-0.974492,0,0.345954,0.970197,0.83
SPE01503968,0.930896,-2.41007,0,0.0855856,0.930896,5.07
SPE01504259,1.02711,1.18349,0,0.315652,1.02711,-5.35
SPE01504260,1.0297,1.26889,0,0.213226,1.0297,-5.65
SPE01500315,0.547328,-16.8376,0,0,0.547328,46.51
SPE01500545,0.999968,0.155214,0,0.828732,0.999968,-2.74
SPE01500864,0.990966,-0.189833,0,0.849596,0.990966,-1.98
SPE01501121,0.976729,-0.713414,0,0.495438,0.976729,-0.57
SPE01502026,1.00057,0.175845,0,0.862044,1.00057,-3.1
SPE01503059,1.01442,0.681565,0,0.515646,1.01442,-4.24
SPE01503111,0.980602,-0.593565,0,0.613568,0.980602,-1.05
SPE01503926,1.01408,0.681256,0,0.498874,1.01408,-4.36
SPE01501007,0.983825,-0.447784,0,0.667732,0.983825,-1.52
SPE01501119,0.97979,-0.616896,0,0.558712,0.97979,-1.07
SPE01503038,1.00566,0.356355,0,0.726838,1.00566,-3.91
SPE01503919,1.01401,0.67962,0,0.50127,1.01401,-4.81
