supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.817425,-5.11012,0,6.96986e-06,0.817425,16.02
SPE01500764,0.977414,-0.638246,0,0.524318,0.977414,-2.06
SPE01500779,0.998372,-0.0526704,0,0.953188,0.998372,-4.4
SPE01500833,1.01786,0.491967,0,0.62318,1.01786,-6.58
SPE01500867,1.03205,0.888691,0,0.374374,1.03205,-8.16
SPE01500872,0.969301,-0.864831,0,0.402526,0.969301,-1.06
SPE01500901,0.955355,-1.25458,0,0.22575,0.955355,0.53
SPE01500906,0.487659,-14.3251,0,2.8026e-45,0.487659,53.37
SPE01500525,1.01367,0.374679,0,0.723966,1.01367,-5.99
SPE01500984,0.964315,-1.00482,0,0.380476,0.964315,-0.43
SPE01501017,1.01025,0.279435,0,0.779946,1.01025,-5.59
SPE01501126,1.03049,0.845016,0,0.403778,1.03049,-7.87
SPE01501130,0.970611,-0.828273,0,0.41757,0.970611,-1.1
SPE01501172,0.920733,-2.22262,0,0.0333536,0.920733,4.54
SPE01501181,0.689068,-8.69634,0,2.35354e-17,0.689068,30.67
SPE01501204,0.334001,-18.6193,0,0,0.334001,70.73
SPE01502103,0.959799,-1.13093,0,0.29405,0.959799,0.02
SPE01502128,1.03528,0.978731,0,0.345268,1.03528,-8.56
SPE01502155,1.03992,1.10862,0,0.269014,1.03992,-9.14
SPE01502237,0.998477,-0.0493636,0,0.71376,0.998477,-4.51
SPE01502252,0.976013,-0.677616,0,0.504818,0.976013,-2.01
SPE01503044,0.985884,-0.401329,0,0.705554,0.985884,-3.21
SPE01503073,0.965603,-0.96836,0,0.333378,0.965603,-0.98
SPE01505299,0.961893,-1.07259,0,0.370346,0.961893,-0.16
SPE01503253,0.0718988,-25.9444,0,0,0.0718988,100.29
SPE01503341,0.0744576,-25.8729,0,0,0.0744576,99.99
SPE01503626,1.03055,0.8466,0,0.399082,1.03055,-8.8
SPE01503636,1.01111,0.303331,0,0.763106,1.01111,-6.47
SPE01503722,0.972727,-0.768783,0,0.526498,0.972727,-2.34
SPE01503821,0.993872,-0.178348,0,0.858494,0.993872,-4.8
SPE01503904,0.337296,-18.5275,0,0,0.337296,69.99
SPE01503922,0.95588,-1.24015,0,0.21519,0.95588,-0.61
SPE01500699,1.01728,0.475534,0,0.65558,1.01728,-7.81
SPE01502234,1.03671,1.01877,0,0.308598,1.03671,-10.13
SPE01503982,1.03631,1.00761,0,0.31678,1.03631,-10.18
SPE01504002,0.303009,-19.4855,0,0,0.303009,73.73
SPE01504025,0.993995,-0.17481,0,0.862522,0.993995,-5.45
SPE01504142,0.970807,-0.822905,0,0.411548,0.970807,-2.85
SPE01504187,0.961917,-1.07133,0,0.285892,0.961917,-1.91
SPE01505265,0.977773,-0.628561,0,0.551502,0.977773,-3.2
SPE01504269,1.01679,0.461828,0,0.676036,1.01679,-8.34
SPE01504272,0.914731,-2.39049,0,0.0290854,0.914731,3.45
SPE01504410,1.04124,1.14526,0,0.252222,1.04124,-11.23
SPE01504604,1.02951,0.817851,0,0.436278,1.02951,-9.95
SPE01505200,0.970425,-0.833668,0,0.404626,0.970425,-3.18
SPE01505201,0.984825,-0.43096,0,0.679804,0.984825,-4.87
SPE01505203,0.988401,-0.331226,0,0.740786,0.988401,-5.29
SPE01505205,0.961938,-1.07048,0,0.319538,0.961938,-2.27
SPE01505209,0.999715,-0.015388,0,0.712434,0.999715,-6.6
SPE01505210,1.05218,1.45091,0,0.164125,1.05218,-12.63
SPE01505212,1.02658,0.735547,0,0.462384,1.02658,-9.66
SPE01505213,1.10494,2.92513,0,0.0087987,1.10494,-18.61
SPE01505222,1.01431,0.392859,0,0.694584,1.01431,-8.15
SPE01505230,0.875597,-3.48358,0,0.000622466,0.875597,7.84
SPE01505244,0.979706,-0.574076,0,0.575668,0.979706,-4.08
SPE01505245,0.961247,-1.08988,0,0.298244,0.961247,-1.92
SPE01505248,0.792155,-5.816,0,2.63872e-08,0.792155,17.55
SPE01505249,1.00052,0.00756225,0,0.89526,1.00052,-6.33
SPE01505256,1.02779,0.769391,0,0.44598,1.02779,-9.39
SPE01505261,0.975453,-0.692938,0,0.49833,0.975453,-3.37
SPE01505262,1.02179,0.601843,0,0.547406,1.02179,-8.66
SPE01505263,0.981257,-0.530866,0,0.596014,0.981257,-4.02
SPE01505264,0.99693,-0.0927179,0,0.820282,0.99693,-5.86
SPE01505314,0.950969,-1.37752,0,0.175508,0.950969,-0.64
SPE01500663,0.974317,-0.724236,0,0.556966,0.974317,-3.41
SPE01505215,1.0408,1.13308,0,0.261338,1.0408,-11.09
SPE01505267,0.950509,-1.39057,0,0.198934,0.950509,-0.65
SPE01505270,1.00068,0.0120275,0,0.975548,1.00068,-6.54
SPE01505271,1.0039,0.101672,0,0.890798,1.0039,-6.95
SPE01505281,1.01239,0.339142,0,0.734542,1.01239,-7.92
SPE01505294,0.999886,-0.010384,0,0.91953,0.999886,-6.45
SPE01505296,0.9868,-0.376002,0,0.706926,0.9868,-4.9
SPE01500523,0.966055,-0.955616,0,0.346708,0.966055,-1.94
SPE01505304,0.980812,-0.543651,0,0.608722,0.980812,-4.11
SPE01505305,1.01551,0.426346,0,0.670002,1.01551,-8.03
SPE01505306,1.02287,0.63187,0,0.52864,1.02287,-8.8
