supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.994554,-0.260373,0,0.80087,0.994554,0
SPE00100016,1.01229,0.601211,0,0.567748,1.01229,0
SPE00100058,1.00004,0.00738943,0,0.918228,1.00004,0
SPE00100094,0.988777,-0.585947,0,0.587372,0.988777,0
SPE00100126,1.00224,0.121198,0,0.87614,1.00224,0
SPE00100194,1.01067,0.537201,0,0.59114,1.01067,0
SPE00100271,0.143232,-43.2678,0,0,0.143232,0
SPE00100305,0.997886,-0.0984541,0,0.884528,0.997886,0
SPE00100003,0.991632,-0.431666,0,0.672028,0.991632,0
SPE00100024,0.998856,-0.0676508,0,0.852534,0.998856,0
SPE00100060,0.999323,-0.0217033,0,0.819598,0.999323,0
SPE00100096,1.00773,0.377016,0,0.713108,1.00773,0
SPE00100129,1.00486,0.248338,0,0.80436,1.00486,0
SPE00100195,1.01889,0.957149,0,0.342158,1.01889,0
SPE00100279,0.613408,-19.5164,0,0,0.613408,0
SPE00100310,0.982173,-0.902481,0,0.36934,0.982173,0
SPE00100005,0.889107,-5.60432,0,1.37437e-07,0.889107,0
SPE00100031,1.00754,0.370372,0,0.715014,1.00754,0
SPE00100066,0.999736,-0.00868492,0,0.93244,0.999736,0
SPE00100098,0.977097,-1.16004,0,0.250876,0.977097,0
SPE00100139,1.01226,0.613016,0,0.540924,1.01226,0
SPE00100201,1.01037,0.514568,0,0.610158,1.01037,0
SPE00100280,0.94865,-2.60605,0,0.0155404,0.94865,0
SPE00100315,0.990862,-0.454305,0,0.651252,0.990862,0
SPE00100006,1.00197,0.106709,0,0.888484,1.00197,0
SPE00100034,1.0153,0.762749,0,0.44953,1.0153,0
SPE00100068,1.01198,0.608919,0,0.545086,1.01198,0
SPE00100099,0.997575,-0.135067,0,0.811114,0.997575,0
SPE00100140,0.998175,-0.0963364,0,0.923522,0.998175,0
SPE00100205,1.02104,1.04798,0,0.303494,1.02104,0
SPE00100287,0.0824483,-46.2979,0,0,0.0824483,0
SPE00100318,0.992552,-0.36929,0,0.713288,0.992552,0
SPE00100008,0.986561,-0.673623,0,0.501008,0.986561,0
SPE00100047,0.988143,-0.591426,0,0.556018,0.988143,0
SPE00100069,1.01601,0.808614,0,0.419608,1.01601,0
SPE00100101,0.918145,-4.12246,0,3.95104e-05,0.918145,0
SPE00100146,0.925905,-3.77018,0,0.00140898,0.925905,0
SPE00100218,1.01638,0.80172,0,0.460314,1.01638,0
SPE00100290,0.996916,-0.151169,0,0.880162,0.996916,0
SPE00100325,0.054665,-47.7015,0,0,0.054665,0
SPE00100009,0.612779,-19.5545,0,0,0.612779,0
SPE00100048,1.00841,0.43031,0,0.66962,1.00841,0
SPE00100076,1.00073,0.0419347,0,0.921758,1.00073,0
SPE00100102,0.997507,-0.131982,0,0.895758,0.997507,0
SPE00100156,0.999732,-0.00412989,0,0.86268,0.999732,0
SPE00100222,1.00381,0.192629,0,0.847284,1.00381,0
