supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.01892,0.371076,0,0.712282,1.01892,0
SPE00100016,1.02149,0.422867,0,0.680252,1.02149,0
SPE00100058,1.01852,0.361704,0,0.717592,1.01852,0
SPE00100094,0.914869,-1.6615,0,0.101416,0.914869,0
SPE00100126,0.995959,-0.0803158,0,0.914558,0.995959,0
SPE00100194,0.986026,-0.274656,0,0.78527,0.986026,0
SPE00100271,0.0842174,-17.8991,0,0,0.0842174,0
SPE00100305,0.98231,-0.345182,0,0.73017,0.98231,0
SPE00100003,1.00113,0.0226082,0,0.96332,1.00113,0
SPE00100024,0.994218,-0.112072,0,0.911006,0.994218,0
SPE00100060,1.02142,0.420431,0,0.677178,1.02142,0
SPE00100096,1.0017,0.0350932,0,0.87545,1.0017,0
SPE00100129,1.01825,0.356218,0,0.721784,1.01825,0
SPE00100195,1.01123,0.218938,0,0.826854,1.01123,0
SPE00100279,0.448352,-10.7833,0,2.84932e-26,0.448352,0
SPE00100310,0.961886,-0.74343,0,0.459956,0.961886,0
SPE00100005,0.749168,-4.90066,0,1.04198e-06,0.749168,0
SPE00100031,1.03575,0.70093,0,0.491178,1.03575,0
SPE00100066,1.02535,0.494379,0,0.62208,1.02535,0
SPE00100098,0.883838,-2.27082,0,0.0234426,0.883838,0
SPE00100139,1.01044,0.204074,0,0.838296,1.01044,0
SPE00100201,0.984588,-0.302473,0,0.763528,0.984588,0
SPE00100280,0.810621,-3.70264,0,0.00024726,0.810621,0
SPE00100315,0.979115,-0.408892,0,0.683182,0.979115,0
SPE00100006,1.02011,0.396059,0,0.70073,1.02011,0
SPE00100034,1.03931,0.769246,0,0.443518,1.03931,0
SPE00100068,1.03775,0.73811,0,0.460708,1.03775,0
SPE00100099,0.978356,-0.421397,0,0.67588,0.978356,0
SPE00100140,0.988411,-0.228184,0,0.82118,0.988411,0
SPE00100205,0.985647,-0.28235,0,0.78005,0.985647,0
SPE00100287,0.0705435,-18.166,0,0,0.0705435,0
SPE00100318,0.989012,-0.215728,0,0.829744,0.989012,0
SPE00100008,1.00698,0.139065,0,0.832748,1.00698,0
SPE00100047,1.00331,0.0670754,0,0.849354,1.00331,0
SPE00100069,1.03557,0.695305,0,0.486904,1.03557,0
SPE00100101,0.858307,-2.76876,0,0.00563134,0.858307,0
SPE00100146,0.798894,-3.93282,0,0.000121313,0.798894,0
SPE00100218,0.96958,-0.59706,0,0.558932,0.96958,0
SPE00100290,0.988166,-0.230334,0,0.818316,0.988166,0
SPE00100325,0.0589908,-18.3916,0,0,0.0589908,0
SPE00100009,0.362567,-12.4585,0,4.25218e-35,0.362567,0
SPE00100048,1.03889,0.762951,0,0.45898,1.03889,0
SPE00100076,1.02856,0.559388,0,0.577696,1.02856,0
SPE00100102,1.01453,0.284478,0,0.776182,1.01453,0
SPE00100156,1.01668,0.325619,0,0.744764,1.01668,0
SPE00100222,0.995828,-0.0827469,0,0.922542,0.995828,0
SPE00100296,0.977013,-0.449805,0,0.653222,0.977013,0
SPE00100530,0.975203,-0.486517,0,0.630752,0.975203,0
SPE00100049,1.0277,0.543938,0,0.594162,1.0277,0
SPE00100081,1.00977,0.191782,0,0.848334,1.00977,0
SPE00100103,0.991637,-0.161842,0,0.872442,0.991637,0
SPE00100158,1.00774,0.151538,0,0.879566,1.00774,0
SPE00100223,0.982301,-0.344803,0,0.731172,0.982301,0
SPE00100298,0.987004,-0.25713,0,0.803302,0.987004,0
SPE00100531,0.972157,-0.544792,0,0.586462,0.972157,0
SPE00240645,0.756791,-4.75021,0,3.08824e-06,0.756791,0
SPE00100012,1.01326,0.263384,0,0.742618,1.01326,0
