supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.97053,-1.29123,0,0.196632,0.97053,0
SPE00100016,0.983075,-0.742889,0,0.46959,0.983075,0
SPE00100058,1.01092,0.478807,0,0.632326,1.01092,0
SPE00100094,1.0174,0.765644,0,0.519406,1.0174,0
SPE00100126,1.00671,0.293866,0,0.769052,1.00671,0
SPE00100194,0.989304,-0.467413,0,0.647876,0.989304,0
SPE00100271,0.520094,-21.0229,0,0,0.520094,0
SPE00100305,0.972106,-1.22516,0,0.281398,0.972106,0
SPE00100003,0.977085,-1.00461,0,0.317646,0.977085,0
SPE00100024,1.01716,0.752867,0,0.461546,1.01716,0
SPE00100060,0.998243,-0.0798703,0,0.609552,0.998243,0
SPE00100096,1.01162,0.508009,0,0.616446,1.01162,0
SPE00100129,0.995183,-0.209786,0,0.8265,0.995183,0
SPE00100195,1.00025,0.00865524,0,0.676884,1.00025,0
SPE00100279,0.330861,-29.3176,0,0,0.330861,0
SPE00100310,0.963053,-1.62088,0,0.126955,0.963053,0
SPE00100005,0.907043,-4.07206,0,5.75234e-05,0.907043,0
SPE00100031,0.9976,-0.105026,0,0.916376,0.9976,0
SPE00100066,1.01625,0.713262,0,0.486766,1.01625,0
SPE00100098,1.00769,0.338832,0,0.73528,1.00769,0
SPE00100139,1.00433,0.187873,0,0.727326,1.00433,0
SPE00100201,0.988885,-0.485568,0,0.638188,0.988885,0
SPE00100280,0.940556,-2.60429,0,0.0092955,0.940556,0
SPE00100315,0.978085,-0.961373,0,0.346432,0.978085,0
SPE00100006,1.00638,0.280085,0,0.781084,1.00638,0
SPE00100034,1.00374,0.163514,0,0.870212,1.00374,0
SPE00100068,1.01537,0.674533,0,0.505638,1.01537,0
SPE00100099,1.00284,0.125909,0,0.796462,1.00284,0
SPE00100140,0.993771,-0.273303,0,0.785058,0.993771,0
SPE00100205,0.990385,-0.422387,0,0.678288,0.990385,0
SPE00100287,0.289801,-31.1165,0,0,0.289801,0
SPE00100318,0.965073,-1.53487,0,0.240336,0.965073,0
SPE00100008,0.973354,-1.17006,0,0.287594,0.973354,0
SPE00100047,1.01961,0.860654,0,0.402196,1.01961,0
SPE00100069,1.0346,1.51876,0,0.177304,1.0346,0
SPE00100101,0.960768,-1.71549,0,0.145877,0.960768,0
SPE00100146,0.98571,-0.624603,0,0.546784,0.98571,0
SPE00100218,1.00189,0.0838804,0,0.85925,1.00189,0
SPE00100290,0.984349,-0.687588,0,0.513652,0.984349,0
SPE00100325,0.0554219,-41.3887,0,0,0.0554219,0
SPE00100009,0.879037,-5.30045,0,1.22379e-07,0.879037,0
SPE00100048,1.00768,0.336127,0,0.737824,1.00768,0
SPE00100076,1.01226,0.537792,0,0.594386,1.01226,0
SPE00100102,1.01611,0.705644,0,0.48043,1.01611,0
SPE00100156,0.983046,-0.740132,0,0.508008,0.983046,0
SPE00100222,0.97811,-0.959516,0,0.33849,0.97811,0
SPE00100296,0.979593,-0.89467,0,0.373154,0.979593,0
SPE00100530,0.981416,-0.814868,0,0.417688,0.981416,0
SPE00100049,1.01167,0.511622,0,0.609066,1.01167,0
SPE00100081,1.02278,0.997223,0,0.326198,1.02278,0
SPE00100103,1.0196,0.859242,0,0.393146,1.0196,0
SPE00100158,0.987416,-0.551988,0,0.583092,0.987416,0
SPE00100223,0.988189,-0.516494,0,0.611304,0.988189,0
SPE00100298,0.993443,-0.287021,0,0.774338,0.993443,0
SPE00100531,0.966572,-1.46505,0,0.14391,0.966572,0
SPE00240645,0.914457,-3.75058,0,0.00046305,0.914457,0
SPE00100012,0.968906,-1.36132,0,0.181147,0.968906,0
SPE00100050,1.00294,0.127532,0,0.8058,1.00294,0
SPE00100088,1.00997,0.436623,0,0.662582,1.00997,0
SPE00100105,1.0087,0.38094,0,0.703414,1.0087,0
SPE00100162,1.01429,0.627023,0,0.535166,1.01429,0
SPE00100242,0.954776,-1.98262,0,0.051649,0.954776,0
SPE00100301,0.08087,-40.2732,0,0,0.08087,0
SPE00100359,0.990263,-0.42706,0,0.670186,0.990263,0
SPE00100013,0.98354,-0.720387,0,0.475834,0.98354,0
SPE00100054,0.991544,-0.369286,0,0.718288,0.991544,0
SPE00100090,1.02708,1.18402,0,0.282684,1.02708,0
SPE00100114,1.00717,0.314632,0,0.754346,1.00717,0
SPE00100173,1.00399,0.173706,0,0.857348,1.00399,0
SPE00100254,0.984622,-0.673825,0,0.500432,0.984622,0
SPE00100303,0.997996,-0.0880595,0,0.929904,0.997996,0
SPE00100360,0.999048,-0.0387697,0,0.60667,0.999048,0
SPE00100014,0.971083,-1.26785,0,0.209706,0.971083,0
SPE00100056,0.999913,-0.00482171,0,0.8612,0.999913,0
SPE00100093,1.00691,0.303943,0,0.766116,1.00691,0
SPE00100117,0.996985,-0.133657,0,0.78559,0.996985,0
SPE00100190,1.00685,0.298673,0,0.772824,1.00685,0
SPE00100267,0.996692,-0.145874,0,0.871238,0.996692,0
SPE00100304,0.994263,-0.250053,0,0.807578,0.994263,0
SPE00100368,0.975929,-1.05341,0,0.304684,0.975929,0
SPE00100375,0.993099,-0.302411,0,0.76234,0.993099,0
SPE00100528,0.985952,-0.617609,0,0.563732,0.985952,0
SPE00100537,0.0831267,-40.1746,0,0,0.0831267,0
SPE00100568,1.05219,2.27989,0,0.137064,1.05219,0
SPE00100609,0.967071,-1.44504,0,0.17915,0.967071,0
SPE00102018,0.985497,-0.634023,0,0.53894,0.985497,0
SPE00200004,0.984903,-0.662019,0,0.509932,0.984903,0
SPE01500420,1.016,0.700474,0,0.486024,1.016,0
SPE00100378,0.986916,-0.573196,0,0.56655,0.986916,0
SPE00100455,1.00481,0.212669,0,0.71719,1.00481,0
SPE00100540,0.719949,-12.2723,0,2.19778e-33,0.719949,0
SPE00100572,1.02717,1.18893,0,0.248926,1.02717,0
SPE00100612,0.80447,-8.56828,0,2.4613e-17,0.80447,0
SPE00100682,1.00956,0.415189,0,0.542376,1.00956,0
SPE00102076,0.804067,-8.58673,0,6.74498e-17,0.804067,0
SPE00201606,0.873458,-5.54289,0,7.7289e-08,0.873458,0
SPE00100423,0.959881,-1.75741,0,0.0797444,0.959881,0
SPE00100458,0.99941,-0.0265928,0,0.894348,0.99941,0
SPE00100541,0.952759,-2.07182,0,0.0496492,0.952759,0
SPE00100576,1.01317,0.577357,0,0.565288,1.01317,0
SPE00100615,1.03144,1.37688,0,0.172509,1.03144,0
SPE00100686,1.00105,0.0458268,0,0.96346,1.00105,0
SPE00102058,0.996491,-0.15079,0,0.60844,0.996491,0
SPE00200010,0.997287,-0.120053,0,0.834362,0.997287,0
SPE00100424,1.01665,0.728607,0,0.47057,1.01665,0
SPE00100525,1.00347,0.151958,0,0.879232,1.00347,0
SPE00100551,0.968128,-1.39833,0,0.183581,0.968128,0
SPE00100580,0.986919,-0.573654,0,0.567646,0.986919,0
SPE00100616,0.959576,-1.77258,0,0.084668,0.959576,0
SPE00100698,0.994301,-0.248652,0,0.80688,0.994301,0
SPE00107023,0.995713,-0.189837,0,0.731788,0.995713,0
SPE00200012,1.00607,0.266122,0,0.790154,1.00607,0
SPE00100432,0.977204,-1.00104,0,0.35302,0.977204,0
SPE00100465,0.972509,-1.20591,0,0.241148,0.972509,0
SPE00100550,1.01187,0.521417,0,0.611212,1.01187,0
SPE00100582,0.904418,-4.18662,0,4.50808e-05,0.904418,0
SPE00100618,1.00396,0.173733,0,0.862126,1.00396,0
SPE00100719,0.912165,-3.852,0,0.000591604,0.912165,0
SPE00107022,0.998904,-0.0468388,0,0.833374,0.998904,0
SPE00201466,0.982034,-0.785868,0,0.444298,0.982034,0
SPE00100434,0.984513,-0.682292,0,0.579658,0.984513,0
SPE00100475,1.00429,0.185432,0,0.647624,1.00429,0
SPE00100552,1.00155,0.0673787,0,0.894612,1.00155,0
SPE00100583,1.01046,0.456706,0,0.661584,1.01046,0
SPE00100620,0.992264,-0.338054,0,0.738452,0.992264,0
SPE00100688,0.991811,-0.358228,0,0.721594,0.991811,0
SPE00107093,0.948354,-2.26291,0,0.0236422,0.948354,0
SPE00201477,0.679552,-14.0377,0,5.94711e-42,0.679552,0
SPE00100435,0.969236,-1.35025,0,0.211556,0.969236,0
SPE00100489,0.997435,-0.11067,0,0.76342,0.997435,0
SPE00100562,1.00208,0.0921604,0,0.85476,1.00208,0
SPE00100584,1.01008,0.441713,0,0.65874,1.01008,0
SPE00100638,0.998922,-0.0473086,0,0.962272,0.998922,0
SPE00100731,0.999279,-0.0319226,0,0.954052,0.999279,0
SPE00200002,0.919543,-3.52661,0,0.0005792,0.919543,0
SPE00201484,0.989715,-0.448883,0,0.668896,0.989715,0
SPE00100439,0.966702,-1.4587,0,0.145142,0.966702,0
SPE00100492,0.997003,-0.132185,0,0.881768,0.997003,0
SPE00100520,0.997444,-0.111962,0,0.910854,0.997444,0
SPE00100563,0.997372,-0.114735,0,0.908892,0.997372,0
SPE00100585,1.01085,0.473276,0,0.656116,1.01085,0
SPE00100646,0.986148,-0.607781,0,0.547722,0.986148,0
SPE00107015,1.00552,0.240561,0,0.80599,1.00552,0
SPE00201505,0.713114,-12.5744,0,1.5414e-32,0.713114,0
SPE00100447,0.979443,-0.898458,0,0.406452,0.979443,0
SPE00100497,1.00519,0.226582,0,0.82199,1.00519,0
SPE00100566,0.976661,-1.02197,0,0.30981,0.976661,0
SPE00100586,0.967555,-1.42175,0,0.155278,0.967555,0
SPE00100650,1.00544,0.236845,0,0.79567,1.00544,0
SPE00100901,1.00321,0.143195,0,0.67913,1.00321,0
SPE00102007,0.948979,-2.23641,0,0.0272008,0.948979,0
SPE00201506,0.643055,-15.6385,0,0,0.643055,0
SPE00100517,0.994011,-0.262877,0,0.793298,0.994011,0
SPE00100529,0.872221,-5.60002,0,4.20584e-08,0.872221,0
SPE00100567,0.997203,-0.12516,0,0.648672,0.997203,0
SPE00100595,0.993182,-0.298581,0,0.765346,0.993182,0
SPE00100651,0.994753,-0.229823,0,0.81824,0.994753,0
SPE00102035,0.99859,-0.0599465,0,0.745612,0.99859,0
SPE00107005,0.995826,-0.184019,0,0.842992,0.995826,0
SPE00201509,0.99695,-0.133515,0,0.89381,0.99695,0
SPE00200141,0.989334,-0.467369,0,0.640244,0.989334,0
SPE00200449,0.993891,-0.268573,0,0.790764,0.993891,0
SPE00200833,0.957882,-1.84382,0,0.0763686,0.957882,0
SPE00211458,1.03289,1.44082,0,0.15063,1.03289,0
SPE00300007,0.961355,-1.69302,0,0.090755,0.961355,0
SPE00300058,0.972103,-1.22222,0,0.221738,0.972103,0
SPE00300119,1.0312,1.37074,0,0.263726,1.0312,0
SPE00300531,1.04828,2.11339,0,0.0482426,1.04828,0
SPE00200015,1.07266,3.17952,0,0.00658222,1.07266,0
SPE00200183,0.996201,-0.169623,0,0.584646,0.996201,0
SPE00200457,1.00327,0.142737,0,0.886896,1.00327,0
SPE00200851,0.984488,-0.67889,0,0.501262,0.984488,0
SPE00300012,0.965175,-1.52196,0,0.215884,0.965175,0
SPE00300061,0.992651,-0.325311,0,0.580414,0.992651,0
SPE00300132,1.03063,1.34251,0,0.180503,1.03063,0
SPE00300532,1.02834,1.24161,0,0.214522,1.02834,0
SPE00200031,0.996579,-0.150579,0,0.881208,0.996579,0
SPE00200255,0.610764,-17.0516,0,0,0.610764,0
SPE00200463,1.00019,0.00983758,0,0.772374,1.00019,0
SPE00200873,0.973476,-1.16323,0,0.252818,0.973476,0
SPE00300018,0.989345,-0.465781,0,0.647146,0.989345,0
SPE00300101,0.999211,-0.0330391,0,0.788124,0.999211,0
SPE00300133,1.00785,0.343938,0,0.730898,1.00785,0
SPE00300538,0.76824,-10.1599,0,1.0151e-20,0.76824,0
SPE00200040,1.00477,0.205755,0,0.596638,1.00477,0
SPE00200191,1.0007,0.0305473,0,0.975632,1.0007,0
SPE00200484,0.952196,-2.09227,0,0.0523842,0.952196,0
SPE00201066,0.972699,-1.19456,0,0.25163,0.972699,0
SPE00300021,0.984069,-0.69473,0,0.556432,0.984069,0
SPE00300104,1.02254,0.985931,0,0.348868,1.02254,0
SPE00300148,1.03498,1.52976,0,0.170767,1.03498,0
SPE00300539,1.03893,1.70441,0,0.096321,1.03893,0
SPE00200070,0.999962,-0.0011639,0,0.926952,0.999962,0
SPE00200243,1.00512,0.223435,0,0.82478,1.00512,0
SPE00200488,0.980262,-0.864382,0,0.389046,0.980262,0
SPE00201067,0.899792,-4.39672,0,0.00043605,0.899792,0
SPE00300032,0.931071,-3.01846,0,0.00374142,0.931071,0
SPE00300105,1.00431,0.188287,0,0.851504,1.00431,0
SPE00300157,0.973158,-1.17454,0,0.257464,0.973158,0
SPE00300540,1.02772,1.20902,0,0.41542,1.02772,0
SPE00200107,0.991659,-0.36265,0,0.640328,0.991659,0
SPE00200412,0.992878,-0.311674,0,0.755828,0.992878,0
SPE00200640,0.975775,-1.06102,0,0.290022,0.975775,0
SPE00201078,0.96229,-1.65345,0,0.105441,0.96229,0
SPE00300006,0.984408,-0.682059,0,0.503468,0.984408,0
SPE00300106,1.01555,0.683302,0,0.516118,1.01555,0
SPE00300160,0.993579,-0.280965,0,0.779254,0.993579,0
SPE00300542,1.04246,1.85991,0,0.0645632,1.04246,0
SPE00200110,1.01191,0.520663,0,0.610154,1.01191,0
SPE00200424,0.856627,-6.27859,0,6.66856e-09,0.856627,0
SPE00200743,0.995604,-0.192666,0,0.847232,0.995604,0
SPE00201083,0.956359,-1.91447,0,0.0757542,0.956359,0
SPE00300052,0.974426,-1.12632,0,0.47313,0.974426,0
SPE00300110,1.00469,0.20294,0,0.6484,1.00469,0
SPE00300166,1.02692,1.1778,0,0.265676,1.02692,0
SPE00300545,0.991635,-0.36741,0,0.716794,0.991635,0
SPE00200111,0.998264,-0.0774281,0,0.809644,0.998264,0
SPE00200427,1.01672,0.730161,0,0.499882,1.01672,0
SPE00200759,1.01737,0.760142,0,0.453666,1.01737,0
SPE00201133,1.01069,0.472853,0,0.491908,1.01069,0
SPE00300053,0.984513,-0.674798,0,0.58686,0.984513,0
SPE00300111,0.99803,-0.0866758,0,0.931084,0.99803,0
SPE00300228,0.677211,-14.1442,0,1.12104e-44,0.677211,0
SPE00300546,0.646654,-15.4826,0,0,0.646654,0
SPE00200115,1.03777,1.6524,0,0.129576,1.03777,0
SPE00200441,1.00989,0.431742,0,0.680956,1.00989,0
SPE00200763,0.962017,-1.66415,0,0.0961512,0.962017,0
SPE00201136,0.772496,-9.96319,0,5.7775e-20,0.772496,0
SPE00212097,0.952741,-2.07308,0,0.0555764,0.952741,0
SPE00300055,0.952827,-2.06536,0,0.04643,0.952827,0
SPE00300117,1.00138,0.0604419,0,0.951804,1.00138,0
SPE00300348,0.8407,-6.99055,0,1.69518e-07,0.8407,0
SPE00200139,0.975389,-1.08166,0,0.35674,0.975389,0
SPE00200447,0.975121,-1.09069,0,0.278056,0.975121,0
SPE00200793,1.01429,0.628482,0,0.561806,1.01429,0
SPE00201154,1.0036,0.160188,0,0.668636,1.0036,0
SPE00211224,1.00565,0.244603,0,0.620428,1.00565,0
SPE00300057,0.980764,-0.843284,0,0.400398,0.980764,0
SPE00300118,1.00748,0.329113,0,0.748678,1.00748,0
SPE00300423,0.996971,-0.13377,0,0.85679,0.996971,0
SPE00201513,0.668452,-14.5283,0,0,0.668452,0
SPE00201697,1.00198,0.0899434,0,0.598788,1.00198,0
