supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.999395,-0.0157848,0,0.882048,0.999395,0
SPE00100016,1.01995,0.354974,0,0.726724,1.01995,0
SPE00100058,1.02473,0.452884,0,0.655396,1.02473,0
SPE00100094,0.94052,-1.07608,0,0.281912,0.94052,0
SPE00100126,0.989379,-0.182109,0,0.763646,0.989379,0
SPE00100194,1.00763,0.13703,0,0.891048,1.00763,0
SPE00100271,0.120281,-15.9281,0,0,0.120281,0
SPE00100305,1.01411,0.262108,0,0.797658,1.01411,0
SPE00100003,0.969215,-0.553792,0,0.581302,0.969215,0
SPE00100024,0.985155,-0.279921,0,0.736358,0.985155,0
SPE00100060,1.01584,0.290109,0,0.77305,1.01584,0
SPE00100096,0.989712,-0.192298,0,0.850234,0.989712,0
SPE00100129,1.01669,0.297992,0,0.767246,1.01669,0
SPE00100195,1.03015,0.554174,0,0.593096,1.03015,0
SPE00100279,0.484617,-9.33424,0,1.98259e-19,0.484617,0
SPE00100310,0.983129,-0.289733,0,0.651048,0.983129,0
SPE00100005,0.754108,-4.45248,0,1.08358e-05,0.754108,0
SPE00100031,0.996256,-0.070812,0,0.924566,0.996256,0
SPE00100066,1.01513,0.273545,0,0.784438,1.01513,0
SPE00100098,0.862244,-2.5017,0,0.0167523,0.862244,0
SPE00100139,0.992592,-0.136676,0,0.891652,0.992592,0
SPE00100201,1.00113,0.0114541,0,0.782118,1.00113,0
SPE00100280,0.833601,-3.01267,0,0.00271008,0.833601,0
SPE00100315,1.00317,0.0706695,0,0.685046,1.00317,0
SPE00100006,0.985545,-0.261628,0,0.793612,0.985545,0
SPE00100034,1.02309,0.419195,0,0.675426,1.02309,0
SPE00100068,1.01711,0.308041,0,0.758294,1.01711,0
SPE00100099,0.973317,-0.488632,0,0.630968,0.973317,0
SPE00100140,1.00382,0.0710678,0,0.943444,1.00382,0
SPE00100205,1.00219,0.0395818,0,0.968426,1.00219,0
SPE00100287,0.111436,-16.0899,0,0,0.111436,0
