supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.940094,-2.41971,0,0.022566,0.940094,0
SPE00100016,0.978293,-0.872602,0,0.382952,0.978293,0
SPE00100058,1.00021,-0.00425541,0,0.732456,1.00021,0
SPE00100094,0.994882,-0.211479,0,0.834652,0.994882,0
SPE00100126,1.02123,0.854918,0,0.393322,1.02123,0
SPE00100194,1.01632,0.641176,0,0.552156,1.01632,0
SPE00100271,0.304107,-28.0044,0,0,0.304107,0
SPE00100305,0.985634,-0.548264,0,0.495898,0.985634,0
SPE00100003,0.95558,-1.8024,0,0.106198,0.95558,0
SPE00100024,0.97717,-0.93628,0,0.41257,0.97717,0
SPE00100060,0.981139,-0.75831,0,0.448338,0.981139,0
SPE00100096,1.00972,0.395905,0,0.695538,1.00972,0
SPE00100129,1.00637,0.23788,0,0.63465,1.00637,0
SPE00100195,1.01173,0.47232,0,0.636838,1.01173,0
SPE00100279,0.448792,-22.1706,0,0,0.448792,0
SPE00100310,0.984665,-0.607968,0,0.552886,0.984665,0
SPE00100005,0.863839,-5.49979,0,1.47561e-06,0.863839,0
SPE00100031,0.977861,-0.905667,0,0.411392,0.977861,0
SPE00100066,1.0126,0.502146,0,0.617716,1.0126,0
SPE00100098,0.992531,-0.308105,0,0.763638,0.992531,0
SPE00100139,0.992931,-0.273737,0,0.78747,0.992931,0
SPE00100201,0.992721,-0.273396,0,0.61607,0.992721,0
SPE00100280,0.944936,-2.2063,0,0.0292074,0.944936,0
SPE00100315,1.00858,0.358308,0,0.729506,1.00858,0
SPE00100006,1.0035,0.122719,0,0.628572,1.0035,0
SPE00100034,0.997213,-0.119251,0,0.842662,0.997213,0
SPE00100068,0.997096,-0.120177,0,0.904784,0.997096,0
SPE00100099,0.986395,-0.536795,0,0.604346,0.986395,0
SPE00100140,0.991776,-0.361481,0,0.424644,0.991776,0
SPE00100205,0.985882,-0.551153,0,0.61612,0.985882,0
SPE00100287,0.132428,-34.8958,0,0,0.132428,0
SPE00100318,1.00552,0.231768,0,0.79197,1.00552,0
SPE00100008,0.966692,-1.34869,0,0.195893,0.966692,0
SPE00100047,1.0015,0.0367709,0,0.521632,1.0015,0
SPE00100069,1.01114,0.441181,0,0.66385,1.01114,0
SPE00100101,0.876889,-4.93016,0,3.24148e-06,0.876889,0
SPE00100146,0.951698,-1.95693,0,0.0744806,0.951698,0
SPE00100218,0.995721,-0.181808,0,0.789332,0.995721,0
SPE00100290,1.00449,0.164749,0,0.673374,1.00449,0
SPE00100325,0.0610639,-37.7721,0,0,0.0610639,0
SPE00100009,0.764806,-9.46966,0,3.62368e-19,0.764806,0
SPE00100048,0.984092,-0.633793,0,0.530418,0.984092,0
SPE00100076,0.994154,-0.240289,0,0.812168,0.994154,0
SPE00100102,1.00103,0.028369,0,0.724652,1.00103,0
SPE00100156,0.989922,-0.429012,0,0.545494,0.989922,0
SPE00100222,1.00261,0.101124,0,0.916566,1.00261,0
SPE00100296,1.00297,0.121612,0,0.903406,1.00297,0
SPE00100530,1.00536,0.226136,0,0.773912,1.00536,0
SPE00100049,0.986537,-0.548532,0,0.591604,0.986537,0
