supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.993009,-0.291128,0,0.773362,0.993009,0
SPE00100016,1.00002,-0.0114154,0,0.784456,1.00002,0
SPE00100058,1.0077,0.308116,0,0.759582,1.0077,0
SPE00100094,0.978049,-0.878092,0,0.40718,0.978049,0
SPE00100126,1.01166,0.474887,0,0.63489,1.01166,0
SPE00100194,1.00965,0.418245,0,0.599976,1.00965,0
SPE00100271,0.139253,-35.0969,0,0,0.139253,0
SPE00100305,1.00883,0.371025,0,0.719632,1.00883,0
SPE00100003,0.98379,-0.665202,0,0.509068,0.98379,0
SPE00100024,0.98889,-0.466224,0,0.657074,0.98889,0
SPE00100060,1.00475,0.193985,0,0.846204,1.00475,0
SPE00100096,1.00515,0.206209,0,0.837108,1.00515,0
SPE00100129,1.00954,0.382659,0,0.704068,1.00954,0
SPE00100195,1.02358,0.968224,0,0.342032,1.02358,0
SPE00100279,0.447817,-22.4793,0,0,0.447817,0
SPE00100310,0.982345,-0.72065,0,0.471602,0.982345,0
SPE00100005,0.89657,-4.21205,0,2.59982e-05,0.89657,0
SPE00100031,0.996601,-0.128594,0,0.828666,0.996601,0
SPE00100066,1.00341,0.135938,0,0.892074,1.00341,0
SPE00100098,0.93452,-2.66283,0,0.00782464,0.93452,0
SPE00100139,1.01975,0.795134,0,0.434956,1.01975,0
SPE00100201,1.01066,0.442145,0,0.664038,1.01066,0
SPE00100280,0.893787,-4.33418,0,2.45878e-05,0.893787,0
SPE00100315,1.00819,0.343878,0,0.738038,1.00819,0
SPE00100006,0.995804,-0.166056,0,0.868838,0.995804,0
SPE00100034,1.00367,0.138811,0,0.816142,1.00367,0
SPE00100068,1.01432,0.585739,0,0.558902,1.01432,0
SPE00100099,0.971908,-1.14199,0,0.253684,0.971908,0
SPE00100140,1.00553,0.218206,0,0.829308,1.00553,0
SPE00100205,1.01926,0.787214,0,0.432388,1.01926,0
SPE00100287,0.072573,-37.8213,0,0,0.072573,0
SPE00100318,1.02022,0.839702,0,0.43314,1.02022,0
SPE00100008,0.971409,-1.15039,0,0.270558,0.971409,0
SPE00100047,0.994866,-0.208134,0,0.835152,0.994866,0
SPE00100069,1.02613,1.04396,0,0.34041,1.02613,0
SPE00100101,0.886798,-4.6018,0,4.91116e-06,0.886798,0
SPE00100146,0.954296,-1.86494,0,0.0636736,0.954296,0
SPE00100218,1.00295,0.10217,0,0.691652,1.00295,0
SPE00100290,1.0146,0.606988,0,0.559504,1.0146,0
SPE00100325,0.0495924,-38.7588,0,0,0.0495924,0
SPE00100009,0.666949,-13.56,0,1.55516e-41,0.666949,0
SPE00100048,0.991047,-0.355174,0,0.728038,0.991047,0
SPE00100076,0.996022,-0.164308,0,0.869678,0.996022,0
SPE00100102,0.991686,-0.339145,0,0.734538,0.991686,0
SPE00100156,1.01993,0.821931,0,0.424074,1.01993,0
SPE00100222,0.999966,0.0100088,0,0.799068,0.999966,0
SPE00100296,1.01575,0.623816,0,0.56211,1.01575,0
SPE00100530,1.03294,1.32882,0,0.198713,1.03294,0
SPE00100049,0.969759,-1.22733,0,0.221074,0.969759,0
SPE00100081,1.00304,0.109861,0,0.755826,1.00304,0
SPE00100103,0.976437,-0.960973,0,0.337032,0.976437,0
SPE00100158,1.01928,0.780839,0,0.436744,1.01928,0
SPE00100223,0.994491,-0.214262,0,0.828184,0.994491,0
SPE00100298,1.01367,0.568687,0,0.584242,1.01367,0
SPE00100531,1.03579,1.46142,0,0.14616,1.03579,0
SPE00240645,0.829587,-6.91488,0,5.72522e-11,0.829587,0
SPE00100012,0.969996,-1.21562,0,0.227668,0.969996,0
SPE00100050,0.977617,-0.920566,0,0.368226,0.977617,0
SPE00100088,1.0032,0.125696,0,0.900456,1.0032,0
SPE00100105,0.995623,-0.187608,0,0.835094,0.995623,0
SPE00100162,1.00911,0.366321,0,0.71553,1.00911,0
SPE00100242,0.978185,-0.878306,0,0.390564,0.978185,0
SPE00100301,0.0584188,-38.401,0,0,0.0584188,0
SPE00100359,1.02831,1.16683,0,0.268486,1.02831,0
SPE00100013,0.987664,-0.49176,0,0.632,0.987664,0
SPE00100054,0.956128,-1.8168,0,0.137344,0.956128,0
SPE00100090,1.03464,1.42431,0,0.176054,1.03464,0
SPE00100114,0.99843,-0.0714434,0,0.866244,0.99843,0
SPE00100173,1.01446,0.577231,0,0.57583,1.01446,0
SPE00100254,1.00693,0.282977,0,0.777242,1.00693,0
SPE00100303,0.997065,-0.127542,0,0.857648,0.997065,0
SPE00100360,1.02216,0.918855,0,0.392524,1.02216,0
SPE00100014,0.972606,-1.07712,0,0.435426,0.972606,0
SPE00100056,0.968679,-1.30976,0,0.316988,0.968679,0
SPE00100093,0.908379,-3.72949,0,0.00019204,0.908379,0
SPE00100117,0.965053,-1.45695,0,0.259884,0.965053,0
SPE00100190,1.01548,0.620171,0,0.544664,1.01548,0
SPE00100267,1.00937,0.391149,0,0.702776,1.00937,0
SPE00100304,1.00854,0.353641,0,0.725882,1.00854,0
SPE00100368,1.0084,0.356396,0,0.7352,1.0084,0
SPE00100375,1.00224,0.0940545,0,0.925238,1.00224,0
SPE00100528,0.921965,-3.19976,0,0.00389236,0.921965,0
SPE00100537,0.0691221,-37.9622,0,0,0.0691221,0
SPE00100568,1.02422,0.984431,0,0.325058,1.02422,0
SPE00100609,0.974203,-1.05786,0,0.297592,0.974203,0
SPE00102018,0.978022,-0.885045,0,0.386676,0.978022,0
SPE00200004,1.03986,1.60939,0,0.122115,1.03986,0
SPE01500420,1.05745,2.31511,0,0.038076,1.05745,0
SPE00100378,0.975833,-0.959245,0,0.40535,0.975833,0
SPE00100455,1.01214,0.502755,0,0.621538,1.01214,0
SPE00100540,0.473016,-21.4271,0,0,0.473016,0
SPE00100572,1.02121,0.84414,0,0.43982,1.02121,0
SPE00100612,0.458158,-22.0801,0,0,0.458158,0
SPE00100682,1.0433,1.73802,0,0.126648,1.0433,0
SPE00102076,0.77456,-9.2186,0,7.65176e-17,0.77456,0
SPE00201606,0.236543,-31.0122,0,0,0.236543,0
SPE00100423,0.951822,-1.94209,0,0.072985,0.951822,0
SPE00100458,1.00517,0.211521,0,0.832536,1.00517,0
SPE00100541,0.932851,-2.73469,0,0.00628194,0.932851,0
SPE00100576,1.01507,0.604202,0,0.553866,1.01507,0
SPE00100615,1.02704,1.08933,0,0.290926,1.02704,0
SPE00100686,1.03511,1.41944,0,0.165396,1.03511,0
SPE00102058,1.03004,1.22509,0,0.221276,1.03004,0
SPE00200010,0.880447,-4.86017,0,1.40898e-06,0.880447,0
SPE00100424,0.99409,-0.209119,0,0.492366,0.99409,0
SPE00100525,1.0048,0.19633,0,0.844382,1.0048,0
SPE00100551,0.963459,-1.50828,0,0.173656,0.963459,0
SPE00100580,0.996049,-0.170826,0,0.825602,0.996049,0
SPE00100616,0.959814,-1.64167,0,0.103815,0.959814,0
SPE00100698,1.0358,1.45763,0,0.144964,1.0358,0
SPE00107023,1.02335,0.948285,0,0.343582,1.02335,0
SPE00200012,1.03403,1.37377,0,0.182883,1.03403,0
SPE00100432,0.970106,-1.21047,0,0.23058,0.970106,0
SPE00100465,0.992416,-0.29584,0,0.776476,0.992416,0
SPE00100550,1.0075,0.301004,0,0.76439,1.0075,0
SPE00100582,0.876696,-5.03284,0,1.26837e-06,0.876696,0
SPE00100618,1.01625,0.652681,0,0.521698,1.01625,0
SPE00100719,0.867255,-5.40818,0,7.84194e-08,0.867255,0
SPE00107022,1.02279,0.916887,0,0.372614,1.02279,0
SPE00201466,1.0389,1.55648,0,0.184492,1.0389,0
SPE00100434,0.973126,-1.09105,0,0.276138,0.973126,0
SPE00100475,1.00371,0.15065,0,0.880256,1.00371,0
SPE00100552,1.00947,0.381449,0,0.704044,1.00947,0
SPE00100583,0.993849,-0.253514,0,0.800362,0.993849,0
SPE00100620,1.02666,1.08047,0,0.282476,1.02666,0
SPE00100688,1.0312,1.26697,0,0.206178,1.0312,0
SPE00107093,0.962258,-1.5472,0,0.13323,0.962258,0
SPE00201477,0.75265,-10.0094,0,1.40989e-18,0.75265,0
SPE00100435,0.978929,-0.83565,0,0.457346,0.978929,0
SPE00100489,0.991874,-0.329458,0,0.741908,0.991874,0
SPE00100562,0.989128,-0.446002,0,0.656588,0.989128,0
SPE00100584,0.999614,-0.0286019,0,0.773678,0.999614,0
SPE00100638,1.02111,0.844847,0,0.421596,1.02111,0
SPE00100731,1.03402,1.37158,0,0.188595,1.03402,0
SPE00200002,0.934723,-2.6629,0,0.00832414,0.934723,0
SPE00201484,1.02353,0.975895,0,0.368012,1.02353,0
SPE00100439,0.972712,-1.08046,0,0.381866,0.972712,0
SPE00100492,0.990223,-0.392424,0,0.696926,0.990223,0
SPE00100520,1.03354,1.34513,0,0.221068,1.03354,0
SPE00100563,1.02481,1.00982,0,0.312586,1.02481,0
SPE00100585,0.994885,-0.210682,0,0.833392,0.994885,0
SPE00100646,1.00332,0.132887,0,0.894392,1.00332,0
SPE00107015,1.02951,1.18775,0,0.255252,1.02951,0
SPE00201505,0.241514,-30.8891,0,0,0.241514,0
SPE00100447,0.973864,-1.0607,0,0.28993,0.973864,0
SPE00100497,1.01777,0.721343,0,0.471162,1.01777,0
SPE00100566,0.99425,-0.214014,0,0.662068,0.99425,0
SPE00100586,0.908915,-3.70763,0,0.000209354,0.908915,0
SPE00100650,1.03262,1.31656,0,0.201596,1.03262,0
SPE00100901,1.0119,0.493718,0,0.628982,1.0119,0
SPE00102007,0.927494,-2.94967,0,0.0031942,0.927494,0
SPE00201506,0.0644274,-38.1596,0,0,0.0644274,0
SPE00100517,0.996728,-0.126022,0,0.874406,0.996728,0
SPE00100529,0.827493,-6.97414,0,1.55068e-09,0.827493,0
SPE00100567,0.999178,-0.0545963,0,0.637076,0.999178,0
SPE00100595,1.00069,0.0152855,0,0.774006,1.00069,0
SPE00100651,1.01097,0.440761,0,0.662004,1.01097,0
SPE00102035,1.0083,0.344222,0,0.73341,1.0083,0
SPE00107005,1.01103,0.475514,0,0.596468,1.01103,0
SPE00201509,0.997731,-0.101476,0,0.839498,0.997731,0
SPE00200141,0.971025,-1.15964,0,0.290454,0.971025,0
SPE00200449,0.995459,-0.177375,0,0.861132,0.995459,0
SPE00200833,0.970574,-1.19452,0,0.233414,0.970574,0
SPE00211458,1.04792,1.9296,0,0.0801176,1.04792,0
SPE00300007,0.928654,-2.86297,0,0.0256262,0.928654,0
SPE00300058,1.00167,0.0498841,0,0.685022,1.00167,0
SPE00300119,1.03709,1.50321,0,0.136819,1.03709,0
SPE00300531,1.03966,1.6118,0,0.107493,1.03966,0
SPE00200015,1.03188,1.28445,0,0.217988,1.03188,0
SPE00200183,0.990261,-0.406132,0,0.691632,0.990261,0
SPE00200457,1.01591,0.634816,0,0.542178,1.01591,0
SPE00200851,1.00637,0.257429,0,0.79704,1.00637,0
SPE00300012,0.944356,-2.23779,0,0.053172,0.944356,0
SPE00300061,0.982968,-0.687734,0,0.494856,0.982968,0
SPE00300132,1.02926,1.17265,0,0.278398,1.02926,0
SPE00300532,1.02359,0.965474,0,0.337674,1.02359,0
SPE00200031,1.00179,0.0888052,0,0.723194,1.00179,0
SPE00200255,0.06431,-38.1384,0,0,0.06431,0
SPE00200463,1.02907,1.15733,0,0.322386,1.02907,0
SPE00200873,1.01757,0.697572,0,0.517758,1.01757,0
SPE00300018,0.964114,-1.44628,0,0.1686,0.964114,0
SPE00300101,1.01064,0.428095,0,0.670372,1.01064,0
SPE00300133,0.990944,-0.362751,0,0.719088,0.990944,0
SPE00300538,0.102032,-36.5864,0,0,0.102032,0
SPE00200040,0.880914,-4.81125,0,2.9494e-05,0.880914,0
SPE00200191,1.03297,1.33073,0,0.19688,1.03297,0
SPE00200484,0.97314,-1.0847,0,0.286672,0.97314,0
SPE00201066,1.01066,0.419627,0,0.689492,1.01066,0
SPE00300021,0.994219,-0.227821,0,0.822228,0.994219,0
SPE00300104,0.998619,-0.0494962,0,0.881186,0.998619,0
SPE00300148,1.00405,0.175237,0,0.8182,1.00405,0
SPE00300539,1.02213,0.903389,0,0.367278,1.02213,0
SPE00200070,0.997457,-0.101785,0,0.918988,0.997457,0
SPE00200243,1.03859,1.56342,0,0.122702,1.03859,0
SPE00200488,1.00401,0.150363,0,0.775056,1.00401,0
SPE00201067,0.726874,-11.1078,0,4.79558e-28,0.726874,0
SPE00300032,0.942387,-2.34454,0,0.0190536,0.942387,0
SPE00300105,1.01333,0.541185,0,0.588558,1.01333,0
SPE00300157,0.929946,-2.83593,0,0.00705428,0.929946,0
SPE00300540,1.01085,0.455083,0,0.664036,1.01085,0
SPE00200107,0.277901,-29.3073,0,0,0.277901,0
SPE00200412,1.04398,1.76371,0,0.129819,1.04398,0
SPE00200640,1.00309,0.132521,0,0.88422,1.00309,0
SPE00201078,0.980195,-0.821232,0,0.437722,0.980195,0
SPE00300006,0.983648,-0.669889,0,0.504952,0.983648,0
SPE00300106,1.01642,0.658164,0,0.521362,1.01642,0
SPE00300160,1.00229,0.100129,0,0.87487,1.00229,0
SPE00300542,1.01806,0.739843,0,0.461916,1.01806,0
SPE00200110,1.05418,2.18304,0,0.0491898,1.05418,0
SPE00200424,0.7424,-10.3866,0,1.1707e-16,0.7424,0
SPE00200743,0.956704,-1.75006,0,0.0911498,0.956704,0
SPE00201083,0.944014,-2.29034,0,0.0265968,0.944014,0
SPE00300052,0.970703,-1.18455,0,0.243344,0.970703,0
SPE00300110,1.01179,0.492719,0,0.636266,1.01179,0
SPE00300166,1.03229,1.31525,0,0.188595,1.03229,0
SPE00300545,0.962421,-1.53083,0,0.125981,0.962421,0
SPE00200111,0.998102,-0.109567,0,0.472972,0.998102,0
SPE00200427,1.03495,1.42579,0,0.155112,1.03495,0
SPE00200759,1.04806,1.9392,0,0.0690838,1.04806,0
SPE00201133,1.04407,1.76317,0,0.14701,1.04407,0
SPE00300053,0.998884,-0.0336515,0,0.792998,0.998884,0
SPE00300111,0.997671,-0.0604289,0,0.443436,0.997671,0
SPE00300228,0.668308,-13.4896,0,2.00683e-40,0.668308,0
SPE00300546,0.781174,-8.93983,0,1.31243e-16,0.781174,0
SPE00200115,1.01216,0.47005,0,0.618466,1.01216,0
SPE00200441,1.03381,1.33648,0,0.338402,1.03381,0
SPE00200763,0.663136,-13.6574,0,5.18404e-36,0.663136,0
SPE00201136,0.66296,-13.6723,0,4.91022e-37,0.66296,0
SPE00212097,0.949865,-2.06995,0,0.0822074,0.949865,0
SPE00300055,0.968998,-1.24871,0,0.231038,0.968998,0
SPE00300117,0.988916,-0.427715,0,0.633124,0.988916,0
SPE00300348,0.869199,-5.30915,0,3.17492e-07,0.869199,0
SPE00200139,0.964269,-1.43381,0,0.193558,0.964269,0
SPE00200447,1.01738,0.663429,0,0.427192,1.01738,0
SPE00200793,1.01054,0.442299,0,0.672166,1.01054,0
SPE00201154,1.03168,1.27853,0,0.21434,1.03168,0
SPE00211224,0.93211,-2.77796,0,0.00814692,0.93211,0
SPE00300057,0.983712,-0.630958,0,0.556024,0.983712,0
SPE00300118,0.9924,-0.274625,0,0.455164,0.9924,0
SPE00300423,1.03677,1.47519,0,0.18396,1.03677,0
SPE00201513,0.0756931,-37.699,0,0,0.0756931,0
SPE00201697,1.07483,2.95217,0,0.194315,1.07483,0
SPE00210239,0.124127,-35.7198,0,0,0.124127,0
SPE00210567,1.09038,3.5187,0,0.48065,1.09038,0
SPE00211126,1.07355,2.85157,0,0.374446,1.07355,0
SPE00211709,0.134017,-35.3102,0,0,0.134017,0
SPE00240660,1.06677,2.6299,0,0.249992,1.06677,0
SPE01503261,0.358062,-26.0345,0,0,0.358062,0
SPE00100652,1.07315,2.92204,0,0.0457754,1.07315,0
SPE00201524,0.921665,-3.17837,0,0.00188653,0.921665,0
SPE00203010,1.02332,0.918039,0,0.46436,1.02332,0
SPE00210242,0.0984575,-36.7555,0,0,0.0984575,0
SPE00210568,1.07052,2.80876,0,0.0754104,1.07052,0
SPE00211152,1.07491,2.99302,0,0.0403362,1.07491,0
SPE00212140,1.06307,2.51065,0,0.105292,1.06307,0
SPE00240673,0.992672,-0.345524,0,0.319156,0.992672,0
SPE00201539,0.644856,-14.4029,0,2.18493e-40,0.644856,0
SPE00201716,0.906592,-3.78594,0,0.000316036,0.906592,0
SPE00210025,0.795605,-8.2147,0,1.96978e-09,0.795605,0
SPE00210296,1.08174,3.27869,0,0.0136602,1.08174,0
SPE00210599,1.03982,1.61047,0,0.116193,1.03982,0
SPE00211227,1.08917,3.60172,0,0.00143517,1.08917,0
SPE00240429,0.634735,-14.7697,0,9.3501e-37,0.634735,0
SPE00240828,0.113917,-36.1185,0,0,0.113917,0
SPE00201540,0.967574,-1.30161,0,0.228998,0.967574,0
SPE00201610,0.905002,-3.8223,0,0.00228196,0.905002,0
SPE00210014,1.0498,1.99884,0,0.0897564,1.0498,0
SPE00210072,1.0087,0.342023,0,0.741322,1.0087,0
SPE00210369,1.07187,2.88992,0,0.0178072,1.07187,0
SPE00210837,1.05773,2.3138,0,0.0655002,1.05773,0
SPE00240437,1.04287,1.721,0,0.129121,1.04287,0
SPE00240862,1.01884,0.750187,0,0.483342,1.01884,0
SPE00100687,1.04158,1.66873,0,0.141629,1.04158,0
SPE00107013,1.04715,1.90257,0,0.0737746,1.04715,0
SPE00201581,0.345903,-26.6096,0,0,0.345903,0
SPE00210201,1.03003,1.21561,0,0.229382,1.03003,0
SPE00210454,0.88885,-4.51323,0,1.05193e-05,0.88885,0
SPE00210850,0.165658,-34.0029,0,0,0.165658,0
SPE00240470,1.01665,0.716188,0,0.498176,1.01665,0
SPE00240871,1.02373,0.947984,0,0.381182,1.02373,0
SPE00100355,1.0574,2.32226,0,0.0262912,1.0574,0
SPE00201584,0.848723,-6.13941,0,4.59786e-09,0.848723,0
SPE00210203,0.996226,-0.143319,0,0.81984,0.996226,0
SPE00210503,1.04768,1.92091,0,0.078215,1.04768,0
SPE00210863,0.275201,-29.5054,0,0,0.275201,0
SPE00211538,1.0595,2.39501,0,0.0374378,1.0595,0
SPE00240497,1.03993,1.5787,0,0.299748,1.03993,0
SPE00240944,0.977189,-0.941174,0,0.365918,0.977189,0
SPE00200123,0.544835,-18.4947,0,0,0.544835,0
SPE00201595,0.573402,-17.2648,0,0,0.573402,0
SPE00210211,1.04037,1.59632,0,0.29354,1.04037,0
SPE00210505,0.42676,-23.2343,0,0,0.42676,0
SPE00210866,1.01753,0.692784,0,0.533628,1.01753,0
SPE00211531,1.05855,2.33147,0,0.118444,1.05855,0
SPE00240565,0.771767,-9.23137,0,1.00372e-15,0.771767,0
SPE00290030,1.05117,2.04606,0,0.110833,1.05117,0
SPE00100749,1.03013,1.20431,0,0.28261,1.03013,0
SPE00201654,1.01769,0.706697,0,0.498982,1.01769,0
SPE00210220,1.03259,1.29115,0,0.325646,1.03259,0
SPE00210515,0.0728968,-37.807,0,0,0.0728968,0
SPE00210874,1.03348,1.3319,0,0.281344,1.03348,0
SPE00211475,0.905424,-3.80812,0,0.00193441,0.905424,0
SPE00240567,1.05232,2.09106,0,0.110856,1.05232,0
SPE00300001,1.02524,1.00008,0,0.401106,1.02524,0
SPE00100743,1.00509,0.217804,0,0.817276,1.00509,0
SPE00201662,1.02453,0.994243,0,0.322168,1.02453,0
SPE00210235,1.03803,1.53686,0,0.135379,1.03803,0
SPE00210522,1.02371,0.969419,0,0.334616,1.02371,0
SPE00211012,0.749555,-10.1458,0,5.10438e-20,0.749555,0
SPE00211552,0.135961,-35.1712,0,0,0.135961,0
SPE00240590,1.06967,2.82284,0,0.00648172,1.06967,0
SPE00300003,1.01746,0.674424,0,0.517834,1.01746,0
SPE00100655,1.05045,2.02108,0,0.100059,1.05045,0
SPE00202130,1.03218,1.29387,0,0.223836,1.03218,0
SPE00210238,0.702393,-12.0179,0,2.06512e-23,0.702393,0
SPE00210556,1.05543,2.28767,0,0.0584304,1.05543,0
SPE00211066,1.00436,0.143535,0,0.455726,1.00436,0
SPE00211566,1.01758,0.654241,0,0.257346,1.01758,0
