supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.01475,0.38522,0,0.719046,1.01475,0
SPE00100016,1.00956,0.251122,0,0.787494,1.00956,0
SPE00100058,1.01829,0.464964,0,0.644222,1.01829,0
SPE00100094,0.906291,-2.35312,0,0.0207826,0.906291,0
SPE00100126,0.960454,-1.02271,0,0.421418,0.960454,0
SPE00100194,0.955291,-1.14736,0,0.325736,0.955291,0
SPE00100271,0.136505,-21.7806,0,0,0.136505,0
SPE00100305,0.97703,-0.569034,0,0.581824,0.97703,0
SPE00100003,0.993617,-0.171447,0,0.776604,0.993617,0
SPE00100024,0.979408,-0.511413,0,0.61579,0.979408,0
SPE00100060,1.02819,0.711736,0,0.47713,1.02819,0
SPE00100096,0.997137,-0.0543828,0,0.633462,0.997137,0
SPE00100129,1.0049,0.118869,0,0.900602,1.0049,0
SPE00100195,0.97252,-0.701486,0,0.496708,0.97252,0
SPE00100279,0.707302,-7.39749,0,9.59598e-12,0.707302,0
SPE00100310,1.01537,0.367702,0,0.622672,1.01537,0
SPE00100005,0.350446,-16.3807,0,0,0.350446,0
SPE00100031,1.04305,1.0888,0,0.279638,1.04305,0
SPE00100066,1.0461,1.14916,0,0.274362,1.0461,0
SPE00100098,0.951315,-1.27021,0,0.473404,0.951315,0
SPE00100139,0.972922,-0.663677,0,0.556062,0.972922,0
SPE00100201,0.953881,-1.19993,0,0.446672,0.953881,0
SPE00100280,0.725369,-6.92154,0,6.1971e-12,0.725369,0
SPE00100315,0.972893,-0.681507,0,0.495784,0.972893,0
SPE00100006,1.07181,1.81051,0,0.0705784,1.07181,0
SPE00100034,1.01732,0.442575,0,0.662814,1.01732,0
SPE00100068,1.03394,0.879832,0,0.478284,1.03394,0
SPE00100099,0.983044,-0.431971,0,0.66851,0.983044,0
SPE00100140,0.984985,-0.387545,0,0.707354,0.984985,0
SPE00100205,0.9091,-2.29986,0,0.0266656,0.9091,0
SPE00100287,0.12514,-22.065,0,0,0.12514,0
SPE00100318,0.991893,-0.234463,0,0.427146,0.991893,0
SPE00100008,1.00186,0.0694318,0,0.541494,1.00186,0
SPE00100047,1.0422,1.03489,0,0.427116,1.0422,0
SPE00100069,1.06605,1.66186,0,0.0969296,1.06605,0
SPE00100101,0.752975,-6.24036,0,4.79516e-09,0.752975,0
SPE00100146,0.655455,-8.69311,0,6.0016e-17,0.655455,0
SPE00100218,0.941481,-1.49679,0,0.206754,0.941481,0
SPE00100290,0.955997,-1.09894,0,0.28683,0.955997,0
SPE00100325,0.0972849,-22.7674,0,0,0.0972849,0
SPE00100009,0.317548,-17.2053,0,0,0.317548,0
SPE00100048,1.03459,0.896735,0,0.473594,1.03459,0
SPE00100076,1.05018,1.24696,0,0.259094,1.05018,0
SPE00100102,1.03093,0.792785,0,0.459096,1.03093,0
SPE00100156,0.965676,-0.879387,0,0.416404,0.965676,0
SPE00100222,0.961672,-0.982862,0,0.377598,0.961672,0
SPE00100296,0.975701,-0.609689,0,0.542854,0.975701,0
SPE00100530,1.00525,0.11671,0,0.6801,1.00525,0
SPE00100049,1.04809,1.21244,0,0.225592,1.04809,0
SPE00100081,1.00908,0.222301,0,0.826572,1.00908,0
SPE00100103,1.03286,0.802328,0,0.520504,1.03286,0
SPE00100158,0.991563,-0.204938,0,0.840912,0.991563,0
SPE00100223,0.918561,-2.05925,0,0.0441586,0.918561,0
SPE00100298,0.946538,-1.32152,0,0.281662,0.946538,0
SPE00100531,0.972049,-0.693101,0,0.506674,0.972049,0
SPE00240645,0.72214,-6.97949,0,4.84568e-11,0.72214,0
SPE00100012,0.932822,-1.67617,0,0.12346,0.932822,0
SPE00100050,1.04075,1.00672,0,0.378802,1.04075,0
SPE00100088,1.02783,0.700409,0,0.4837,1.02783,0
SPE00100105,1.02683,0.669954,0,0.50802,1.02683,0
SPE00100162,0.99619,-0.08381,0,0.743992,0.99619,0
SPE00100242,0.812318,-4.72965,0,2.37728e-06,0.812318,0
SPE00100301,0.141354,-21.6594,0,0,0.141354,0
SPE00100359,0.945669,-1.348,0,0.241264,0.945669,0
SPE00100013,0.978732,-0.529417,0,0.601684,0.978732,0
SPE00100054,1.00936,0.241897,0,0.811348,1.00936,0
SPE00100090,1.09361,2.37728,0,0.033938,1.09361,0
SPE00100114,0.998126,-0.058224,0,0.766816,0.998126,0
SPE00100173,0.979348,-0.515586,0,0.608858,0.979348,0
