supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.987434,-0.607524,0,0.545396,0.987434,0
SPE00100016,1.00296,0.141796,0,0.88777,1.00296,0
SPE00100058,1.00767,0.369175,0,0.714696,1.00767,0
SPE00100094,0.992063,-0.386654,0,0.700256,0.992063,0
SPE00100126,1.00605,0.295231,0,0.768938,1.00605,0
SPE00100194,1.00922,0.450412,0,0.657002,1.00922,0
SPE00100271,0.227687,-37.4611,0,0,0.227687,0
SPE00100305,0.993336,-0.318098,0,0.758814,0.993336,0
SPE00100003,0.985834,-0.685586,0,0.494078,0.985834,0
SPE00100024,1.00557,0.266847,0,0.792784,1.00557,0
SPE00100060,1.00495,0.239592,0,0.810726,1.00495,0
SPE00100096,1.00703,0.33884,0,0.736036,1.00703,0
SPE00100129,1.00448,0.213347,0,0.834694,1.00448,0
SPE00100195,1.01413,0.68602,0,0.493336,1.01413,0
SPE00100279,0.656294,-16.6684,0,0,0.656294,0
SPE00100310,0.981426,-0.900776,0,0.36771,0.981426,0
SPE00100005,0.893341,-5.16081,0,2.63206e-06,0.893341,0
SPE00100031,1.00383,0.184106,0,0.854392,1.00383,0
SPE00100066,1.0085,0.414318,0,0.68025,1.0085,0
SPE00100098,0.965168,-1.68551,0,0.097785,0.965168,0
SPE00100139,1.01239,0.600794,0,0.548004,1.01239,0
SPE00100201,1.00882,0.433474,0,0.678022,1.00882,0
SPE00100280,0.950956,-2.36776,0,0.0368562,0.950956,0
SPE00100315,0.980452,-0.949104,0,0.343488,0.980452,0
SPE00100006,1.00028,0.0151523,0,0.93937,1.00028,0
SPE00100034,1.01777,0.862816,0,0.389158,1.01777,0
SPE00100068,1.00897,0.43306,0,0.66656,1.00897,0
SPE00100099,1.00334,0.164221,0,0.870308,1.00334,0
SPE00100140,1.00189,0.0918596,0,0.926826,1.00189,0
SPE00100205,1.01887,0.919636,0,0.370206,1.01887,0
SPE00100287,0.0930021,-43.9921,0,0,0.0930021,0
SPE00100318,0.988169,-0.57667,0,0.568838,0.988169,0
SPE00100008,0.98254,-0.847282,0,0.397058,0.98254,0
SPE00100047,0.994452,-0.266248,0,0.792258,0.994452,0
SPE00100069,1.01995,0.967704,0,0.333204,1.01995,0
SPE00100101,0.839209,-7.78709,0,2.13306e-13,0.839209,0
SPE00100146,0.954003,-2.21887,0,0.0568472,0.954003,0
SPE00100218,1.01547,0.753206,0,0.456458,1.01547,0
SPE00100290,0.994415,-0.270795,0,0.78655,0.994415,0
SPE00100325,0.051257,-46.0239,0,0,0.051257,0
SPE00100009,0.639658,-17.4784,0,0,0.639658,0
SPE00100048,1.00527,0.260436,0,0.800516,1.00527,0
SPE00100076,1.0063,0.303623,0,0.762432,1.0063,0
SPE00100102,1.00165,0.0752859,0,0.803396,1.00165,0
SPE00100156,1.00136,0.0690539,0,0.86133,1.00136,0
SPE00100222,1.0035,0.172241,0,0.864544,1.0035,0
SPE00100296,0.98611,-0.677672,0,0.507914,0.98611,0
SPE00100530,0.9847,-0.752479,0,0.517488,0.9847,0
SPE00100049,1.02127,1.03718,0,0.32317,1.02127,0
SPE00100081,1.01709,0.837711,0,0.4545,1.01709,0
SPE00100103,1.00119,0.0588214,0,0.947906,1.00119,0
SPE00100158,1.00421,0.203435,0,0.838878,1.00421,0
SPE00100223,1.00468,0.229106,0,0.819836,1.00468,0
SPE00100298,0.984111,-0.775085,0,0.45134,0.984111,0
SPE00100531,0.988269,-0.569776,0,0.569262,0.988269,0
SPE00240645,0.837849,-7.86171,0,4.6248e-15,0.837849,0
SPE00100012,0.986725,-0.642803,0,0.52088,0.986725,0
SPE00100050,1.01127,0.55373,0,0.606134,1.01127,0
SPE00100088,1.00541,0.261122,0,0.794302,1.00541,0
SPE00100105,1.00507,0.245514,0,0.806128,1.00507,0
SPE00100162,1.01319,0.636915,0,0.52786,1.01319,0
SPE00100242,0.979703,-0.983095,0,0.326464,0.979703,0
SPE00100301,0.0601856,-45.5915,0,0,0.0601856,0
SPE00100359,0.997571,-0.120672,0,0.880446,0.997571,0
SPE00100013,0.991949,-0.389153,0,0.697832,0.991949,0
SPE00100054,1.00313,0.151814,0,0.879336,1.00313,0
SPE00100090,1.04432,2.14493,0,0.0361364,1.04432,0
SPE00100114,1.00803,0.389587,0,0.696864,1.00803,0
SPE00100173,1.01105,0.534076,0,0.595132,1.01105,0
SPE00100254,0.98919,-0.522834,0,0.602062,0.98919,0
SPE00100303,1.00139,0.0649472,0,0.890764,1.00139,0
SPE00100360,0.995968,-0.198697,0,0.84469,0.995968,0
SPE00100014,0.991652,-0.404262,0,0.686158,0.991652,0
SPE00100056,1.00572,0.281247,0,0.782572,1.00572,0
SPE00100093,0.979747,-0.972903,0,0.385624,0.979747,0
SPE00100117,1.00335,0.167815,0,0.77632,1.00335,0
SPE00100190,1.01046,0.505393,0,0.614968,1.01046,0
SPE00100267,1.01399,0.677188,0,0.499456,1.01399,0
SPE00100304,0.997299,-0.134073,0,0.87079,0.997299,0
SPE00100368,0.989685,-0.502871,0,0.618468,0.989685,0
SPE00100375,1.00353,0.171105,0,0.864152,1.00353,0
SPE00100528,0.937169,-3.04693,0,0.00231192,0.937169,0
SPE00100537,0.0608821,-45.5575,0,0,0.0608821,0
SPE00100568,1.02671,1.29551,0,0.195248,1.02671,0
SPE00100609,0.983934,-0.779212,0,0.435862,0.983934,0
SPE00102018,0.889864,-5.34376,0,1.23517e-07,0.889864,0
SPE00200004,1.00119,0.0587051,0,0.953266,1.00119,0
SPE01500420,1.02464,1.19555,0,0.231994,1.02464,0
SPE00100378,0.993607,-0.308673,0,0.758148,0.993607,0
SPE00100455,1.01697,0.818613,0,0.424746,1.01697,0
SPE00100540,0.0548682,-45.8509,0,0,0.0548682,0
SPE00100572,1.01501,0.728603,0,0.466402,1.01501,0
SPE00100612,0.66151,-16.4595,0,2.8026e-45,0.66151,0
SPE00100682,1.0181,0.875611,0,0.38378,1.0181,0
SPE00102076,0.507,-23.9273,0,0,0.507,0
SPE00201606,0.70807,-14.1686,0,4.41689e-42,0.70807,0
SPE00100423,0.964502,-1.72686,0,0.096872,0.964502,0
SPE00100458,1.00451,0.217983,0,0.827566,1.00451,0
SPE00100541,0.916958,-4.03319,0,0.000111652,0.916958,0
SPE00100576,1.00895,0.432075,0,0.66755,1.00895,0
SPE00100615,1.02137,1.03686,0,0.299886,1.02137,0
SPE00100686,1.01037,0.507831,0,0.624292,1.01037,0
SPE00102058,1.00188,0.0915179,0,0.927096,1.00188,0
SPE00200010,0.973965,-1.26748,0,0.220134,0.973965,0
SPE00100424,1.0067,0.330633,0,0.75257,1.0067,0
SPE00100525,1.00955,0.459633,0,0.65188,1.00955,0
SPE00100551,1.00545,0.263305,0,0.792608,1.00545,0
SPE00100580,0.969125,-1.50246,0,0.147628,0.969125,0
SPE00100616,0.888012,-5.43639,0,1.45004e-07,0.888012,0
SPE00100698,1.01774,0.862993,0,0.392438,1.01774,0
SPE00107023,0.993171,-0.330031,0,0.741818,0.993171,0
SPE00200012,1.01609,0.771232,0,0.487748,1.01609,0
SPE00100432,0.984182,-0.765509,0,0.445544,0.984182,0
SPE00100465,1.00175,0.0873332,0,0.88782,1.00175,0
SPE00100550,1.01498,0.725182,0,0.46921,1.01498,0
SPE00100582,0.929447,-3.42812,0,0.00113752,0.929447,0
SPE00100618,1.01147,0.555767,0,0.578624,1.01147,0
SPE00100719,0.887994,-5.44063,0,3.49436e-07,0.887994,0
SPE00107022,0.994178,-0.283071,0,0.777296,0.994178,0
SPE00201466,0.990509,-0.46004,0,0.645508,0.990509,0
SPE00100434,0.983071,-0.818609,0,0.416556,0.983071,0
SPE00100475,1.00286,0.137004,0,0.891528,1.00286,0
SPE00100552,1.00529,0.256161,0,0.797862,1.00529,0
SPE00100583,1.03344,1.61813,0,0.112334,1.03344,0
SPE00100620,1.00439,0.214013,0,0.83085,1.00439,0
SPE00100688,1.00926,0.449936,0,0.652996,1.00926,0
SPE00107093,0.890833,-5.31296,0,8.21984e-06,0.890833,0
SPE00201477,0.236043,-37.0621,0,0,0.236043,0
SPE00100435,0.98638,-0.659555,0,0.510048,0.98638,0
SPE00100489,0.999871,-0.00711755,0,0.964162,0.999871,0
SPE00100562,1.00284,0.138242,0,0.890078,1.00284,0
SPE00100584,0.997833,-0.104891,0,0.916466,0.997833,0
SPE00100638,1.00825,0.401973,0,0.689342,1.00825,0
SPE00100731,1.01097,0.531247,0,0.595576,1.01097,0
SPE00200002,0.875583,-6.04775,0,6.08576e-08,0.875583,0
SPE00201484,0.997961,-0.0959176,0,0.87706,0.997961,0
SPE00100439,0.987773,-0.591395,0,0.55552,0.987773,0
SPE00100492,0.998797,-0.062954,0,0.80809,0.998797,0
SPE00100520,1.0085,0.413049,0,0.679902,1.0085,0
SPE00100563,1.00398,0.18946,0,0.852276,1.00398,0
SPE00100585,1.00091,0.0385319,0,0.770152,1.00091,0
SPE00100646,0.98599,-0.678657,0,0.497704,0.98599,0
SPE00107015,0.998266,-0.0833239,0,0.933648,0.998266,0
SPE00201505,0.71473,-13.8638,0,5.99644e-35,0.71473,0
SPE00100447,0.985626,-0.694371,0,0.491716,0.985626,0
SPE00100497,1.00723,0.350795,0,0.725772,1.00723,0
SPE00100566,1.01426,0.697639,0,0.50773,1.01426,0
SPE00100586,0.986769,-0.645143,0,0.525988,0.986769,0
SPE00100650,1.0091,0.442659,0,0.658698,1.0091,0
SPE00100901,1.00222,0.108504,0,0.913668,1.00222,0
SPE00102007,0.89634,-5.03361,0,1.48692e-06,0.89634,0
SPE00201506,0.48812,-24.8635,0,0,0.48812,0
SPE00100517,1.00004,0.00327592,0,0.950068,1.00004,0
SPE00100529,0.811188,-9.16085,0,2.4969e-19,0.811188,0
SPE00100567,1.00545,0.264293,0,0.791554,1.00545,0
SPE00100595,0.998245,-0.0839959,0,0.93317,0.998245,0
SPE00100651,1.00335,0.160938,0,0.872674,1.00335,0
SPE00102035,1.00336,0.161166,0,0.872562,1.00336,0
SPE00107005,0.995669,-0.21465,0,0.810942,0.995669,0
SPE00201509,0.993244,-0.322725,0,0.754892,0.993244,0
SPE00200141,0.905723,-4.57264,0,4.91816e-06,0.905723,0
SPE00200449,0.993205,-0.321672,0,0.694308,0.993205,0
SPE00200833,0.928628,-3.48053,0,0.00706788,0.928628,0
SPE00211458,1.03419,1.66516,0,0.119989,1.03419,0
SPE00300007,0.931238,-3.34568,0,0.00295914,0.931238,0
SPE00300058,1.04906,2.37302,0,0.0240928,1.04906,0
SPE00300119,1.02195,1.06808,0,0.295416,1.02195,0
SPE00300531,1.02425,1.18461,0,0.284506,1.02425,0
SPE00200015,1.02436,1.18521,0,0.24519,1.02436,0
SPE00200183,0.989727,-0.50073,0,0.619774,0.989727,0
SPE00200457,1.01036,0.507166,0,0.622244,1.01036,0
SPE00200851,0.990171,-0.468398,0,0.669774,0.990171,0
SPE00300012,0.962798,-1.81628,0,0.127608,0.962798,0
SPE00300061,0.983341,-0.8157,0,0.453286,0.983341,0
SPE00300132,1.01967,0.95775,0,0.347086,1.01967,0
SPE00300532,1.01814,0.885884,0,0.400464,1.01814,0
