supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.985242,-0.465325,0,0.641728,0.985242,0
SPE00100016,1.00691,0.230133,0,0.803422,1.00691,0
SPE00100058,1.01114,0.352819,0,0.724422,1.01114,0
SPE00100094,0.998201,-0.0537785,0,0.953874,0.998201,0
SPE00100126,1.00314,0.098576,0,0.921476,1.00314,0
SPE00100194,1.0047,0.133912,0,0.776158,1.0047,0
SPE00100271,0.257909,-23.4636,0,0,0.257909,0
SPE00100305,0.978735,-0.682917,0,0.51014,0.978735,0
SPE00100003,0.981848,-0.582963,0,0.570254,0.981848,0
SPE00100024,1.01102,0.350938,0,0.726534,1.01102,0
SPE00100060,1.017,0.543076,0,0.591566,1.017,0
SPE00100096,1.00628,0.202842,0,0.840068,1.00628,0
SPE00100129,1.0161,0.510001,0,0.610756,1.0161,0
SPE00100195,1.01698,0.534613,0,0.592918,1.01698,0
SPE00100279,0.722405,-8.76647,0,8.91342e-17,0.722405,0
SPE00100310,0.972766,-0.8678,0,0.395712,0.972766,0
SPE00100005,0.92561,-2.32779,0,0.0252412,0.92561,0
SPE00100031,1.01634,0.521335,0,0.605512,1.01634,0
SPE00100066,1.0133,0.436395,0,0.682194,1.0133,0
SPE00100098,0.983263,-0.529135,0,0.59706,0.983263,0
SPE00100139,1.00898,0.273797,0,0.787576,1.00898,0
SPE00100201,0.999038,-0.0262237,0,0.934884,0.999038,0
SPE00100280,0.947577,-1.66876,0,0.11745,0.947577,0
SPE00100315,0.981161,-0.59288,0,0.553268,0.981161,0
SPE00100006,1.02015,0.637193,0,0.524668,1.02015,0
SPE00100034,1.02871,0.908718,0,0.365752,1.02871,0
SPE00100068,1.01039,0.33039,0,0.741664,1.01039,0
SPE00100099,0.993173,-0.217898,0,0.827808,0.993173,0
SPE00100140,0.998847,-0.0407882,0,0.927914,0.998847,0
SPE00100205,1.0146,0.461145,0,0.644812,1.0146,0
SPE00100287,0.106742,-28.1904,0,0,0.106742,0
SPE00100318,0.98978,-0.316263,0,0.753278,0.98978,0
SPE00100008,0.977929,-0.690188,0,0.492042,0.977929,0
SPE00100047,1.01312,0.415749,0,0.678026,1.01312,0
SPE00100069,1.0244,0.779641,0,0.44738,1.0244,0
SPE00100101,0.854699,-4.57396,0,4.80276e-06,0.854699,0
SPE00100146,0.953533,-1.4833,0,0.170584,0.953533,0
SPE00100218,1.01156,0.358714,0,0.72137,1.01156,0
SPE00100290,0.99263,-0.24936,0,0.734938,0.99263,0
SPE00100325,0.0551279,-29.8213,0,0,0.0551279,0
SPE00100009,0.777186,-7.02266,0,3.47002e-12,0.777186,0
SPE00100048,1.01883,0.613626,0,0.573536,1.01883,0
SPE00100076,1.01015,0.335721,0,0.750132,1.01015,0
SPE00100102,1.00384,0.114229,0,0.895828,1.00384,0
SPE00100156,1.00276,0.0857725,0,0.931668,1.00276,0
SPE00100222,1.00551,0.174462,0,0.861524,1.00551,0
SPE00100296,0.976662,-0.734659,0,0.462548,0.976662,0
SPE00100530,0.979376,-0.643535,0,0.522754,0.979376,0
SPE00100049,1.02011,0.635127,0,0.525632,1.02011,0
SPE00100081,1.01279,0.403123,0,0.686866,1.01279,0
SPE00100103,1.01741,0.552879,0,0.582048,1.01741,0
SPE00100158,1.00835,0.255889,0,0.80008,1.00835,0
SPE00100223,0.992023,-0.24654,0,0.806092,0.992023,0
SPE00100298,0.983885,-0.523006,0,0.618644,0.983885,0
SPE00100531,0.973113,-0.852223,0,0.39718,0.973113,0
SPE00240645,0.902984,-3.04107,0,0.003276,0.902984,0
SPE00100012,0.985635,-0.440909,0,0.667606,0.985635,0
SPE00100050,1.02473,0.784349,0,0.436038,1.02473,0
SPE00100088,1.02458,0.777554,0,0.438036,1.02458,0
SPE00100105,1.00922,0.293261,0,0.769718,1.00922,0
SPE00100162,1.01843,0.584891,0,0.560394,1.01843,0
SPE00100242,0.959914,-1.26845,0,0.208336,0.959914,0
SPE00100301,0.0679848,-29.4125,0,0,0.0679848,0
SPE00100359,0.978418,-0.698563,0,0.516064,0.978418,0
SPE00100013,0.995627,-0.137923,0,0.890302,0.995627,0
SPE00100054,1.02432,0.782807,0,0.46002,1.02432,0
SPE00100090,1.01074,0.347167,0,0.732772,1.01074,0
SPE00100114,1.00858,0.271994,0,0.785782,1.00858,0
SPE00100173,1.0078,0.236756,0,0.8158,1.0078,0
SPE00100254,0.995198,-0.15379,0,0.877942,0.995198,0
SPE00100303,0.985019,-0.47693,0,0.63531,0.985019,0
SPE00100360,0.972749,-0.878492,0,0.419088,0.972749,0
SPE00100014,1.00528,0.172392,0,0.86422,1.00528,0
SPE00100056,1.03016,0.965882,0,0.35948,1.03016,0
SPE00100093,0.970174,-0.931185,0,0.35783,0.970174,0
SPE00100117,1.01812,0.570205,0,0.568548,1.01812,0
SPE00100190,1.02006,0.638782,0,0.527332,1.02006,0
SPE00100267,1.01849,0.589004,0,0.559668,1.01849,0
SPE00100304,0.99271,-0.234554,0,0.81549,0.99271,0
SPE00100368,0.971326,-0.916342,0,0.377142,0.971326,0
SPE00100375,1.0118,0.391047,0,0.716126,1.0118,0
SPE00100528,0.93173,-2.12456,0,0.05675,0.93173,0
SPE00100537,0.0719575,-29.2914,0,0,0.0719575,0
SPE00100568,1.04065,1.27015,0,0.21293,1.04065,0
SPE00100609,0.971347,-0.910017,0,0.368832,0.971347,0
SPE00102018,0.977599,-0.715002,0,0.483002,0.977599,0
SPE00200004,0.990514,-0.314146,0,0.76479,0.990514,0
