supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.968482,-0.89533,0,0.372468,0.968482,0
SPE00100016,0.991418,-0.229263,0,0.764006,0.991418,0
SPE00100058,1.009,0.249907,0,0.803796,1.009,0
SPE00100094,0.99394,-0.174438,0,0.86185,0.99394,0
SPE00100126,1.01527,0.43415,0,0.664628,1.01527,0
SPE00100194,1.02556,0.716254,0,0.478838,1.02556,0
SPE00100271,0.424854,-16.3003,0,0,0.424854,0
SPE00100305,1.01451,0.40566,0,0.686828,1.01451,0
SPE00100003,0.977742,-0.644966,0,0.544228,0.977742,0
SPE00100024,0.984601,-0.427416,0,0.67442,0.984601,0
SPE00100060,1.00555,0.162628,0,0.87191,1.00555,0
SPE00100096,1.00001,0.00242828,0,0.963124,1.00001,0
SPE00100129,1.0273,0.781556,0,0.445052,1.0273,0
SPE00100195,1.03049,0.862941,0,0.388214,1.03049,0
SPE00100279,0.434249,-16.0093,0,0,0.434249,0
SPE00100310,1.01295,0.355504,0,0.730228,1.01295,0
SPE00100005,0.913513,-2.45938,0,0.0183005,0.913513,0
SPE00100031,0.98626,-0.383448,0,0.70338,0.98626,0
SPE00100066,1.00996,0.2767,0,0.783364,1.00996,0
SPE00100098,0.941904,-1.64767,0,0.10116,0.941904,0
SPE00100139,1.01245,0.347833,0,0.729172,1.01245,0
SPE00100201,1.02018,0.568731,0,0.56995,1.02018,0
SPE00100280,0.963912,-1.0322,0,0.318356,0.963912,0
SPE00100315,1.02299,0.653913,0,0.51463,1.02299,0
SPE00100006,0.975645,-0.688316,0,0.491288,0.975645,0
SPE00100034,1.00637,0.180181,0,0.85701,1.00637,0
SPE00100068,1.01026,0.289717,0,0.772046,1.01026,0
SPE00100099,0.968521,-0.882812,0,0.38443,0.968521,0
SPE00100140,1.02038,0.578809,0,0.563322,1.02038,0
SPE00100205,1.02914,0.82596,0,0.40915,1.02914,0
SPE00100287,0.118496,-24.983,0,0,0.118496,0
SPE00100318,1.02306,0.65912,0,0.515112,1.02306,0
SPE00100008,0.958771,-1.16282,0,0.24629,0.958771,0
SPE00100047,0.989546,-0.300242,0,0.765236,0.989546,0
SPE00100069,1.01227,0.338486,0,0.739878,1.01227,0
SPE00100101,0.89432,-3.00051,0,0.00362182,0.89432,0
SPE00100146,0.978798,-0.608502,0,0.55094,0.978798,0
SPE00100218,1.01713,0.48775,0,0.626702,1.01713,0
SPE00100290,1.02773,0.783155,0,0.433684,1.02773,0
SPE00100325,0.0509318,-26.8935,0,0,0.0509318,0
SPE00100009,0.640704,-10.1822,0,1.06158e-22,0.640704,0
SPE00100048,0.982192,-0.50979,0,0.613664,0.982192,0
SPE00100076,0.993961,-0.179246,0,0.849474,0.993961,0
SPE00100102,0.995821,-0.114802,0,0.908876,0.995821,0
SPE00100156,1.01055,0.301036,0,0.763794,1.01055,0
SPE00100222,1.0107,0.305124,0,0.760686,1.0107,0
SPE00100296,1.01683,0.481116,0,0.632746,1.01683,0
SPE00100530,1.02811,0.803292,0,0.430152,1.02811,0
SPE00100049,0.96902,-0.877542,0,0.380394,0.96902,0
