supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.984477,-0.726667,0,0.46962,0.984477,0
SPE00100016,0.99922,-0.0329407,0,0.859324,0.99922,0
SPE00100058,1.00382,0.170799,0,0.711284,1.00382,0
SPE00100094,0.991754,-0.378128,0,0.722188,0.991754,0
SPE00100126,0.997297,-0.136124,0,0.614084,0.997297,0
SPE00100194,0.987053,-0.603825,0,0.54617,0.987053,0
SPE00100271,0.999076,-0.0415326,0,0.934082,0.999076,0
SPE00100305,0.962289,-1.76289,0,0.0799806,0.962289,0
SPE00100003,0.98537,-0.678537,0,0.50861,0.98537,0
SPE00100024,1.01316,0.620621,0,0.55666,1.01316,0
SPE00100060,1.01322,0.625529,0,0.567084,1.01322,0
SPE00100096,1.0239,1.10871,0,0.299654,1.0239,0
SPE00100129,1.00551,0.247485,0,0.633496,1.00551,0
SPE00100195,0.998127,-0.0758757,0,0.553856,0.998127,0
SPE00100279,0.975543,-1.14628,0,0.264028,0.975543,0
SPE00100310,0.970109,-1.40054,0,0.175129,0.970109,0
SPE00100005,0.956655,-2.01429,0,0.0686882,0.956655,0
SPE00100031,1.00305,0.134406,0,0.687082,1.00305,0
SPE00100066,1.00829,0.387113,0,0.698674,1.00829,0
SPE00100098,1.01195,0.553174,0,0.590358,1.01195,0
SPE00100139,1.00722,0.33743,0,0.73586,1.00722,0
SPE00100201,0.990238,-0.446162,0,0.656494,0.990238,0
SPE00100280,0.954681,-2.12621,0,0.0597062,0.954681,0
SPE00100315,0.951123,-2.27016,0,0.049533,0.951123,0
SPE00100006,0.968887,-1.447,0,0.164118,0.968887,0
SPE00100034,1.02275,1.06794,0,0.306572,1.02275,0
SPE00100068,1.01666,0.78373,0,0.454308,1.01666,0
SPE00100099,1.02176,1.01212,0,0.319588,1.02176,0
SPE00100140,1.0015,0.0618254,0,0.672034,1.0015,0
SPE00100205,0.993078,-0.319349,0,0.754038,0.993078,0
SPE00100287,1.00791,0.37043,0,0.71163,1.00791,0
SPE00100318,0.951477,-2.26087,0,0.027488,0.951477,0
SPE00100008,0.987571,-0.579529,0,0.5625,0.987571,0
SPE00100047,1.00278,0.135058,0,0.790692,1.00278,0
SPE00100069,1.01903,0.886843,0,0.377168,1.01903,0
SPE00100101,0.974317,-1.19507,0,0.241688,0.974317,0
SPE00100146,0.976529,-1.09768,0,0.274666,0.976529,0
SPE00100218,1.00666,0.31027,0,0.756468,1.00666,0
SPE00100290,0.996209,-0.185772,0,0.658858,0.996209,0
SPE00100325,0.0604657,-43.8768,0,0,0.0604657,0
SPE00100009,0.959824,-1.87303,0,0.0634364,0.959824,0
SPE00100048,0.999979,0.000635851,0,0.934418,0.999979,0
SPE00100076,1.02397,1.12722,0,0.299732,1.02397,0
SPE00100102,1.02039,0.959025,0,0.367434,1.02039,0
SPE00100156,0.989562,-0.486994,0,0.62631,0.989562,0
SPE00100222,0.979663,-0.954484,0,0.35556,0.979663,0
SPE00100296,0.974107,-1.21534,0,0.249544,0.974107,0
SPE00100530,0.967821,-1.49437,0,0.167052,0.967821,0
SPE00100049,1.03146,1.48338,0,0.243306,1.03146,0
SPE00100081,1.02687,1.25417,0,0.20994,1.02687,0
SPE00100103,1.01223,0.570761,0,0.56823,1.01223,0
SPE00100158,0.998566,-0.070469,0,0.857698,0.998566,0
SPE00100223,0.991512,-0.398872,0,0.692548,0.991512,0
SPE00100298,0.98012,-0.922781,0,0.373794,0.98012,0
SPE00100531,0.945804,-2.52461,0,0.0150885,0.945804,0
SPE00240645,0.932189,-3.1546,0,0.0050719,0.932189,0
SPE00100012,0.98454,-0.721934,0,0.470348,0.98454,0
