supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.990328,-0.532668,0,0.629324,0.990328,0
SPE00100016,0.994943,-0.271755,0,0.75474,0.994943,0
SPE00100058,1.00539,0.293647,0,0.76903,1.00539,0
SPE00100094,1.004,0.226204,0,0.510418,1.004,0
SPE00100126,1.006,0.326264,0,0.744894,1.006,0
SPE00100194,0.9957,-0.235181,0,0.814454,0.9957,0
SPE00100271,0.33263,-36.3842,0,0,0.33263,0
SPE00100305,1.00008,3.21033e-05,0,0.726526,1.00008,0
SPE00100003,0.995005,-0.279595,0,0.562,0.995005,0
SPE00100024,1.00471,0.260543,0,0.756172,1.00471,0
SPE00100060,1.00791,0.432265,0,0.666418,1.00791,0
SPE00100096,1.00173,0.0938532,0,0.925238,1.00173,0
SPE00100129,1.00941,0.513969,0,0.608068,1.00941,0
SPE00100195,1.01364,0.745227,0,0.460186,1.01364,0
SPE00100279,0.460869,-29.3769,0,0,0.460869,0
SPE00100310,0.988906,-0.609681,0,0.57432,0.988906,0
SPE00100005,0.962322,-2.05728,0,0.0471562,0.962322,0
SPE00100031,1.00101,0.0573936,0,0.859854,1.00101,0
SPE00100066,1.00421,0.23223,0,0.818418,1.00421,0
SPE00100098,0.981471,-1.00776,0,0.322456,0.981471,0
SPE00100139,1.00774,0.420062,0,0.67818,1.00774,0
SPE00100201,1.00693,0.377084,0,0.70676,1.00693,0
SPE00100280,0.952929,-2.56783,0,0.0111251,0.952929,0
SPE00100315,0.987038,-0.712219,0,0.521588,0.987038,0
SPE00100006,1.00686,0.374115,0,0.70835,1.00686,0
SPE00100034,1.00973,0.53255,0,0.599526,1.00973,0
SPE00100068,1.01343,0.736458,0,0.486846,1.01343,0
SPE00100099,0.99631,-0.201071,0,0.840646,0.99631,0
SPE00100140,1.00603,0.329024,0,0.742334,1.00603,0
SPE00100205,1.02322,1.26308,0,0.217074,1.02322,0
SPE00100287,0.0898289,-49.6236,0,0,0.0898289,0
SPE00100318,0.99923,-0.043039,0,0.930438,0.99923,0
SPE00100008,0.981275,-1.02078,0,0.307356,0.981275,0
SPE00100047,0.988429,-0.630931,0,0.528116,0.988429,0
SPE00100069,1.02384,1.29666,0,0.20872,1.02384,0
SPE00100101,0.926352,-4.01251,0,7.86e-05,0.926352,0
SPE00100146,0.983161,-0.918549,0,0.358924,0.983161,0
SPE00100218,1.02104,1.14638,0,0.252256,1.02104,0
SPE00100290,1.00242,0.129343,0,0.83101,1.00242,0
SPE00100325,0.0552529,-51.5021,0,0,0.0552529,0
SPE00100009,0.857432,-7.77921,0,3.79546e-13,0.857432,0
SPE00100048,0.99855,-0.0789525,0,0.937072,0.99855,0
SPE00100076,1.0044,0.242099,0,0.81235,1.0044,0
SPE00100102,0.999636,-0.0179962,0,0.877558,0.999636,0
SPE00100156,1.00021,0.0126532,0,0.91339,1.00021,0
SPE00100222,1.00334,0.17974,0,0.832534,1.00334,0
SPE00100296,0.994107,-0.321206,0,0.748056,0.994107,0
SPE00100530,0.997847,-0.11555,0,0.880822,0.997847,0
SPE00100049,1.01579,0.861457,0,0.39024,1.01579,0
SPE00100081,1.01998,1.08678,0,0.287574,1.01998,0
SPE00100103,0.991774,-0.450237,0,0.65621,0.991774,0
SPE00100158,1.00202,0.106893,0,0.78394,1.00202,0
SPE00100223,0.996532,-0.186597,0,0.842954,0.996532,0
SPE00100298,0.999678,-0.0202935,0,0.820782,0.999678,0
SPE00100531,0.995395,-0.252484,0,0.802114,0.995395,0
SPE00240645,0.938529,-3.35814,0,0.00288056,0.938529,0
SPE00100012,0.986993,-0.712497,0,0.493788,0.986993,0
SPE00100050,1.00094,0.0518389,0,0.958704,1.00094,0
SPE00100088,1.01094,0.595221,0,0.5536,1.01094,0
SPE00100105,1.00163,0.094077,0,0.674794,1.00163,0
SPE00100162,1.0205,1.11672,0,0.265934,1.0205,0
SPE00100242,0.982016,-0.975861,0,0.361488,0.982016,0
SPE00100301,0.0664441,-50.8987,0,0,0.0664441,0
SPE00100359,1.00303,0.164448,0,0.869746,1.00303,0
SPE00100013,0.984121,-0.871149,0,0.431562,0.984121,0
SPE00100054,0.993261,-0.363436,0,0.730228,0.993261,0
SPE00100090,1.04413,2.40531,0,0.0162186,1.04413,0
SPE00100114,0.997092,-0.15908,0,0.873726,0.997092,0
SPE00100173,1.00913,0.497341,0,0.619058,1.00913,0
SPE00100254,0.989149,-0.588984,0,0.564332,0.989149,0
SPE00100303,1.00821,0.450024,0,0.658406,1.00821,0
SPE00100360,1.00547,0.295786,0,0.772308,1.00547,0
SPE00100014,0.986893,-0.721187,0,0.534394,0.986893,0
SPE00100056,0.996129,-0.210311,0,0.833704,0.996129,0
SPE00100093,1.03902,2.12381,0,0.0403096,1.03902,0
SPE00100117,0.991972,-0.437374,0,0.661902,0.991972,0
SPE00100190,1.00939,0.509412,0,0.61652,1.00939,0
SPE00100267,1.00744,0.40685,0,0.68577,1.00744,0
SPE00100304,0.998759,-0.0678084,0,0.945944,0.998759,0
SPE00100368,0.992976,-0.383815,0,0.701882,0.992976,0
SPE00100375,1.00787,0.425598,0,0.6819,1.00787,0
SPE00100528,0.976525,-1.27312,0,0.267754,0.976525,0
SPE00100537,0.0770449,-50.3181,0,0,0.0770449,0
SPE00100568,1.03048,1.65886,0,0.107029,1.03048,0
SPE00100609,0.977182,-1.24144,0,0.223526,0.977182,0
SPE00102018,0.974071,-1.40847,0,0.193716,0.974071,0
SPE00200004,0.988279,-0.636433,0,0.533366,0.988279,0
SPE01500420,1.02467,1.34213,0,0.191455,1.02467,0
SPE00100378,0.999019,-0.0580669,0,0.705312,0.999019,0
SPE00100455,1.02226,1.21479,0,0.227598,1.02226,0
SPE00100540,0.102632,-48.9224,0,0,0.102632,0
SPE00100572,1.0194,1.05427,0,0.311478,1.0194,0
SPE00100612,0.705307,-16.0611,0,0,0.705307,0
SPE00100682,1.01707,0.927851,0,0.365344,1.01707,0
SPE00102076,0.768279,-12.6218,0,2.09284e-32,0.768279,0
SPE00201606,0.751294,-13.5515,0,3.60156e-39,0.751294,0
SPE00100423,0.980533,-1.05999,0,0.291538,0.980533,0
SPE00100458,1.00912,0.495708,0,0.623562,1.00912,0
SPE00100541,0.984079,-0.866073,0,0.391926,0.984079,0
SPE00100576,0.998058,-0.101207,0,0.70068,0.998058,0
SPE00100615,1.01316,0.718676,0,0.474684,1.01316,0
SPE00100686,1.01411,0.769473,0,0.441706,1.01411,0
SPE00102058,1.00164,0.0864055,0,0.816248,1.00164,0
SPE00200010,0.902001,-5.33491,0,1.11545e-06,0.902001,0
SPE00100424,1.00623,0.338218,0,0.736318,1.00623,0
SPE00100525,1.0151,0.822962,0,0.410732,1.0151,0
SPE00100551,1.00001,0.00323214,0,0.830572,1.00001,0
SPE00100580,0.986327,-0.746638,0,0.457772,0.986327,0
SPE00100616,0.946747,-2.90277,0,0.003706,0.946747,0
SPE00100698,1.02167,1.18036,0,0.240032,1.02167,0
SPE00107023,1.00089,0.04816,0,0.959358,1.00089,0
SPE00200012,0.981439,-1.01422,0,0.319952,0.981439,0
SPE00100432,0.995402,-0.249537,0,0.803782,0.995402,0
SPE00100465,1.00928,0.503539,0,0.619778,1.00928,0
SPE00100550,1.02155,1.17678,0,0.24428,1.02155,0
SPE00100582,0.924216,-4.12544,0,0.000135369,0.924216,0
SPE00100618,1.01582,0.867092,0,0.423718,1.01582,0
SPE00100719,0.922753,-4.2046,0,0.000118765,0.922753,0
SPE00107022,1.00493,0.265284,0,0.775542,1.00493,0
SPE00201466,0.990226,-0.535154,0,0.599524,0.990226,0
SPE00100434,0.99,-0.549356,0,0.60529,0.99,0
SPE00100475,1.01202,0.654374,0,0.514522,1.01202,0
SPE00100552,1.01466,0.799204,0,0.424246,1.01466,0
SPE00100583,1.01078,0.606838,0,0.183962,1.01078,0
SPE00100620,1.0076,0.411432,0,0.689002,1.0076,0
SPE00100688,1.01468,0.798989,0,0.426368,1.01468,0
SPE00107093,0.954181,-2.49095,0,0.0277724,0.954181,0
SPE00201477,0.84099,-8.659,0,1.33032e-15,0.84099,0
SPE00100435,0.984075,-0.866599,0,0.389786,0.984075,0
SPE00100489,1.01058,0.572697,0,0.590064,1.01058,0
SPE00100562,1.00662,0.360494,0,0.71857,1.00662,0
SPE00100584,1.00029,0.0141181,0,0.895038,1.00029,0
SPE00100638,1.0094,0.508731,0,0.62675,1.0094,0
SPE00100731,1.0182,0.995655,0,0.338636,1.0182,0
SPE00200002,0.931964,-3.71285,0,0.000382758,0.931964,0
SPE00201484,0.986522,-0.731307,0,0.482124,0.986522,0
SPE00100439,0.991415,-0.469388,0,0.64099,0.991415,0
SPE00100492,1.00803,0.436093,0,0.666348,1.00803,0
SPE00100520,1.00788,0.431883,0,0.671878,1.00788,0
SPE00100563,1.01359,0.735661,0,0.504888,1.01359,0
SPE00100585,1.00004,0.00416815,0,0.885216,1.00004,0
SPE00100646,0.993587,-0.351321,0,0.728024,0.993587,0
SPE00107015,1.00193,0.103213,0,0.868546,1.00193,0
SPE00201505,0.637698,-19.7172,0,0,0.637698,0
SPE00100447,0.982361,-0.963497,0,0.341602,0.982361,0
SPE00100497,1.00511,0.280821,0,0.781902,1.00511,0
SPE00100566,1.01461,0.795608,0,0.42767,1.01461,0
SPE00100586,0.987234,-0.691629,0,0.515638,0.987234,0
SPE00100650,1.01646,0.890673,0,0.444964,1.01646,0
SPE00100901,1.01084,0.590764,0,0.554796,1.01084,0
SPE00102007,0.924573,-4.10881,0,6.1987e-05,0.924573,0
SPE00201506,0.0723319,-50.5774,0,0,0.0723319,0
SPE00100517,1.00422,0.23583,0,0.642102,1.00422,0
SPE00100529,0.912713,-4.74947,0,2.8834e-05,0.912713,0
SPE00100567,1.00783,0.425154,0,0.67458,1.00783,0
SPE00100595,1.00421,0.226625,0,0.825072,1.00421,0
SPE00100651,1.0114,0.61913,0,0.544048,1.0114,0
SPE00102035,1.01009,0.551467,0,0.58398,1.01009,0
SPE00107005,0.996672,-0.185082,0,0.76544,0.996672,0
SPE00201509,0.976334,-1.28413,0,0.252258,0.976334,0
SPE00200141,0.983443,-0.903297,0,0.367268,0.983443,0
SPE00200449,1.01058,0.566646,0,0.486744,1.01058,0
SPE00200833,0.96662,-1.81252,0,0.118493,0.96662,0
SPE00211458,1.01194,0.650928,0,0.515164,1.01194,0
SPE00300007,0.958916,-2.23916,0,0.025247,0.958916,0
SPE00300058,1.03074,1.69434,0,0.43708,1.03074,0
SPE00300119,1.01642,0.893493,0,0.376108,1.01642,0
SPE00300531,1.01539,0.836798,0,0.409128,1.01539,0
SPE00200015,1.01205,0.65722,0,0.511176,1.01205,0
SPE00200183,0.991249,-0.474764,0,0.640816,0.991249,0
SPE00200457,1.00202,0.111468,0,0.911612,1.00202,0
SPE00200851,0.984562,-0.841761,0,0.399982,0.984562,0
SPE00300012,1.00342,0.185918,0,0.852592,1.00342,0
SPE00300061,0.97971,-1.10468,0,0.272336,0.97971,0
SPE00300132,1.01314,0.716618,0,0.4737,1.01314,0
SPE00300532,1.01069,0.583191,0,0.55994,1.01069,0
SPE00200031,1.02778,1.51569,0,0.132604,1.02778,0
SPE00200255,0.0736543,-50.4932,0,0,0.0736543,0
