supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.989251,-0.598598,0,0.571748,0.989251,0
SPE00100016,0.996799,-0.176435,0,0.859978,0.996799,0
SPE00100058,1.00999,0.55041,0,0.582756,1.00999,0
SPE00100094,0.995387,-0.25251,0,0.802666,0.995387,0
SPE00100126,1.00813,0.448441,0,0.65387,1.00813,0
SPE00100194,1.00777,0.428878,0,0.668014,1.00777,0
SPE00100271,0.728525,-15.0207,0,1.77372e-38,0.728525,0
SPE00100305,0.987414,-0.689135,0,0.521562,0.987414,0
SPE00100003,0.983042,-0.932088,0,0.37005,0.983042,0
SPE00100024,0.999147,-0.0496024,0,0.86779,0.999147,0
SPE00100060,1.00645,0.356646,0,0.721426,1.00645,0
SPE00100096,1.01051,0.57541,0,0.585014,1.01051,0
SPE00100129,1.00454,0.251373,0,0.801614,1.00454,0
SPE00100195,1.01417,0.786319,0,0.44811,1.01417,0
SPE00100279,0.757195,-13.4078,0,1.33591e-40,0.757195,0
SPE00100310,0.990203,-0.537861,0,0.598294,0.990203,0
SPE00100005,0.957642,-2.33558,0,0.0222534,0.957642,0
SPE00100031,0.997867,-0.119933,0,0.885412,0.997867,0
SPE00100066,1.011,0.6086,0,0.544286,1.011,0
SPE00100098,0.992389,-0.421541,0,0.674514,0.992389,0
SPE00100139,1.00957,0.526784,0,0.600346,1.00957,0
SPE00100201,1.00805,0.443728,0,0.657812,1.00805,0
SPE00100280,0.972948,-1.49338,0,0.135394,0.972948,0
SPE00100315,0.99257,-0.408914,0,0.683732,0.99257,0
SPE00100006,0.993739,-0.347324,0,0.729908,0.993739,0
SPE00100034,1.01051,0.580581,0,0.561586,1.01051,0
SPE00100068,1.0108,0.593795,0,0.558948,1.0108,0
SPE00100099,0.997583,-0.134115,0,0.893414,0.997583,0
SPE00100140,1.00661,0.366222,0,0.715436,1.00661,0
SPE00100205,1.01929,1.06622,0,0.288364,1.01929,0
SPE00100287,0.37256,-34.6856,0,0,0.37256,0
SPE00100318,1.00175,0.0953922,0,0.924184,1.00175,0
SPE00100008,0.969753,-1.67704,0,0.128725,0.969753,0
