supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.990538,-0.0953246,0,0.87121,0.990538,0
SPE00100016,1.05717,0.580243,0,0.57427,1.05717,0
SPE00100058,1.00258,0.0283039,0,0.734026,1.00258,0
SPE00100094,0.980855,-0.195081,0,0.845476,0.980855,0
SPE00100126,0.984606,-0.153926,0,0.650264,0.984606,0
SPE00100194,0.982996,-0.176292,0,0.587952,0.982996,0
SPE00100271,0.129437,-8.85851,0,9.28168e-19,0.129437,0
SPE00100305,0.973665,-0.26698,0,0.792448,0.973665,0
SPE00100003,1.07183,0.732319,0,0.476354,1.07183,0
SPE00100024,0.939319,-0.625601,0,0.252012,0.939319,0
SPE00100060,1.04192,0.429729,0,0.623566,1.04192,0
SPE00100096,1.04842,0.49119,0,0.63491,1.04842,0
SPE00100129,1.05226,0.534193,0,0.621946,1.05226,0
SPE00100195,0.968947,-0.317734,0,0.760872,0.968947,0
SPE00100279,0.376976,-6.33861,0,4.9021e-10,0.376976,0
SPE00100310,0.932963,-0.682333,0,0.495192,0.932963,0
SPE00100005,0.981011,-0.193949,0,0.847314,0.981011,0
SPE00100031,1.09136,0.929539,0,0.352678,1.09136,0
SPE00100066,1.09766,0.995796,0,0.345718,1.09766,0
SPE00100098,0.924702,-0.765336,0,0.449284,0.924702,0
SPE00100139,1.05609,0.572839,0,0.589006,1.05609,0
SPE00100201,0.8325,-1.703,0,0.0985204,0.8325,0
SPE00100280,0.976541,-0.239149,0,0.811482,0.976541,0
SPE00100315,0.998326,-0.0151878,0,0.755698,0.998326,0
SPE00100006,1.01572,0.157649,0,0.699814,1.01572,0
SPE00100034,1.00932,0.0945121,0,0.92479,1.00932,0
SPE00100068,1.02402,0.245063,0,0.807446,1.02402,0
SPE00100099,1.04341,0.441683,0,0.658738,1.04341,0
SPE00100140,1.07971,0.814223,0,0.475006,1.07971,0
SPE00100205,0.855062,-1.47994,0,0.274618,0.855062,0
SPE00100287,0.128726,-8.86528,0,1.41593e-18,0.128726,0
SPE00100318,0.978579,-0.214536,0,0.569768,0.978579,0
SPE00100008,1.11424,1.1641,0,0.260218,1.11424,0
SPE00100047,1.15247,1.55123,0,0.1212,1.15247,0
SPE00100069,0.931336,-0.704341,0,0.453726,0.931336,0
SPE00100101,1.06803,0.694183,0,0.510742,1.06803,0
SPE00100146,0.936828,-0.646172,0,0.579896,0.936828,0
SPE00100218,0.87729,-1.24491,0,0.302038,0.87729,0
SPE00100290,0.958719,-0.419848,0,0.67483,0.958719,0
SPE00100325,0.141124,-8.73972,0,2.4559e-18,0.141124,0
SPE00100009,0.863714,-1.38245,0,0.27745,0.863714,0
SPE00100048,1.04238,0.431341,0,0.666246,1.04238,0
SPE00100076,1.06208,0.633645,0,0.54671,1.06208,0
SPE00100102,1.01921,0.19457,0,0.847384,1.01921,0
SPE00100156,0.967394,-0.338341,0,0.296494,0.967394,0
SPE00100222,0.910234,-0.913269,0,0.36134,0.910234,0
SPE00100296,1.05035,0.512883,0,0.609538,1.05035,0
SPE00100530,1.08798,0.900323,0,0.522396,1.08798,0
SPE00100049,1.03243,0.32875,0,0.74746,1.03243,0
SPE00100081,0.995757,-0.0428437,0,0.955698,0.995757,0
SPE00100103,0.873496,-1.29152,0,0.303696,0.873496,0
SPE00100158,1.11168,1.14765,0,0.230622,1.11168,0
SPE00100223,0.94715,-0.539046,0,0.598004,0.94715,0
SPE00100298,1.07214,0.735907,0,0.483168,1.07214,0
SPE00100531,0.927626,-0.739892,0,0.528966,0.927626,0
SPE00240645,1.12477,1.27353,0,0.295252,1.12477,0
SPE00100012,1.10343,1.0508,0,0.314074,1.10343,0
SPE00100050,1.03892,0.396183,0,0.692024,1.03892,0
SPE00100088,1.06532,0.666428,0,0.522994,1.06532,0
SPE00100105,0.881906,-1.20628,0,0.354872,0.881906,0
SPE00100162,0.818165,-1.84913,0,0.0701568,0.818165,0
SPE00100242,0.941995,-0.586305,0,0.572672,0.941995,0
SPE00100301,0.155518,-8.59256,0,1.67542e-17,0.155518,0
SPE00100359,0.965129,-0.361309,0,0.306802,0.965129,0
SPE00100013,1.08582,0.865596,0,0.344364,1.08582,0
SPE00100054,1.0417,0.423648,0,0.673738,1.0417,0
SPE00100090,1.0199,0.208783,0,0.301452,1.0199,0
SPE00100114,0.929738,-0.72192,0,0.356916,0.929738,0
SPE00100173,1.05392,0.552006,0,0.628174,1.05392,0
SPE00100254,0.83423,-1.69157,0,0.190427,0.83423,0
SPE00100303,1.07184,0.739177,0,0.282588,1.07184,0
SPE00100360,0.99533,-0.0447477,0,0.640736,0.99533,0
SPE00100014,1.22406,2.27563,0,0.0642596,1.22406,0
SPE00100056,1.0866,0.875316,0,0.484544,1.0866,0
SPE00100093,0.268199,-7.44642,0,1.07908e-13,0.268199,0
SPE00100117,0.918943,-0.827842,0,0.465154,0.918943,0
SPE00100190,1.01305,0.129326,0,0.556252,1.01305,0
SPE00100267,1.03099,0.319846,0,0.473364,1.03099,0
SPE00100304,0.962187,-0.383411,0,0.708994,0.962187,0
SPE00100368,1.07022,0.709809,0,0.531472,1.07022,0
SPE00100375,0.957459,-0.431077,0,0.680824,0.957459,0
SPE00100528,0.996337,-0.040526,0,0.583348,0.996337,0
SPE00100537,0.146737,-8.68259,0,4.07894e-18,0.146737,0
SPE00100568,0.992784,-0.0740038,0,0.923148,0.992784,0
SPE00100609,1.04851,0.494417,0,0.623802,1.04851,0
SPE00102018,0.835191,-1.67841,0,0.101275,0.835191,0
SPE00200004,1.05796,0.591436,0,0.569836,1.05796,0
SPE01500420,1.05042,0.512947,0,0.608108,1.05042,0
SPE00100378,1.03173,0.322869,0,0.746794,1.03173,0
SPE00100455,1.05609,0.569696,0,0.575794,1.05609,0
SPE00100540,0.989984,-0.101519,0,0.919326,0.989984,0
SPE00100572,1.00118,0.0146521,0,0.651574,1.00118,0
SPE00100612,0.251216,-7.62351,0,1.58541e-12,0.251216,0
SPE00100682,1.01678,0.171804,0,0.865554,1.01678,0
SPE00102076,0.748293,-2.55967,0,0.0137751,0.748293,0
SPE00201606,0.838626,-1.63857,0,0.162436,0.838626,0
SPE00100423,1.01882,0.190523,0,0.850992,1.01882,0
SPE00100458,1.03771,0.382443,0,0.708408,1.03771,0
SPE00100541,1.05682,0.57738,0,0.567098,1.05682,0
SPE00100576,0.947037,-0.53648,0,0.622564,0.947037,0
SPE00100615,0.939635,-0.614408,0,0.539046,0.939635,0
SPE00100686,1.03947,0.40278,0,0.692324,1.03947,0
SPE00102058,1.05867,0.599487,0,0.5831,1.05867,0
SPE00200010,1.04538,0.462566,0,0.64665,1.04538,0
SPE00100424,0.913613,-0.882751,0,0.462914,0.913613,0
SPE00100525,1.00394,0.0386333,0,0.802918,1.00394,0
SPE00100551,1.12435,1.26355,0,0.22833,1.12435,0
SPE00100580,0.953135,-0.476154,0,0.636664,0.953135,0
SPE00100616,0.945784,-0.550995,0,0.584324,0.945784,0
SPE00100698,0.989262,-0.110119,0,0.887128,0.989262,0
SPE00107023,0.986705,-0.135068,0,0.892634,0.986705,0
SPE00200012,1.02618,0.266514,0,0.789874,1.02618,0
SPE00100432,1.04017,0.409049,0,0.682962,1.04017,0
SPE00100465,0.844475,-1.57496,0,0.39064,0.844475,0
SPE00100550,1.09124,0.929068,0,0.355308,1.09124,0
SPE00100582,0.874321,-1.27375,0,0.359216,0.874321,0
SPE00100618,1.04006,0.407606,0,0.683572,1.04006,0
SPE00100719,0.698832,-3.06534,0,0.00230966,0.698832,0
