supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.993289,-0.292265,0,0.771116,0.993289,0
SPE00100016,0.99897,-0.0395333,0,0.86895,0.99897,0
SPE00100058,1.02423,1.07332,0,0.290072,1.02423,0
SPE00100094,0.940534,-2.58409,0,0.0580326,0.940534,0
SPE00100126,0.995863,-0.176981,0,0.861074,0.995863,0
SPE00100194,0.98923,-0.473919,0,0.635602,0.98923,0
SPE00100271,0.0767202,-40.7273,0,0,0.0767202,0
SPE00100305,0.985395,-0.645658,0,0.519322,0.985395,0
SPE00100003,0.966236,-1.49891,0,0.153966,0.966236,0
SPE00100024,0.995115,-0.213507,0,0.83112,0.995115,0
SPE00100060,1.00201,0.0725837,0,0.650774,1.00201,0
SPE00100096,1.03875,1.69362,0,0.113277,1.03875,0
SPE00100129,1.00865,0.360287,0,0.580974,1.00865,0
SPE00100195,0.6774,-14.2314,0,5.26888e-43,0.6774,0
SPE00100279,0.755322,-10.7848,0,1.04179e-26,0.755322,0
SPE00100310,0.995703,-0.180168,0,0.798816,0.995703,0
SPE00100005,0.0782985,-40.6569,0,0,0.0782985,0
SPE00100031,0.996067,-0.170096,0,0.865476,0.996067,0
SPE00100066,1.01061,0.463347,0,0.645268,1.01061,0
SPE00100098,1.0041,0.182122,0,0.855622,1.0041,0
SPE00100139,1.00225,0.0847382,0,0.688058,1.00225,0
SPE00100201,0.897763,-4.49971,0,7.97876e-06,0.897763,0
SPE00100280,0.251228,-33.025,0,0,0.251228,0
SPE00100315,0.988092,-0.516912,0,0.613752,0.988092,0
SPE00100006,1.01002,0.447113,0,0.65888,1.01002,0
SPE00100034,0.987032,-0.568645,0,0.570688,0.987032,0
SPE00100068,1.01891,0.837386,0,0.40572,1.01891,0
SPE00100099,1.0104,0.456572,0,0.648342,1.0104,0
SPE00100140,1.00503,0.216014,0,0.831072,1.00503,0
SPE00100205,0.856084,-6.35347,0,1.09881e-09,0.856084,0
SPE00100287,0.0767759,-40.7259,0,0,0.0767759,0
SPE00100318,0.958504,-1.82933,0,0.0674996,0.958504,0
SPE00100008,0.983477,-0.714821,0,0.504216,0.983477,0
SPE00100047,1.02104,0.92395,0,0.357326,1.02104,0
SPE00100069,1.03612,1.57968,0,0.133341,1.03612,0
SPE00100101,0.976432,-1.0525,0,0.330562,0.976432,0
SPE00100146,0.14095,-37.8988,0,0,0.14095,0
SPE00100218,0.535323,-20.5426,0,0,0.535323,0
SPE00100290,0.993996,-0.265011,0,0.79102,0.993996,0
SPE00100325,0.0686853,-41.0827,0,0,0.0686853,0
SPE00100009,0.0861086,-40.2989,0,0,0.0861086,0
SPE00100048,1.01358,0.597842,0,0.55001,1.01358,0
SPE00100076,1.03192,1.39962,0,0.169481,1.03192,0
SPE00100102,1.02613,1.143,0,0.265362,1.02613,0
SPE00100156,0.983056,-0.734293,0,0.488728,0.983056,0
SPE00100222,0.947943,-2.2939,0,0.0218086,0.947943,0
SPE00100296,0.985178,-0.650363,0,0.516632,0.985178,0
SPE00100530,0.982309,-0.78636,0,0.440518,0.982309,0
SPE00100049,1.02425,1.07187,0,0.28589,1.02425,0
SPE00100081,1.02357,1.05899,0,0.366662,1.02357,0
SPE00100103,1.00231,0.0976149,0,0.907234,1.00231,0
SPE00100158,0.77329,-9.99085,0,2.25514e-23,0.77329,0
SPE00100223,0.976613,-1.04519,0,0.337286,0.976613,0
SPE00100298,0.994184,-0.252915,0,0.8012,0.994184,0
SPE00100531,0.954615,-2.00756,0,0.0502806,0.954615,0
SPE00240645,0.900915,-4.34302,0,0.000103033,0.900915,0
SPE00100012,0.954842,-1.98271,0,0.0514732,0.954842,0
SPE00100050,1.00462,0.189321,0,0.695806,1.00462,0
SPE00100088,1.0158,0.706773,0,0.5,1.0158,0
SPE00100105,1.02444,1.08923,0,0.305996,1.02444,0
SPE00100162,0.993686,-0.274609,0,0.784672,0.993686,0
SPE00100242,0.991835,-0.354727,0,0.725418,0.991835,0
SPE00100301,0.0721028,-40.9305,0,0,0.0721028,0
SPE00100359,0.974634,-1.10448,0,0.301382,0.974634,0
SPE00100013,0.999971,-0.0151322,0,0.69543,0.999971,0
SPE00100054,1.00682,0.32268,0,0.548926,1.00682,0
SPE00100090,1.01707,0.750255,0,0.453712,1.01707,0
SPE00100114,1.01876,0.824473,0,0.410298,1.01876,0
SPE00100173,0.97968,-0.890148,0,0.378318,0.97968,0
SPE00100254,0.999133,-0.0271768,0,0.755512,0.999133,0
SPE00100303,0.983385,-0.747583,0,0.496788,0.983385,0
SPE00100360,0.980484,-0.85484,0,0.39726,0.980484,0
SPE00100014,1.00148,0.0622273,0,0.930504,1.00148,0
SPE00100056,1.0055,0.231463,0,0.76712,1.0055,0
SPE00100093,0.369647,-27.8088,0,0,0.369647,0
SPE00100117,1.02303,1.01188,0,0.312884,1.02303,0
SPE00100190,1.00432,0.190926,0,0.848606,1.00432,0
SPE00100267,0.989824,-0.457928,0,0.659,0.989824,0
SPE00100304,0.998538,-0.0514616,0,0.714908,0.998538,0
SPE00100368,0.974679,-1.10503,0,0.290026,0.974679,0
SPE00100375,0.959506,-1.77874,0,0.0785278,0.959506,0
SPE00100528,0.982592,-0.773093,0,0.446336,0.982592,0
SPE00100537,0.0768597,-40.7227,0,0,0.0768597,0
SPE00100568,1.01522,0.666244,0,0.508594,1.01522,0
SPE00100609,0.975621,-1.08275,0,0.293298,0.975621,0
SPE00102018,0.901732,-4.30819,0,0.000103689,0.901732,0
SPE00200004,1.00177,0.081945,0,0.913758,1.00177,0
SPE01500420,0.989529,-0.443937,0,0.655544,0.989529,0
SPE00100378,0.979999,-0.883323,0,0.377964,0.979999,0
SPE00100455,1.01463,0.637495,0,0.53187,1.01463,0
SPE00100540,0.596332,-17.7851,0,0,0.596332,0
SPE00100572,1.02145,0.936574,0,0.362888,1.02145,0
SPE00100612,0.0844672,-40.3916,0,0,0.0844672,0
SPE00100682,0.994447,-0.230385,0,0.694722,0.994447,0
SPE00102076,0.941935,-2.57145,0,0.0156853,0.941935,0
SPE00201606,0.705819,-12.9305,0,6.4738e-34,0.705819,0
SPE00100423,0.948163,-2.28646,0,0.022618,0.948163,0
SPE00100458,0.99233,-0.348219,0,0.73858,0.99233,0
SPE00100541,0.971878,-1.2317,0,0.227636,0.971878,0
SPE00100576,1.02747,1.20515,0,0.23256,1.02747,0
SPE00100615,1.03021,1.33202,0,0.183058,1.03021,0
SPE00100686,0.99751,-0.110714,0,0.91188,0.99751,0
SPE00102058,0.996064,-0.185713,0,0.732486,0.996064,0
SPE00200010,0.989151,-0.479624,0,0.63188,0.989151,0
SPE00100424,1.00478,0.219388,0,0.805856,1.00478,0
SPE00100525,0.99542,-0.191732,0,0.78062,0.99542,0
SPE00100551,1.00967,0.424388,0,0.671706,1.00967,0
SPE00100580,0.987173,-0.57488,0,0.580002,0.987173,0
SPE00100616,0.851983,-6.54846,0,3.8815e-09,0.851983,0
SPE00100698,0.989912,-0.469008,0,0.532752,0.989912,0
SPE00107023,0.969302,-1.35044,0,0.177553,0.969302,0
SPE00200012,0.991005,-0.38579,0,0.71194,0.991005,0
SPE00100432,0.985553,-0.61969,0,0.579246,0.985553,0
SPE00100465,1.01581,0.693594,0,0.489358,1.01581,0
SPE00100550,1.02878,1.25727,0,0.228412,1.02878,0
SPE00100582,0.839046,-7.132,0,1.16509e-09,0.839046,0
SPE00100618,1.00331,0.152611,0,0.84658,1.00331,0
SPE00100719,0.922879,-3.40825,0,0.00104396,0.922879,0
SPE00107022,0.98735,-0.551432,0,0.586556,0.98735,0
SPE00201466,0.98233,-0.795172,0,0.475846,0.98233,0
SPE00100434,0.988837,-0.488618,0,0.626514,0.988837,0
SPE00100475,0.999387,-0.0225823,0,0.900028,0.999387,0
SPE00100552,1.0314,1.36897,0,0.205544,1.0314,0
SPE00100583,1.06448,2.83415,0,0.00533018,1.06448,0
SPE00100620,0.979585,-0.906133,0,0.373532,0.979585,0
SPE00100688,0.995307,-0.208795,0,0.83488,0.995307,0
SPE00107093,0.989811,-0.448651,0,0.65369,0.989811,0
SPE00201477,0.497274,-22.2032,0,0,0.497274,0
SPE00100435,0.992718,-0.326626,0,0.747268,0.992718,0
SPE00100489,1.00431,0.205077,0,0.672092,1.00431,0
SPE00100562,1.01203,0.530384,0,0.59589,1.01203,0
SPE00100584,1.01408,0.616532,0,0.539762,1.01408,0
SPE00100638,1.00391,0.158047,0,0.687028,1.00391,0
SPE00100731,0.992992,-0.308394,0,0.757796,0.992992,0
SPE00200002,0.940333,-2.63152,0,0.0087127,0.940333,0
SPE00201484,0.972108,-1.21819,0,0.24385,0.972108,0
SPE00100439,0.989626,-0.445111,0,0.674004,0.989626,0
SPE00100492,0.988299,-0.517481,0,0.605386,0.988299,0
SPE00100520,0.99609,-0.163673,0,0.81053,0.99609,0
SPE00100563,1.00759,0.339465,0,0.736698,1.00759,0
SPE00100585,1.02424,1.06966,0,0.285302,1.02424,0
SPE00100646,1.00162,0.0588964,0,0.728908,1.00162,0
SPE00107015,0.984506,-0.683294,0,0.494504,0.984506,0
SPE00201505,0.873659,-5.57203,0,3.71914e-08,0.873659,0
SPE00100447,0.982591,-0.780102,0,0.466064,0.982591,0
SPE00100497,0.996948,-0.132849,0,0.89442,0.996948,0
SPE00100566,0.992937,-0.308738,0,0.758082,0.992937,0
SPE00100586,0.85454,-6.40079,0,3.27588e-10,0.85454,0
SPE00100650,1.00056,0.0205756,0,0.911298,1.00056,0
SPE00100901,1.0295,1.29358,0,0.202282,1.0295,0
SPE00102007,0.97396,-1.13993,0,0.264388,0.97396,0
SPE00201506,0.657574,-15.0956,0,0,0.657574,0
SPE00100517,1.0142,0.615903,0,0.552546,1.0142,0
SPE00100529,0.85913,-6.19766,0,1.3509e-09,0.85913,0
SPE00100567,1.01813,0.78621,0,0.459346,1.01813,0
SPE00100595,1.01698,0.748505,0,0.4542,1.01698,0
SPE00100651,0.993015,-0.299095,0,0.771598,0.993015,0
SPE00102035,0.997045,-0.140573,0,0.77089,0.997045,0
SPE00107005,0.987443,-0.554807,0,0.579416,0.987443,0
SPE00201509,0.981957,-0.783045,0,0.458898,0.981957,0
SPE00200141,0.979079,-0.898426,0,0.464766,0.979079,0
SPE00200449,0.975254,-1.09764,0,0.282922,0.975254,0
SPE00200833,0.984122,-0.693157,0,0.495238,0.984122,0
SPE00211458,0.985894,-0.61494,0,0.545462,0.985894,0
SPE00300007,0.955772,-1.97802,0,0.128834,0.955772,0
SPE00300058,1.01626,0.717703,0,0.473242,1.01626,0
SPE00300119,1.01112,0.47058,0,0.62027,1.01112,0
SPE00300531,1.02765,1.22403,0,0.227598,1.02765,0
SPE00200015,1.02697,1.18997,0,0.234582,1.02697,0
SPE00200183,1.01102,0.496563,0,0.635802,1.01102,0
SPE00200457,0.986612,-0.593171,0,0.554828,0.986612,0
SPE00200851,0.981676,-0.814058,0,0.424066,0.981676,0
SPE00300012,0.960192,-1.77733,0,0.140422,0.960192,0
SPE00300061,0.990626,-0.431304,0,0.636348,0.990626,0
SPE00300132,1.00878,0.384969,0,0.700576,1.00878,0
SPE00300532,1.02785,1.23315,0,0.224804,1.02785,0
SPE00200031,1.00862,0.389266,0,0.70736,1.00862,0
SPE00200255,0.11362,-39.0979,0,0,0.11362,0
SPE00200463,1.002,0.0801645,0,0.819706,1.002,0
SPE00200873,0.99957,-0.00676476,0,0.730884,0.99957,0
SPE00300018,0.985664,-0.640546,0,0.53504,0.985664,0
SPE00300101,0.994831,-0.236091,0,0.818398,0.994831,0
SPE00300133,0.903565,-4.24271,0,2.8021e-05,0.903565,0
SPE00300538,0.871584,-5.6399,0,1.36351e-07,0.871584,0
SPE00200040,0.99151,-0.370069,0,0.713078,0.99151,0
SPE00200191,0.996492,-0.163036,0,0.813138,0.996492,0
SPE00200484,0.977026,-1.01233,0,0.311386,0.977026,0
SPE00201066,0.987053,-0.588813,0,0.606532,0.987053,0
SPE00300021,0.977213,-1.00561,0,0.315156,0.977213,0
SPE00300104,0.990473,-0.408606,0,0.697308,0.990473,0
SPE00300148,1.00525,0.227378,0,0.82128,1.00525,0
SPE00300539,1.02567,1.13604,0,0.261142,1.02567,0
SPE00200070,1.00352,0.159103,0,0.87448,1.00352,0
SPE00200243,1.00642,0.303395,0,0.576366,1.00642,0
SPE00200488,0.97393,-1.1494,0,0.250532,0.97393,0
