supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.989243,-0.342384,0,0.732456,0.989243,0
SPE00100016,1.02011,0.639753,0,0.523858,1.02011,0
SPE00100058,1.03201,1.01689,0,0.309846,1.03201,0
SPE00100094,0.940033,-1.89202,0,0.122468,0.940033,0
SPE00100126,1.00836,0.265787,0,0.790436,1.00836,0
SPE00100194,1.01859,0.587718,0,0.560716,1.01859,0
SPE00100271,0.0612118,-29.8099,0,0,0.0612118,0
SPE00100305,0.99401,-0.190574,0,0.848908,0.99401,0
SPE00100003,0.954383,-1.45144,0,0.154959,0.954383,0
SPE00100024,0.979479,-0.651223,0,0.514938,0.979479,0
SPE00100060,1.01805,0.573361,0,0.566538,1.01805,0
SPE00100096,1.01081,0.345015,0,0.731886,1.01081,0
SPE00100129,1.01822,0.577859,0,0.56346,1.01822,0
SPE00100195,0.613826,-12.2689,0,9.80054e-32,0.613826,0
SPE00100279,0.504082,-15.7634,0,0,0.504082,0
SPE00100310,0.994205,-0.185763,0,0.85351,0.994205,0
SPE00100005,0.0788235,-29.2505,0,0,0.0788235,0
SPE00100031,1.01204,0.383317,0,0.70214,1.01204,0
SPE00100066,1.0233,0.739979,0,0.459368,1.0233,0
SPE00100098,0.774759,-7.1717,0,2.255e-09,0.774759,0
SPE00100139,1.01528,0.483041,0,0.631456,1.01528,0
SPE00100201,0.871045,-4.10645,0,0.00043827,0.871045,0
SPE00100280,0.257856,-23.5864,0,0,0.257856,0
SPE00100315,0.997176,-0.0950145,0,0.744838,0.997176,0
SPE00100006,1.00152,0.0462466,0,0.899038,1.00152,0
SPE00100034,0.999152,-0.0220871,0,0.769214,0.999152,0
SPE00100068,1.02076,0.658641,0,0.510174,1.02076,0
SPE00100099,0.990142,-0.312465,0,0.75479,0.990142,0
SPE00100140,1.01132,0.35855,0,0.720272,1.01132,0
SPE00100205,0.793668,-6.56918,0,3.32694e-08,0.793668,0
SPE00100287,0.0629512,-29.7553,0,0,0.0629512,0
SPE00100318,1.00743,0.232081,0,0.816576,1.00743,0
SPE00100008,0.973811,-0.832821,0,0.406764,0.973811,0
SPE00100047,1.01429,0.461186,0,0.67773,1.01429,0
SPE00100069,1.02743,0.870549,0,0.384074,1.02743,0
SPE00100101,0.911872,-2.79826,0,0.0051731,0.911872,0
SPE00100146,0.114407,-28.1245,0,0,0.114407,0
SPE00100218,0.419028,-18.4681,0,0,0.419028,0
SPE00100290,1.00193,0.0590307,0,0.888032,1.00193,0
SPE00100325,0.0566238,-29.955,0,0,0.0566238,0
SPE00100009,0.046844,-30.2656,0,0,0.046844,0
SPE00100048,1.0287,0.912828,0,0.3639,1.0287,0
SPE00100076,1.02086,0.662532,0,0.507752,1.02086,0
SPE00100102,1.00396,0.126279,0,0.899574,1.00396,0
SPE00100156,1.00727,0.230348,0,0.8179,1.00727,0
SPE00100222,0.971924,-0.895613,0,0.386988,0.971924,0
SPE00100296,0.982788,-0.547127,0,0.584662,0.982788,0
SPE00100530,1.00298,0.0985671,0,0.813116,1.00298,0
SPE00100049,1.01665,0.528502,0,0.597158,1.01665,0
SPE00100081,1.03275,1.04059,0,0.298744,1.03275,0
SPE00100103,0.995303,-0.148159,0,0.882416,0.995303,0
SPE00100158,0.727784,-8.65912,0,1.6966e-14,0.727784,0
SPE00100223,0.9882,-0.376687,0,0.708666,0.9882,0
SPE00100298,1.00024,0.00668785,0,0.95152,1.00024,0
SPE00100531,1.00872,0.271451,0,0.753448,1.00872,0
SPE00240645,0.857212,-4.53718,0,1.05588e-05,0.857212,0
SPE00100012,0.945397,-1.73108,0,0.0863874,0.945397,0
SPE00100050,1.02207,0.700198,0,0.483866,1.02207,0
SPE00100088,1.02088,0.661742,0,0.508918,1.02088,0
SPE00100105,1.00918,0.293473,0,0.770772,1.00918,0
SPE00100162,0.962477,-1.1759,0,0.419968,0.962477,0
SPE00100242,0.990712,-0.298242,0,0.77034,0.990712,0
SPE00100301,0.0651747,-29.6842,0,0,0.0651747,0
SPE00100359,1.00244,0.073435,0,0.805248,1.00244,0
SPE00100013,0.988919,-0.349784,0,0.7284,0.988919,0
SPE00100054,1.02279,0.725799,0,0.472054,1.02279,0
SPE00100090,1.02896,0.920551,0,0.358412,1.02896,0
SPE00100114,1.01339,0.426988,0,0.6717,1.01339,0
SPE00100173,0.970619,-0.932731,0,0.35096,0.970619,0
SPE00100254,1.00778,0.246586,0,0.805274,1.00778,0
SPE00100303,0.952466,-1.50721,0,0.133932,0.952466,0
SPE00100360,1.0101,0.31718,0,0.756416,1.0101,0
SPE00100014,0.987444,-0.398889,0,0.690024,0.987444,0
SPE00100056,1.02412,0.765256,0,0.444256,1.02412,0
SPE00100093,0.291178,-22.5233,0,0,0.291178,0
SPE00100117,1.00758,0.242248,0,0.809546,1.00758,0
SPE00100190,1.01162,0.371245,0,0.713292,1.01162,0
SPE00100267,1.0271,0.863627,0,0.396876,1.0271,0
SPE00100304,0.989935,-0.318738,0,0.750202,0.989935,0
SPE00100368,0.970654,-0.935278,0,0.361626,0.970654,0
SPE00100375,0.961053,-1.24019,0,0.22714,0.961053,0
SPE00100528,0.999717,-0.00609424,0,0.860816,0.999717,0
SPE00100537,0.0574132,-29.9297,0,0,0.0574132,0
SPE00100568,1.02218,0.706612,0,0.485454,1.02218,0
SPE00100609,0.998672,-0.0447873,0,0.87289,0.998672,0
SPE00102018,0.58194,-13.2838,0,3.08556e-36,0.58194,0
SPE00200004,0.984121,-0.501728,0,0.619444,0.984121,0
SPE01500420,1.01643,0.520777,0,0.602926,1.01643,0
SPE00100378,0.990168,-0.312244,0,0.754862,0.990168,0
SPE00100455,1.03616,1.14786,0,0.251026,1.03616,0
SPE00100540,0.273812,-23.0696,0,0,0.273812,0
SPE00100572,1.02531,0.806921,0,0.429072,1.02531,0
SPE00100612,0.0616089,-29.7975,0,0,0.0616089,0
SPE00100682,1.01583,0.503965,0,0.615644,1.01583,0
SPE00102076,0.763898,-7.50199,0,7.34266e-13,0.763898,0
SPE00201606,0.415071,-18.5791,0,0,0.415071,0
SPE00100423,0.924801,-2.38665,0,0.0170633,0.924801,0
SPE00100458,1.00427,0.13785,0,0.891306,1.00427,0
SPE00100541,0.978765,-0.672262,0,0.504074,0.978765,0
SPE00100576,1.01566,0.499608,0,0.621174,1.01566,0
SPE00100615,1.0232,0.737683,0,0.461748,1.0232,0
SPE00100686,1.02093,0.666598,0,0.50931,1.02093,0
SPE00102058,1.00149,0.0463064,0,0.94835,1.00149,0
SPE00200010,0.879915,-3.81287,0,0.00013981,0.879915,0
SPE00100424,1.0123,0.390909,0,0.695992,1.0123,0
SPE00100525,1.00584,0.184539,0,0.8538,1.00584,0
SPE00100551,1.02225,0.709356,0,0.485202,1.02225,0
SPE00100580,0.956176,-1.39649,0,0.184228,0.956176,0
SPE00100616,0.814593,-5.89217,0,1.93124e-08,0.814593,0
SPE00100698,1.02521,0.801469,0,0.424244,1.02521,0
SPE00107023,0.965725,-1.08147,0,0.317068,0.965725,0
SPE00200012,0.988852,-0.353299,0,0.724032,0.988852,0
SPE00100432,0.984389,-0.496429,0,0.620058,0.984389,0
SPE00100465,1.00474,0.149199,0,0.881808,1.00474,0
SPE00100550,1.0473,1.50569,0,0.144726,1.0473,0
SPE00100582,0.717923,-8.96315,0,1.6586e-17,0.717923,0
SPE00100618,1.02942,0.934577,0,0.350552,1.02942,0
SPE00100719,0.931075,-2.1886,0,0.0287304,0.931075,0
SPE00107022,0.992333,-0.241961,0,0.809528,0.992333,0
SPE00201466,0.994961,-0.159202,0,0.873642,0.994961,0
SPE00100434,0.985666,-0.447455,0,0.67656,0.985666,0
SPE00100475,1.01859,0.592562,0,0.557284,1.01859,0
SPE00100552,1.02587,0.823327,0,0.414394,1.02587,0
SPE00100583,1.00839,0.259004,0,0.661842,1.00839,0
SPE00100620,1.00657,0.20841,0,0.834912,1.00657,0
SPE00100688,1.01133,0.360033,0,0.71891,1.01133,0
SPE00107093,0.892164,-3.42173,0,0.00065506,0.892164,0
SPE00201477,0.311959,-21.8461,0,0,0.311959,0
SPE00100435,0.994797,-0.15654,0,0.604596,0.994797,0
SPE00100489,1.01314,0.416557,0,0.677178,1.01314,0
SPE00100562,1.0248,0.792052,0,0.446786,1.0248,0
SPE00100584,0.991925,-0.261128,0,0.778832,0.991925,0
SPE00100638,1.02499,0.798297,0,0.44572,1.02499,0
SPE00100731,1.01168,0.372399,0,0.710988,1.01168,0
SPE00200002,0.954565,-1.43774,0,0.166379,0.954565,0
SPE00201484,1.00036,0.012312,0,0.95503,1.00036,0
SPE00100439,0.985402,-0.45725,0,0.669858,0.985402,0
SPE00100492,0.95909,-1.30887,0,0.272204,0.95909,0
SPE00100520,1.00351,0.109436,0,0.90602,1.00351,0
SPE00100563,1.03112,0.990655,0,0.329158,1.03112,0
SPE00100585,0.998939,-0.0401783,0,0.692806,0.998939,0
SPE00100646,1.00342,0.108052,0,0.914016,1.00342,0
SPE00107015,1.00991,0.321786,0,0.672934,1.00991,0
SPE00201505,0.550982,-14.2509,0,2.8026e-45,0.550982,0
SPE00100447,0.977457,-0.71108,0,0.493616,0.977457,0
SPE00100497,0.970293,-0.962202,0,0.436098,0.970293,0
SPE00100566,1.00846,0.273596,0,0.768372,1.00846,0
SPE00100586,0.660062,-10.7889,0,9.46232e-27,0.660062,0
SPE00100650,1.02387,0.762136,0,0.460828,1.02387,0
SPE00100901,1.02996,0.952251,0,0.34235,1.02996,0
SPE00102007,0.970282,-0.936857,0,0.385798,0.970282,0
SPE00201506,0.0955108,-28.7182,0,0,0.0955108,0
SPE00100517,0.991148,-0.298643,0,0.30403,0.991148,0
