supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.01105,0.257521,0,0.79833,1.01105,0
SPE00100016,1.00468,0.146976,0,0.78963,1.00468,0
SPE00100058,1.01777,0.461283,0,0.651044,1.01777,0
SPE00100094,0.962994,-0.97529,0,0.395758,0.962994,0
SPE00100126,0.971026,-0.761116,0,0.481658,0.971026,0
SPE00100194,0.998359,-0.0627256,0,0.85,0.998359,0
SPE00100271,0.170702,-20.7183,0,0,0.170702,0
SPE00100305,1.01353,0.36935,0,0.72445,1.01353,0
SPE00100003,0.981555,-0.420379,0,0.686984,0.981555,0
SPE00100024,0.981006,-0.438198,0,0.671406,0.981006,0
SPE00100060,1.00193,0.0697358,0,0.8509,1.00193,0
SPE00100096,1.00688,0.174143,0,0.861858,1.00688,0
SPE00100129,1.03416,0.827302,0,0.41166,1.03416,0
SPE00100195,1.04231,0.995269,0,0.358162,1.04231,0
SPE00100279,0.565605,-10.8561,0,4.37288e-22,0.565605,0
SPE00100310,0.972102,-0.759701,0,0.526496,0.972102,0
SPE00100005,0.657504,-8.45034,0,3.4337e-17,0.657504,0
SPE00100031,0.983424,-0.354931,0,0.668332,0.983424,0
SPE00100066,1.04429,1.10126,0,0.272362,1.04429,0
SPE00100098,0.881854,-2.94728,0,0.00462528,0.881854,0
SPE00100139,1.02965,0.701855,0,0.49588,1.02965,0
SPE00100201,0.992383,-0.184278,0,0.853858,0.992383,0
SPE00100280,0.78978,-5.236,0,9.0937e-07,0.78978,0
SPE00100315,0.994333,-0.113665,0,0.826014,0.994333,0
SPE00100006,0.9732,-0.649412,0,0.51796,0.9732,0
SPE00100034,1.00668,0.159412,0,0.873468,1.00668,0
SPE00100068,1.01939,0.4733,0,0.636262,1.01939,0
SPE00100099,0.997739,-0.077701,0,0.852318,0.997739,0
SPE00100140,1.01251,0.287839,0,0.776834,1.01251,0
SPE00100205,1.02048,0.454836,0,0.677554,1.02048,0
SPE00100287,0.0591891,-23.5182,0,0,0.0591891,0
SPE00100318,1.00895,0.215725,0,0.829344,1.00895,0
SPE00100008,0.960326,-0.928219,0,0.394914,0.960326,0
SPE00100047,0.961937,-0.886787,0,0.419252,0.961937,0
SPE00100069,1.02433,0.595454,0,0.551798,1.02433,0
SPE00100101,0.875935,-3.10567,0,0.00368124,0.875935,0
SPE00100146,0.888119,-2.81013,0,0.00958916,0.888119,0
SPE00100218,1.00198,0.000284648,0,0.680092,1.00198,0
SPE00100290,1.01624,0.373544,0,0.715894,1.01624,0
SPE00100325,0.0514937,-23.7146,0,0,0.0514937,0
SPE00100009,0.225682,-19.2484,0,0,0.225682,0
SPE00100048,1.00086,0.0514302,0,0.79723,1.00086,0
SPE00100076,1.01308,0.340975,0,0.73627,1.01308,0
SPE00100102,1.01317,0.308329,0,0.760054,1.01317,0
SPE00100156,1.02439,0.587259,0,0.559802,1.02439,0
SPE00100222,0.986678,-0.3458,0,0.732334,0.986678,0
SPE00100296,1.01557,0.337634,0,0.711032,1.01557,0
SPE00100530,0.989666,-0.27325,0,0.787252,0.989666,0
SPE00100049,0.987254,-0.267864,0,0.703958,0.987254,0
SPE00100081,0.978679,-0.48003,0,0.655888,0.978679,0
SPE00100103,0.999347,-0.024189,0,0.945088,0.999347,0
SPE00100158,1.00272,0.0902933,0,0.844124,1.00272,0
SPE00100223,0.999942,-0.0164268,0,0.89861,0.999942,0
SPE00100298,1.02439,0.564704,0,0.5904,1.02439,0
SPE00100531,1.00939,0.216274,0,0.830186,1.00939,0
SPE00240645,0.754916,-6.04642,0,1.54017e-09,0.754916,0
SPE00100012,0.949316,-1.25577,0,0.209886,0.949316,0
SPE00100050,0.995499,-0.0936724,0,0.883712,0.995499,0
SPE00100088,1.0126,0.332357,0,0.743904,1.0126,0
SPE00100105,1.01555,0.408191,0,0.689782,1.01555,0
SPE00100162,1.02055,0.495577,0,0.62171,1.02055,0
SPE00100242,0.918704,-1.99271,0,0.0472738,0.918704,0
SPE00100301,0.0586925,-23.5321,0,0,0.0586925,0
SPE00100359,0.986714,-0.319057,0,0.750304,0.986714,0
SPE00100013,0.976745,-0.576875,0,0.564214,0.976745,0
SPE00100054,0.961798,-0.965044,0,0.34404,0.961798,0
SPE00100090,1.04215,1.08155,0,0.31021,1.04215,0
SPE00100114,1.0142,0.331925,0,0.74293,1.0142,0
SPE00100173,1.02266,0.577212,0,0.568618,1.02266,0
SPE00100254,1.00719,0.18452,0,0.853888,1.00719,0
SPE00100303,0.992527,-0.204712,0,0.840214,0.992527,0
SPE00100360,1.03887,0.917408,0,0.386922,1.03887,0
SPE00100014,0.948319,-1.26141,0,0.209708,0.948319,0
SPE00100056,0.985436,-0.443475,0,0.514358,0.985436,0
SPE00100093,0.958383,-0.954464,0,0.423202,0.958383,0
SPE00100117,1.01202,0.357539,0,0.625314,1.01202,0
SPE00100190,1.02116,0.521517,0,0.602006,1.02116,0
SPE00100267,1.02272,0.556711,0,0.577884,1.02272,0
SPE00100304,1.0068,0.182206,0,0.856518,1.0068,0
SPE00100368,0.943364,-1.47927,0,0.234632,0.943364,0
SPE00100375,0.999272,-0.031925,0,0.905492,0.999272,0
SPE00100528,0.903362,-2.37423,0,0.0178336,0.903362,0
SPE00100537,0.0580778,-23.5456,0,0,0.0580778,0
SPE00100568,1.05818,1.42605,0,0.154833,1.05818,0
SPE00100609,0.976117,-0.607434,0,0.54865,0.976117,0
SPE00102018,0.88421,-3.01399,0,0.0490226,0.88421,0
SPE00200004,0.992904,-0.139403,0,0.76499,0.992904,0
SPE01500420,1.04624,1.1134,0,0.277538,1.04624,0
SPE00100378,0.99329,-0.15664,0,0.87587,0.99329,0
SPE00100455,1.04243,1.04599,0,0.295566,1.04243,0
SPE00100540,0.0606057,-23.498,0,0,0.0606057,0
SPE00100572,1.04715,1.13656,0,0.266836,1.04715,0
SPE00100612,0.595416,-10.1445,0,1.93828e-18,0.595416,0
SPE00100682,1.03469,0.842174,0,0.402524,1.03469,0
SPE00102076,0.507131,-12.2386,0,8.93544e-31,0.507131,0
SPE00201606,0.413948,-14.5715,0,7.81084e-42,0.413948,0
SPE00100423,0.952905,-1.14021,0,0.261464,0.952905,0
SPE00100458,1.00877,0.222911,0,0.823898,1.00877,0
SPE00100541,0.926009,-1.8076,0,0.073338,0.926009,0
SPE00100576,1.01374,0.329642,0,0.742422,1.01374,0
SPE00100615,1.01849,0.440844,0,0.661898,1.01849,0
SPE00100686,1.02283,0.563855,0,0.572868,1.02283,0
SPE00102058,1.02541,0.629046,0,0.529422,1.02541,0
SPE00200010,0.820541,-4.43988,0,1.08614e-05,0.820541,0
SPE00100424,1.00116,0.0313547,0,0.974994,1.00116,0
SPE00100525,1.03278,0.802981,0,0.422424,1.03278,0
SPE00100551,0.856843,-3.53024,0,0.0004157,0.856843,0
SPE00100580,0.98739,-0.308633,0,0.757642,0.98739,0
SPE00100616,0.936822,-1.55921,0,0.118998,0.936822,0
SPE00100698,1.03278,0.796603,0,0.42789,1.03278,0
SPE00107023,1.00062,-0.00897395,0,0.837282,1.00062,0
SPE00200012,0.975761,-0.562502,0,0.590366,0.975761,0
SPE00100432,0.988146,-0.301228,0,0.76392,0.988146,0
SPE00100465,1.00924,0.214548,0,0.831158,1.00924,0
SPE00100550,1.04511,1.12605,0,0.26356,1.04511,0
SPE00100582,0.82827,-4.24087,0,2.32262e-05,0.82827,0
SPE00100618,1.03889,0.951093,0,0.34252,1.03889,0
SPE00100719,0.884771,-2.84794,0,0.00448452,0.884771,0
SPE00107022,0.993545,-0.139641,0,0.86974,0.993545,0
SPE00201466,0.974899,-0.652024,0,0.53097,0.974899,0
SPE00100434,0.980479,-0.485927,0,0.627302,0.980479,0
SPE00100475,1.01262,0.314615,0,0.753156,1.01262,0
SPE00100552,1.03123,0.768241,0,0.442378,1.03123,0
SPE00100583,1.00533,0.149623,0,0.877744,1.00533,0
SPE00100620,1.00972,0.254714,0,0.800568,1.00972,0
SPE00100688,1.01423,0.335907,0,0.738926,1.01423,0
SPE00107093,0.627834,-9.33613,0,9.12106e-16,0.627834,0
SPE00201477,0.75173,-6.20538,0,2.1803e-08,0.75173,0
