supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.987706,-0.550124,0,0.5839,0.987706,0
SPE00100016,1.00656,0.293169,0,0.769414,1.00656,0
SPE00100058,1.0039,0.175086,0,0.861306,1.0039,0
SPE00100094,0.997709,-0.102301,0,0.918518,0.997709,0
SPE00100126,1.00262,0.119108,0,0.882816,1.00262,0
SPE00100194,1.00682,0.305481,0,0.760932,1.00682,0
SPE00100271,0.77751,-9.94109,0,9.21042e-21,0.77751,0
SPE00100305,0.980131,-0.889769,0,0.38328,0.980131,0
SPE00100003,0.99004,-0.44835,0,0.66539,0.99004,0
SPE00100024,1.00463,0.208508,0,0.836504,1.00463,0
SPE00100060,1.00924,0.410264,0,0.685622,1.00924,0
SPE00100096,1.00744,0.332465,0,0.739748,1.00744,0
SPE00100129,1.00503,0.224094,0,0.822706,1.00503,0
SPE00100195,1.02108,0.942986,0,0.349858,1.02108,0
SPE00100279,0.702301,-13.3103,0,2.25428e-32,0.702301,0
SPE00100310,0.980909,-0.856568,0,0.414328,0.980909,0
SPE00100005,0.969164,-1.37239,0,0.187764,0.969164,0
SPE00100031,1.00932,0.417134,0,0.677182,1.00932,0
SPE00100066,1.00114,0.0515297,0,0.958948,1.00114,0
SPE00100098,0.996938,-0.134025,0,0.84973,0.996938,0
SPE00100139,1.00802,0.357954,0,0.720418,1.00802,0
SPE00100201,1.01039,0.466142,0,0.645752,1.01039,0
SPE00100280,0.983467,-0.738295,0,0.460436,0.983467,0
SPE00100315,0.978947,-0.937515,0,0.354662,0.978947,0
SPE00100006,1.00068,0.0276357,0,0.848038,1.00068,0
SPE00100034,1.01426,0.637695,0,0.524648,1.01426,0
SPE00100068,1.00537,0.239991,0,0.810402,1.00537,0
SPE00100099,1.00421,0.187981,0,0.85091,1.00421,0
SPE00100140,1.00318,0.143844,0,0.88515,1.00318,0
SPE00100205,1.02164,0.967663,0,0.335828,1.02164,0
SPE00100287,0.398565,-26.8457,0,0,0.398565,0
SPE00100318,0.995023,-0.225536,0,0.814714,0.995023,0
SPE00100008,0.980798,-0.858176,0,0.392104,0.980798,0
SPE00100047,0.994895,-0.227476,0,0.820124,0.994895,0
SPE00100069,1.02525,1.12711,0,0.259734,1.02525,0
SPE00100101,0.963664,-1.62329,0,0.105986,0.963664,0
SPE00100146,0.995727,-0.194106,0,0.812798,0.995727,0
SPE00100218,1.02224,0.996018,0,0.333906,1.02224,0
SPE00100290,1.00307,0.135669,0,0.892752,1.00307,0
SPE00100325,0.0484771,-42.4838,0,0,0.0484771,0
SPE00100009,0.96269,-1.6687,0,0.104034,0.96269,0
SPE00100048,0.998901,-0.0467672,0,0.869694,0.998901,0
SPE00100076,1.00416,0.18578,0,0.852628,1.00416,0
SPE00100102,0.99881,-0.052653,0,0.958032,0.99881,0
SPE00100156,0.999585,-0.0199297,0,0.91984,0.999585,0
SPE00100222,1.01096,0.489537,0,0.62449,1.01096,0
SPE00100296,0.999638,-0.0151559,0,0.943902,0.999638,0
SPE00100530,0.997992,-0.0898035,0,0.928448,0.997992,0
SPE00100049,1.01609,0.714247,0,0.493236,1.01609,0
SPE00100081,1.00919,0.408428,0,0.685106,1.00919,0
SPE00100103,0.983104,-0.749908,0,0.47442,0.983104,0
SPE00100158,1.00391,0.173219,0,0.863158,1.00391,0
SPE00100223,1.00165,0.0809403,0,0.601262,1.00165,0
