supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.00129,0.0337317,0,0.968376,1.00129,0
SPE00100016,1.01469,0.396405,0,0.691882,1.01469,0
SPE00100058,1.0111,0.304734,0,0.76498,1.0111,0
SPE00100094,0.972918,-0.732678,0,0.464088,0.972918,0
SPE00100126,0.990932,-0.249796,0,0.806226,0.990932,0
SPE00100194,1.00394,0.103587,0,0.911784,1.00394,0
SPE00100271,0.303421,-18.8201,0,0,0.303421,0
SPE00100305,0.991337,-0.238327,0,0.814268,0.991337,0
SPE00100003,0.989751,-0.270561,0,0.793256,0.989751,0
SPE00100024,1.00546,0.149082,0,0.881718,1.00546,0
SPE00100060,1.0133,0.363832,0,0.720422,1.0133,0
SPE00100096,0.999455,-0.0100445,0,0.852358,0.999455,0
SPE00100129,1.0028,0.0753196,0,0.939962,1.0028,0
SPE00100195,1.0121,0.323851,0,0.747746,1.0121,0
SPE00100279,0.615124,-10.4063,0,2.65462e-24,0.615124,0
SPE00100310,0.986394,-0.372676,0,0.714954,0.986394,0
SPE00100005,0.84441,-4.20348,0,2.63178e-05,0.84441,0
SPE00100031,1.01064,0.285459,0,0.776032,1.01064,0
SPE00100066,1.00459,0.126832,0,0.89972,1.00459,0
SPE00100098,0.907885,-2.4918,0,0.0133455,0.907885,0
SPE00100139,1.00525,0.140388,0,0.888568,1.00525,0
SPE00100201,0.988291,-0.317612,0,0.75108,0.988291,0
SPE00100280,0.889225,-2.9923,0,0.00277792,0.889225,0
SPE00100315,0.987151,-0.350336,0,0.728188,0.987151,0
SPE00100006,1.00422,0.120663,0,0.7972,1.00422,0
SPE00100034,1.02528,0.681159,0,0.497014,1.02528,0
SPE00100068,1.01831,0.494768,0,0.620766,1.01831,0
SPE00100099,0.991189,-0.242169,0,0.811122,0.991189,0
SPE00100140,0.996896,-0.0838408,0,0.933184,0.996896,0
SPE00100205,0.997406,-0.0667245,0,0.893882,0.997406,0
SPE00100287,0.138653,-23.299,0,0,0.138653,0
SPE00100318,0.981763,-0.496895,0,0.624004,0.981763,0
SPE00100008,0.988893,-0.296408,0,0.769328,0.988893,0
SPE00100047,1.00937,0.255488,0,0.799118,1.00937,0
SPE00100069,1.02596,0.703905,0,0.483898,1.02596,0
SPE00100101,0.83233,-4.52997,0,5.9032e-06,0.83233,0
SPE00100146,0.880211,-3.23069,0,0.00161909,0.880211,0
SPE00100218,0.994876,-0.152173,0,0.589546,0.994876,0
SPE00100290,0.97849,-0.574992,0,0.576824,0.97849,0
SPE00100325,0.0518736,-25.6334,0,0,0.0518736,0
SPE00100009,0.512979,-13.1622,0,5.15342e-39,0.512979,0
SPE00100048,1.02494,0.67165,0,0.503594,1.02494,0
SPE00100076,1.0198,0.541458,0,0.600056,1.0198,0
SPE00100102,1.0074,0.19808,0,0.843454,1.0074,0
SPE00100156,1.00269,0.0763516,0,0.884954,1.00269,0
