supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.988853,-0.40222,0,0.687546,0.988853,0
SPE00100016,1.00586,0.215091,0,0.831472,1.00586,0
SPE00100058,1.00891,0.320373,0,0.74882,1.00891,0
SPE00100094,0.991554,-0.305298,0,0.760252,0.991554,0
SPE00100126,1.00014,0.00204877,0,0.901814,1.00014,0
SPE00100194,1.00142,0.0543271,0,0.905348,1.00142,0
SPE00100271,0.360468,-23.0672,0,0,0.360468,0
SPE00100305,0.998963,-0.0380352,0,0.96967,0.998963,0
SPE00100003,0.995301,-0.172963,0,0.863968,0.995301,0
SPE00100024,0.997869,-0.0754931,0,0.939902,0.997869,0
SPE00100060,1.00837,0.299207,0,0.76585,1.00837,0
SPE00100096,0.999163,-0.030351,0,0.975788,0.999163,0
SPE00100129,1.0017,0.0602307,0,0.952012,1.0017,0
SPE00100195,1.01674,0.599836,0,0.552394,1.01674,0
SPE00100279,0.398401,-21.6827,0,0,0.398401,0
SPE00100310,0.991362,-0.310395,0,0.756458,0.991362,0
SPE00100005,0.933157,-2.40735,0,0.0166043,0.933157,0
SPE00100031,1.00397,0.145156,0,0.88494,1.00397,0
SPE00100066,1.00749,0.269808,0,0.787308,1.00749,0
SPE00100098,0.957745,-1.5364,0,0.171614,0.957745,0
SPE00100139,1.00249,0.0895865,0,0.928616,1.00249,0
SPE00100201,1.00096,0.0349074,0,0.972156,1.00096,0
SPE00100280,0.923947,-2.75175,0,0.00970898,0.923947,0
SPE00100315,0.988136,-0.430669,0,0.668748,0.988136,0
SPE00100006,0.997301,-0.0988261,0,0.921412,0.997301,0
SPE00100034,1.01005,0.363217,0,0.716598,1.01005,0
SPE00100068,1.01215,0.438769,0,0.660994,1.01215,0
SPE00100099,1.00216,0.078043,0,0.937798,1.00216,0
SPE00100140,0.996653,-0.118646,0,0.905844,0.996653,0
SPE00100205,0.999387,-0.0210886,0,0.968914,0.999387,0
SPE00100287,0.113121,-32.0121,0,0,0.113121,0
SPE00100318,1.00552,0.199197,0,0.84212,1.00552,0
SPE00100008,0.971153,-1.02601,0,0.37375,0.971153,0
SPE00100047,1.00033,0.0104639,0,0.952246,1.00033,0
SPE00100069,1.01817,0.658637,0,0.513894,1.01817,0
SPE00100101,0.899587,-3.62459,0,0.000348276,0.899587,0
SPE00100146,0.974064,-0.940739,0,0.358372,0.974064,0
SPE00100218,1.01068,0.377568,0,0.717012,1.01068,0
SPE00100290,0.988019,-0.433821,0,0.665246,0.988019,0
SPE00100325,0.0483678,-34.3316,0,0,0.0483678,0
SPE00100009,0.766235,-8.42309,0,9.8778e-17,0.766235,0
SPE00100048,1.0049,0.177854,0,0.85899,1.0049,0
SPE00100076,1.00402,0.148854,0,0.882908,1.00402,0
SPE00100102,1.0082,0.295035,0,0.768042,1.0082,0
SPE00100156,1.00169,0.0631622,0,0.936378,1.00169,0
SPE00100222,0.998898,-0.0396432,0,0.968378,0.998898,0
SPE00100296,0.983751,-0.593306,0,0.56942,0.983751,0
SPE00100530,0.99853,-0.0550454,0,0.93691,0.99853,0
SPE00100049,1.01548,0.56155,0,0.577976,1.01548,0
SPE00100081,1.01167,0.429323,0,0.684892,1.01167,0
SPE00100103,1.00289,0.103601,0,0.9175,1.00289,0
SPE00100158,1.00789,0.29393,0,0.72335,1.00789,0
SPE00100223,0.99829,-0.0649189,0,0.89936,0.99829,0
SPE00100298,0.985364,-0.530093,0,0.597682,0.985364,0
SPE00100531,1.00102,0.0303496,0,0.805848,1.00102,0
SPE00240645,0.906393,-3.381,0,0.00098488,0.906393,0
SPE00100012,0.96138,-1.38308,0,0.194242,0.96138,0
SPE00100050,1.0105,0.388339,0,0.717678,1.0105,0
SPE00100088,1.00468,0.174787,0,0.821072,1.00468,0
SPE00100105,1.00712,0.260034,0,0.79649,1.00712,0
SPE00100162,0.990078,-0.370235,0,0.648986,0.990078,0
SPE00100242,0.974898,-0.910534,0,0.373426,0.974898,0
SPE00100301,0.0587423,-33.9573,0,0,0.0587423,0
SPE00100359,1.00862,0.306436,0,0.762722,1.00862,0
SPE00100013,0.975288,-0.879384,0,0.425866,0.975288,0
SPE00100054,0.998462,-0.0568803,0,0.954712,0.998462,0
SPE00100090,1.03175,1.14651,0,0.252612,1.03175,0
SPE00100114,1.00624,0.222714,0,0.824356,1.00624,0
SPE00100173,1.00698,0.25465,0,0.800452,1.00698,0
SPE00100254,0.998335,-0.065748,0,0.824364,0.998335,0
SPE00100303,0.9873,-0.455571,0,0.650016,0.9873,0
SPE00100360,1.00641,0.250134,0,0.472096,1.00641,0
SPE00100014,0.970369,-1.05441,0,0.35918,0.970369,0
SPE00100056,1.00902,0.326125,0,0.744466,1.00902,0
SPE00100093,0.969917,-1.10923,0,0.459634,0.969917,0
SPE00100117,0.997317,-0.10326,0,0.800716,0.997317,0
SPE00100190,1.00828,0.297894,0,0.765882,1.00828,0
SPE00100267,1.0237,0.855684,0,0.392858,1.0237,0
SPE00100304,0.995027,-0.17965,0,0.857442,0.995027,0
SPE00100368,0.948834,-1.85515,0,0.085509,0.948834,0
SPE00100375,1.01371,0.494462,0,0.620982,1.01371,0
SPE00100528,0.964688,-1.28943,0,0.283294,0.964688,0
SPE00100537,0.0582659,-33.9738,0,0,0.0582659,0
SPE00100568,1.04322,1.5654,0,0.132357,1.04322,0
SPE00100609,0.941458,-2.10353,0,0.0425236,0.941458,0
SPE00102018,0.928816,-2.55606,0,0.0172313,0.928816,0
SPE00200004,1.01529,0.554182,0,0.582128,1.01529,0
SPE01500420,1.02112,0.767213,0,0.454192,1.02112,0
SPE00100378,1.00627,0.228258,0,0.820192,1.00627,0
SPE00100455,1.02276,0.830914,0,0.441842,1.02276,0
SPE00100540,0.385494,-22.1745,0,0,0.385494,0
SPE00100572,1.0281,1.009,0,0.319224,1.0281,0
SPE00100612,0.828001,-6.20049,0,5.72126e-10,0.828001,0
SPE00100682,1.01678,0.609184,0,0.547988,1.01678,0
SPE00102076,0.671592,-11.8617,0,1.39038e-28,0.671592,0
SPE00201606,0.682124,-11.4694,0,4.53992e-29,0.682124,0
SPE00100423,0.973529,-0.956769,0,0.340788,0.973529,0
SPE00100458,1.03487,1.26639,0,0.234442,1.03487,0
SPE00100541,0.928827,-2.56791,0,0.0104285,0.928827,0
SPE00100576,1.0104,0.37658,0,0.707062,1.0104,0
SPE00100615,1.01242,0.448881,0,0.65379,1.01242,0
SPE00100686,1.01138,0.414177,0,0.682236,1.01138,0
SPE00102058,0.998059,-0.067023,0,0.90809,0.998059,0
SPE00200010,0.892567,-3.86919,0,0.000132708,0.892567,0
SPE00100424,1.02561,0.923875,0,0.355626,1.02561,0
SPE00100525,1.03583,1.29438,0,0.197763,1.03583,0
SPE00100551,0.97785,-0.798613,0,0.424516,0.97785,0
SPE00100580,0.989794,-0.374844,0,0.717604,0.989794,0
SPE00100616,0.938966,-2.18768,0,0.0492928,0.938966,0
SPE00100698,1.01236,0.448079,0,0.655366,1.01236,0
SPE00107023,0.981916,-0.648221,0,0.52135,0.981916,0
SPE00200012,0.989342,-0.379343,0,0.709514,0.989342,0
SPE00100432,1.01362,0.496255,0,0.626456,1.01362,0
SPE00100465,1.03695,1.33211,0,0.182825,1.03695,0
SPE00100550,1.02362,0.847883,0,0.401692,1.02362,0
SPE00100582,0.856597,-5.17411,0,3.04934e-07,0.856597,0
SPE00100618,1.00221,0.0757131,0,0.881904,1.00221,0
SPE00100719,0.881431,-4.28778,0,7.76568e-05,0.881431,0
SPE00107022,0.978145,-0.789768,0,0.43082,0.978145,0
SPE00201466,0.983326,-0.609902,0,0.564726,0.983326,0
SPE00100434,0.998911,-0.026476,0,0.618954,0.998911,0
SPE00100475,1.03062,1.10509,0,0.269544,1.03062,0
SPE00100552,1.02044,0.745385,0,0.479494,1.02044,0
SPE00100583,0.999951,0.00319754,0,0.846448,0.999951,0
SPE00100620,0.995798,-0.148373,0,0.882906,0.995798,0
SPE00100688,1.01408,0.508728,0,0.61138,1.01408,0
SPE00107093,0.882063,-4.25147,0,2.13472e-05,0.882063,0
SPE00201477,0.648632,-12.679,0,7.78398e-35,0.648632,0
SPE00100435,0.990674,-0.341818,0,0.73849,0.990674,0
SPE00100489,1.02488,0.899593,0,0.370512,1.02488,0
SPE00100562,1.00131,0.0573074,0,0.697236,1.00131,0
SPE00100584,0.995152,-0.192594,0,0.49644,0.995152,0
SPE00100638,1.00531,0.206206,0,0.578084,1.00531,0
SPE00100731,1.00069,0.0191712,0,0.824342,1.00069,0
SPE00200002,0.876549,-4.45285,0,9.00288e-06,0.876549,0
SPE00201484,0.98789,-0.440658,0,0.66338,0.98789,0
SPE00100439,1.00799,0.301723,0,0.615604,1.00799,0
SPE00100492,1.0128,0.466377,0,0.646914,1.0128,0
SPE00100520,1.003,0.102867,0,0.843124,1.003,0
SPE00100563,1.023,0.843314,0,0.466186,1.023,0
SPE00100585,0.995153,-0.181183,0,0.805946,0.995153,0
SPE00100646,0.970629,-1.07684,0,0.38999,0.970629,0
SPE00107015,0.973084,-0.971394,0,0.331708,0.973084,0
SPE00201505,0.729915,-9.74495,0,1.56724e-21,0.729915,0
SPE00100447,1.00702,0.257975,0,0.799922,1.00702,0
SPE00100497,1.02258,0.818818,0,0.420322,1.02258,0
SPE00100566,1.02963,1.0778,0,0.312764,1.02963,0
SPE00100586,0.971717,-1.02482,0,0.314988,0.971717,0
SPE00100650,1.0073,0.271393,0,0.759402,1.0073,0
SPE00100901,0.998188,-0.062897,0,0.92477,0.998188,0
SPE00102007,0.852593,-5.31635,0,1.13209e-07,0.852593,0
SPE00201506,0.146354,-30.7984,0,0,0.146354,0
SPE00100517,1.03488,1.25999,0,0.209666,1.03488,0
SPE00100529,0.897912,-3.66364,0,0.0013505,0.897912,0
SPE00100567,1.01555,0.565674,0,0.579154,1.01555,0
SPE00100595,1.03032,1.10133,0,0.295456,1.03032,0
SPE00100651,0.992894,-0.264735,0,0.748776,0.992894,0
SPE00102035,1.00247,0.101514,0,0.630824,1.00247,0
SPE00107005,0.98512,-0.541071,0,0.594358,0.98512,0
SPE00201509,0.979463,-0.741625,0,0.458808,0.979463,0
SPE00200141,0.944717,-1.98397,0,0.0615132,0.944717,0
SPE00200449,0.994812,-0.186281,0,0.852288,0.994812,0
SPE00200833,0.93505,-2.37537,0,0.143452,0.93505,0
SPE00211458,1.04027,1.4642,0,0.189493,1.04027,0
SPE00300007,0.967417,-1.18563,0,0.276916,0.967417,0
SPE00300058,0.981843,-0.648219,0,0.529758,0.981843,0
SPE00300119,1.05113,1.85343,0,0.0834628,1.05113,0
SPE00300531,1.05081,1.84004,0,0.0795274,1.05081,0
SPE00200015,1.00716,0.259176,0,0.795638,1.00716,0
SPE00200183,0.989546,-0.356725,0,0.461002,0.989546,0
SPE00200457,1.00577,0.199326,0,0.735914,1.00577,0
SPE00200851,0.932023,-2.47773,0,0.0763318,0.932023,0
SPE00300012,0.95993,-1.46723,0,0.287152,0.95993,0
