supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.974425,-0.713237,0,0.478114,0.974425,0
SPE00100016,0.98974,-0.28618,0,0.776234,0.98974,0
SPE00100058,0.99906,-0.026227,0,0.94101,0.99906,0
SPE00100094,1.0214,0.596716,0,0.552226,1.0214,0
SPE00100126,1.02382,0.664437,0,0.506424,1.02382,0
SPE00100194,1.03318,0.925273,0,0.384084,1.03318,0
SPE00100271,0.466319,-14.8842,0,4.9222e-41,0.466319,0
SPE00100305,1.01503,0.419142,0,0.690026,1.01503,0
SPE00100003,0.971053,-0.807286,0,0.428558,0.971053,0
SPE00100024,0.979563,-0.570012,0,0.5739,0.979563,0
SPE00100060,1.00234,0.0651447,0,0.833544,1.00234,0
SPE00100096,0.9913,-0.242595,0,0.80688,0.9913,0
SPE00100129,1.01533,0.427484,0,0.674936,1.01533,0
SPE00100195,1.02942,0.820533,0,0.413682,1.02942,0
SPE00100279,0.562127,-12.2119,0,5.02368e-34,0.562127,0
SPE00100310,1.01835,0.511587,0,0.64545,1.01835,0
SPE00100005,0.970127,-0.833042,0,0.47044,0.970127,0
SPE00100031,0.986741,-0.369716,0,0.724566,0.986741,0
SPE00100066,0.993697,-0.17577,0,0.860494,0.993697,0
SPE00100098,0.983957,-0.447437,0,0.656942,0.983957,0
SPE00100139,1.01249,0.348194,0,0.741944,1.01249,0
SPE00100201,1.03136,0.874596,0,0.40186,1.03136,0
SPE00100280,1.03821,1.0656,0,0.297034,1.03821,0
SPE00100315,1.03373,0.940599,0,0.360072,1.03373,0
SPE00100006,0.971254,-0.801627,0,0.454098,0.971254,0
SPE00100034,0.981005,-0.529692,0,0.611074,0.981005,0
SPE00100068,0.975048,-0.695926,0,0.490472,0.975048,0
SPE00100099,0.984066,-0.444331,0,0.668812,0.984066,0
SPE00100140,1.00996,0.277745,0,0.787164,1.00996,0
SPE00100205,1.03695,1.03056,0,0.30652,1.03695,0
SPE00100287,0.200014,-22.311,0,0,0.200014,0
SPE00100318,1.0429,1.1962,0,0.330016,1.0429,0
SPE00100008,0.944932,-1.53572,0,0.157135,0.944932,0
SPE00100047,0.989364,-0.29657,0,0.77303,0.989364,0
SPE00100069,0.992273,-0.215511,0,0.829404,0.992273,0
SPE00100101,0.792744,-5.78018,0,1.28863e-08,0.792744,0
SPE00100146,1.01923,0.536374,0,0.591782,1.01923,0
SPE00100218,1.04918,1.37162,0,0.202362,1.04918,0
SPE00100290,1.01521,0.424212,0,0.6716,1.01521,0
SPE00100325,0.065396,-26.0654,0,0,0.065396,0
SPE00100009,0.781099,-6.10497,0,1.26382e-09,0.781099,0
SPE00100048,0.958313,-1.16263,0,0.248552,0.958313,0
SPE00100076,0.98305,-0.472715,0,0.636434,0.98305,0
SPE00100102,0.983078,-0.471967,0,0.637922,0.983078,0
SPE00100156,0.997009,-0.0834281,0,0.911896,0.997009,0
SPE00100222,1.04179,1.16542,0,0.245654,1.04179,0
SPE00100296,1.02142,0.597268,0,0.551748,1.02142,0
SPE00100530,1.03445,0.960903,0,0.343466,1.03445,0
SPE00100049,0.960973,-1.08841,0,0.284512,0.960973,0
SPE00100081,0.99159,-0.234508,0,0.815346,0.99159,0
SPE00100103,1.02385,0.665193,0,0.506562,1.02385,0
SPE00100158,1.02103,0.586515,0,0.561944,1.02103,0
SPE00100223,0.998441,-0.043505,0,0.859314,0.998441,0
SPE00100298,1.00766,0.213815,0,0.802344,1.00766,0
SPE00100531,1.02654,0.740223,0,0.47589,1.02654,0
SPE00240645,0.729158,-7.55362,0,8.68618e-14,0.729158,0
SPE00100012,0.9368,-1.7626,0,0.0780006,0.9368,0
SPE00100050,0.981809,-0.50736,0,0.614362,0.981809,0
SPE00100088,0.998452,-0.0431997,0,0.907942,0.998452,0
SPE00100105,0.992175,-0.218232,0,0.82725,0.992175,0
SPE00100162,1.02265,0.631537,0,0.530252,1.02265,0
SPE00100242,0.998229,-0.0493423,0,0.80035,0.998229,0
SPE00100301,0.098355,-25.1462,0,0,0.098355,0
SPE00100359,1.03878,1.0815,0,0.279706,1.03878,0
SPE00100013,0.946002,-1.50604,0,0.160804,0.946002,0
SPE00100054,0.986715,-0.370506,0,0.711746,0.986715,0
SPE00100090,0.994051,-0.165879,0,0.835996,0.994051,0
SPE00100114,1.01165,0.324962,0,0.746528,1.01165,0
SPE00100173,1.01369,0.381794,0,0.715134,1.01369,0
SPE00100254,1.02594,0.723307,0,0.469614,1.02594,0
SPE00100303,1.04629,1.29107,0,0.207996,1.04629,0
SPE00100360,1.00752,0.209816,0,0.834438,1.00752,0
SPE00100014,0.941882,-1.62086,0,0.105152,0.941882,0
SPE00100056,0.96375,-1.01106,0,0.340806,0.96375,0
SPE00100093,0.887908,-3.12617,0,0.00180992,0.887908,0
SPE00100117,0.990018,-0.27833,0,0.730694,0.990018,0
SPE00100190,1.01019,0.284132,0,0.778008,1.01019,0
SPE00100267,1.02711,0.756034,0,0.449666,1.02711,0
SPE00100304,1.0239,0.666535,0,0.50804,1.0239,0
SPE00100368,0.991434,-0.238914,0,0.813,0.991434,0
SPE00100375,0.977321,-0.632501,0,0.5271,0.977321,0
SPE00100528,0.847417,-4.2554,0,2.20718e-05,0.847417,0
SPE00100537,0.114248,-24.703,0,0,0.114248,0
SPE00100568,1.01631,0.454739,0,0.651958,1.01631,0
SPE00100609,0.971858,-0.784836,0,0.433474,0.971858,0
SPE00102018,1.05284,1.47362,0,0.144943,1.05284,0
SPE00200004,1.08326,2.322,0,0.0611856,1.08326,0
SPE01500420,1.07752,2.16212,0,0.0307348,1.07752,0
SPE00100378,0.963208,-1.02619,0,0.362656,0.963208,0
SPE00100455,1.00861,0.240271,0,0.754182,1.00861,0
SPE00100540,0.249408,-20.9335,0,0,0.249408,0
SPE00100572,1.01078,0.300812,0,0.644622,1.01078,0
SPE00100612,0.95514,-1.2511,0,0.211078,0.95514,0
SPE00100682,1.05907,1.64733,0,0.101044,1.05907,0
SPE00102076,0.742484,-7.18208,0,1.01928e-10,0.742484,0
SPE00201606,0.695783,-8.48443,0,1.31948e-16,0.695783,0
SPE00100423,0.981455,-0.517239,0,0.610758,0.981455,0
SPE00100458,0.974653,-0.706861,0,0.492196,0.974653,0
SPE00100541,0.908698,-2.54638,0,0.0131903,0.908698,0
SPE00100576,1.00828,0.231043,0,0.789162,1.00828,0
SPE00100615,1.03069,0.856003,0,0.40559,1.03069,0
SPE00100686,1.05862,1.63467,0,0.130363,1.05862,0
SPE00102058,1.06171,1.72088,0,0.0932946,1.06171,0
SPE00200010,0.949839,-1.399,0,0.176596,0.949839,0
SPE00100424,0.979587,-0.569285,0,0.572646,0.979587,0
SPE00100525,0.995117,-0.136123,0,0.726726,0.995117,0
SPE00100551,0.948714,-1.43052,0,0.3238,0.948714,0
SPE00100580,1.0078,0.21746,0,0.831268,1.0078,0
SPE00100616,1.02872,0.801054,0,0.42315,1.02872,0
SPE00100698,1.06441,1.79642,0,0.0852632,1.06441,0
SPE00107023,1.04769,1.33006,0,0.18704,1.04769,0
SPE00200012,1.02195,0.612094,0,0.589818,1.02195,0
SPE00100432,0.966753,-0.927064,0,0.514398,0.966753,0
SPE00100465,0.96698,-0.920836,0,0.38912,0.96698,0
SPE00100550,1.00183,0.0511443,0,0.916018,1.00183,0
SPE00100582,0.925816,-2.06902,0,0.063925,0.925816,0
SPE00100618,1.01877,0.523555,0,0.612712,1.01877,0
SPE00100719,0.966385,-0.937441,0,0.362676,0.966385,0
SPE00107022,1.05695,1.58812,0,0.133652,1.05695,0
SPE00201466,1.08821,2.46026,0,0.0143745,1.08821,0
SPE00100434,0.962965,-1.03286,0,0.302136,0.962965,0
SPE00100475,0.989968,-0.279765,0,0.780174,0.989968,0
SPE00100552,1.00617,0.171889,0,0.768878,1.00617,0
SPE00100583,0.941386,-1.63467,0,0.106565,0.941386,0
SPE00100620,1.01244,0.346825,0,0.734756,1.01244,0
SPE00100688,1.06653,1.85553,0,0.0885506,1.06653,0
SPE00107093,1.00685,0.191102,0,0.849002,1.00685,0
SPE00201477,0.718587,-7.84841,0,4.59732e-15,0.718587,0
SPE00100435,0.975338,-0.687787,0,0.493714,0.975338,0
SPE00100489,0.994532,-0.152457,0,0.81697,0.994532,0
SPE00100562,0.987393,-0.35157,0,0.731342,0.987393,0
SPE00100584,0.983759,-0.45297,0,0.650794,0.983759,0
SPE00100638,1.01466,0.408753,0,0.682798,1.01466,0
SPE00100731,1.04702,1.31142,0,0.197459,1.04702,0
SPE00200002,0.965335,-0.96694,0,0.466542,0.965335,0
SPE00201484,1.07756,2.16318,0,0.0328096,1.07756,0
SPE00100439,0.960221,-1.10939,0,0.267622,0.960221,0
SPE00100492,0.979003,-0.585571,0,0.559452,0.979003,0
SPE00100520,1.04093,1.14151,0,0.254286,1.04093,0
SPE00100563,0.997785,-0.0617536,0,0.950824,0.997785,0
SPE00100585,0.985673,-0.399546,0,0.694014,0.985673,0
SPE00100646,1.02822,0.786955,0,0.431374,1.02822,0
SPE00107015,1.06749,1.88237,0,0.0597874,1.06749,0
SPE00201505,0.709158,-8.1115,0,7.9805e-14,0.709158,0
SPE00100447,0.974982,-0.69777,0,0.493282,0.974982,0
SPE00100497,0.988857,-0.310668,0,0.63126,0.988857,0
SPE00100566,1.00779,0.217219,0,0.82821,1.00779,0
SPE00100586,0.924855,-2.09582,0,0.058725,0.924855,0
SPE00100650,1.03626,1.01115,0,0.318216,1.03626,0
SPE00100901,1.03358,0.936561,0,0.387408,1.03358,0
SPE00102007,0.91727,-2.30732,0,0.0268252,0.91727,0
SPE00201506,0.112084,-24.7633,0,0,0.112084,0
SPE00100517,0.97332,-0.744093,0,0.45684,0.97332,0
SPE00100529,0.870036,-3.62461,0,0.000303814,0.870036,0
SPE00100567,0.979993,-0.557997,0,0.576996,0.979993,0
SPE00100595,0.99041,-0.267398,0,0.741394,0.99041,0
SPE00100651,1.02263,0.631186,0,0.547066,1.02263,0
SPE00102035,1.04829,1.3468,0,0.245266,1.04829,0
SPE00107005,1.04267,1.19008,0,0.240408,1.04267,0
SPE00201509,1.00557,0.155305,0,0.71488,1.00557,0
SPE00200141,0.998444,-0.0434713,0,0.738502,0.998444,0
SPE00200449,1.05463,1.52347,0,0.16107,1.05463,0
SPE00200833,0.974256,-0.717928,0,0.491268,0.974256,0
SPE00211458,1.06025,1.68029,0,0.0946404,1.06025,0
SPE00300007,0.948264,-1.44283,0,0.163991,0.948264,0
SPE00300058,0.983003,-0.47405,0,0.635952,0.983003,0
SPE00300119,1.04267,1.19017,0,0.238076,1.04267,0
SPE00300531,1.03538,0.986804,0,0.326006,1.03538,0
SPE00200015,1.01766,0.492503,0,0.633224,1.01766,0
SPE00200183,0.967453,-0.907662,0,0.385314,0.967453,0
SPE00200457,1.04743,1.32273,0,0.197703,1.04743,0
SPE00200851,1.04536,1.26499,0,0.206002,1.04536,0
SPE00300012,0.914876,-2.37403,0,0.0180424,0.914876,0
SPE00300061,0.93521,-1.80698,0,0.0735878,0.93521,0
SPE00300132,1.00566,0.157893,0,0.847942,1.00566,0
SPE00300532,1.01599,0.445961,0,0.65695,1.01599,0
SPE00200031,1.01613,0.449815,0,0.653234,1.01613,0
SPE00200255,0.230553,-21.4594,0,0,0.230553,0
SPE00200463,1.03092,0.862385,0,0.415074,1.03092,0
SPE00200873,1.04457,1.243,0,0.22512,1.04457,0
SPE00300018,0.941023,-1.6448,0,0.101285,0.941023,0
SPE00300101,0.989595,-0.290219,0,0.775326,0.989595,0
SPE00300133,1.04349,1.21303,0,0.230182,1.04349,0
SPE00300538,0.238188,-21.2464,0,0,0.238188,0
SPE00200040,1.00014,0.0038887,0,0.664532,1.00014,0
SPE00200191,1.04633,1.29211,0,0.198301,1.04633,0
SPE00200484,0.997643,-0.0657405,0,0.947628,0.997643,0
SPE00201066,1.02567,0.715933,0,0.52779,1.02567,0
SPE00300021,0.959808,-1.12087,0,0.282136,0.959808,0
SPE00300104,0.982354,-0.492118,0,0.623002,0.982354,0
SPE00300148,1.01065,0.296868,0,0.77492,1.01065,0
SPE00300539,0.999747,-0.00702884,0,0.87156,0.999747,0
SPE00200070,1.00365,0.101744,0,0.918976,1.00365,0
SPE00200243,1.05605,1.56329,0,0.11845,1.05605,0
SPE00200488,1.05578,1.55553,0,0.120045,1.05578,0
SPE00201067,0.85027,-4.17593,0,8.26348e-05,0.85027,0
SPE00300032,0.839615,-4.47298,0,9.13692e-06,0.839615,0
SPE00300105,0.979326,-0.576559,0,0.565242,0.979326,0
SPE00300157,0.935756,-1.7918,0,0.0951944,0.935756,0
SPE00300540,0.993238,-0.188597,0,0.850412,0.993238,0
SPE00200107,0.662467,-9.4137,0,3.39334e-18,0.662467,0
SPE00200412,1.03861,1.07685,0,0.282742,1.03861,0
SPE00200640,1.04273,1.19162,0,0.233426,1.04273,0
SPE00201078,1.08209,2.28967,0,0.071596,1.08209,0
SPE00300006,0.957198,-1.19364,0,0.26239,0.957198,0
SPE00300106,1.0058,0.161543,0,0.44398,1.0058,0
SPE00300160,0.994086,-0.164917,0,0.86937,0.994086,0
SPE00300542,1.00539,0.150392,0,0.880604,1.00539,0
SPE00200110,1.04653,1.29777,0,0.194852,1.04653,0
SPE00200424,0.875201,-3.48064,0,0.0012851,0.875201,0
SPE00200743,1.03426,0.955593,0,0.340848,1.03426,0
SPE00201083,0.941925,-1.61971,0,0.11096,0.941925,0
SPE00300052,0.970254,-0.829633,0,0.412488,0.970254,0
SPE00300110,0.983249,-0.467179,0,0.640894,0.983249,0
SPE00300166,1.01163,0.324249,0,0.704878,1.01163,0
SPE00300545,0.977045,-0.64018,0,0.522274,0.977045,0
SPE00200111,1.02724,0.759696,0,0.449426,1.02724,0
SPE00200427,1.0644,1.79622,0,0.0864688,1.0644,0
SPE00200759,1.07449,2.07759,0,0.0378098,1.07449,0
SPE00201133,1.08597,2.39771,0,0.0165461,1.08597,0
SPE00300053,0.989853,-0.282953,0,0.77969,0.989853,0
SPE00300111,0.989526,-0.292046,0,0.701962,0.989526,0
SPE00300228,0.9084,-2.55465,0,0.0106299,0.9084,0
SPE00300546,0.744498,-7.12589,0,4.3021e-11,0.744498,0
SPE00200115,1.02249,0.627254,0,0.533886,1.02249,0
SPE00200441,1.04871,1.35847,0,0.174664,1.04871,0
SPE00200763,0.74673,-7.06354,0,2.13698e-12,0.74673,0
SPE00201136,0.731441,-7.48988,0,1.3268e-13,0.731441,0
SPE00212097,0.935466,-1.79982,0,0.0733784,0.935466,0
SPE00300055,0.972574,-0.764971,0,0.488376,0.972574,0
SPE00300117,0.995264,-0.132116,0,0.854972,0.995264,0
SPE00300348,0.947099,-1.47533,0,0.150789,0.947099,0
SPE00200139,0.964126,-1.00051,0,0.317628,0.964126,0
SPE00200447,0.991508,-0.236783,0,0.817452,0.991508,0
SPE00200793,1.05445,1.51876,0,0.149004,1.05445,0
SPE00201154,1.04251,1.1856,0,0.2955,1.04251,0
SPE00211224,0.976863,-0.645235,0,0.524924,0.976863,0
SPE00300057,0.973358,-0.742987,0,0.46194,0.973358,0
SPE00300118,0.975551,-0.681912,0,0.510992,0.975551,0
SPE00300423,1.0149,0.415676,0,0.677832,1.0149,0
SPE00201513,0.129587,-24.2752,0,0,0.129587,0
SPE00201697,0.979584,-0.569453,0,0.585768,0.979584,0
SPE00210239,0.316978,-19.0493,0,0,0.316978,0
SPE00210567,1.0644,1.79626,0,0.0890288,1.0644,0
SPE00211126,1.00552,0.153914,0,0.799004,1.00552,0
SPE00211709,0.293368,-19.7076,0,0,0.293368,0
SPE00240660,1.07257,2.02412,0,0.194869,1.07257,0
SPE01503261,0.882108,-3.28799,0,0.00208202,0.882108,0
SPE00100652,1.07007,1.95428,0,0.0823918,1.07007,0
SPE00201524,0.962755,-1.03879,0,0.312538,0.962755,0
SPE00203010,0.992291,-0.215027,0,0.830418,0.992291,0
SPE00210242,0.243795,-21.0901,0,0,0.243795,0
SPE00210568,1.0466,1.29974,0,0.254542,1.0466,0
SPE00211152,1.06804,1.89757,0,0.0618172,1.06804,0
SPE00212140,1.072,2.00817,0,0.0615748,1.072,0
SPE00240673,0.986478,-0.37713,0,0.706298,0.986478,0
SPE00201539,0.821794,-4.97014,0,4.1697e-06,0.821794,0
SPE00201716,0.973476,-0.739719,0,0.460728,0.973476,0
SPE00210025,0.937025,-1.75638,0,0.0886956,0.937025,0
SPE00210296,1.03972,1.10767,0,0.322938,1.03972,0
SPE00210599,1.0646,1.80168,0,0.158384,1.0646,0
SPE00211227,1.0405,1.12965,0,0.269954,1.0405,0
SPE00240429,0.741882,-7.19883,0,1.52915e-11,0.741882,0
SPE00240828,0.525467,-13.2348,0,1.08406e-28,0.525467,0
SPE00201540,1.02709,0.755492,0,0.452642,1.02709,0
SPE00201610,0.844054,-4.34928,0,3.81084e-05,0.844054,0
SPE00210014,1.0642,1.79066,0,0.0880622,1.0642,0
SPE00210072,0.948545,-1.4351,0,0.167447,0.948545,0
SPE00210369,1.04434,1.23663,0,0.216308,1.04434,0
SPE00210837,1.05119,1.42779,0,0.224086,1.05119,0
SPE00240437,1.07292,2.03398,0,0.115025,1.07292,0
SPE00240862,1.04058,1.13166,0,0.26143,1.04058,0
SPE00100687,1.05535,1.54373,0,0.150742,1.05535,0
SPE00107013,1.05314,1.48202,0,0.14203,1.05314,0
SPE00201581,0.49648,-14.0429,0,3.81153e-43,0.49648,0
SPE00210201,1.0098,0.273313,0,0.78752,1.0098,0
SPE00210454,0.891198,-3.0344,0,0.00245052,0.891198,0
SPE00210850,0.246364,-21.0183,0,0,0.246364,0
SPE00240470,1.01929,0.537894,0,0.593766,1.01929,0
SPE00240871,1.06633,1.85009,0,0.186176,1.06633,0
SPE00100355,1.05343,1.49021,0,0.175704,1.05343,0
SPE00201584,0.827005,-4.8247,0,1.42205e-06,0.827005,0
SPE00210203,1.01775,0.495068,0,0.625256,1.01775,0
SPE00210503,1.06334,1.76643,0,0.0842406,1.06334,0
SPE00210863,0.645162,-9.89612,0,2.86712e-22,0.645162,0
SPE00211538,1.07481,2.08648,0,0.0816442,1.07481,0
SPE00240497,1.07625,2.12658,0,0.057741,1.07625,0
SPE00240944,0.968714,-0.872407,0,0.48391,0.968714,0
SPE00200123,0.763408,-6.59857,0,9.35934e-09,0.763408,0
SPE00201595,0.717127,-7.88936,0,2.93684e-11,0.717127,0
SPE00210211,1.07675,2.14069,0,0.0651568,1.07675,0
SPE00210505,0.575824,-11.8302,0,1.15336e-26,0.575824,0
SPE00210866,1.03034,0.846101,0,0.406024,1.03034,0
SPE00211531,1.0765,2.13349,0,0.0499604,1.0765,0
SPE00240565,0.709175,-8.11102,0,8.4713e-14,0.709175,0
SPE00290030,1.08682,2.42148,0,0.130019,1.08682,0
SPE00100749,1.05367,1.4969,0,0.183875,1.05367,0
SPE00201654,0.994262,-0.160036,0,0.873242,0.994262,0
SPE00210220,1.03784,1.05527,0,0.308318,1.03784,0
SPE00210515,0.116971,-24.627,0,0,0.116971,0
SPE00210874,1.02838,0.791426,0,0.428704,1.02838,0
SPE00211475,0.854239,-4.06509,0,0.000163881,0.854239,0
SPE00240567,1.07525,2.09862,0,0.0401786,1.07525,0
SPE00300001,1.06347,1.77048,0,0.297208,1.06347,0
SPE00100743,0.989094,-0.304159,0,0.761424,0.989094,0
SPE00201662,1.00221,0.0615483,0,0.580304,1.00221,0
SPE00210235,1.03034,0.846213,0,0.427882,1.03034,0
SPE00210522,1.0233,0.649693,0,0.558664,1.0233,0
SPE00211012,0.714396,-7.96524,0,9.74414e-15,0.714396,0
SPE00211552,0.365858,-17.6861,0,0,0.365858,0
SPE00240590,1.03141,0.876136,0,0.397298,1.03141,0
