supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.980096,-0.929403,0,0.352736,0.980096,0
SPE00100016,1.01293,0.584767,0,0.580586,1.01293,0
SPE00100058,1.00847,0.404172,0,0.689152,1.00847,0
SPE00100094,0.99043,-0.461271,0,0.654204,0.99043,0
SPE00100126,0.998241,-0.0677441,0,0.802672,0.998241,0
SPE00100194,0.983319,-0.768649,0,0.450328,0.983319,0
SPE00100271,0.52991,-22.0612,0,0,0.52991,0
SPE00100305,0.98118,-0.850835,0,0.450836,0.98118,0
SPE00100003,0.983633,-0.779658,0,0.450268,0.983633,0
SPE00100024,1.01275,0.605715,0,0.550484,1.01275,0
SPE00100060,1.01422,0.707591,0,0.55937,1.01422,0
SPE00100096,1.01588,0.744487,0,0.456962,1.01588,0
SPE00100129,0.983519,-0.82189,0,0.514094,0.983519,0
SPE00100195,1.00148,0.0688247,0,0.94513,1.00148,0
SPE00100279,0.604911,-18.5433,0,0,0.604911,0
SPE00100310,0.976163,-1.05935,0,0.478228,0.976163,0
SPE00100005,0.882442,-5.50909,0,7.83964e-08,0.882442,0
SPE00100031,1.01424,0.652984,0,0.523384,1.01424,0
SPE00100066,1.01501,0.711959,0,0.483352,1.01501,0
SPE00100098,0.994877,-0.265495,0,0.663098,0.994877,0
SPE00100139,0.995452,-0.221767,0,0.826672,0.995452,0
SPE00100201,0.987376,-0.563776,0,0.610866,0.987376,0
SPE00100280,0.920319,-3.70937,0,0.000312878,0.920319,0
SPE00100315,0.961792,-1.74304,0,0.164601,0.961792,0
SPE00100006,1.02292,1.08863,0,0.298206,1.02292,0
SPE00100034,1.01489,0.725982,0,0.525688,1.01489,0
SPE00100068,1.01282,0.609556,0,0.54864,1.01282,0
SPE00100099,0.999511,-0.0221382,0,0.98234,0.999511,0
SPE00100140,0.978876,-0.999273,0,0.328056,0.978876,0
SPE00100205,0.992663,-0.335277,0,0.73962,0.992663,0
SPE00100287,0.313279,-32.2183,0,0,0.313279,0
SPE00100318,0.967544,-1.51315,0,0.131054,0.967544,0
SPE00100008,0.989251,-0.510265,0,0.613186,0.989251,0
SPE00100047,1.02654,1.22311,0,0.241554,1.02654,0
SPE00100069,1.03673,1.72738,0,0.0892178,1.03673,0
SPE00100101,0.996631,-0.169253,0,0.840062,0.996631,0
SPE00100146,0.950583,-2.34279,0,0.0402724,0.950583,0
SPE00100218,0.992885,-0.337513,0,0.736674,0.992885,0
