supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.984401,-0.786506,0,0.434866,0.984401,0
SPE00100016,0.9976,-0.121363,0,0.903404,0.9976,0
SPE00100058,1.01347,0.681729,0,0.495516,1.01347,0
SPE00100094,0.994188,-0.293625,0,0.769082,0.994188,0
SPE00100126,1.00614,0.309396,0,0.757274,1.00614,0
SPE00100194,1.00992,0.500129,0,0.617896,1.00992,0
SPE00100271,0.799878,-10.1272,0,1.06756e-23,0.799878,0
SPE00100305,1.00756,0.382009,0,0.70248,1.00756,0
SPE00100003,0.978127,-1.1084,0,0.269432,0.978127,0
SPE00100024,0.993615,-0.321568,0,0.748316,0.993615,0
SPE00100060,0.997838,-0.110049,0,0.912412,0.997838,0
SPE00100096,1.00358,0.178618,0,0.858972,1.00358,0
SPE00100129,1.00482,0.242919,0,0.808196,1.00482,0
SPE00100195,1.0173,0.871814,0,0.388904,1.0173,0
SPE00100279,0.632462,-18.6324,0,0,0.632462,0
SPE00100310,1.01205,0.603538,0,0.56148,1.01205,0
SPE00100005,0.946493,-2.71753,0,0.013567,0.946493,0
SPE00100031,0.991755,-0.418922,0,0.676314,0.991755,0
SPE00100066,1.00506,0.257737,0,0.797306,1.00506,0
SPE00100098,0.993184,-0.343799,0,0.731276,0.993184,0
SPE00100139,1.00267,0.137782,0,0.89113,1.00267,0
SPE00100201,1.00553,0.278889,0,0.780574,1.00553,0
SPE00100280,0.970268,-1.50186,0,0.13515,0.970268,0
SPE00100315,1.00242,0.119899,0,0.905166,1.00242,0
SPE00100006,0.995259,-0.24348,0,0.81021,0.995259,0
SPE00100034,1.00567,0.288064,0,0.77364,1.00567,0
SPE00100068,1.00293,0.152598,0,0.851184,1.00293,0
SPE00100099,1.00093,0.0468615,0,0.962624,1.00093,0
SPE00100140,1.00079,0.0402534,0,0.967894,1.00079,0
SPE00100205,1.01771,0.894804,0,0.371532,1.01771,0
SPE00100287,0.437992,-28.5077,0,0,0.437992,0
SPE00100318,1.01458,0.736369,0,0.461986,1.01458,0
SPE00100008,0.97828,-1.09991,0,0.272032,0.97828,0
SPE00100047,0.984368,-0.792064,0,0.429092,0.984368,0
SPE00100069,1.01135,0.576939,0,0.566796,1.01135,0
SPE00100101,0.947591,-2.65072,0,0.00805114,0.947591,0
SPE00100146,0.991012,-0.451034,0,0.656378,0.991012,0
SPE00100218,1.01723,0.870428,0,0.384604,1.01723,0
SPE00100290,0.999229,-0.0417984,0,0.899598,0.999229,0
SPE00100325,0.049154,-48.124,0,0,0.049154,0
SPE00100009,0.886836,-5.73464,0,6.42382e-08,0.886836,0
SPE00100048,0.995932,-0.20113,0,0.835182,0.995932,0
SPE00100076,0.998625,-0.0711635,0,0.94129,0.998625,0
SPE00100102,1.04951,2.44965,1,0.47619,1.04951,0
SPE00100156,1.00203,0.101039,0,0.919746,1.00203,0
