supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.977258,-0.961742,0,0.38922,0.977258,0
SPE00100016,0.984384,-0.657233,0,0.512002,0.984384,0
SPE00100058,1.00626,0.266336,0,0.737254,1.00626,0
SPE00100094,1.00261,0.113395,0,0.681982,1.00261,0
SPE00100126,0.994708,-0.227278,0,0.589788,0.994708,0
SPE00100194,1.00409,0.175287,0,0.70147,1.00409,0
SPE00100271,0.46695,-22.4444,0,0,0.46695,0
SPE00100305,0.964424,-1.51054,0,0.499548,0.964424,0
SPE00100003,0.965057,-1.46658,0,0.228752,0.965057,0
SPE00100024,0.994965,-0.211934,0,0.832198,0.994965,0
SPE00100060,0.996873,-0.129206,0,0.75405,0.996873,0
SPE00100096,1.00982,0.414261,0,0.6803,1.00982,0
SPE00100129,0.983368,-0.697943,0,0.508428,0.983368,0
SPE00100195,1.0041,0.176637,0,0.619856,1.0041,0
SPE00100279,0.367146,-26.6557,0,0,0.367146,0
SPE00100310,0.995906,-0.175937,0,0.664968,0.995906,0
SPE00100005,0.853367,-6.17319,0,4.3317e-09,0.853367,0
SPE00100031,0.973597,-1.11072,0,0.274642,0.973597,0
SPE00100066,1.02101,0.889507,0,0.446288,1.02101,0
SPE00100098,1.00125,0.0534506,0,0.934532,1.00125,0
SPE00100139,1.0021,0.0854552,0,0.709514,1.0021,0
SPE00100201,0.985027,-0.630124,0,0.529632,0.985027,0
SPE00100280,0.909111,-3.83028,0,0.000185589,0.909111,0
SPE00100315,0.997007,-0.13015,0,0.610088,0.997007,0
SPE00100006,0.981661,-0.763882,0,0.40536,0.981661,0
SPE00100034,1.00775,0.324546,0,0.753126,1.00775,0
SPE00100068,0.991007,-0.373627,0,0.541114,0.991007,0
SPE00100099,1.00582,0.246027,0,0.806904,1.00582,0
SPE00100140,0.998028,-0.0819104,0,0.884378,0.998028,0
SPE00100205,1.00473,0.199229,0,0.842086,1.00473,0
SPE00100287,0.31527,-28.8442,0,0,0.31527,0
SPE00100318,0.971172,-1.21373,0,0.22603,0.971172,0
SPE00100008,0.94544,-2.29346,0,0.0468304,0.94544,0
SPE00100047,1.02011,0.847221,0,0.39688,1.02011,0
SPE00100069,1.03221,1.35957,0,0.199713,1.03221,0
SPE00100101,0.894598,-4.44177,0,1.53451e-05,0.894598,0
SPE00100146,0.943808,-2.36737,0,0.0181091,0.943808,0
SPE00100218,0.990467,-0.402637,0,0.689974,0.990467,0
SPE00100290,0.985714,-0.6046,0,0.570686,0.985714,0
SPE00100325,0.0633373,-39.4568,0,0,0.0633373,0
SPE00100009,0.81056,-7.98272,0,1.63262e-14,0.81056,0
SPE00100048,1.01434,0.602989,0,0.548756,1.01434,0
SPE00100076,1.01676,0.712235,0,0.540402,1.01676,0
SPE00100102,1.00989,0.417016,0,0.676956,1.00989,0
SPE00100156,0.982187,-0.75188,0,0.460768,0.982187,0
SPE00100222,1.0034,0.142942,0,0.886416,1.0034,0
SPE00100296,0.97683,-0.976942,0,0.332214,0.97683,0
SPE00100530,1.00189,0.082031,0,0.769162,1.00189,0
SPE00100049,0.99469,-0.223552,0,0.82312,0.99469,0
SPE00100081,1.01085,0.453979,0,0.67245,1.01085,0
SPE00100103,1.01912,0.807333,0,0.431482,1.01912,0
SPE00100158,0.997081,-0.120577,0,0.764746,0.997081,0
SPE00100223,0.994044,-0.246245,0,0.56995,0.994044,0
SPE00100298,0.977238,-0.965732,0,0.496796,0.977238,0
SPE00100531,0.963045,-1.56505,0,0.311822,0.963045,0
SPE00240645,0.861893,-5.8238,0,2.73066e-07,0.861893,0
SPE00100012,0.970689,-1.23154,0,0.2528,0.970689,0
SPE00100050,1.01404,0.591425,0,0.554392,1.01404,0
SPE00100088,1.00971,0.411758,0,0.699574,1.00971,0
SPE00100105,1.01082,0.459479,0,0.66006,1.01082,0
SPE00100162,0.999549,-0.0169435,0,0.794276,0.999549,0
SPE00100242,0.946403,-2.2553,0,0.0301686,0.946403,0
SPE00100301,0.10452,-37.722,0,0,0.10452,0
SPE00100359,0.982929,-0.724725,0,0.570844,0.982929,0
SPE00100013,0.990916,-0.379748,0,0.722132,0.990916,0
SPE00100054,1.02,0.842832,0,0.400264,1.02,0
SPE00100090,1.03729,1.5648,0,0.215788,1.03729,0
SPE00100114,1.02881,1.22062,0,0.396862,1.02881,0
SPE00100173,1.01466,0.617899,0,0.537782,1.01466,0
SPE00100254,0.987619,-0.524442,0,0.624286,0.987619,0
SPE00100303,0.968832,-1.31362,0,0.190959,0.968832,0
SPE00100360,0.990944,-0.385114,0,0.667806,0.990944,0
SPE00100014,0.95234,-2.00838,0,0.0458234,0.95234,0
SPE00100056,1.0062,0.264874,0,0.640574,1.0062,0
SPE00100093,0.955819,-1.85338,0,0.188167,0.955819,0
SPE00100117,1.01095,0.456554,0,0.592558,1.01095,0
SPE00100190,0.990706,-0.386952,0,0.596336,0.990706,0
SPE00100267,1.00817,0.345633,0,0.734836,1.00817,0
SPE00100304,0.995395,-0.191901,0,0.797334,0.995395,0
SPE00100368,0.991678,-0.353592,0,0.716796,0.991678,0
SPE00100375,0.974632,-1.06917,0,0.286544,0.974632,0
SPE00100528,0.906804,-3.9259,0,8.73548e-05,0.906804,0
SPE00100537,0.111925,-37.4094,0,0,0.111925,0
SPE00100568,1.02681,1.13779,0,0.488246,1.02681,0
SPE00100609,0.923113,-3.23885,0,0.00120435,0.923113,0
SPE00102018,0.962983,-1.56011,0,0.120952,0.962983,0
SPE00200004,1.01324,0.554606,0,0.604892,1.01324,0
SPE01500420,1.0073,0.309681,0,0.764184,1.0073,0
SPE00100378,0.962638,-1.57448,0,0.116935,0.962638,0
SPE00100455,1.00363,0.155437,0,0.765468,1.00363,0
SPE00100540,0.555184,-18.7354,0,0,0.555184,0
SPE00100572,0.996173,-0.161294,0,0.871868,0.996173,0
SPE00100612,0.7316,-11.3067,0,3.32726e-29,0.7316,0
SPE00100682,1.00481,0.199297,0,0.678052,1.00481,0
SPE00102076,0.676306,-13.6408,0,3.36648e-38,0.676306,0
SPE00201606,0.17508,-34.7489,0,0,0.17508,0
SPE00100423,0.935618,-2.71206,0,0.00669684,0.935618,0
SPE00100458,0.987047,-0.548238,0,0.603576,0.987047,0
SPE00100541,0.786157,-9.01861,0,1.30945e-14,0.786157,0
SPE00100576,1.00294,0.123361,0,0.902136,1.00294,0
SPE00100615,1.00112,0.0462263,0,0.919436,1.00112,0
SPE00100686,0.999578,-0.0175205,0,0.97227,0.999578,0
SPE00102058,1.01366,0.577534,0,0.580468,1.01366,0
SPE00200010,1.06678,2.81526,0,0.00700656,1.06678,0
SPE00100424,0.990797,-0.385027,0,0.715524,0.990797,0
SPE00100525,0.979663,-0.858574,0,0.40452,0.979663,0
SPE00100551,0.95345,-1.96277,0,0.0569576,0.95345,0
SPE00100580,1.00265,0.113067,0,0.874778,1.00265,0
SPE00100616,0.918934,-3.4209,0,0.00422046,0.918934,0
SPE00100698,0.993677,-0.267548,0,0.791406,0.993677,0
SPE00107023,1.0069,0.29076,0,0.771238,1.0069,0
SPE00200012,1.04771,2.01115,0,0.047795,1.04771,0
SPE00100432,0.965892,-1.43701,0,0.150988,0.965892,0
SPE00100465,0.99422,-0.249314,0,0.472662,0.99422,0
SPE00100550,0.991027,-0.378119,0,0.705408,0.991027,0
SPE00100582,0.854915,-6.11301,0,2.0085e-09,0.854915,0
SPE00100618,0.990149,-0.410923,0,0.640788,0.990149,0
SPE00100719,0.880623,-5.02769,0,5.50508e-07,0.880623,0
SPE00107022,1.00837,0.353578,0,0.725326,1.00837,0
SPE00201466,1.00938,0.392545,0,0.707986,1.00938,0
SPE00100434,0.982301,-0.746287,0,0.457506,0.982301,0
SPE00100475,1.00211,0.0924769,0,0.644532,1.00211,0
SPE00100552,1.00212,0.0913299,0,0.813176,1.00212,0
SPE00100583,0.994183,-0.249568,0,0.577092,0.994183,0
SPE00100620,0.982075,-0.753695,0,0.457624,0.982075,0
SPE00100688,0.997883,-0.0954259,0,0.430676,0.997883,0
SPE00107093,0.92389,-3.21318,0,0.0108089,0.92389,0
SPE00201477,0.520631,-20.1944,0,0,0.520631,0
SPE00100435,0.975925,-1.01385,0,0.310898,0.975925,0
SPE00100489,0.996219,-0.162802,0,0.660536,0.996219,0
SPE00100562,1.00023,0.0118854,0,0.78759,1.00023,0
SPE00100584,1.01221,0.51475,0,0.607726,1.01221,0
SPE00100638,0.994088,-0.248622,0,0.803914,0.994088,0
SPE00100731,1.00046,0.0241761,0,0.54873,1.00046,0
SPE00200002,0.896974,-4.34096,0,1.79572e-05,0.896974,0
SPE00201484,1.0068,0.285392,0,0.777602,1.0068,0
SPE00100439,0.962402,-1.58106,0,0.133807,0.962402,0
SPE00100492,0.996549,-0.14617,0,0.884414,0.996549,0
SPE00100520,0.993112,-0.295839,0,0.49195,0.993112,0
SPE00100563,0.995382,-0.191872,0,0.743402,0.995382,0
SPE00100585,1.01214,0.511628,0,0.608934,1.01214,0
SPE00100646,0.996091,-0.160254,0,0.582524,0.996091,0
SPE00107015,1.01176,0.496627,0,0.62274,1.01176,0
SPE00201505,0.729598,-11.3902,0,5.0605e-30,0.729598,0
SPE00100447,0.981042,-0.795141,0,0.467804,0.981042,0
SPE00100497,1.01246,0.524981,0,0.599892,1.01246,0
SPE00100566,1.00759,0.313432,0,0.449022,1.00759,0
SPE00100586,0.992564,-0.312592,0,0.75536,0.992564,0
SPE00100650,1.01249,0.527593,0,0.605476,1.01249,0
SPE00100901,0.997832,-0.0911052,0,0.927436,0.997832,0
SPE00102007,0.933015,-2.82148,0,0.00478122,0.933015,0
SPE00201506,0.807924,-8.08862,0,2.41636e-15,0.807924,0
SPE00100517,0.979814,-0.854801,0,0.465784,0.979814,0
SPE00100529,0.857697,-5.99413,0,2.04614e-09,0.857697,0
SPE00100567,0.97805,-0.927797,0,0.39204,0.97805,0
SPE00100595,0.998786,-0.0528728,0,0.825764,0.998786,0
SPE00100651,0.999351,-0.0229239,0,0.57586,0.999351,0
SPE00102035,0.984084,-0.669544,0,0.50579,0.984084,0
SPE00107005,1.00507,0.214611,0,0.831178,1.00507,0
SPE00201509,1.01619,0.681051,0,0.497714,1.01619,0
SPE00200141,0.961123,-1.63424,0,0.132818,0.961123,0
SPE00200449,0.987415,-0.525056,0,0.57709,0.987415,0
SPE00200833,0.963852,-1.52429,0,0.136023,0.963852,0
SPE00211458,1.02877,1.213,0,0.228376,1.02877,0
SPE00300007,0.941851,-2.44642,0,0.0214014,0.941851,0
SPE00300058,0.911904,-3.70907,0,0.000281664,0.911904,0
SPE00300119,1.03952,1.67083,0,0.193116,1.03952,0
SPE00300531,1.03192,1.34899,0,0.240018,1.03192,0
SPE00200015,1.01438,0.605523,0,0.544942,1.01438,0
SPE00200183,0.969741,-1.27621,0,0.211324,0.969741,0
SPE00200457,0.999983,0.0021149,0,0.722298,0.999983,0
SPE00200851,1.00621,0.258524,0,0.699732,1.00621,0
SPE00300012,0.950711,-2.07368,0,0.047689,0.950711,0
SPE00300061,0.993121,-0.289172,0,0.773038,0.993121,0
SPE00300132,1.01892,0.803494,0,0.53418,1.01892,0
SPE00300532,1.02765,1.16271,0,0.25702,1.02765,0
SPE00200031,0.988239,-0.493776,0,0.628742,0.988239,0
SPE00200255,0.70039,-12.6227,0,4.1519e-35,0.70039,0
SPE00200463,1.01731,0.734155,0,0.542512,1.01731,0
SPE00200873,1.01189,0.498958,0,0.62715,1.01189,0
SPE00300018,0.995803,-0.174451,0,0.770174,0.995803,0
SPE00300101,1.00483,0.198713,0,0.572704,1.00483,0
SPE00300133,1.00915,0.388356,0,0.716652,1.00915,0
SPE00300538,0.909559,-3.80869,0,0.000152592,0.909559,0
SPE00200040,0.996163,-0.162393,0,0.87162,0.996163,0
SPE00200191,1.00558,0.233657,0,0.81869,1.00558,0
SPE00200484,0.948631,-2.16481,0,0.0318056,0.948631,0
SPE00201066,0.99283,-0.300492,0,0.768008,0.99283,0
SPE00300021,0.984457,-0.653819,0,0.515766,0.984457,0
SPE00300104,0.998939,-0.0467714,0,0.792122,0.998939,0
SPE00300148,0.994839,-0.219587,0,0.78559,0.994839,0
SPE00300539,1.03083,1.29768,0,0.198624,1.03083,0
