supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.948833,-1.47727,0,0.226672,0.948833,0
SPE00100016,1.01117,0.317612,0,0.756486,1.01117,0
SPE00100058,1.01566,0.462714,0,0.64397,1.01566,0
SPE00100094,0.981196,-0.553854,0,0.580986,0.981196,0
SPE00100126,1.0078,0.239947,0,0.811634,1.0078,0
SPE00100194,1.0163,0.488532,0,0.625662,1.0163,0
SPE00100271,0.30261,-20.8298,0,0,0.30261,0
SPE00100305,1.00267,0.121378,0,0.53275,1.00267,0
SPE00100003,0.974475,-0.779562,0,0.456408,0.974475,0
SPE00100024,0.982137,-0.558175,0,0.606388,0.982137,0
SPE00100060,1.00905,0.255174,0,0.802918,1.00905,0
SPE00100096,1.0052,0.15065,0,0.880478,1.0052,0
SPE00100129,1.00432,0.132317,0,0.894898,1.00432,0
SPE00100195,1.01721,0.529635,0,0.609,1.01721,0
SPE00100279,0.677822,-9.61614,0,3.08174e-20,0.677822,0
SPE00100310,0.988016,-0.352992,0,0.724464,0.988016,0
SPE00100005,0.7662,-7.00027,0,1.26043e-10,0.7662,0
SPE00100031,1.00636,0.179529,0,0.859024,1.00636,0
SPE00100066,1.00521,0.156785,0,0.875462,1.00521,0
SPE00100098,0.925768,-2.22054,0,0.0289236,0.925768,0
SPE00100139,1.0134,0.399769,0,0.689374,1.0134,0
SPE00100201,1.01558,0.453522,0,0.653814,1.01558,0
SPE00100280,0.940357,-1.78047,0,0.0762394,0.940357,0
SPE00100315,1.00005,0.00612382,0,0.945932,1.00005,0
SPE00100006,0.962671,-1.08629,0,0.30845,0.962671,0
SPE00100034,1.0094,0.270871,0,0.788256,1.0094,0
SPE00100068,1.0108,0.311615,0,0.757816,1.0108,0
SPE00100099,0.990264,-0.29738,0,0.76771,0.990264,0
SPE00100140,1.01091,0.323099,0,0.746682,1.01091,0
SPE00100205,1.02657,0.798752,0,0.428016,1.02657,0
SPE00100287,0.11053,-26.5655,0,0,0.11053,0
SPE00100318,1.01458,0.43698,0,0.662506,1.01458,0
SPE00100008,0.952438,-1.43346,0,0.167475,0.952438,0
SPE00100047,0.977885,-0.651751,0,0.516348,0.977885,0
SPE00100069,1.00297,0.0878089,0,0.93003,1.00297,0
SPE00100101,0.849611,-4.48511,0,9.52706e-06,0.849611,0
SPE00100146,0.89701,-3.06747,0,0.00219126,0.89701,0
SPE00100218,1.01975,0.58364,0,0.560104,1.01975,0
SPE00100290,1.00008,-0.00191051,0,0.948384,1.00008,0
SPE00100325,0.0505162,-28.3732,0,0,0.0505162,0
SPE00100009,0.380811,-18.4851,0,0,0.380811,0
SPE00100048,0.997773,-0.072103,0,0.930144,0.997773,0
SPE00100076,0.996604,-0.0942178,0,0.918998,0.996604,0
SPE00100102,0.998798,-0.0335605,0,0.973242,0.998798,0
SPE00100156,1.00542,0.156004,0,0.87643,1.00542,0
SPE00100222,1.01523,0.456174,0,0.648596,1.01523,0
SPE00100296,0.993457,-0.198939,0,0.842634,0.993457,0
SPE00100530,0.999673,-0.00455612,0,0.937962,0.999673,0
SPE00100049,0.979975,-0.592462,0,0.554014,0.979975,0
SPE00100081,0.999436,-0.0193771,0,0.968792,0.999436,0
SPE00100103,0.999458,-0.00453941,0,0.861846,0.999458,0
SPE00100158,1.00776,0.227757,0,0.820026,1.00776,0
SPE00100223,1.00613,0.182134,0,0.855478,1.00613,0
SPE00100298,1.00607,0.170382,0,0.866294,1.00607,0
SPE00100531,1.01293,0.381682,0,0.702994,1.01293,0
SPE00240645,0.757352,-7.25182,0,7.25926e-12,0.757352,0
SPE00100012,0.93979,-1.8001,0,0.0743802,0.93979,0
SPE00100050,0.99845,-0.0471881,0,0.962368,0.99845,0
SPE00100088,0.996988,-0.109953,0,0.761556,0.996988,0
SPE00100105,1.00535,0.151333,0,0.880528,1.00535,0
SPE00100162,1.00876,0.285324,0,0.720544,1.00876,0
SPE00100242,0.967579,-0.951179,0,0.351072,0.967579,0
SPE00100301,0.0617592,-28.0359,0,0,0.0617592,0
SPE00100359,1.02112,0.635903,0,0.5275,1.02112,0
SPE00100013,0.95686,-1.301,0,0.20872,0.95686,0
SPE00100054,0.989457,-0.325954,0,0.748628,0.989457,0
SPE00100090,1.00986,0.303361,0,0.7643,1.00986,0
SPE00100114,0.997153,-0.0834508,0,0.933504,0.997153,0
SPE00100173,1.00748,0.224836,0,0.822206,1.00748,0
SPE00100254,1.00857,0.246593,0,0.806678,1.00857,0
SPE00100303,1.00659,0.198536,0,0.842742,1.00659,0
SPE00100360,1.016,0.464058,0,0.647994,1.016,0
SPE00100014,0.934812,-1.95577,0,0.0575876,0.934812,0
SPE00100056,0.976026,-0.715627,0,0.474514,0.976026,0
SPE00100093,0.887145,-3.3558,0,0.000793982,0.887145,0
SPE00100117,0.990999,-0.277637,0,0.78361,0.990999,0
