supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.976783,-1.1728,0,0.244848,0.976783,0
SPE00100016,0.999783,-0.0106201,0,0.96975,0.999783,0
SPE00100058,1.01547,0.78311,0,0.435438,1.01547,0
SPE00100094,1.00119,0.0645716,0,0.660052,1.00119,0
SPE00100126,0.991886,-0.411986,0,0.684642,0.991886,0
SPE00100194,0.989055,-0.555614,0,0.58726,0.989055,0
SPE00100271,0.57833,-21.3326,0,0,0.57833,0
SPE00100305,0.985664,-0.726266,0,0.471578,0.985664,0
SPE00100003,0.968286,-1.60897,0,0.15692,0.968286,0
SPE00100024,1.00184,0.0909855,0,0.846022,1.00184,0
SPE00100060,1.0044,0.221778,0,0.825168,1.0044,0
SPE00100096,1.00011,0.00446639,0,0.922108,1.00011,0
SPE00100129,0.987792,-0.612886,0,0.580298,0.987792,0
SPE00100195,0.998292,-0.0879937,0,0.868378,0.998292,0
SPE00100279,0.549489,-22.7857,0,0,0.549489,0
SPE00100310,0.992847,-0.36095,0,0.719008,0.992847,0
SPE00100005,0.943165,-2.87054,0,0.00671092,0.943165,0
SPE00100031,1.00539,0.274332,0,0.787418,1.00539,0
SPE00100066,1.00961,0.487492,0,0.628918,1.00961,0
SPE00100098,0.993417,-0.328506,0,0.67258,0.993417,0
SPE00100139,0.992621,-0.375519,0,0.715444,0.992621,0
SPE00100201,0.993711,-0.320457,0,0.755848,0.993711,0
SPE00100280,0.93061,-3.51656,0,0.00302416,0.93061,0
SPE00100315,0.996568,-0.173189,0,0.862586,0.996568,0
SPE00100006,0.995814,-0.211334,0,0.83272,0.995814,0
SPE00100034,1.01123,0.567759,0,0.57022,1.01123,0
SPE00100068,0.995236,-0.236909,0,0.690372,0.995236,0
SPE00100099,1.00058,0.0292358,0,0.976678,1.00058,0
SPE00100140,0.990106,-0.503916,0,0.637266,0.990106,0
SPE00100205,0.97568,-1.24023,0,0.439166,0.97568,0
SPE00100287,0.308503,-34.976,0,0,0.308503,0
SPE00100318,0.998632,-0.07214,0,0.76492,0.998632,0
SPE00100008,0.981495,-0.935273,0,0.350252,0.981495,0
SPE00100047,1.00651,0.336674,0,0.473624,1.00651,0
SPE00100069,1.03494,1.76385,0,0.0935868,1.03494,0
SPE00100101,0.895075,-5.31331,0,2.4761e-06,0.895075,0
SPE00100146,0.985599,-0.722612,0,0.538378,0.985599,0
SPE00100218,1.00882,0.443643,0,0.66852,1.00882,0
SPE00100290,0.974767,-1.27473,0,0.20633,0.974767,0
SPE00100325,0.0576821,-47.6578,0,0,0.0576821,0
SPE00100009,0.950693,-2.49609,0,0.0159004,0.950693,0
