supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.983035,-0.937882,0,0.359416,0.983035,0
SPE00100016,1.00013,0.000903752,0,0.797026,1.00013,0
SPE00100058,1.01409,0.782992,0,0.433808,1.01409,0
SPE00100094,1.00381,0.211998,0,0.832128,1.00381,0
SPE00100126,0.993453,-0.365776,0,0.715146,0.993453,0
SPE00100194,0.989869,-0.559667,0,0.57967,0.989869,0
SPE00100271,0.731737,-14.8865,0,7.9874e-43,0.731737,0
SPE00100305,0.965732,-1.91419,0,0.0695216,0.965732,0
SPE00100003,0.97724,-1.2595,0,0.220904,0.97724,0
SPE00100024,1.01088,0.611222,0,0.55312,1.01088,0
SPE00100060,1.00696,0.382109,0,0.707214,1.00696,0
SPE00100096,1.02414,1.3501,0,0.196392,1.02414,0
SPE00100129,0.967034,-1.83769,0,0.0703314,0.967034,0
SPE00100195,1.00001,-0.00579083,0,0.81192,1.00001,0
SPE00100279,0.514207,-27.0182,0,0,0.514207,0
SPE00100310,0.978156,-1.22288,0,0.244736,0.978156,0
SPE00100005,0.951073,-2.71621,0,0.00747062,0.951073,0
SPE00100031,1.00569,0.31473,0,0.753406,1.00569,0
SPE00100066,1.01842,1.02545,0,0.305448,1.01842,0
SPE00100098,1.01624,0.922132,0,0.476596,1.01624,0
SPE00100139,0.999438,-0.0299351,0,0.959226,0.999438,0
SPE00100201,1.00015,0.00160626,0,0.794442,1.00015,0
SPE00100280,0.956662,-2.39858,0,0.0276322,0.956662,0
SPE00100315,0.980745,-1.07851,0,0.30289,0.980745,0
SPE00100006,0.993852,-0.32906,0,0.634606,0.993852,0
SPE00100034,1.00869,0.49496,0,0.655932,1.00869,0
SPE00100068,0.997644,-0.142704,0,0.649744,0.997644,0
SPE00100099,1.01399,0.774743,0,0.442066,1.01399,0
SPE00100140,0.995969,-0.217027,0,0.78461,0.995969,0
SPE00100205,1.00332,0.184939,0,0.853282,1.00332,0
SPE00100287,0.379513,-34.5161,0,0,0.379513,0
SPE00100318,0.975784,-1.3584,0,0.219436,0.975784,0
SPE00100008,0.987806,-0.678807,0,0.497446,0.987806,0
SPE00100047,1.01652,0.916767,0,0.360758,1.01652,0
SPE00100069,1.03137,1.75167,0,0.092819,1.03137,0
SPE00100101,0.959729,-2.23877,0,0.0252146,0.959729,0
SPE00100146,0.983943,-0.892861,0,0.371932,0.983943,0
SPE00100218,1.00768,0.430753,0,0.670334,1.00768,0
SPE00100290,0.980462,-1.07354,0,0.342522,0.980462,0
SPE00100325,0.0552403,-52.5735,0,0,0.0552403,0
SPE00100009,0.982253,-0.983679,0,0.329028,0.982253,0
SPE00100048,1.01393,0.774772,0,0.438508,1.01393,0
SPE00100076,1.01825,1.01018,0,0.320042,1.01825,0
