supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.986887,-0.671803,0,0.57984,0.986887,0
SPE00100016,0.987836,-0.612124,0,0.564116,0.987836,0
SPE00100058,1.02156,1.09118,0,0.277606,1.02156,0
SPE00100094,1.00123,0.0644085,0,0.873732,1.00123,0
SPE00100126,0.996155,-0.197553,0,0.818732,0.996155,0
SPE00100194,0.998293,-0.0834336,0,0.798558,0.998293,0
SPE00100271,0.349631,-32.9487,0,0,0.349631,0
SPE00100305,0.974061,-1.31318,0,0.190444,0.974061,0
SPE00100003,0.97921,-1.05646,0,0.308076,0.97921,0
SPE00100024,1.02103,1.06784,0,0.29552,1.02103,0
SPE00100060,1.00023,0.013498,0,0.85975,1.00023,0
SPE00100096,1.01502,0.75847,0,0.460002,1.01502,0
SPE00100129,0.990779,-0.468323,0,0.641136,0.990779,0
SPE00100195,0.991359,-0.435132,0,0.67124,0.991359,0
SPE00100279,0.41235,-29.7694,0,0,0.41235,0
SPE00100310,0.970764,-1.47868,0,0.147985,0.970764,0
SPE00100005,0.895516,-5.29643,0,2.47358e-07,0.895516,0
SPE00100031,0.999563,-0.0267825,0,0.697448,0.999563,0
SPE00100066,1.04154,2.10666,0,0.038277,1.04154,0
SPE00100098,1.0056,0.287691,0,0.750722,1.0056,0
SPE00100139,0.979684,-1.04234,0,0.492286,0.979684,0
SPE00100201,0.992275,-0.387267,0,0.715238,0.992275,0
SPE00100280,0.898022,-5.1739,0,2.76798e-06,0.898022,0
SPE00100315,0.991965,-0.402759,0,0.706094,0.991965,0
SPE00100006,1.02702,1.36697,0,0.178431,1.02702,0
SPE00100034,1.01628,0.824233,0,0.410352,1.01628,0
SPE00100068,1.01451,0.733299,0,0.468492,1.01451,0
SPE00100099,0.998084,-0.0965205,0,0.923184,0.998084,0
SPE00100140,0.982692,-0.87727,0,0.380654,0.982692,0
SPE00100205,0.98272,-0.872285,0,0.399694,0.98272,0
SPE00100287,0.184786,-41.3019,0,0,0.184786,0
SPE00100318,0.98599,-0.701535,0,0.578872,0.98599,0
SPE00100008,0.99541,-0.235966,0,0.779578,0.99541,0
SPE00100047,1.03811,1.93151,0,0.0537886,1.03811,0
SPE00100069,1.04498,2.27827,0,0.0227962,1.04498,0
SPE00100101,0.90852,-4.63222,0,5.3493e-06,0.90852,0
SPE00100146,0.948044,-2.63555,0,0.0110568,0.948044,0
SPE00100218,0.976606,-1.18534,0,0.235912,0.976606,0
SPE00100290,0.973142,-1.36136,0,0.174077,0.973142,0
SPE00100325,0.0624273,-47.5078,0,0,0.0624273,0
SPE00100009,0.83267,-8.48041,0,1.03977e-16,0.83267,0
SPE00100048,1.02863,1.44676,0,0.169566,1.02863,0
SPE00100076,1.03073,1.56153,0,0.146885,1.03073,0
SPE00100102,1.00449,0.228448,0,0.819842,1.00449,0
SPE00100156,0.991757,-0.418087,0,0.676108,0.991757,0
SPE00100222,0.982482,-0.88919,0,0.378786,0.982482,0
SPE00100296,0.973723,-1.33118,0,0.183136,0.973723,0
SPE00100530,0.988126,-0.600671,0,0.549226,0.988126,0
SPE00100049,1.01823,0.919523,0,0.387504,1.01823,0
SPE00100081,1.03385,1.71682,0,0.090844,1.03385,0
