supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.977719,-0.819629,0,0.421172,0.977719,0
SPE00100016,1.00773,0.284745,0,0.776064,1.00773,0
SPE00100058,1.02067,0.771173,0,0.453322,1.02067,0
SPE00100094,0.989629,-0.386056,0,0.700522,0.989629,0
SPE00100126,1.00355,0.127677,0,0.8901,1.00355,0
SPE00100194,1.00815,0.310561,0,0.745204,1.00815,0
SPE00100271,0.351695,-24.0322,0,0,0.351695,0
SPE00100305,0.973423,-1.00035,0,0.412412,0.973423,0
SPE00100003,0.979367,-0.770752,0,0.45798,0.979367,0
SPE00100024,1.00043,0.0131417,0,0.911802,1.00043,0
SPE00100060,1.00401,0.145512,0,0.884968,1.00401,0
SPE00100096,1.01135,0.425581,0,0.677638,1.01135,0
SPE00100129,1.0076,0.28097,0,0.77876,1.0076,0
SPE00100195,1.02641,0.993771,0,0.40981,1.02641,0
SPE00100279,0.394609,-22.4084,0,0,0.394609,0
SPE00100310,0.981678,-0.68064,0,0.498222,0.981678,0
SPE00100005,0.936059,-2.37492,0,0.0237714,0.936059,0
SPE00100031,1.00432,0.157998,0,0.87479,1.00432,0
SPE00100066,1.00604,0.225412,0,0.822038,1.00604,0
SPE00100098,0.974949,-0.933217,0,0.363926,0.974949,0
SPE00100139,1.00846,0.31348,0,0.753966,1.00846,0
SPE00100201,1.01285,0.48439,0,0.648248,1.01285,0
SPE00100280,0.944479,-2.05775,0,0.0408868,0.944479,0
SPE00100315,0.990504,-0.347099,0,0.732202,0.990504,0
SPE00100006,0.987003,-0.488927,0,0.640786,0.987003,0
SPE00100034,1.01397,0.513866,0,0.610202,1.01397,0
SPE00100068,1.00994,0.367764,0,0.713058,1.00994,0
SPE00100099,0.99842,-0.0583582,0,0.953464,0.99842,0
SPE00100140,1.00291,0.107908,0,0.91407,1.00291,0
SPE00100205,1.01446,0.529964,0,0.603572,1.01446,0
SPE00100287,0.104495,-33.1663,0,0,0.104495,0
SPE00100318,1.00311,0.121954,0,0.79436,1.00311,0
SPE00100008,0.961449,-1.43136,0,0.158787,0.961449,0
SPE00100047,0.995863,-0.15172,0,0.879582,0.995863,0
SPE00100069,1.01329,0.490771,0,0.62396,1.01329,0
SPE00100101,0.904964,-3.52452,0,0.00066201,0.904964,0
SPE00100146,0.969531,-1.12912,0,0.259626,0.969531,0
SPE00100218,1.01187,0.437926,0,0.66202,1.01187,0
