supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.99134,-0.427072,0,0.67776,0.99134,0
SPE00100016,1.00371,0.182578,0,0.679838,1.00371,0
SPE00100058,1.00683,0.337237,0,0.737656,1.00683,0
SPE00100094,0.997556,-0.120538,0,0.904258,0.997556,0
SPE00100126,0.999313,-0.0340102,0,0.938482,0.999313,0
SPE00100194,1.00959,0.473092,0,0.636456,1.00959,0
SPE00100271,0.0746846,-45.664,0,0,0.0746846,0
SPE00100305,0.972232,-1.3714,0,0.307492,0.972232,0
SPE00100003,0.991113,-0.438334,0,0.667256,0.991113,0
SPE00100024,1.00859,0.424084,0,0.671656,1.00859,0
SPE00100060,1.00557,0.275252,0,0.785118,1.00557,0
SPE00100096,1.00659,0.325104,0,0.749816,1.00659,0
SPE00100129,1.00489,0.241138,0,0.809518,1.00489,0
SPE00100195,1.01079,0.532132,0,0.60063,1.01079,0
SPE00100279,0.739712,-12.8465,0,2.14814e-32,0.739712,0
SPE00100310,0.981418,-0.917231,0,0.365632,0.981418,0
SPE00100005,0.973572,-1.30391,0,0.207082,0.973572,0
SPE00100031,0.999856,-0.00732598,0,0.873832,0.999856,0
SPE00100066,1.00709,0.350261,0,0.688432,1.00709,0
SPE00100098,1.00215,0.106207,0,0.915662,1.00215,0
SPE00100139,1.01085,0.535436,0,0.593262,1.01085,0
SPE00100201,1.01104,0.545011,0,0.588372,1.01104,0
SPE00100280,0.976591,-1.15523,0,0.248018,0.976591,0
SPE00100315,0.984922,-0.744425,0,0.473768,0.984922,0
SPE00100006,1.00751,0.370402,0,0.712286,1.00751,0
SPE00100034,1.00873,0.430578,0,0.669978,1.00873,0
SPE00100068,1.00781,0.38576,0,0.718278,1.00781,0
SPE00100099,1.00835,0.412165,0,0.68228,1.00835,0
SPE00100140,1.00408,0.201264,0,0.841176,1.00408,0
SPE00100205,1.02173,1.07243,0,0.287096,1.02173,0
SPE00100287,0.0600388,-46.387,0,0,0.0600388,0
SPE00100318,0.99396,-0.297844,0,0.77037,0.99396,0
SPE00100008,0.979493,-1.01235,0,0.329974,0.979493,0
SPE00100047,0.987592,-0.61264,0,0.55265,0.987592,0
SPE00100069,1.02214,1.093,0,0.295646,1.02214,0
SPE00100101,0.962171,-1.86687,0,0.0620534,0.962171,0
SPE00100146,0.998003,-0.0983509,0,0.874408,0.998003,0
SPE00100218,1.01522,0.751306,0,0.4526,1.01522,0
SPE00100290,0.994745,-0.259533,0,0.797358,0.994745,0
SPE00100325,0.0512337,-46.8216,0,0,0.0512337,0
SPE00100009,0.696858,-14.9615,0,7.28675e-44,0.696858,0
