supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.982894,-0.369688,0,0.715618,0.982894,0
SPE00100016,1.01187,0.245625,0,0.806348,1.01187,0
SPE00100058,1.0488,1.00435,0,0.344326,1.0488,0
SPE00100094,0.907868,-1.89569,0,0.114915,0.907868,0
SPE00100126,1.02579,0.547656,0,0.585682,1.02579,0
SPE00100194,0.98572,-0.276507,0,0.705962,0.98572,0
SPE00100271,0.0721157,-19.568,0,0,0.0721157,0
SPE00100305,1.00075,-0.0176732,0,0.576622,1.00075,0
SPE00100003,0.9979,-0.0286142,0,0.796178,0.9979,0
SPE00100024,0.985887,-0.277796,0,0.76401,0.985887,0
SPE00100060,1.00692,0.180264,0,0.56747,1.00692,0
SPE00100096,0.990547,-0.177655,0,0.731276,0.990547,0
SPE00100129,1.03704,0.750901,0,0.497694,1.03704,0
SPE00100195,1.03827,0.78077,0,0.468432,1.03827,0
SPE00100279,0.466434,-11.2185,0,7.43754e-29,0.466434,0
SPE00100310,0.979364,-0.455619,0,0.670042,0.979364,0
SPE00100005,0.786945,-4.48728,0,9.78458e-06,0.786945,0
SPE00100031,1.01566,0.342332,0,0.73826,1.01566,0
SPE00100066,1.03469,0.755782,0,0.493228,1.03469,0
SPE00100098,0.867872,-2.7687,0,0.00599662,0.867872,0
SPE00100139,1.05132,1.06005,0,0.3108,1.05132,0
SPE00100201,1.00022,0.00376828,0,0.98744,1.00022,0
SPE00100280,0.799838,-4.2274,0,5.79224e-05,0.799838,0
SPE00100315,0.967079,-0.730461,0,0.55058,0.967079,0
SPE00100006,1.00145,0.0595509,0,0.629182,1.00145,0
SPE00100034,1.01593,0.324834,0,0.748554,1.01593,0
SPE00100068,1.05674,1.233,0,0.31753,1.05674,0
SPE00100099,0.96489,-0.779173,0,0.535522,0.96489,0
SPE00100140,1.01495,0.332397,0,0.750946,1.01495,0
SPE00100205,0.942884,-1.24877,0,0.350478,0.942884,0
SPE00100287,0.0739881,-19.5243,0,0,0.0739881,0
SPE00100318,1.00507,0.102659,0,0.918406,1.00507,0
SPE00100008,0.985996,-0.271515,0,0.71545,0.985996,0
SPE00100047,0.99576,-0.102652,0,0.822096,0.99576,0
SPE00100069,1.08118,1.73532,0,0.120223,1.08118,0
SPE00100101,0.272093,-15.3572,0,0,0.272093,0
SPE00100146,0.921346,-1.63093,0,0.125241,0.921346,0
SPE00100218,0.970025,-0.617685,0,0.544994,0.970025,0
SPE00100290,1.01505,0.318941,0,0.75002,1.01505,0
SPE00100325,0.0637916,-19.7417,0,0,0.0637916,0
SPE00100009,0.442086,-11.7259,0,1.17542e-31,0.442086,0
SPE00100048,1.0227,0.481093,0,0.631228,1.0227,0
SPE00100076,1.01498,0.307812,0,0.759748,1.01498,0
SPE00100102,1.00608,0.124695,0,0.900886,1.00608,0
SPE00100156,1.0365,0.775098,0,0.44262,1.0365,0
SPE00100222,1.00289,0.0448085,0,0.789974,1.00289,0
SPE00100296,1.01647,0.342122,0,0.73279,1.01647,0
SPE00100530,1.01025,0.22582,0,0.823968,1.01025,0
SPE00100049,0.975282,-0.508404,0,0.61704,0.975282,0
SPE00100081,1.03463,0.715857,0,0.482402,1.03463,0
SPE00100103,0.927954,-1.51128,0,0.131047,0.927954,0
SPE00100158,1.03266,0.692705,0,0.491092,1.03266,0
SPE00100223,0.980575,-0.394598,0,0.700462,0.980575,0
SPE00100298,1.07603,1.60016,0,0.109948,1.07603,0
SPE00100531,0.998582,0.000504483,0,0.61394,0.998582,0
SPE00240645,0.79308,-4.27381,0,0.00116224,0.79308,0
SPE00100012,0.949624,-1.0422,0,0.314828,0.949624,0
SPE00100050,0.982342,-0.38813,0,0.709364,0.982342,0
SPE00100088,1.01093,0.230522,0,0.817702,1.01093,0
SPE00100105,0.981324,-0.420929,0,0.663662,0.981324,0
SPE00100162,0.998183,-0.0596388,0,0.721262,0.998183,0
SPE00100242,0.991063,-0.202837,0,0.80578,0.991063,0
SPE00100301,0.0768219,-19.4696,0,0,0.0768219,0
SPE00100359,1.03644,0.711694,0,0.480144,1.03644,0
SPE00100013,0.975562,-0.467655,0,0.49317,0.975562,0
SPE00100054,0.971407,-0.577048,0,0.593278,0.971407,0
SPE00100090,1.07705,1.63497,0,0.114258,1.07705,0
SPE00100114,1.00412,0.10425,0,0.768656,1.00412,0
SPE00100173,1.03074,0.626883,0,0.550722,1.03074,0
SPE00100254,0.989924,-0.224052,0,0.82636,0.989924,0
SPE00100303,1.05046,1.01864,0,0.41524,1.05046,0
SPE00100360,0.988684,-0.251636,0,0.806454,0.988684,0
SPE00100014,0.959325,-0.830356,0,0.443464,0.959325,0
SPE00100056,0.963218,-0.755751,0,0.467842,0.963218,0
SPE00100093,0.719788,-5.87695,0,6.67076e-09,0.719788,0
SPE00100117,0.990843,-0.181695,0,0.85807,0.990843,0
SPE00100190,1.04064,0.844767,0,0.403738,1.04064,0
SPE00100267,1.05582,1.19679,0,0.267804,1.05582,0
SPE00100304,1.02843,0.577748,0,0.58351,1.02843,0
SPE00100368,0.90978,-1.89181,0,0.059021,0.90978,0
SPE00100375,1.00504,0.125465,0,0.745328,1.00504,0
SPE00100528,0.273828,-15.2971,0,0,0.273828,0
SPE00100537,0.0786913,-19.4315,0,0,0.0786913,0
SPE00100568,1.08138,1.68512,0,0.119563,1.08138,0
