supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.3464,-19.6389,0,0,0.3464,0
SPE00100002,0.976297,-0.704405,0,0.483132,0.976297,0
SPE00100305,0.985957,-0.41985,0,0.674618,0.985957,0
SPE00100094,0.993343,-0.20799,0,0.837058,0.993343,0
SPE00100194,0.996577,-0.0931637,0,0.871472,0.996577,0
SPE00100126,1.00024,0.000789217,0,0.912176,1.00024,0
SPE00100016,1.01021,0.308999,0,0.757716,1.01021,0
SPE00100058,1.01316,0.389567,0,0.697704,1.01316,0
SPE00100279,0.372717,-18.8295,0,0,0.372717,0
SPE00100310,0.976503,-0.707903,0,0.480188,0.976503,0
SPE00100003,0.98859,-0.331263,0,0.744526,0.98859,0
SPE00100096,1.00072,0.0180011,0,0.951968,1.00072,0
SPE00100129,1.01063,0.31757,0,0.750826,1.01063,0
SPE00100195,1.01233,0.375911,0,0.708832,1.01233,0
SPE00100024,1.01288,0.390302,0,0.697184,1.01288,0
SPE00100060,1.01703,0.50967,0,0.610292,1.01703,0
SPE00100280,0.918298,-2.4527,0,0.0146962,0.918298,0
SPE00100098,0.954634,-1.36688,0,0.176082,0.954634,0
SPE00100005,0.957659,-1.27378,0,0.205012,0.957659,0
SPE00100315,0.977382,-0.682929,0,0.49667,0.977382,0
SPE00100201,0.997077,-0.0867811,0,0.930852,0.997077,0
SPE00100139,1.00517,0.158239,0,0.874486,1.00517,0
SPE00100066,1.0147,0.442121,0,0.658592,1.0147,0
SPE00100031,1.02689,0.815802,0,0.422168,1.02689,0
SPE00100287,0.116945,-26.561,0,0,0.116945,0
SPE00100318,0.987881,-0.36661,0,0.714462,0.987881,0
SPE00100099,0.99558,-0.137821,0,0.890872,0.99558,0
SPE00100140,0.995624,-0.129822,0,0.89673,0.995624,0
SPE00100205,1.00091,0.0141092,0,0.821026,1.00091,0
SPE00100006,1.01405,0.423475,0,0.672314,1.01405,0
SPE00100068,1.01811,0.554035,0,0.587398,1.01811,0
SPE00100034,1.02386,0.713872,0,0.475326,1.02386,0
SPE00100325,0.0518164,-28.4882,0,0,0.0518164,0
SPE00100101,0.88856,-3.34462,0,0.000904434,0.88856,0
SPE00100146,0.95094,-1.47593,0,0.142651,0.95094,0
