supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.506819,-29.353,0,0,0.506819,0
SPE00100305,0.979669,-1.21696,0,0.257706,0.979669,0
SPE00100194,0.982932,-1.00954,0,0.355974,0.982932,0
SPE00100126,0.991981,-0.485545,0,0.656326,0.991981,0
SPE00100002,0.992949,-0.416525,0,0.683674,0.992949,0
SPE00100016,0.996941,-0.180603,0,0.857328,0.996941,0
SPE00100094,1.00114,0.069632,0,0.903168,1.00114,0
SPE00100058,1.00669,0.39705,0,0.692618,1.00669,0
SPE00100279,0.537578,-27.5287,0,0,0.537578,0
SPE00100310,0.981839,-1.08703,0,0.305026,0.981839,0
SPE00100003,0.987932,-0.713191,0,0.500564,0.987932,0
SPE00100129,0.999592,-0.0300597,0,0.718412,0.999592,0
SPE00100195,1.00253,0.155175,0,0.794698,1.00253,0
SPE00100024,1.00453,0.273531,0,0.789994,1.00453,0
SPE00100060,1.00557,0.329168,0,0.745672,1.00557,0
SPE00100096,1.01608,0.955775,0,0.341754,1.01608,0
SPE00100280,0.958859,-2.44981,0,0.014298,0.958859,0
SPE00100005,0.962624,-2.22199,0,0.0305048,0.962624,0
SPE00100315,0.983139,-1.00792,0,0.327334,0.983139,0
SPE00100201,0.986569,-0.795977,0,0.439202,0.986569,0
SPE00100139,0.997538,-0.131969,0,0.364314,0.997538,0
SPE00100066,1.00587,0.342403,0,0.66797,1.00587,0
SPE00100098,1.00906,0.538622,0,0.59069,1.00906,0
SPE00100031,1.01235,0.728362,0,0.508342,1.01235,0
SPE00100287,0.241043,-45.1938,0,0,0.241043,0
SPE00100318,0.977655,-1.32638,0,0.200148,0.977655,0
SPE00100140,0.995731,-0.258207,0,0.802348,0.995731,0
SPE00100205,0.998961,-0.0620205,0,0.950548,0.998961,0
SPE00100034,1.00139,0.084215,0,0.922308,1.00139,0
SPE00100099,1.00776,0.457272,0,0.661134,1.00776,0
SPE00100006,1.00908,0.547803,0,0.618522,1.00908,0
SPE00100068,1.01113,0.662287,0,0.508044,1.01113,0
SPE00100325,0.055731,-56.2451,0,0,0.055731,0
SPE00100101,0.949094,-3.03491,0,0.00295566,0.949094,0
SPE00100146,0.982969,-1.01434,0,0.31044,0.982969,0
SPE00100218,0.993392,-0.400302,0,0.696876,0.993392,0
SPE00100008,0.993935,-0.361856,0,0.717704,0.993935,0
SPE00100290,0.993971,-0.349127,0,0.560418,0.993971,0
SPE00100047,1.0076,0.450975,0,0.653296,1.0076,0
SPE00100069,1.02696,1.60508,0,0.108508,1.02696,0
SPE00100009,0.921513,-4.67075,0,4.44982e-06,0.921513,0
SPE00100530,0.982117,-1.06246,0,0.293856,0.982117,0
SPE00100156,0.987614,-0.744557,0,0.497562,0.987614,0
SPE00100222,0.992408,-0.452158,0,0.651158,0.992408,0
SPE00100296,0.994308,-0.335321,0,0.74392,0.994308,0
SPE00100048,1.00082,0.050782,0,0.91679,1.00082,0
SPE00100102,1.00835,0.497702,0,0.61887,1.00835,0
SPE00100076,1.01232,0.733912,0,0.463064,1.01232,0
SPE00240645,0.936942,-3.7721,0,0.00331346,0.936942,0
SPE00100531,0.971407,-1.71538,0,0.183025,0.971407,0
SPE00100298,0.978554,-1.27461,0,0.207926,0.978554,0
SPE00100223,0.995668,-0.259709,0,0.796238,0.995668,0
SPE00100158,1.00293,0.174171,0,0.861814,1.00293,0
SPE00100103,1.00573,0.338707,0,0.73732,1.00573,0
SPE00100081,1.00839,0.489124,0,0.556462,1.00839,0
SPE00100049,1.01668,1.00227,0,0.386308,1.01668,0
SPE00100301,0.0852923,-54.4906,0,0,0.0852923,0
SPE00100242,0.968568,-1.8724,0,0.0613356,0.968568,0
SPE00100359,0.981228,-1.12155,0,0.274218,0.981228,0
SPE00100012,0.989405,-0.629296,0,0.53126,0.989405,0
SPE00100162,1.0017,0.0972413,0,0.814966,1.0017,0
SPE00100105,1.00658,0.396637,0,0.703654,1.00658,0
SPE00100088,1.00857,0.510391,0,0.609788,1.00857,0
SPE00100050,1.00897,0.540413,0,0.616564,1.00897,0
SPE00100254,0.976188,-1.41053,0,0.202894,0.976188,0
SPE00100360,0.983816,-0.959692,0,0.352514,0.983816,0
SPE00100013,0.986376,-0.816254,0,0.436046,0.986376,0
SPE00100303,0.996142,-0.228261,0,0.820232,0.996142,0
SPE00100173,1.00376,0.217664,0,0.695858,1.00376,0
SPE00100054,1.00565,0.340815,0,0.741474,1.00565,0
SPE00100114,1.0112,0.671643,0,0.519194,1.0112,0
SPE00100090,1.03464,2.05945,0,0.0435128,1.03464,0
SPE00100368,0.969597,-1.80828,0,0.0733214,0.969597,0
SPE00100304,0.988286,-0.699595,0,0.487638,0.988286,0
SPE00100014,0.991589,-0.493718,0,0.655032,0.991589,0
SPE00100190,1.00037,0.0212222,0,0.959088,1.00037,0
SPE00100056,1.00044,0.0238824,0,0.879708,1.00044,0
SPE00100267,1.00271,0.159664,0,0.874112,1.00271,0
SPE00100117,1.01602,0.955581,0,0.341684,1.01602,0
SPE00100093,1.03507,2.08669,0,0.0384362,1.03507,0
SPE00100537,0.0964321,-53.8218,0,0,0.0964321,0
SPE00100609,0.960181,-2.3698,0,0.0182548,0.960181,0
SPE00100528,0.985372,-0.869881,0,0.385756,0.985372,0
SPE00100375,0.98758,-0.741062,0,0.46052,0.98758,0
SPE00200004,0.990446,-0.572684,0,0.57721,0.990446,0
SPE01500420,0.996961,-0.184708,0,0.820062,0.996961,0
SPE00102018,1.0031,0.186679,0,0.852944,1.0031,0
SPE00100568,1.02191,1.31595,0,0.288524,1.02191,0
SPE00100540,0.804996,-11.6259,0,1.65018e-27,0.804996,0
SPE00201606,0.807569,-11.4886,0,2.02338e-22,0.807569,0
SPE00102076,0.826607,-10.3282,0,1.35421e-24,0.826607,0
SPE00100612,0.92179,-4.65323,0,6.14574e-06,0.92179,0
SPE00100378,0.974687,-1.50787,0,0.131747,0.974687,0
SPE00100682,1.00097,0.0653737,0,0.637272,1.00097,0
SPE00100455,1.01396,0.823588,0,0.46535,1.01396,0
SPE00100572,1.01749,1.05033,0,0.360596,1.01749,0
SPE00100423,0.973484,-1.57652,0,0.119479,0.973484,0
SPE00100541,0.977893,-1.31465,0,0.191543,0.977893,0
SPE00102058,0.99004,-0.597783,0,0.566672,0.99004,0
SPE00100686,0.992613,-0.439458,0,0.660462,0.992613,0
SPE00100458,0.998426,-0.0970238,0,0.838212,0.998426,0
SPE00100615,1.00679,0.402639,0,0.68891,1.00679,0
SPE00100576,1.01424,0.843693,0,0.417294,1.01424,0
SPE00200010,1.02254,1.33913,0,0.188956,1.02254,0
SPE00100616,0.967785,-1.92218,0,0.0611736,0.967785,0
SPE00107023,0.979721,-1.21275,0,0.248476,0.979721,0
SPE00100525,0.991367,-0.514458,0,0.607026,0.991367,0
SPE00100424,0.996863,-0.183105,0,0.819578,0.996863,0
SPE00100698,0.997059,-0.170819,0,0.789754,0.997059,0
SPE00200012,0.999424,-0.0318553,0,0.878222,0.999424,0
SPE00100580,1.00465,0.279853,0,0.783332,1.00465,0
SPE00100551,1.0151,0.900978,0,0.369974,1.0151,0
SPE00100719,0.910402,-5.32835,0,5.52066e-07,0.910402,0
SPE00107022,0.986468,-0.803371,0,0.427374,0.986468,0
SPE00201466,0.987742,-0.736841,0,0.500726,0.987742,0
SPE00100432,0.988717,-0.668758,0,0.51171,0.988717,0
SPE00100618,1.00128,0.0749744,0,0.931852,1.00128,0
SPE00100582,1.00423,0.251621,0,0.801342,1.00423,0
SPE00100550,1.00765,0.453601,0,0.652692,1.00765,0
SPE00100465,1.00939,0.55644,0,0.583364,1.00939,0
SPE00201477,0.874014,-7.49945,0,1.46989e-13,0.874014,0
SPE00100620,0.978942,-1.25433,0,0.2098,0.978942,0
SPE00100688,0.986473,-0.802044,0,0.433494,0.986473,0
SPE00100434,0.991613,-0.493464,0,0.645066,0.991613,0
SPE00100475,0.997974,-0.116989,0,0.819674,0.997974,0
SPE00107093,1.00735,0.431959,0,0.686044,1.00735,0
SPE00100552,1.01035,0.606339,0,0.606014,1.01035,0
SPE00100583,1.06205,3.70013,0,0.000402564,1.06205,0
SPE00200002,0.910884,-5.30987,0,1.66752e-07,0.910884,0
SPE00201484,0.970929,-1.73774,0,0.10767,0.970929,0
SPE00100731,0.986459,-0.801049,0,0.448338,0.986459,0
SPE00100435,0.992109,-0.465165,0,0.656278,0.992109,0
SPE00100638,0.999573,-0.0304671,0,0.753868,0.999573,0
SPE00100584,1.00887,0.523449,0,0.617492,1.00887,0
SPE00100489,1.00996,0.600714,0,0.59027,1.00996,0
SPE00100562,1.01098,0.649089,0,0.533872,1.01098,0
SPE00201505,0.952252,-2.84547,0,0.00475432,0.952252,0
SPE00100646,0.980419,-1.16588,0,0.243696,0.980419,0
SPE00100520,0.9882,-0.701288,0,0.484834,0.9882,0
SPE00100439,0.991419,-0.50796,0,0.61782,0.991419,0
SPE00107015,0.994543,-0.32204,0,0.751474,0.994543,0
SPE00100492,1.00487,0.290598,0,0.771642,1.00487,0
SPE00100585,1.00608,0.360796,0,0.718894,1.00608,0
SPE00100563,1.01277,0.759813,0,0.448052,1.01277,0
SPE00201506,0.733186,-15.9052,0,0,0.733186,0
SPE00102007,0.974047,-1.54347,0,0.125887,0.974047,0
SPE00100650,0.986796,-0.793151,0,0.46824,0.986796,0
SPE00100447,0.989416,-0.633395,0,0.534106,0.989416,0
SPE00100901,0.995185,-0.280102,0,0.690608,0.995185,0
SPE00100497,1.01172,0.698674,0,0.484992,1.01172,0
SPE00100566,1.01389,0.827201,0,0.408132,1.01389,0
SPE00100586,1.0198,1.1834,0,0.25309,1.0198,0
SPE00100529,0.944647,-3.29934,0,0.00117675,0.944647,0
SPE00102035,0.984734,-0.918762,0,0.440376,0.984734,0
SPE00107005,0.991333,-0.521257,0,0.620208,0.991333,0
SPE00100651,0.993222,-0.399856,0,0.697242,0.993222,0
SPE00100517,0.997791,-0.135487,0,0.808904,0.997791,0
SPE00201509,1.00027,0.0270605,0,0.496156,1.00027,0
SPE00100595,1.01023,0.6058,0,0.552658,1.01023,0
SPE00100567,1.01762,1.05333,0,0.307248,1.01762,0
SPE00300007,0.905678,-5.61544,0,2.24716e-08,0.905678,0
SPE00200141,0.940107,-3.57029,0,0.000486308,0.940107,0
SPE00200833,0.957663,-2.51743,0,0.0142194,0.957663,0
SPE00200449,0.979548,-1.21453,0,0.234942,0.979548,0
SPE00211458,0.995846,-0.243492,0,0.813064,0.995846,0
SPE00300119,0.998735,-0.0804078,0,0.75116,0.998735,0
SPE00300531,1.01262,0.754456,0,0.457404,1.01262,0
SPE00300058,1.03634,2.15978,0,0.0373676,1.03634,0
SPE00300061,0.964953,-2.0801,0,0.0558894,0.964953,0
SPE00300012,0.974147,-1.54107,0,0.124961,0.974147,0
SPE00200183,0.977223,-1.35343,0,0.183299,0.977223,0
SPE00200851,0.988537,-0.686814,0,0.506656,0.988537,0
SPE00200457,0.99426,-0.349132,0,0.66871,0.99426,0
SPE00300132,1.01517,0.901133,0,0.373076,1.01517,0
SPE00300532,1.0272,1.61816,0,0.107636,1.0272,0
SPE00200015,1.03381,2.00588,0,0.0681958,1.03381,0
SPE00200255,0.173724,-49.2213,0,0,0.173724,0
SPE00300538,0.844642,-9.26695,0,4.45148e-17,0.844642,0
SPE00200873,0.989313,-0.629754,0,0.563334,0.989313,0
SPE00300133,0.989722,-0.612951,0,0.540516,0.989722,0
SPE00300018,0.995022,-0.291009,0,0.744382,0.995022,0
SPE00200463,1.00354,0.206588,0,0.78747,1.00354,0
SPE00300101,1.0041,0.240224,0,0.798614,1.0041,0
SPE00200031,1.01504,0.898051,0,0.373534,1.01504,0
SPE00200484,0.953705,-2.76174,0,0.00806088,0.953705,0
SPE00201066,0.981516,-1.09994,0,0.271992,0.981516,0
SPE00300021,0.984288,-0.932729,0,0.35915,0.984288,0
SPE00200040,0.99816,-0.114141,0,0.777194,0.99816,0
SPE00200191,0.998588,-0.0865957,0,0.875098,0.998588,0
SPE00300104,1.00346,0.2113,0,0.761374,1.00346,0
SPE00300148,1.01261,0.74732,0,0.466644,1.01261,0
SPE00300539,1.02463,1.4667,0,0.142485,1.02463,0
SPE00201067,0.914085,-5.11615,0,3.12456e-07,0.914085,0
SPE00200488,0.967959,-1.89867,0,0.100976,0.967959,0
SPE00300157,0.977102,-1.36915,0,0.196371,0.977102,0
SPE00300032,0.9819,-1.06884,0,0.358364,0.9819,0
SPE00200243,0.990632,-0.563447,0,0.595568,0.990632,0
SPE00200070,1.00369,0.219273,0,0.82662,1.00369,0
SPE00300105,1.01264,0.752972,0,0.451602,1.01264,0
SPE00300540,1.02281,1.36011,0,0.175556,1.02281,0
SPE00201078,0.940781,-3.51183,0,0.00477522,0.940781,0
SPE00200412,0.981016,-1.14357,0,0.396202,0.981016,0
SPE00200640,0.988947,-0.65584,0,0.51653,0.988947,0
SPE00300006,0.996444,-0.206744,0,0.759514,0.996444,0
SPE00300106,0.998725,-0.0734588,0,0.878478,0.998725,0
SPE00300160,1.01083,0.650681,0,0.539238,1.01083,0
SPE00200107,1.01947,1.16694,0,0.292724,1.01947,0
SPE00300542,1.02006,1.19757,0,0.23808,1.02006,0
SPE00201083,0.957484,-2.54161,0,0.0273912,0.957484,0
SPE00200424,0.967101,-1.95354,0,0.0650986,0.967101,0
SPE00300052,0.982438,-1.05128,0,0.320718,0.982438,0
SPE00300110,1.00247,0.150391,0,0.834044,1.00247,0
SPE00200743,1.00389,0.235783,0,0.798794,1.00389,0
SPE00200110,1.00557,0.330195,0,0.742448,1.00557,0
SPE00300545,1.00713,0.428232,0,0.675248,1.00713,0
SPE00300166,1.01703,1.01673,0,0.315676,1.01703,0
SPE00300228,0.858197,-8.43988,0,1.80353e-16,0.858197,0
SPE00300546,0.871994,-7.62778,0,1.23737e-13,0.871994,0
SPE00201133,0.982742,-1.03151,0,0.315648,0.982742,0
SPE00300053,0.991635,-0.490707,0,0.659244,0.991635,0
SPE00200759,0.997373,-0.15812,0,0.875052,0.997373,0
SPE00300111,1.00091,0.0563221,0,0.904988,1.00091,0
SPE00200427,1.01062,0.624916,0,0.574864,1.01062,0
SPE00200111,1.02053,1.22447,0,0.224692,1.02053,0
SPE00201136,0.865466,-7.99591,0,1.15893e-12,0.865466,0
SPE00200763,0.963894,-2.14714,0,0.0348472,0.963894,0
SPE00212097,0.980659,-1.15386,0,0.252592,0.980659,0
SPE00300348,0.982788,-1.01738,0,0.361142,0.982788,0
SPE00300055,0.98456,-0.921375,0,0.360154,0.98456,0
SPE00200441,0.988272,-0.692876,0,0.513756,0.988272,0
SPE00300117,1.01204,0.719132,0,0.47521,1.01204,0
SPE00200115,1.01766,1.04886,0,0.30091,1.01766,0
SPE00200139,0.980975,-1.1215,0,0.37539,0.980975,0
SPE00200447,0.989909,-0.613819,0,0.503238,0.989909,0
SPE00200793,0.990383,-0.58419,0,0.543848,0.990383,0
SPE00201154,0.991898,-0.475682,0,0.663804,0.991898,0
SPE00300057,1.00408,0.246678,0,0.81037,1.00408,0
SPE00300118,1.00501,0.300258,0,0.766044,1.00501,0
SPE00300423,1.01575,0.945045,0,0.39395,1.01575,0
SPE00211224,1.02617,1.5591,0,0.119263,1.02617,0
SPE00211709,0.559655,-26.2306,0,0,0.559655,0
SPE01503261,0.671688,-19.5894,0,0,0.671688,0
SPE00201513,0.823849,-10.4974,0,5.44372e-24,0.823849,0
SPE00211126,0.971381,-1.69682,0,0.124538,0.971381,0
SPE00210567,0.993578,-0.384111,0,0.7024,0.993578,0
