supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.667902,-18.0614,0,0,0.667902,0
SPE00100305,0.981334,-1.01463,0,0.310326,0.981334,0
SPE00100002,0.992346,-0.417184,0,0.684922,0.992346,0
SPE00100094,0.996166,-0.206255,0,0.65989,0.996166,0
SPE00100016,1.00098,0.0538728,0,0.941036,1.00098,0
SPE00100126,1.00122,0.0659715,0,0.943368,1.00122,0
SPE00100194,1.00459,0.247917,0,0.72509,1.00459,0
SPE00100058,1.00803,0.43604,0,0.665406,1.00803,0
SPE00100279,0.656544,-18.6737,0,0,0.656544,0
SPE00100310,0.990184,-0.534546,0,0.600558,0.990184,0
SPE00100003,0.993538,-0.349759,0,0.739612,0.993538,0
SPE00100096,1.0023,0.125775,0,0.881166,1.0023,0
SPE00100060,1.00319,0.173239,0,0.862866,1.00319,0
SPE00100024,1.00507,0.274281,0,0.791494,1.00507,0
SPE00100129,1.00585,0.317617,0,0.751584,1.00585,0
SPE00100195,1.01188,0.646548,0,0.524494,1.01188,0
SPE00100280,0.965047,-1.90218,0,0.0821988,0.965047,0
SPE00100005,0.969037,-1.68213,0,0.100097,0.969037,0
SPE00100315,0.983362,-0.904367,0,0.365884,0.983362,0
SPE00100098,0.989495,-0.572291,0,0.579912,0.989495,0
SPE00100139,0.999252,-0.0408256,0,0.967458,0.999252,0
SPE00100031,1.00366,0.198812,0,0.842534,1.00366,0
SPE00100201,1.00486,0.26343,0,0.793594,1.00486,0
SPE00100066,1.00965,0.525062,0,0.602232,1.00965,0
SPE00100287,0.37183,-34.1583,0,0,0.37183,0
SPE00100318,0.99619,-0.207383,0,0.835956,0.99619,0
SPE00100140,0.998514,-0.0805872,0,0.935836,0.998514,0
SPE00100099,1.00149,0.0807902,0,0.935612,1.00149,0
SPE00100006,1.00253,0.137177,0,0.890926,1.00253,0
SPE00100068,1.01023,0.555746,0,0.581654,1.01023,0
SPE00100034,1.01066,0.579169,0,0.562904,1.01066,0
SPE00100205,1.01625,0.883192,0,0.377218,1.01625,0
SPE00100325,0.0500435,-51.6408,0,0,0.0500435,0
SPE00100101,0.95106,-2.66162,0,0.00990942,0.95106,0
SPE00100008,0.987533,-0.678623,0,0.505058,0.987533,0
SPE00100290,0.989974,-0.545609,0,0.5882,0.989974,0
SPE00100146,0.992391,-0.414192,0,0.680916,0.992391,0
SPE00100047,0.994569,-0.293853,0,0.7779,0.994569,0
SPE00100218,1.01535,0.835051,0,0.409058,1.01535,0
SPE00100069,1.02021,1.09751,0,0.290166,1.02021,0
SPE00100009,0.888931,-6.03765,0,1.57067e-09,0.888931,0
SPE00100296,0.980429,-1.0645,0,0.291104,0.980429,0
SPE00100530,0.986248,-0.746952,0,0.458736,0.986248,0
SPE00100102,1.00066,0.0362199,0,0.970922,1.00066,0
SPE00100048,1.00098,0.0529846,0,0.957792,1.00098,0
SPE00100156,1.00312,0.168524,0,0.863998,1.00312,0
SPE00100076,1.00348,0.189378,0,0.849994,1.00348,0
SPE00100222,1.00382,0.206468,0,0.79159,1.00382,0
SPE00240645,0.940528,-3.23305,0,0.00123335,0.940528,0
SPE00100298,0.982647,-0.943709,0,0.346942,0.982647,0
SPE00100531,0.996683,-0.181063,0,0.85799,0.996683,0
SPE00100223,1.00282,0.153265,0,0.878346,1.00282,0
SPE00100103,1.00415,0.225986,0,0.822,1.00415,0
SPE00100158,1.00569,0.309499,0,0.757042,1.00569,0
SPE00100081,1.01495,0.813085,0,0.420656,1.01495,0
SPE00100049,1.01594,0.867164,0,0.39078,1.01594,0
SPE00100301,0.079154,-50.0585,0,0,0.079154,0
SPE00100242,0.977106,-1.24344,0,0.224958,0.977106,0
SPE00100162,0.990623,-0.508357,0,0.626284,0.990623,0
SPE00100012,0.991513,-0.461855,0,0.645924,0.991513,0
SPE00100105,0.997203,-0.152133,0,0.879116,0.997203,0
SPE00100088,1.00446,0.24181,0,0.80955,1.00446,0
SPE00100050,1.00809,0.439946,0,0.659982,1.00809,0
SPE00100359,1.00977,0.530717,0,0.599028,1.00977,0
SPE00100303,0.987597,-0.673251,0,0.509524,0.987597,0
SPE00100254,0.989376,-0.575952,0,0.586032,0.989376,0
SPE00100013,0.997578,-0.131768,0,0.895186,0.997578,0
SPE00100173,1.00194,0.106306,0,0.858902,1.00194,0
SPE00100054,1.00306,0.166851,0,0.867716,1.00306,0
SPE00100360,1.00546,0.294617,0,0.69954,1.00546,0
SPE00100114,1.00636,0.345959,0,0.729378,1.00636,0
SPE00100090,1.03422,1.86109,0,0.0661834,1.03422,0
SPE00100368,0.984716,-0.830498,0,0.407436,0.984716,0
SPE00100304,0.991739,-0.449592,0,0.655162,0.991739,0
SPE00100117,0.997524,-0.133934,0,0.892294,0.997524,0
SPE00100014,1.00055,0.0285514,0,0.741908,1.00055,0
SPE00100056,1.00174,0.0934201,0,0.849716,1.00174,0
SPE00100190,1.00252,0.13719,0,0.891162,1.00252,0
SPE00100267,1.00824,0.448923,0,0.659202,1.00824,0
SPE00100093,1.02657,1.44481,0,0.14953,1.02657,0
SPE00100537,0.103928,-48.7103,0,0,0.103928,0
SPE00102018,0.973122,-1.46235,0,0.157822,0.973122,0
SPE00100528,0.987029,-0.703918,0,0.494476,0.987029,0
SPE00200004,0.98936,-0.577364,0,0.57264,0.98936,0
SPE00100609,0.990202,-0.53178,0,0.600358,0.990202,0
SPE00100375,1.0029,0.156113,0,0.730418,1.0029,0
SPE01500420,1.01445,0.785264,0,0.432304,1.01445,0
SPE00100568,1.01771,0.962714,0,0.336152,1.01771,0
SPE00201606,0.576729,-22.997,0,0,0.576729,0
SPE00100540,0.687344,-16.9951,0,0,0.687344,0
SPE00102076,0.783426,-11.7711,0,3.04526e-30,0.783426,0
