supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.946477,-0.512507,0,0.623336,0.946477,0
SPE00100016,1.08272,0.842517,0,0.400358,1.08272,0
SPE00100058,1.02366,0.238033,0,0.81187,1.02366,0
SPE00100094,0.804602,-2.07932,0,0.152608,0.804602,0
SPE00100126,1.10601,1.04782,0,0.309282,1.10601,0
SPE00100194,0.979819,-0.225039,0,0.825876,0.979819,0
SPE00100271,0.219343,-7.97477,0,4.03636e-13,0.219343,0
SPE00100305,1.03517,0.377995,0,0.712572,1.03517,0
SPE00100003,0.932812,-0.6628,0,0.513514,0.932812,0
SPE00100024,1.00993,0.0870441,0,0.892346,1.00993,0
SPE00100060,0.91962,-0.787564,0,0.446004,0.91962,0
SPE00100096,0.937683,-0.655278,0,0.52581,0.937683,0
SPE00100129,1.08497,0.885683,0,0.392806,1.08497,0
SPE00100195,1.08842,0.894792,0,0.370908,1.08842,0
SPE00100279,1.06633,0.648023,0,0.528104,1.06633,0
SPE00100310,1.0589,0.575926,0,0.572414,1.0589,0
SPE00100005,0.482607,-5.28568,0,1.05636e-06,0.482607,0
SPE00100031,0.927763,-0.734573,0,0.462978,0.927763,0
SPE00100066,1.08753,0.884623,0,0.376368,1.08753,0
SPE00100098,0.716837,-2.86396,0,0.00418408,0.716837,0
SPE00100139,1.08572,0.890614,0,0.38694,1.08572,0
SPE00100201,1.01549,0.167655,0,0.867672,1.01549,0
SPE00100280,0.396755,-6.15676,0,1.17154e-08,0.396755,0
SPE00100315,1.0293,0.33145,0,0.735092,1.0293,0
SPE00100006,0.798828,-2.05981,0,0.0460282,0.798828,0
SPE00100034,0.927356,-0.740271,0,0.459874,0.927356,0
SPE00100068,1.10244,1.04287,0,0.298216,1.10244,0
SPE00100099,1.01427,0.136681,0,0.891608,1.01427,0
SPE00100140,1.04482,0.441586,0,0.661044,1.04482,0
SPE00100205,1.08656,0.873311,0,0.3826,1.08656,0
SPE00100287,0.177079,-8.40261,0,1.68244e-14,0.177079,0
SPE00100318,1.09849,1.04868,0,0.360548,1.09849,0
SPE00100008,0.915806,-0.863838,0,0.391438,0.915806,0
SPE00100047,0.897478,-1.04002,0,0.29859,0.897478,0
SPE00100069,1.1535,1.58778,0,0.135577,1.1535,0
SPE00100101,0.77159,-2.30263,0,0.0216502,0.77159,0
SPE00100146,0.640447,-3.65734,0,0.0003432,0.640447,0
SPE00100218,0.928369,-0.744149,0,0.465792,0.928369,0
SPE00100290,1.09943,1.01864,0,0.312668,1.09943,0
SPE00100325,0.112166,-9.07165,0,2.24678e-16,0.112166,0
SPE00100009,0.381657,-6.29664,0,2.39584e-09,0.381657,0
SPE00100048,1.06758,0.696658,0,0.489934,1.06758,0
SPE00100076,0.970002,-0.356907,0,0.609362,0.970002,0
SPE00100102,1.08949,0.923294,0,0.3641,1.08949,0
SPE00100156,1.12695,1.29353,0,0.198023,1.12695,0
SPE00100222,0.857454,-1.43092,0,0.154839,0.857454,0
SPE00100296,1.06941,0.731754,0,0.484486,1.06941,0
SPE00100530,0.987647,-0.138985,0,0.887376,0.987647,0
SPE00100049,0.949461,-0.509851,0,0.610184,0.949461,0
SPE00100081,0.602056,-4.06826,0,0.000149578,0.602056,0
SPE00100103,0.782317,-2.20463,0,0.0275644,0.782317,0
SPE00100158,0.982203,-0.201001,0,0.83407,0.982203,0
SPE00100223,1.136,1.41096,0,0.185195,1.136,0
SPE00100298,1.09106,0.8978,0,0.382288,1.09106,0
SPE00100531,1.00594,0.0692137,0,0.926068,1.00594,0
SPE00240645,0.506586,-5.03634,0,2.5374e-06,0.506586,0
SPE00100012,0.962426,-0.371756,0,0.71104,0.962426,0
SPE00100050,1.01478,0.169947,0,0.837256,1.01478,0
SPE00100088,0.951546,-0.476772,0,0.636586,0.951546,0
SPE00100105,1.07796,0.813931,0,0.431222,1.07796,0
SPE00100162,0.973565,-0.325479,0,0.574884,0.973565,0
SPE00100242,1.04558,0.450363,0,0.654332,1.04558,0
SPE00100301,0.253239,-7.62457,0,2.88728e-12,0.253239,0
SPE00100359,1.01248,0.0655742,0,0.538456,1.01248,0
SPE00100013,1.02226,0.250896,0,0.799264,1.02226,0
SPE00100054,0.701122,-3.05527,0,0.00359588,0.701122,0
SPE00100090,1.01964,0.236869,0,0.705194,1.01964,0
SPE00100114,0.958707,-0.381985,0,0.720466,0.958707,0
SPE00100173,1.08554,0.847256,0,0.404532,1.08554,0
SPE00100254,0.973121,-0.250002,0,0.807288,0.973121,0
SPE00100303,0.851368,-1.50284,0,0.132882,0.851368,0
SPE00100360,1.00887,0.053375,0,0.712036,1.00887,0
SPE00100014,0.943301,-0.558024,0,0.581452,0.943301,0
SPE00100056,0.910843,-0.899825,0,0.368294,0.910843,0
SPE00100093,1.05952,0.591306,0,0.556594,1.05952,0
SPE00100117,1.09567,1.00379,0,0.347778,1.09567,0
SPE00100190,1.01729,0.167001,0,0.867784,1.01729,0
SPE00100267,1.05965,0.619554,0,0.541172,1.05965,0
SPE00100304,1.03675,0.385041,0,0.702854,1.03675,0
SPE00100368,0.912104,-0.941355,0,0.411848,0.912104,0
SPE00100375,1.04869,0.498069,0,0.619018,1.04869,0
SPE00100528,0.895523,-1.05293,0,0.292702,0.895523,0
SPE00100537,0.253258,-7.59721,0,4.87712e-13,0.253258,0
SPE00100568,1.09967,1.01573,0,0.31129,1.09967,0
