supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.978561,-1.16153,0,0.265902,0.978561,0
SPE00100016,1.00016,0.0086812,0,0.988402,1.00016,0
SPE00100058,1.01357,0.740085,0,0.473442,1.01357,0
SPE00100094,0.993103,-0.378207,0,0.720158,0.993103,0
SPE00100126,1.00251,0.135523,0,0.89241,1.00251,0
SPE00100194,0.982227,-0.967767,0,0.343578,0.982227,0
SPE00100271,0.432488,-30.8181,0,0,0.432488,0
SPE00100305,0.974072,-1.415,0,0.230006,0.974072,0
SPE00100003,0.982798,-0.931182,0,0.375092,0.982798,0
SPE00100024,1.00633,0.347993,0,0.720962,1.00633,0
SPE00100060,1.0125,0.681803,0,0.506794,1.0125,0
SPE00100096,1.01495,0.816597,0,0.457086,1.01495,0
SPE00100129,0.996865,-0.166522,0,0.726504,0.996865,0
SPE00100195,0.998159,-0.104861,0,0.650634,0.998159,0
SPE00100279,0.489876,-27.7051,0,0,0.489876,0
SPE00100310,0.972477,-1.50121,0,0.192908,0.972477,0
SPE00100005,0.958331,-2.26034,0,0.031013,0.958331,0
SPE00100031,1.00734,0.401736,0,0.699256,1.00734,0
SPE00100066,1.0142,0.773624,0,0.448392,1.0142,0
SPE00100098,1.01354,0.737964,0,0.47196,1.01354,0
SPE00100139,0.989363,-0.580539,0,0.57349,0.989363,0
SPE00100201,0.996908,-0.166148,0,0.865534,0.996908,0
SPE00100280,0.959363,-2.21091,0,0.0343548,0.959363,0
SPE00100315,0.976892,-1.25856,0,0.22816,0.976892,0
SPE00100006,1.00332,0.179988,0,0.857186,1.00332,0
SPE00100034,1.00837,0.458872,0,0.670788,1.00837,0
SPE00100068,1.00922,0.502988,0,0.621766,1.00922,0
SPE00100099,1.00389,0.219509,0,0.439588,1.00389,0
SPE00100140,0.994146,-0.316796,0,0.753032,0.994146,0
SPE00100205,0.997749,-0.126933,0,0.666164,0.997749,0
SPE00100287,0.213793,-42.7154,0,0,0.213793,0
SPE00100318,0.985833,-0.774797,0,0.489186,0.985833,0
SPE00100008,0.978798,-1.15163,0,0.249556,0.978798,0
SPE00100047,1.00781,0.423012,0,0.67394,1.00781,0
SPE00100069,1.02936,1.59905,0,0.135872,1.02936,0
SPE00100101,0.973947,-1.41648,0,0.158896,0.973947,0
SPE00100146,0.991774,-0.443615,0,0.671864,0.991774,0
SPE00100218,1.00392,0.208594,0,0.699914,1.00392,0
SPE00100290,0.987155,-0.700861,0,0.500938,0.987155,0
SPE00100325,0.0549156,-51.3482,0,0,0.0549156,0
SPE00100009,0.966607,-1.80984,0,0.092735,0.966607,0
SPE00100048,1.0044,0.24611,0,0.504778,1.0044,0
SPE00100076,1.00814,0.449757,0,0.516434,1.00814,0
SPE00100102,1.01814,0.989966,0,0.361104,1.01814,0
SPE00100156,0.98754,-0.679192,0,0.507044,0.98754,0
SPE00100222,0.987294,-0.690812,0,0.490304,0.987294,0
SPE00100296,0.979177,-1.13453,0,0.278862,0.979177,0
SPE00100530,0.988047,-0.655496,0,0.576886,0.988047,0
SPE00100049,1.0229,1.2457,0,0.21675,1.0229,0
SPE00100081,1.02518,1.37037,0,0.180028,1.02518,0
SPE00100103,1.01749,0.947423,0,0.357536,1.01749,0
SPE00100158,1.00018,0.0116524,0,0.876732,1.00018,0
SPE00100223,0.987452,-0.68026,0,0.50005,0.987452,0
SPE00100298,0.990891,-0.497502,0,0.629516,0.990891,0
SPE00100531,0.974671,-1.37615,0,0.168793,0.974671,0
