supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.00113,0.0457592,0,0.963504,1.00113,0
SPE00100016,1.00227,0.092184,0,0.926646,1.00227,0
SPE00100058,1.00223,0.0917009,0,0.831738,1.00223,0
SPE00100094,0.995244,-0.193607,0,0.849104,0.995244,0
SPE00100126,1.00058,0.0242728,0,0.91067,1.00058,0
SPE00100194,1.00399,0.161422,0,0.871764,1.00399,0
SPE00100271,0.10819,-36.0965,0,0,0.10819,0
SPE00100305,0.986844,-0.534878,0,0.621788,0.986844,0
SPE00100003,0.987539,-0.505829,0,0.623514,0.987539,0
SPE00100024,0.998222,-0.07249,0,0.92864,0.998222,0
SPE00100060,1.00352,0.143475,0,0.881064,1.00352,0
SPE00100096,1.00584,0.235463,0,0.81725,1.00584,0
SPE00100129,1.00453,0.18439,0,0.855612,1.00453,0
SPE00100195,1.01328,0.536331,0,0.597692,1.01328,0
SPE00100279,0.723749,-11.1834,0,3.69018e-28,0.723749,0
SPE00100310,0.986188,-0.559636,0,0.577416,0.986188,0
SPE00100005,0.948326,-2.09251,0,0.038456,0.948326,0
SPE00100031,1.0076,0.305642,0,0.73993,1.0076,0
SPE00100066,1.00343,0.140226,0,0.79316,1.00343,0
SPE00100098,0.9983,-0.0689774,0,0.945028,0.9983,0
SPE00100139,1.01219,0.494371,0,0.626584,1.01219,0
SPE00100201,1.01082,0.437998,0,0.66139,1.01082,0
SPE00100280,0.971453,-1.15341,0,0.279152,0.971453,0
SPE00100315,0.980599,-0.786301,0,0.438188,0.980599,0
SPE00100006,0.98484,-0.614365,0,0.54219,0.98484,0
SPE00100034,1.01216,0.492576,0,0.622674,1.01216,0
SPE00100068,1.00135,0.0550867,0,0.956112,1.00135,0
SPE00100099,1.00269,0.108421,0,0.914164,1.00269,0
SPE00100140,1.00582,0.235147,0,0.814498,1.00582,0
SPE00100205,1.02252,0.911872,0,0.362602,1.02252,0
SPE00100287,0.0805284,-37.2192,0,0,0.0805284,0
SPE00100318,0.9828,-0.697344,0,0.493578,0.9828,0
SPE00100008,0.972656,-1.10797,0,0.277104,0.972656,0
SPE00100047,1.00237,0.0969318,0,0.842704,1.00237,0
SPE00100069,1.02347,0.951087,0,0.351444,1.02347,0
SPE00100101,0.930917,-2.79455,0,0.00737242,0.930917,0
SPE00100146,0.999612,-0.0145006,0,0.836016,0.999612,0
SPE00100218,1.03517,1.42316,0,0.157049,1.03517,0
SPE00100290,0.992821,-0.29066,0,0.771336,0.992821,0
SPE00100325,0.0556,-38.2285,0,0,0.0556,0
SPE00100009,0.70257,-12.0419,0,2.71998e-31,0.70257,0
SPE00100048,0.996835,-0.128301,0,0.89797,0.996835,0
SPE00100076,1.00274,0.109968,0,0.882424,1.00274,0
SPE00100102,0.996563,-0.139784,0,0.889586,0.996563,0
SPE00100156,1.00382,0.154215,0,0.877534,1.00382,0
SPE00100222,1.01441,0.582217,0,0.567434,1.01441,0
SPE00100296,0.989966,-0.405922,0,0.685042,0.989966,0
SPE00100530,0.979601,-0.828087,0,0.44623,0.979601,0
SPE00100049,1.01462,0.59165,0,0.554236,1.01462,0
SPE00100081,1.00917,0.37192,0,0.713544,1.00917,0
SPE00100103,1.00458,0.184309,0,0.84388,1.00458,0
SPE00100158,1.00661,0.26711,0,0.789612,1.00661,0
SPE00100223,1.00297,0.120172,0,0.904348,1.00297,0
SPE00100298,0.997192,-0.113596,0,0.90956,0.997192,0
SPE00100531,0.98765,-0.499593,0,0.61779,0.98765,0
SPE00240645,0.932628,-2.73337,0,0.0498612,0.932628,0
SPE00100012,0.971798,-1.13925,0,0.290394,0.971798,0
SPE00100050,1.00097,0.0389519,0,0.96894,1.00097,0
SPE00100088,1.00013,0.00521879,0,0.978018,1.00013,0
SPE00100105,1.00093,0.0372327,0,0.941802,1.00093,0
SPE00100162,1.01402,0.568402,0,0.573352,1.01402,0
SPE00100242,0.988127,-0.480604,0,0.630798,0.988127,0
SPE00100301,0.0904761,-36.816,0,0,0.0904761,0
SPE00100359,1.0014,0.0553976,0,0.845586,1.0014,0
SPE00100013,0.967434,-1.31923,0,0.194183,0.967434,0
SPE00100054,1.00099,0.0416519,0,0.769462,1.00099,0
SPE00100090,1.02283,0.924831,0,0.358594,1.02283,0
SPE00100114,1.00324,0.131494,0,0.89546,1.00324,0
SPE00100173,1.00901,0.36396,0,0.71714,1.00901,0
SPE00100254,0.998405,-0.0651837,0,0.917058,0.998405,0
SPE00100303,1.00326,0.132059,0,0.894982,1.00326,0
SPE00100360,0.991677,-0.338165,0,0.741188,0.991677,0
SPE00100014,0.968518,-1.27473,0,0.20365,0.968518,0
SPE00100056,1.00146,0.0589042,0,0.953034,1.00146,0
SPE00100093,1.00514,0.208813,0,0.835418,1.00514,0
SPE00100117,1.00139,0.0579557,0,0.786556,1.00139,0
SPE00100190,1.00831,0.335704,0,0.738616,1.00831,0
SPE00100267,1.0083,0.33571,0,0.737412,1.0083,0
SPE00100304,0.995659,-0.175381,0,0.860988,0.995659,0
SPE00100368,0.987326,-0.514377,0,0.616906,0.987326,0
SPE00100375,0.995296,-0.191707,0,0.826354,0.995296,0
SPE00100528,0.988817,-0.451746,0,0.65533,0.988817,0
SPE00100537,0.178251,-33.2554,0,0,0.178251,0
SPE00100568,1.01274,0.514943,0,0.610222,1.01274,0
SPE00100609,0.986268,-0.553988,0,0.597934,0.986268,0
SPE00102018,1.00535,0.217553,0,0.830466,1.00535,0
SPE00200004,0.98476,-0.618023,0,0.544198,0.98476,0
