supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.968346,-1.37551,0,0.263818,0.968346,0
SPE00100016,0.988412,-0.520311,0,0.625702,0.988412,0
SPE00100058,1.00796,0.357472,0,0.728646,1.00796,0
SPE00100094,1.00633,0.284532,0,0.780464,1.00633,0
SPE00100126,0.990307,-0.42897,0,0.66879,0.990307,0
SPE00100194,1.00189,0.0673054,0,0.564928,1.00189,0
SPE00100271,0.846526,-6.73436,0,3.2251e-09,0.846526,0
SPE00100305,0.9795,-0.902829,0,0.366622,0.9795,0
SPE00100003,0.976031,-1.06224,0,0.301544,0.976031,0
SPE00100024,1.00866,0.378439,0,0.706676,1.00866,0
SPE00100060,1.02639,1.15935,0,0.249478,1.02639,0
SPE00100096,1.01924,0.845542,0,0.399066,1.01924,0
SPE00100129,0.977197,-1.01337,0,0.336376,0.977197,0
SPE00100195,0.998137,-0.0754911,0,0.811966,0.998137,0
SPE00100279,0.931256,-3.02746,0,0.00246956,0.931256,0
SPE00100310,0.972875,-1.19816,0,0.23444,0.972875,0
SPE00100005,0.952716,-2.08984,0,0.0430594,0.952716,0
SPE00100031,1.00769,0.332368,0,0.745958,1.00769,0
SPE00100066,1.04087,1.7843,0,0.123023,1.04087,0
SPE00100098,1.02647,1.16012,0,0.256216,1.02647,0
SPE00100139,0.995253,-0.194754,0,0.608684,0.995253,0
SPE00100201,1.00642,0.276758,0,0.786744,1.00642,0
SPE00100280,0.95059,-2.19559,0,0.069455,0.95059,0
SPE00100315,0.971757,-1.25576,0,0.25016,0.971757,0
SPE00100006,0.994251,-0.230088,0,0.412378,0.994251,0
SPE00100034,1.01675,0.73184,0,0.474502,1.01675,0
SPE00100068,1.03011,1.32001,0,0.197661,1.03011,0
SPE00100099,1.00543,0.248745,0,0.734366,1.00543,0
SPE00100140,0.986747,-0.573166,0,0.594426,0.986747,0
SPE00100205,0.989047,-0.474951,0,0.647194,0.989047,0
SPE00100287,0.635598,-16.0706,0,0,0.635598,0
SPE00100318,0.97703,-1.02755,0,0.379962,0.97703,0
SPE00100008,0.962326,-1.6597,0,0.0969966,0.962326,0
SPE00100047,1.02686,1.16444,0,0.344748,1.02686,0
SPE00100069,1.02124,0.951229,0,0.416444,1.02124,0
SPE00100101,0.954596,-1.9804,0,0.105148,0.954596,0
SPE00100146,0.988748,-0.508059,0,0.646358,0.988748,0
SPE00100218,0.992321,-0.332448,0,0.745056,0.992321,0
SPE00100290,0.996383,-0.178097,0,0.50122,0.996383,0
SPE00100325,0.0588062,-41.4893,0,0,0.0588062,0
SPE00100009,0.922189,-3.438,0,0.00121523,0.922189,0
SPE00100048,1.02195,0.970925,0,0.33744,1.02195,0
SPE00100076,1.01253,0.56547,0,0.614832,1.01253,0
SPE00100102,1.01702,0.741984,0,0.476034,1.01702,0
SPE00100156,0.981715,-0.790756,0,0.490724,0.981715,0
SPE00100222,0.983598,-0.725793,0,0.471222,0.983598,0
SPE00100296,0.970571,-1.29364,0,0.197751,0.970571,0
SPE00100530,0.984689,-0.682687,0,0.514088,0.984689,0
