supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.982898,-0.989379,0,0.335306,0.982898,0
SPE00100016,1.0005,0.0288749,0,0.97697,1.0005,0
SPE00100058,1.01188,0.687041,0,0.496206,1.01188,0
SPE00100094,1.00459,0.261052,0,0.798876,1.00459,0
SPE00100126,0.988546,-0.65674,0,0.521056,0.988546,0
SPE00100194,0.980652,-1.11204,0,0.275492,0.980652,0
SPE00100271,0.304905,-40.0848,0,0,0.304905,0
SPE00100305,0.985417,-0.839223,0,0.402988,0.985417,0
SPE00100003,0.980086,-1.14807,0,0.250998,0.980086,0
SPE00100024,1.00617,0.354923,0,0.722798,1.00617,0
SPE00100060,1.00839,0.482689,0,0.629816,1.00839,0
SPE00100096,1.00858,0.492209,0,0.626952,1.00858,0
SPE00100129,0.991449,-0.50006,0,0.651674,0.991449,0
SPE00100195,0.997919,-0.118878,0,0.905596,0.997919,0
SPE00100279,0.71461,-16.4673,0,0,0.71461,0
SPE00100310,0.995427,-0.261634,0,0.795064,0.995427,0
SPE00100005,0.958866,-2.37639,0,0.0244294,0.958866,0
SPE00100031,0.995711,-0.245483,0,0.80723,0.995711,0
SPE00100066,1.0018,0.10062,0,0.834464,1.0018,0
SPE00100098,1.01627,0.935079,0,0.356916,1.01627,0
SPE00100139,0.994631,-0.313365,0,0.761194,0.994631,0
SPE00100201,0.992449,-0.433612,0,0.666208,0.992449,0
SPE00100280,0.947583,-3.02347,0,0.00274934,0.947583,0
SPE00100315,0.978921,-1.21048,0,0.244272,0.978921,0
SPE00100006,0.996676,-0.191547,0,0.848098,0.996676,0
SPE00100034,1.00063,0.0392735,0,0.864148,1.00063,0
SPE00100068,1.01198,0.691232,0,0.490004,1.01198,0
SPE00100099,1.01019,0.581221,0,0.586778,1.01019,0
SPE00100140,0.998406,-0.0987688,0,0.666094,0.998406,0
SPE00100205,1.00066,0.0399767,0,0.914656,1.00066,0
SPE00100287,0.187452,-46.8468,0,0,0.187452,0
SPE00100318,0.967214,-1.88349,0,0.079437,0.967214,0
SPE00100008,0.990085,-0.576939,0,0.586576,0.990085,0
SPE00100047,1.01147,0.657203,0,0.52522,1.01147,0
SPE00100069,1.02459,1.41477,0,0.162386,1.02459,0
SPE00100101,0.970723,-1.70156,0,0.21223,0.970723,0
SPE00100146,0.978675,-1.22485,0,0.237076,0.978675,0
SPE00100218,0.985263,-0.840812,0,0.465762,0.985263,0
SPE00100290,0.980795,-1.10055,0,0.308964,0.980795,0
SPE00100325,0.0604471,-54.1662,0,0,0.0604471,0
SPE00100009,0.914799,-4.91125,0,9.13604e-07,0.914799,0
SPE00100048,1.00941,0.545791,0,0.595234,1.00941,0
SPE00100076,1.01885,1.08334,0,0.288726,1.01885,0
SPE00100102,1.01442,0.830575,0,0.406562,1.01442,0
