supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.97184,-1.47062,0,0.170662,0.97184,0
SPE00100016,0.998728,-0.0565459,0,0.71952,0.998728,0
SPE00100058,1.02304,1.19999,0,0.23803,1.02304,0
SPE00100094,1.01353,0.696537,0,0.494798,1.01353,0
SPE00100126,0.989535,-0.553044,0,0.608286,0.989535,0
SPE00100194,0.98247,-0.905975,0,0.368552,0.98247,0
SPE00100271,0.886071,-5.91495,0,6.94602e-09,0.886071,0
SPE00100305,0.948332,-2.68791,0,0.0100596,0.948332,0
SPE00100003,0.977772,-1.15228,0,0.249324,0.977772,0
SPE00100024,1.00805,0.404246,0,0.636166,1.00805,0
SPE00100060,1.02229,1.15324,0,0.251244,1.02229,0
SPE00100096,1.02449,1.27912,0,0.226668,1.02449,0
SPE00100129,0.996091,-0.192178,0,0.693064,0.996091,0
SPE00100195,0.985768,-0.742886,0,0.464898,0.985768,0
SPE00100279,0.812265,-9.74047,0,4.14638e-22,0.812265,0
SPE00100310,0.988024,-0.611779,0,0.565724,0.988024,0
SPE00100005,0.974886,-1.30176,0,0.193201,0.974886,0
SPE00100031,1.00849,0.448293,0,0.669428,1.00849,0
SPE00100066,1.0125,0.654615,0,0.52504,1.0125,0
SPE00100098,1.016,0.821745,0,0.432526,1.016,0
SPE00100139,1.00631,0.33259,0,0.744448,1.00631,0
SPE00100201,0.991936,-0.436415,0,0.52866,0.991936,0
SPE00100280,0.961271,-2.00215,0,0.0519642,0.961271,0
SPE00100315,0.955537,-2.30368,0,0.0217694,0.955537,0
SPE00100006,0.980051,-1.05163,0,0.387242,0.980051,0
SPE00100034,1.01696,0.881766,0,0.37951,1.01696,0
SPE00100068,1.01996,1.044,0,0.321736,1.01996,0
SPE00100099,1.01189,0.617196,0,0.537186,1.01189,0
SPE00100140,0.998897,-0.0454672,0,0.654738,0.998897,0
SPE00100205,0.994032,-0.32169,0,0.659432,0.994032,0
SPE00100287,0.834806,-8.54303,0,1.47321e-14,0.834806,0
SPE00100318,0.973163,-1.38996,0,0.165679,0.973163,0
SPE00100008,0.970346,-1.56808,0,0.339872,0.970346,0
SPE00100047,1.01715,0.900926,0,0.411046,1.01715,0
SPE00100069,1.04424,2.29783,0,0.0225966,1.04424,0
SPE00100101,0.969531,-1.57604,0,0.119704,0.969531,0
SPE00100146,0.993439,-0.328625,0,0.674074,0.993439,0
SPE00100218,0.981836,-0.962601,0,0.468746,0.981836,0
SPE00100290,0.993764,-0.309857,0,0.621742,0.993764,0
