supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.98095,-1.04966,0,0.293948,0.98095,0
SPE00100016,1.0045,0.247124,0,0.805386,1.0045,0
SPE00100058,1.00908,0.500775,0,0.616852,1.00908,0
SPE00100094,1.00907,0.497302,0,0.631782,1.00907,0
SPE00100126,0.985643,-0.790027,0,0.431866,0.985643,0
SPE00100194,0.974841,-1.38383,0,0.179097,0.974841,0
SPE00100271,0.606914,-21.6501,0,0,0.606914,0
SPE00100305,0.99058,-0.520199,0,0.606378,0.99058,0
SPE00100003,0.976822,-1.27543,0,0.208348,0.976822,0
SPE00100024,1.00956,0.528841,0,0.610152,1.00956,0
SPE00100060,1.01039,0.576244,0,0.599148,1.01039,0
SPE00100096,1.01666,0.916342,0,0.36445,1.01666,0
SPE00100129,0.993016,-0.381961,0,0.715992,0.993016,0
SPE00100195,0.995588,-0.247465,0,0.634526,0.995588,0
SPE00100279,0.557738,-24.3611,0,0,0.557738,0
SPE00100310,0.987922,-0.664096,0,0.511102,0.987922,0
SPE00100005,0.95905,-2.25574,0,0.0241434,0.95905,0
SPE00100031,1.00093,0.05429,0,0.728256,1.00093,0
SPE00100066,1.01465,0.808158,0,0.421468,1.01465,0
SPE00100098,1.01147,0.632403,0,0.528136,1.01147,0
SPE00100139,0.998384,-0.0913711,0,0.795256,0.998384,0
SPE00100201,0.99079,-0.511188,0,0.639372,0.99079,0
SPE00100280,0.953792,-2.54367,0,0.012911,0.953792,0
SPE00100315,0.977388,-1.24503,0,0.214448,0.977388,0
SPE00100006,1.00172,0.0971926,0,0.795256,1.00172,0
SPE00100034,1.00477,0.261525,0,0.795114,1.00477,0
SPE00100068,1.01001,0.551554,0,0.581276,1.01001,0
SPE00100099,1.01527,0.840996,0,0.400776,1.01527,0
SPE00100140,0.99572,-0.232706,0,0.737746,0.99572,0
SPE00100205,1.00305,0.170833,0,0.77001,1.00305,0
SPE00100287,0.292421,-38.9785,0,0,0.292421,0
SPE00100318,0.960368,-2.18137,0,0.0331164,0.960368,0
SPE00100008,0.984941,-0.831478,0,0.4156,0.984941,0
SPE00100047,1.0125,0.691553,0,0.509246,1.0125,0
SPE00100069,1.03325,1.83266,0,0.0685942,1.03325,0
SPE00100101,0.969638,-1.67304,0,0.0945796,0.969638,0
SPE00100146,0.980166,-1.09191,0,0.276528,0.980166,0
SPE00100218,1.00105,0.0537213,0,0.632906,1.00105,0
SPE00100290,0.987136,-0.709793,0,0.481026,0.987136,0
SPE00100325,0.0539987,-52.1204,0,0,0.0539987,0
SPE00100009,0.907358,-5.10619,0,7.01782e-07,0.907358,0
SPE00100048,1.01076,0.592254,0,0.554934,1.01076,0
SPE00100076,1.02222,1.22883,0,0.278154,1.02222,0
SPE00100102,1.01503,0.832877,0,0.470872,1.01503,0
SPE00100156,0.988782,-0.614948,0,0.561428,0.988782,0
SPE00100222,0.991645,-0.460487,0,0.645246,0.991645,0
SPE00100296,0.974549,-1.40631,0,0.20411,0.974549,0
SPE00100530,0.970186,-1.64535,0,0.117025,0.970186,0
SPE00100049,1.01993,1.09916,0,0.274826,1.01993,0
SPE00100081,1.0165,0.907389,0,0.372466,1.0165,0
SPE00100103,1.00775,0.428545,0,0.674162,1.00775,0
SPE00100158,1.00139,0.0773055,0,0.938526,1.00139,0
SPE00100223,0.994105,-0.323387,0,0.749268,0.994105,0
SPE00100298,0.992493,-0.415322,0,0.683536,0.992493,0
SPE00100531,0.948528,-2.83593,0,0.00458614,0.948528,0
SPE00240645,0.94402,-3.08428,0,0.00205128,0.94402,0
SPE00100012,0.991587,-0.462468,0,0.645962,0.991587,0
SPE00100050,1.0048,0.265029,0,0.791284,1.0048,0
SPE00100088,1.00474,0.262145,0,0.793932,1.00474,0
SPE00100105,1.00625,0.348089,0,0.687582,1.00625,0
SPE00100162,1.00229,0.128447,0,0.81909,1.00229,0
SPE00100242,0.962022,-2.09249,0,0.0364638,0.962022,0
SPE00100301,0.0850756,-50.4072,0,0,0.0850756,0
SPE00100359,0.976088,-1.31914,0,0.195774,0.976088,0
SPE00100013,0.991682,-0.457103,0,0.650322,0.991682,0
SPE00100054,1.00495,0.273078,0,0.78491,1.00495,0
SPE00100090,1.03328,1.83066,0,0.0789874,1.03328,0
SPE00100114,1.01324,0.727452,0,0.476416,1.01324,0
SPE00100173,0.998486,-0.0810509,0,0.795302,0.998486,0
SPE00100254,0.974012,-1.43123,0,0.152966,0.974012,0
SPE00100303,0.998074,-0.107452,0,0.883174,0.998074,0
SPE00100360,0.985071,-0.824873,0,0.426352,0.985071,0
SPE00100014,0.988591,-0.630435,0,0.537394,0.988591,0
SPE00100056,0.996752,-0.176064,0,0.754482,0.996752,0
