supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.988552,-0.713975,0,0.51713,0.988552,0
SPE00100016,0.99524,-0.299064,0,0.766052,0.99524,0
SPE00100058,1.002,0.126021,0,0.90011,1.002,0
SPE00100094,1.00266,0.165146,0,0.822,1.00266,0
SPE00100126,0.99473,-0.336034,0,0.480796,0.99473,0
SPE00100194,0.993118,-0.431093,0,0.66652,0.993118,0
SPE00100271,0.480338,-32.5602,0,0,0.480338,0
SPE00100305,0.979294,-1.30035,0,0.221632,0.979294,0
SPE00100003,0.980447,-1.22044,0,0.310766,0.980447,0
SPE00100024,1.00415,0.261315,0,0.797114,1.00415,0
SPE00100060,1.00358,0.22711,0,0.715638,1.00358,0
SPE00100096,1.01604,1.00119,0,0.381232,1.01604,0
SPE00100129,0.989098,-0.682935,0,0.494854,0.989098,0
SPE00100195,1.01004,0.628863,0,0.529992,1.01004,0
SPE00100279,0.470394,-33.1863,0,0,0.470394,0
SPE00100310,0.982317,-1.10846,0,0.26805,0.982317,0
SPE00100005,0.864165,-8.50302,0,1.72956e-13,0.864165,0
SPE00100031,0.998158,-0.114409,0,0.89693,0.998158,0
SPE00100066,1.01047,0.653514,0,0.535376,1.01047,0
SPE00100098,1.00873,0.54557,0,0.595576,1.00873,0
SPE00100139,0.989832,-0.639092,0,0.534658,0.989832,0
SPE00100201,0.995174,-0.304959,0,0.753066,0.995174,0
SPE00100280,0.961408,-2.41641,0,0.0194607,0.961408,0
SPE00100315,0.988325,-0.733858,0,0.480672,0.988325,0
SPE00100006,1.00167,0.106317,0,0.833068,1.00167,0
SPE00100034,0.999188,-0.048877,0,0.791934,0.999188,0
SPE00100068,1.00198,0.12492,0,0.897326,1.00198,0
SPE00100099,1.01878,1.1805,0,0.295304,1.01878,0
SPE00100140,0.989713,-0.642186,0,0.542088,0.989713,0
SPE00100205,1.00702,0.447159,0,0.403836,1.00702,0
SPE00100287,0.295464,-44.1525,0,0,0.295464,0
SPE00100318,0.989674,-0.650845,0,0.56243,0.989674,0
SPE00100008,0.996184,-0.239699,0,0.81108,0.996184,0
SPE00100047,1.01015,0.633456,0,0.54692,1.01015,0
SPE00100069,1.03874,2.43843,0,0.14636,1.03874,0
SPE00100101,0.944663,-3.4582,0,0.0136379,0.944663,0
SPE00100146,0.957213,-2.67498,0,0.0322802,0.957213,0
SPE00100218,0.999164,-0.0526958,0,0.958012,0.999164,0
SPE00100290,0.988153,-0.739551,0,0.489466,0.988153,0
SPE00100325,0.0587567,-58.9873,0,0,0.0587567,0
SPE00100009,0.85451,-9.11475,0,9.93476e-19,0.85451,0
SPE00100048,1.00676,0.421334,0,0.685044,1.00676,0
SPE00100076,1.01149,0.720383,0,0.472312,1.01149,0
SPE00100102,1.00227,0.142385,0,0.886814,1.00227,0
SPE00100156,0.984595,-0.963789,0,0.345616,0.984595,0
SPE00100222,0.992154,-0.48769,0,0.64463,0.992154,0
SPE00100296,0.971879,-1.75522,0,0.204374,0.971879,0
SPE00100530,0.990273,-0.609484,0,0.542244,0.990273,0
SPE00100049,1.01691,1.05786,0,0.306944,1.01691,0
SPE00100081,1.01737,1.08554,0,0.318396,1.01737,0
SPE00100103,1.01021,0.639416,0,0.522816,1.01021,0
SPE00100158,0.988495,-0.721974,0,0.473884,0.988495,0
SPE00100223,0.985256,-0.922311,0,0.366998,0.985256,0
SPE00100298,0.994276,-0.358112,0,0.72108,0.994276,0
SPE00100531,0.973227,-1.6767,0,0.096803,0.973227,0
SPE00240645,0.893672,-6.66179,0,5.59452e-11,0.893672,0
SPE00100012,0.986367,-0.852334,0,0.40976,0.986367,0
SPE00100050,1.01125,0.703459,0,0.4914,1.01125,0
SPE00100088,1.00312,0.195486,0,0.845078,1.00312,0
SPE00100105,1.01865,1.17237,0,0.298352,1.01865,0
SPE00100162,1.00012,0.00673634,0,0.9122,1.00012,0
SPE00100242,0.957748,-2.64765,0,0.00812664,0.957748,0
SPE00100301,0.0753028,-57.9525,0,0,0.0753028,0
SPE00100359,0.990113,-0.622611,0,0.563902,0.990113,0
SPE00100013,0.989162,-0.675645,0,0.542352,0.989162,0
SPE00100054,1.00712,0.445001,0,0.660776,1.00712,0
SPE00100090,1.036,2.25709,0,0.0257734,1.036,0
SPE00100114,1.0254,1.59801,0,0.230206,1.0254,0
SPE00100173,1.02053,1.29151,0,0.278288,1.02053,0
SPE00100254,0.975145,-1.55683,0,0.121267,0.975145,0
SPE00100303,0.997689,-0.1441,0,0.885914,0.997689,0
SPE00100360,0.994291,-0.353309,0,0.586408,0.994291,0
SPE00100014,0.963661,-2.2878,0,0.17707,0.963661,0
SPE00100056,1.0005,0.031349,0,0.974326,1.0005,0
SPE00100093,1.01426,0.893698,0,0.371646,1.01426,0
SPE00100117,1.01009,0.632393,0,0.527156,1.01009,0
SPE00100190,0.998914,-0.0696468,0,0.837362,0.998914,0
SPE00100267,0.995998,-0.25356,0,0.729524,0.995998,0
SPE00100304,0.988687,-0.708678,0,0.478854,0.988687,0
SPE00100368,0.983187,-1.05142,0,0.313078,0.983187,0
SPE00100375,0.983649,-1.02179,0,0.340266,0.983649,0
SPE00100528,0.964731,-2.20763,0,0.036343,0.964731,0
SPE00100537,0.081249,-57.5795,0,0,0.081249,0
SPE00100568,1.02833,1.77371,0,0.083442,1.02833,0
SPE00100609,0.971846,-1.76554,0,0.0811154,0.971846,0
SPE00102018,0.992772,-0.455025,0,0.660594,0.992772,0
SPE00200004,0.994192,-0.370946,0,0.39743,0.994192,0
SPE01500420,1.00391,0.246801,0,0.80869,1.00391,0
SPE00100378,0.980417,-1.22238,0,0.308206,0.980417,0
SPE00100455,1.0139,0.873102,0,0.39506,1.0139,0
SPE00100540,0.833134,-10.4611,0,1.43164e-23,0.833134,0
SPE00100572,1.01655,1.03804,0,0.30143,1.01655,0
SPE00100612,0.710572,-18.1407,0,0,0.710572,0
SPE00100682,0.998325,-0.101627,0,0.666814,0.998325,0
SPE00102076,0.716966,-17.7412,0,0,0.716966,0
SPE00201606,0.811974,-11.7834,0,5.25202e-32,0.811974,0
SPE00100423,0.972748,-1.703,0,0.150956,0.972748,0
SPE00100458,0.997058,-0.184369,0,0.853724,0.997058,0
SPE00100541,0.970025,-1.88122,0,0.076181,0.970025,0
SPE00100576,1.02012,1.25753,0,0.245782,1.02012,0
SPE00100615,1.00715,0.444358,0,0.6863,1.00715,0
SPE00100686,1.0028,0.174479,0,0.863114,1.0028,0
SPE00102058,0.981474,-1.15743,0,0.295224,0.981474,0
SPE00200010,1.01294,0.805849,0,0.515442,1.01294,0
SPE00100424,1.00227,0.141456,0,0.88793,1.00227,0
SPE00100525,0.994706,-0.327875,0,0.632512,0.994706,0
SPE00100551,1.00321,0.20082,0,0.84132,1.00321,0
SPE00100580,1.00109,0.067042,0,0.871844,1.00109,0
SPE00100616,0.960967,-2.44315,0,0.0221974,0.960967,0
SPE00100698,0.988722,-0.706807,0,0.4797,0.988722,0
SPE00107023,0.970429,-1.85434,0,0.0668124,0.970429,0
SPE00200012,1.00954,0.594191,0,0.59801,1.00954,0
SPE00100432,0.979261,-1.30133,0,0.203088,0.979261,0
SPE00100465,1.01745,1.09554,0,0.287174,1.01745,0
SPE00100550,1.00788,0.498546,0,0.574424,1.00788,0
SPE00100582,0.987396,-0.788101,0,0.442812,0.987396,0
SPE00100618,1.00224,0.142911,0,0.725182,1.00224,0
SPE00100719,0.909699,-5.6598,0,1.81115e-08,0.909699,0
SPE00107022,0.987938,-0.75123,0,0.530096,0.987938,0
SPE00201466,0.997581,-0.155634,0,0.607674,0.997581,0
SPE00100434,0.996555,-0.217273,0,0.830636,0.996555,0
SPE00100475,0.995534,-0.280276,0,0.779534,0.995534,0
SPE00100552,1.00739,0.462247,0,0.644976,1.00739,0
SPE00100583,1.03994,2.50259,0,0.0123636,1.03994,0
SPE00100620,0.984832,-0.94601,0,0.422628,0.984832,0
SPE00100688,0.987232,-0.799206,0,0.427712,0.987232,0
SPE00107093,0.993962,-0.381245,0,0.721696,0.993962,0
SPE00201477,0.573445,-26.7327,0,0,0.573445,0
SPE00100435,0.99127,-0.546707,0,0.585094,0.99127,0
SPE00100489,1.00073,0.0471141,0,0.828434,1.00073,0
SPE00100562,1.01289,0.807198,0,0.421186,1.01289,0
SPE00100584,1.02159,1.34659,0,0.31672,1.02159,0
SPE00100638,0.995556,-0.280572,0,0.786576,0.995556,0
SPE00100731,0.988919,-0.693429,0,0.491602,0.988919,0
SPE00200002,0.913438,-5.42425,0,6.0454e-08,0.913438,0
