supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.04624,0.440766,0,0.668804,1.04624,0
SPE00100016,1.03294,0.340209,0,0.737928,1.03294,0
SPE00100058,1.00981,0.092524,0,0.926436,1.00981,0
SPE00100094,0.760113,-2.32238,0,0.0625954,0.760113,0
SPE00100126,0.956794,-0.424573,0,0.671622,0.956794,0
SPE00100194,0.921971,-0.758306,0,0.458636,0.921971,0
SPE00100271,0.306456,-6.92078,0,8.98146e-11,0.306456,0
SPE00100305,1.26813,2.63881,0,0.0111144,1.26813,0
SPE00100003,1.15703,1.5613,0,0.118841,1.15703,0
SPE00100024,0.936889,-0.609892,0,0.551634,0.936889,0
SPE00100060,0.960101,-0.382887,0,0.70616,0.960101,0
SPE00100096,1.02658,0.248321,0,0.80801,1.02658,0
SPE00100129,1.06454,0.630682,0,0.531764,1.06454,0
SPE00100195,1.0163,0.213881,0,0.48933,1.0163,0
SPE00100279,1.35284,3.49249,0,0.00051662,1.35284,0
SPE00100310,1.05674,0.559233,0,0.576494,1.05674,0
SPE00100005,0.610268,-3.92887,0,0.00102215,0.610268,0
SPE00100031,0.926806,-0.719687,0,0.473428,0.926806,0
SPE00100066,1.06491,0.625818,0,0.543704,1.06491,0
SPE00100098,0.841976,-1.56181,0,0.119538,0.841976,0
SPE00100139,1.05014,0.469685,0,0.661628,1.05014,0
SPE00100201,1.03179,0.340219,0,0.747798,1.03179,0
SPE00100280,0.700264,-2.97384,0,0.002941,0.700264,0
SPE00100315,1.22537,2.26911,0,0.0377004,1.22537,0
SPE00100006,0.926051,-0.730421,0,0.465564,0.926051,0
SPE00100034,1.00603,0.0287301,0,0.673374,1.00603,0
SPE00100068,1.09785,0.955633,0,0.349434,1.09785,0
SPE00100099,0.991496,-0.0692508,0,0.837908,0.991496,0
SPE00100140,0.980234,-0.211195,0,0.836154,0.980234,0
SPE00100205,0.953039,-0.434196,0,0.692092,0.953039,0
SPE00100287,0.179128,-8.20096,0,5.50352e-14,0.179128,0
SPE00100318,1.24277,2.42253,0,0.0172844,1.24277,0
SPE00100008,1.01429,0.159798,0,0.808866,1.01429,0
SPE00100047,0.868313,-1.33877,0,0.221632,0.868313,0
SPE00100069,1.04134,0.382246,0,0.721896,1.04134,0
SPE00100101,0.595871,-4.04286,0,0.000169274,0.595871,0
SPE00100146,0.810222,-1.88741,0,0.0595968,0.810222,0
SPE00100218,1.09194,0.916291,0,0.36028,1.09194,0
SPE00100290,1.0736,0.726269,0,0.468298,1.0736,0
SPE00100325,0.129835,-8.69008,0,1.22234e-15,0.129835,0
SPE00100009,0.502271,-4.98799,0,8.15222e-06,0.502271,0
SPE00100048,1.0294,0.292413,0,0.769982,1.0294,0
SPE00100076,0.99814,-0.0484154,0,0.684724,0.99814,0
SPE00100102,1.03486,0.360816,0,0.72371,1.03486,0
SPE00100156,0.984531,-0.166864,0,0.857808,0.984531,0
SPE00100222,1.00219,0.00175763,0,0.786346,1.00219,0
SPE00100296,1.09233,0.919527,0,0.358358,1.09233,0
SPE00100530,1.22581,2.28152,0,0.0447016,1.22581,0
SPE00100049,0.931259,-0.639426,0,0.587106,0.931259,0
SPE00100081,0.925243,-0.768631,0,0.471814,0.925243,0
SPE00100103,0.842182,-1.54521,0,0.136732,0.842182,0
SPE00100158,1.02772,0.28622,0,0.777218,1.02772,0
SPE00100223,0.938226,-0.585044,0,0.585686,0.938226,0
SPE00100298,1.11892,1.18364,0,0.237194,1.11892,0
SPE00100531,1.21471,2.13485,0,0.0331208,1.21471,0
SPE00240645,0.580001,-4.18478,0,4.5178e-05,0.580001,0
SPE00100012,0.953749,-0.444278,0,0.663068,0.953749,0
SPE00100050,1.05098,0.453656,0,0.52309,1.05098,0
SPE00100088,1.04488,0.439098,0,0.661712,1.04488,0
SPE00100105,0.930351,-0.633762,0,0.522514,0.930351,0
SPE00100162,0.894992,-1.0632,0,0.307742,0.894992,0
SPE00100242,0.849108,-1.4602,0,0.193384,0.849108,0
SPE00100301,0.145067,-8.53788,0,3.65964e-15,0.145067,0
SPE00100359,1.08913,0.89113,0,0.37491,1.08913,0
SPE00100013,0.964386,-0.356729,0,0.721578,0.964386,0
SPE00100054,0.997828,-0.0411827,0,0.79015,0.997828,0
SPE00100090,1.06928,0.667908,0,0.518806,1.06928,0
SPE00100114,1.06042,0.612968,0,0.546662,1.06042,0
SPE00100173,0.941475,-0.639251,0,0.513784,0.941475,0
SPE00100254,1.00378,0.0547533,0,0.815532,1.00378,0
SPE00100303,1.10959,1.06821,0,0.30135,1.10959,0
SPE00100360,1.0645,0.673675,0,0.543594,1.0645,0
SPE00100014,1.00689,0.093061,0,0.738626,1.00689,0
SPE00100056,0.996226,-0.022327,0,0.837552,0.996226,0
SPE00100093,0.774716,-2.22283,0,0.0283068,0.774716,0
SPE00100117,0.981871,-0.168474,0,0.867782,0.981871,0
SPE00100190,0.990238,-0.138256,0,0.577972,0.990238,0
SPE00100267,1.02359,0.252591,0,0.806682,1.02359,0
SPE00100304,0.98124,-0.18532,0,0.852986,0.98124,0
SPE00100368,1.05071,0.484877,0,0.638154,1.05071,0
SPE00100375,0.976695,-0.247652,0,0.809114,0.976695,0
SPE00100528,0.548905,-4.56535,0,0.000411702,0.548905,0
SPE00100537,0.145468,-8.54021,0,7.04262e-15,0.145468,0
SPE00100568,1.0659,0.610042,0,0.6078,1.0659,0
SPE00100609,1.05907,0.589869,0,0.555802,1.05907,0
SPE00102018,0.684986,-3.19991,0,0.0143548,0.684986,0
SPE00200004,1.17953,1.7178,0,0.20018,1.17953,0
SPE01500420,1.13541,1.31181,0,0.229484,1.13541,0
SPE00100378,0.9723,-0.183379,0,0.22247,0.9723,0
SPE00100455,1.02868,0.21688,0,0.370064,1.02868,0
SPE00100540,0.192006,-8.07366,0,1.49796e-13,0.192006,0
SPE00100572,1.06949,0.715472,0,0.50114,1.06949,0
SPE00100612,0.508749,-4.90116,0,3.02104e-06,0.508749,0
SPE00100682,1.07941,0.701762,0,0.351468,1.07941,0
SPE00102076,0.442812,-5.55338,0,9.71174e-08,0.442812,0
SPE00201606,0.641276,-3.52728,0,0.00101365,0.641276,0
SPE00100423,0.865392,-1.25514,0,0.443826,0.865392,0
SPE00100458,0.909741,-0.95176,0,0.46852,0.909741,0
SPE00100541,1.14739,1.43029,0,0.190619,1.14739,0
SPE00100576,1.01547,0.146013,0,0.884494,1.01547,0
SPE00100615,1.22811,2.22945,0,0.0417292,1.22811,0
SPE00100686,1.08928,0.816628,0,0.49164,1.08928,0
SPE00102058,0.985309,-0.041051,0,0.155845,0.985309,0
SPE00200010,0.784008,-2.14386,0,0.032059,0.784008,0
SPE00100424,1.02114,0.193647,0,0.830754,1.02114,0
SPE00100525,1.05988,0.535123,0,0.486256,1.05988,0
SPE00100551,1.04427,0.492275,0,0.522648,1.04427,0
SPE00100580,0.969948,-0.315927,0,0.75893,0.969948,0
SPE00100616,0.691749,-3.12368,0,0.0127239,0.691749,0
SPE00100698,1.16002,1.57257,0,0.1234,1.16002,0
SPE00107023,1.06497,0.620594,0,0.555936,1.06497,0
SPE00200012,1.10869,0.987347,0,0.41558,1.10869,0
SPE00100432,0.896142,-0.950652,0,0.468862,0.896142,0
SPE00100465,0.876417,-1.17771,0,0.334366,0.876417,0
SPE00100550,0.976119,-0.174785,0,0.40636,0.976119,0
