supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.12595,0.15003,0,0.443512,1.12595,0
SPE00100016,1.06427,0.46166,0,0.669746,1.06427,0
SPE00100058,1.48737,2.81243,0,0.220142,1.48737,0
SPE00100094,0.744025,-0.936742,0,0.354174,0.744025,0
SPE00100126,0.779707,-0.741883,0,0.474634,0.779707,0
SPE00100194,0.911961,-0.24462,0,0.811534,0.911961,0
SPE00100271,1.05143,0.754403,0,0.333158,1.05143,0
SPE00100305,0.809286,-0.121304,0,0.160866,0.809286,0
SPE00100003,1.18669,0.177505,0,0.218478,1.18669,0
SPE00100024,0.798615,-0.927246,0,0.376956,0.798615,0
SPE00100060,0.886592,-0.123339,0,0.472246,0.886592,0
SPE00100096,0.767862,-0.548583,0,0.481848,0.767862,0
SPE00100129,0.886432,-0.636989,0,0.561668,0.886432,0
SPE00100195,0.750463,-0.769662,0,0.489508,0.750463,0
SPE00100279,2.41272,5.86998,0,1.62828e-07,2.41272,0
SPE00100310,0.635287,-1.51673,0,0.136956,0.635287,0
SPE00100005,0.818897,-1.31586,0,0.482152,0.818897,0
SPE00100031,1.30984,2.17802,0,0.500006,1.30984,0
SPE00100066,0.872633,-0.0974478,0,0.367102,0.872633,0
SPE00100098,1.22807,0.7735,0,0.455688,1.22807,0
SPE00100139,0.750607,-0.906938,0,0.370358,0.750607,0
SPE00100201,1.14541,1.10885,0,0.466566,1.14541,0
SPE00100280,1.16146,0.69381,0,0.491978,1.16146,0
SPE00100315,0.990896,-0.227524,0,0.6729,0.990896,0
SPE00100006,1.29754,1.05991,0,0.3027,1.29754,0
SPE00100034,0.881194,0.246985,0,0.118509,0.881194,0
SPE00100068,0.797234,-0.513323,0,0.577656,0.797234,0
SPE00100099,1.11875,0.12356,0,0.44417,1.11875,0
SPE00100140,1.32952,0.756782,0,0.35191,1.32952,0
SPE00100205,0.706971,-1.17636,0,0.240444,0.706971,0
SPE00100287,0.469266,-2.63548,0,0.084186,0.469266,0
SPE00100318,1.17362,0.599279,0,0.555564,1.17362,0
SPE00100008,0.856079,-0.308199,0,0.582248,0.856079,0
SPE00100047,1.38161,1.29416,0,0.240284,1.38161,0
SPE00100069,1.19886,0.343177,0,0.35328,1.19886,0
SPE00100101,0.929786,-0.533075,0,0.612424,0.929786,0
SPE00100146,0.779725,-1.4661,0,0.461104,0.779725,0
SPE00100218,0.860044,-0.731394,0,0.501474,0.860044,0
SPE00100290,0.863721,-0.905292,0,0.514136,0.863721,0
SPE00100325,0.172366,-4.08489,0,0.0146337,0.172366,0
SPE00100009,0.626424,-1.56147,0,0.127492,0.626424,0
SPE00100048,1.00082,0.338306,0,0.47464,1.00082,0
SPE00100076,1.06534,0.279298,0,0.780316,1.06534,0
SPE00100102,1.95216,2.40086,0,0.275072,1.95216,0
SPE00100156,1.10613,0.00961991,0,0.359312,1.10613,0
SPE00100222,1.16971,0.563039,0,0.583378,1.16971,0
SPE00100296,1.12408,0.420071,0,0.67781,1.12408,0
SPE00100530,0.826809,-0.479924,0,0.663962,0.826809,0
SPE00100049,1.21416,0.731698,0,0.477232,1.21416,0
SPE00100081,0.596916,-1.71183,0,0.101207,0.596916,0
SPE00100103,1.24404,0.974645,0,0.330178,1.24404,0
SPE00100158,1.31712,2.11617,0,0.443484,1.31712,0
SPE00100223,0.955863,-0.174168,0,0.861734,0.955863,0
SPE00100298,0.761149,-0.801005,0,0.444094,0.761149,0
SPE00100531,0.958619,0.454308,0,0.206726,0.958619,0
SPE00240645,0.727361,-0.468915,0,0.222902,0.727361,0
SPE00100012,0.797307,-0.356965,0,0.35416,0.797307,0
SPE00100050,1.1085,-0.331495,0,0.105056,1.1085,0
SPE00100088,0.876918,-0.334013,0,0.751948,0.876918,0
SPE00100105,0.64967,-1.27405,0,0.213618,0.64967,0
SPE00100162,1.00065,-0.22374,0,0.61828,1.00065,0
SPE00100242,0.835365,-0.357222,0,0.542266,0.835365,0
SPE00100301,0.203078,-3.98423,0,0.02093,0.203078,0
SPE00100359,0.700986,-0.790407,0,0.522022,0.700986,0
SPE00100013,0.760132,-0.527196,0,0.415748,0.760132,0
SPE00100054,0.838677,-0.429426,0,0.676776,0.838677,0
SPE00100090,1.47298,2.43361,0,0.131235,1.47298,0
SPE00100114,1.8804,2.00838,0,0.107176,1.8804,0
SPE00100173,0.750397,-0.581361,0,0.447114,0.750397,0
SPE00100254,1.70152,1.59383,0,0.156131,1.70152,0
SPE00100303,0.982849,0.165883,0,0.603746,0.982849,0
SPE00100360,1.38725,0.889376,0,0.309756,1.38725,0
SPE00100014,1.02295,-0.120758,0,0.636854,1.02295,0
SPE00100056,0.585592,-1.48742,0,0.155157,0.585592,0
SPE00100093,0.775904,-0.139759,0,0.0989568,0.775904,0
SPE00100117,0.727848,-0.611457,0,0.390072,0.727848,0
SPE00100190,1.255,0.383366,0,0.195385,1.255,0
SPE00100267,1.04926,0.222281,0,0.824476,1.04926,0
SPE00100304,0.78972,-0.419081,0,0.402028,0.78972,0
SPE00100368,0.76935,-0.83993,0,0.405744,0.76935,0
SPE00100375,1.16963,0.475971,0,0.663502,1.16963,0
SPE00100528,1.24207,1.32837,0,0.333718,1.24207,0
SPE00100537,0.19766,-3.96654,0,0.0176423,0.19766,0
SPE00100568,1.04932,0.219754,0,0.826372,1.04932,0
SPE00100609,0.854564,-0.645331,0,0.524794,0.854564,0
SPE00102018,0.69616,-1.39311,0,0.207098,0.69616,0
SPE00200004,0.856182,-1.10874,0,0.460686,0.856182,0
SPE01500420,0.953775,-1.06484,0,0.177102,0.953775,0
SPE00100378,0.767081,-1.0356,0,0.31893,0.767081,0
SPE00100455,0.948551,-0.545933,0,0.501156,0.948551,0
SPE00100540,0.693797,-0.872888,0,0.499572,0.693797,0
SPE00100572,1.05083,0.357313,0,0.73742,1.05083,0
SPE00100612,0.966718,0.056554,0,0.673528,0.966718,0
SPE00100682,0.713956,-1.19844,0,0.237992,0.713956,0
SPE00102076,0.447831,-2.90369,0,0.109363,0.447831,0
SPE00201606,0.286623,-3.52921,0,0.0308426,0.286623,0
SPE00100423,1.07578,0.344677,0,0.731848,1.07578,0
SPE00100458,0.776958,-0.812914,0,0.420608,0.776958,0
SPE00100541,1.22152,0.764629,0,0.456652,1.22152,0
SPE00100576,0.878685,-0.691075,0,0.538658,0.878685,0
SPE00100615,0.932967,-0.398814,0,0.70364,0.932967,0
SPE00100686,0.612162,-1.77391,0,0.124849,0.612162,0
SPE00102058,0.850896,-0.837529,0,0.474788,0.850896,0
SPE00200010,0.421899,-2.74376,0,0.0484808,0.421899,0
SPE00100424,1.16303,0.374116,0,0.577672,1.16303,0
SPE00100525,0.914689,-0.415418,0,0.682922,0.914689,0
SPE00100551,1.2867,1.07427,0,0.285582,1.2867,0
SPE00100580,1.19188,1.22659,0,0.449646,1.19188,0
SPE00100616,1.31342,0.526888,0,0.163235,1.31342,0
SPE00100698,0.639796,-1.5712,0,0.139972,0.639796,0
SPE00107023,1.40766,0.675025,0,0.0828702,1.40766,0
SPE00200012,0.664885,-1.57628,0,0.178366,0.664885,0
SPE00100432,0.746336,-0.585357,0,0.4344,0.746336,0
SPE00100465,0.966547,-0.341395,0,0.653972,0.966547,0
SPE00100550,1.33221,1.62828,0,0.195872,1.33221,0
SPE00100582,1.48368,1.99632,0,0.0517004,1.48368,0
SPE00100618,1.05822,0.208031,0,0.83537,1.05822,0
SPE00100719,1.02238,0.11221,0,0.910794,1.02238,0
SPE00107022,0.713085,-1.39165,0,0.238722,0.713085,0
SPE00201466,0.731586,-1.16853,0,0.258976,0.731586,0
SPE00100434,0.89551,0.0627462,0,0.287546,0.89551,0
SPE00100475,0.764752,-0.588469,0,0.525404,0.764752,0
SPE00100552,1.5334,2.79999,0,0.116155,1.5334,0
SPE00100583,1.575,2.19826,0,0.0290772,1.575,0
SPE00100620,1.09357,-0.0482863,0,0.349608,1.09357,0
SPE00100688,0.886595,-0.188891,0,0.571326,0.886595,0
SPE00107093,1.55508,2.13632,0,0.0332772,1.55508,0
SPE00201477,0.241428,-3.85349,0,0.0314234,0.241428,0
SPE00100435,0.912172,-0.220638,0,0.785822,0.912172,0
SPE00100489,1.16686,1.94577,0,0.165496,1.16686,0
SPE00100562,0.760642,-1.17863,0,0.305488,0.760642,0
SPE00100584,0.875078,-0.499252,0,0.617692,0.875078,0
SPE00100638,1.19436,0.0537817,0,0.110743,1.19436,0
SPE00100731,1.29405,0.0014899,0,0.00941128,1.29405,0
SPE00200002,1.05804,0.00093068,0,0.609248,1.05804,0
SPE00201484,0.826811,-1.24657,0,0.491084,0.826811,0
SPE00100439,0.874997,-0.246918,0,0.595136,0.874997,0
SPE00100492,1.11249,1.35766,0,0.238188,1.11249,0
SPE00100520,0.611847,-1.70374,0,0.115758,0.611847,0
SPE00100563,0.736861,-1.44264,0,0.313116,0.736861,0
